university_name,university_id
czech technical university in prague,U0420
dublin city university,U0421
university of limerick,U0422
aston university,U0423
université laval,U0424
national taipei university of technology,U0425
ipb university aka bogor agricultural university,U0426
leibniz university hannover,U0427
juliusmaximiliansuniversität würzburg,U0428
southeast university,U0429
university of science and technology beijing,U0430
central south university,U0431
tomsk state university,U0432
university of granada,U0433
ajman university,U0434
ie university,U0435
iran university of science and technology,U0436
murdoch university,U0437
universitat politècnica de valència,U0438
vilnius university,U0439
singapore university of technology and design,U0440
università degli studi di pavia,U0441
colorado state university,U0442
novosibirsk state university,U0443
università cattolica del sacro cuore,U0444
james cook university,U0445
justusliebiguniversity giessen,U0446
universitat de valencia,U0447
dalian university of technology,U0448
hunan university,U0449
université de montpellier,U0450
university of electronic science and technology of china,U0451
beihang university former buaa,U0452
national taiwan normal university,U0453
university of kansas,U0454
university of stirling,U0455
moscow institute of physics and technology mipt moscow phystech,U0456
umea university,U0457
université de strasbourg,U0458
university of guelph,U0459
stony brook university state university of new york,U0460
universidad de santiago de chile usach,U0461
tampere university,U0462
universidad de sevilla,U0463
macau university of science and technology,U0464
kobe university,U0465
universität konstanz,U0466
universitat ramon llull,U0467
university at buffalo suny,U0468
washington state university,U0469
iowa state university,U0470
bengurion university of the negev,U0471
essex university of,U0472
johannes kepler university linz,U0473
bangor university,U0474
hiroshima university,U0475
universität potsdam,U0476
university of sharjah,U0477
bilkent university,U0478
indian institute of technology indore iit indore,U0479
royal holloway university of london,U0480
aixmarseille university,U0481
pontificia universidad católica argentina,U0482
the university of tennessee knoxville,U0483
china agricultural university,U0484
american university of ras al khaimah aurak,U0485
national sun yatsen university,U0486
universität mannheim,U0487
university of hawaii at manoa,U0488
chongqing university,U0489
chungang university cau,U0490
isfahan university of technology,U0491
shanghai university,U0492
unesp,U0493
university of jyväskylä,U0494
central queensland university cquniversity australia,U0495
duy tan university,U0496
jilin university,U0497
national research nuclear university mephi moscow engineering physics institute,U0498
universidad de costa rica,U0499
university of california riverside,U0500
khalifa university of science and technology,U0501
colorado school of mines,U0502
east china normal university,U0503
johannes gutenberg universität mainz,U0504
university of huddersfield,U0505
university of delaware,U0506
university of trento,U0507
aristotle university of thessaloniki,U0508
shenzhen university,U0509
soas university of london,U0510
ewha womans university,U0511
zhengzhou university,U0512
imam abdulrahman bin faisal university iau formerly university of dammam,U0513
prince mohammad bin fahd university,U0514
university of milanobicocca,U0515
ateneo de manila university,U0516
edith cowan university,U0517
inti international university,U0518
kyungpook national university,U0519
sabanci university,U0520
university of hull,U0521
ural federal university urfu,U0522
zayed university,U0523
pusan national university,U0524
universidad austral,U0525
universität jena,U0526
missouri university of science and technology,U0527
universität leipzig,U0528
university of bayreuth,U0529
warsaw university of technology,U0530
coventry university,U0531
indian institute of technology bhu varanasi,U0532
university of bradford,U0533
university of utah,U0534
universidad nacional de la plata unlp,U0535
lahore university of management sciences lums,U0536
northumbria university at newcastle,U0537
university of bordeaux,U0538
university of eastern finland,U0539
applied science university bahrain,U0540
hitotsubashi university,U0541
sunway university,U0542
université de fribourg,U0543
university of salamanca,U0544
universidad de zaragoza,U0545
universidad pontificia comillas,U0546
northwestern polytechnical university,U0547
tashkent institute of irrigation and agricultural mechanization engineers national research university tiiamenru,U0548
university of genoa,U0549
university of iceland,U0550
university of windsor,U0551
united arab emirates university,U0552
university of tabriz,U0553
hasselt university,U0554
jordan university of science technology,U0555
universiti utara malaysia uum,U0556
university of dhaka,U0557
university ulm,U0558
peter the great st petersburg polytechnic university,U0559
ulster university,U0560
umm alqura university,U0561
université claude bernard lyon 1,U0562
universiti teknologi brunei,U0563
eötvös loránd university,U0564
nanjing university of science and technology,U0565
university of connecticut,U0566
chiang mai university,U0567
lebanese university,U0568
mgimo university,U0569
university of chemistry and technology prague,U0570
university of szeged,U0571
university of the punjab,U0572
florida state university,U0573
florida international university,U0574
university of debrecen,U0575
national research tomsk polytechnic university,U0576
sogang university,U0577
southern cross university,U0578
universidad adolfo ibáñez,U0579
jawaharlal nehru university,U0580
jinan university china,U0581
management and science university,U0582
politecnico di bari,U0583
université paul sabatier toulouse iii,U0584
institut teknologi sepuluh nopember its surabaya,U0585
singapore management university,U0586
bond university,U0587
shoolini university of biotechnology and management sciences,U0588
the university of georgia,U0589
universiti teknologi mara uitm,U0590
university of kwazulunatal,U0591
ain shams university,U0592
nottingham trent university,U0593
universität bremen,U0594
itmo university,U0595
thammasat university,U0596
universitas padjadjaran,U0597
university of iowa,U0598
university of ljubljana,U0599
university of texas dallas,U0600
ca foscari university of venice,U0601
illinois institute of technology,U0602
king khalid university,U0603
kingston university london,U0604
manchester metropolitan university mmu,U0605
national chengchi university,U0606
paris lodron university of salzburg,U0607
rensselaer polytechnic institute,U0608
universität des saarlandes,U0609
university of crete,U0610
university of hohenheim,U0611
university of south carolina,U0612
american university of the middle east,U0613
asia pacific university of technology and innovation apu,U0614
brno university of technology,U0615
christianalbrechtsuniversity zu kiel,U0616
eastern mediterranean university,U0617
pontifícia universidade católica do rio de janeiro,U0618
taipei medical university tmu,U0619
university of klagenfurt,U0620
university of minho,U0621
abo akademi university,U0622
american university in dubai,U0623
auezov south kazakhstan university sku,U0624
charles darwin university,U0625
istanbul university,U0626
renmin peoples university of china,U0627
tallinn university of technology taltech,U0628
universidad de alcalá,U0629
universidad de palermo up,U0630
university of south florida,U0631
university of tromsø the arctic university of norway,U0632
al ain university,U0633
ajou university,U0634
boston college,U0635
chang gung university,U0636
china university of petroleum,U0637
far eastern federal university,U0638
inha university,U0639
savitribai phule pune university,U0640
tulane university,U0641
universidad de concepción,U0642
university of portsmouth,U0643
beirut arab university,U0644
de la salle university,U0645
east china university of science and technology,U0646
hacettepe university,U0647
lehigh university,U0648
national central university,U0649
oregon state university,U0650
ritsumeikan university,U0651
soochow university,U0652
symbiosis international deemed university,U0653
universiti tenaga nasional uniten,U0654
university of missouri columbia,U0655
university of the basque country,U0656
hufs hankuk korea university of foreign studies,U0657
palacký university olomouc,U0658
universidade de santiago de compostela,U0659
university of houston,U0660
university of zagreb,U0661
aberystwyth university,U0662
city university of new york,U0663
comenius university bratislava,U0664
free university of bozenbolzano,U0665
international islamic university malaysia iium,U0666
iscte instituto universitario de lisboa,U0667
memorial university of newfoundland,U0668
national chung hsing university,U0669
sofia university st kliment ohridski,U0670
tokyo medical and dental university tmdu,U0671
universidad de la república udelar,U0672
university of manitoba,U0673
university of plymouth,U0674
abai kazakh national pedagogical university,U0675
barilan university,U0676
karlfranzensuniversitaet graz,U0677
kazakh national agrarian university kaznau,U0678
martinlutheruniversität hallewittenberg,U0679
universidade federal de minas gerais,U0680
university of haifa,U0681
china university of mining and technology,U0682
goldsmiths university of london,U0683
indian institute of technology hyderabad,U0684
jeonbuk national university,U0685
prince sultan university,U0686
princess nourah bint abdulrahman university,U0687
temple university,U0688
university of agriculture faisalabad,U0689
university of new brunswick,U0690
chandigarh university,U0691
norwegian university of life sciences umb,U0692
pakistan institute of engineering and applied sciences pieas,U0693
shiraz university,U0694
universidad central de venezuela,U0695
universidad de la habana,U0696
universidad panamericana up,U0697
universidade federal de são paulo,U0698
universidade federal do rio grande do sul,U0699
university of brescia,U0700
university of greenwich,U0701
university of siena,U0702
beijing university of chemical technology,U0703
dongguk university,U0704
lebanese american university,U0705
national institute of technology tiruchirappalli,U0706
stevens institute of technology,U0707
taras shevchenko national university of kyiv,U0708
university of nebraska lincoln,U0709
university of oklahoma,U0710
ahlia university,U0711
american university,U0712
comsats university islamabad,U0713
czech university of life sciences in prague,U0714
de montfort university,U0715
lingnan university hong kong,U0716
nanjing agricultural university,U0717
plekhanov russian university of economics,U0718
saint joseph university of beirut usj,U0719
the national university of science and technology misis,U0720
ton duc thang university,U0721
université de franchecomté,U0722
university of mumbai,U0723
brandeis university,U0724
budapest university of technology and economics,U0725
diponegoro university,U0726
drexel university,U0727
effat university,U0728
jadavpur university,U0729
konkuk university,U0730
lanzhou university,U0731
middlesex university,U0732
riga technical university,U0733
université de lille,U0734
université de rennes 1 university of rennes,U0735
university of modena and reggio emilia,U0736
university of trieste,U0737
universitat rovira i virgili,U0738
université côte dazur,U0739
university of belgrade,U0740
altai state university,U0741
carleton university,U0742
universidad católica andres bello,U0743
universidad de montevideo um,U0744
universität regensburg,U0745
universiti malaysia pahang,U0746
university of central florida,U0747
university of the west of england,U0748
university of westminster,U0749
v n karazin kharkiv national university,U0750
victoria university,U0751
vytautas magnus university,U0752
wake forest university,U0753
instituto tecnológico autónomo de méxico itam,U0754
kaunas university of technology,U0755
technische universität braunschweig,U0756
tokyo university of science,U0757
universidade de brasília,U0758
universita politecnica delle marche,U0759
university of calcutta,U0760
university of engineering technology uet lahore,U0761
university of malta,U0762
university of messina unime,U0763
adam mickiewicz university poznan,U0764
bangladesh university of engineering and technology,U0765
king faisal university,U0766
nanjing university of aeronautics and astronautics,U0767
university of cincinnati,U0768
university of colorado denver,U0769
university of patras,U0770
addis ababa university,U0771
bournemouth university,U0772
chiba university,U0773
china university of geosciences,U0774
colegio de méxico,U0775
holy spirit university of kaslik,U0776
universidad del rosario,U0777
université de tunis el manar,U0778
university of maryland baltimore county,U0779
university of pecs,U0780
verona university,U0781
babesbolyai university,U0782
kasetsart university,U0783
national university of uzbekistan,U0784
qassim university,U0785
texas tech university,U0786
the new school,U0787
universidad de belgrano,U0788
universidade federal de santa catarina,U0789
university of latvia,U0790
university of mons,U0791
zürcher hochschule winterthur,U0792
alfaisal university,U0793
ivane javakhishvili tbilisi state university,U0794
keele university,U0795
new jersey institute of technology njit,U0796
sechenov university,U0797
universidad de antioquia,U0798
university of kentucky,U0799
university of new mexico,U0800
vellore institute of technology vit,U0801
wayne state university,U0802
alahliyya amman university,U0803
alexandria university,U0804
ankara üniversitesi,U0805
asia university taiwan,U0806
beijing university of technology,U0807
belarusian national technical university bntu,U0808
birla institute of technology and science pilani,U0809
edinburgh napier university,U0810
gdansk university of technology,U0811
huazhong agricultural university,U0812
immanuel kant baltic federal university,U0813
instituto politécnico nacional ipn,U0814
jouf university,U0815
khoja akhmet yassawi international kazakhturkish university,U0816
kuwait university,U0817
