university_id,year,source,global_rank,overall_score,academic_reputation,employer_reputation
U00086,2024,THE_2024,175.0,60.4,,
U00086,2023,WUR_2023,275.5,,,
U00087,2025,QS_2025,87.0,62.9,69.5,47.4
U00088,2025,QS_2025,88.0,62.4,43.9,55.0
U00088,2024,THE_2024,148.0,62.3,,
U00089,2025,QS_2025,89.0,61.7,59.6,83.9
U00089,2024,THE_2024,174.0,60.6,,
U00089,2023,WUR_2023,198.0,54.4,,
U00090,2025,QS_2025,89.0,61.7,76.6,64.5
U00091,2025,QS_2025,89.0,61.7,63.3,81.1
U00092,2025,QS_2025,92.0,61.6,92.8,74.6
U00093,2025,QS_2025,93.0,61.5,93.7,98.0
U00093,2024,THE_2024,450.5,,,
U00093,2023,WUR_2023,450.5,,,
U00094,2025,QS_2025,94.0,61.4,78.0,82.3
U00094,2024,THE_2024,95.0,67.0,,
U00095,2025,QS_2025,94.0,61.4,97.0,94.4
U00096,2025,QS_2025,96.0,61.2,57.0,42.2
U00096,2024,THE_2024,109.0,65.9,,
U00096,2023,WUR_2023,118.0,61.1,,
U00097,2025,QS_2025,97.0,60.6,80.3,56.9
U00098,2025,QS_2025,98.0,60.3,45.9,80.0
U00098,2024,THE_2024,149.0,62.2,,
U00099,2025,QS_2025,99.0,59.9,46.6,93.7
U00099,2024,THE_2024,90.0,68.0,,
U00099,2023,WUR_2023,99.0,63.4,,
U00100,2025,QS_2025,100.0,59.6,74.0,31.6
U00100,2024,THE_2024,103.0,66.3,,
U00100,2023,WUR_2023,114.0,61.7,,
U00101,2025,QS_2025,101.0,59.5,38.0,46.5
U00101,2024,THE_2024,225.5,,,
U00101,2023,WUR_2023,225.5,,,
U00102,2025,QS_2025,102.0,59.4,44.9,80.9
U00103,2025,QS_2025,103.0,59.3,61.4,33.7
U00103,2024,THE_2024,140.0,62.8,,
U00103,2023,WUR_2023,148.0,57.8,,
U00104,2025,QS_2025,104.0,59.2,46.5,63.2
U00104,2024,THE_2024,193.0,59.0,,
U00104,2023,WUR_2023,225.5,,,
U00105,2025,QS_2025,105.0,59.1,58.3,48.7
U00106,2025,QS_2025,105.0,59.1,66.5,38.8
U00106,2023,WUR_2023,66.0,68.2,,
U00107,2025,QS_2025,107.0,58.8,73.8,82.8
U00107,2024,THE_2024,130.0,63.8,,
U00107,2023,WUR_2023,225.5,,,
U00108,2025,QS_2025,108.0,58.5,61.1,65.8
U00108,2024,THE_2024,130.0,63.8,,
U00108,2023,WUR_2023,130.0,59.6,,
U00109,2025,QS_2025,109.0,58.3,33.2,22.1
U00109,2024,THE_2024,126.0,64.6,,
U00109,2023,WUR_2023,166.0,56.8,,
U00110,2025,QS_2025,109.0,58.3,59.9,26.4
U00110,2024,THE_2024,80.0,69.9,,
U00110,2023,WUR_2023,82.0,65.3,,
U00111,2025,QS_2025,111.0,58.2,70.8,77.0
U00111,2024,THE_2024,225.5,,,
U00112,2025,QS_2025,108.0,58.6,61.9,69.1
U00112,2024,THE_2024,78.0,70.1,,
U00112,2023,WUR_2023,71.0,67.5,,
U00113,2025,QS_2025,113.0,57.9,45.7,40.6
U00113,2024,THE_2024,225.5,,,
U00113,2023,WUR_2023,225.5,,,
U00114,2025,QS_2025,114.0,57.3,67.1,82.6
U00114,2024,THE_2024,36.0,80.0,,
U00114,2023,WUR_2023,38.0,76.0,,
U00115,2025,QS_2025,115.0,57.2,40.4,64.2
U00115,2024,THE_2024,158.0,61.7,,
U00115,2023,WUR_2023,225.5,,,
