university_id,display_name,region,qs_name,the_name,wur_name,in_qs,in_the,in_wur,country_id,country_name
U00138,Universiti Kebangsaan Malaysia (UKM),Asia,Universiti Kebangsaan Malaysia (UKM),Universiti Kebangsaan Malaysia,Universiti Kebangsaan Malaysia,True,True,True,C071,malaysia
U00139,Chalmers University of Technology,Europe,Chalmers University of Technology,Chalmers University of Technology,Chalmers University of Technology,True,True,True,C115,sweden
U00140,Universidad de Chile,Americas,Universidad de Chile,,,True,False,False,C022,chile
U00141,Lancaster University,Europe,Lancaster University,Lancaster University,Lancaster University,True,True,True,C128,united kingdom
U00142,Leiden University,Europe,Leiden University,Leiden University,,True,True,False,C082,netherlands
U00143,Rice University,Americas,Rice University,Rice University,Rice University,True,True,True,C129,united states
U00144,Aarhus University,Europe,Aarhus University,Aarhus University,Aarhus University,True,True,True,C030,denmark
U00145,Nanjing University,Asia,Nanjing University,Nanjing University,Nanjing University,True,True,True,C023,china
U00146,Universiti Sains Malaysia (USM),Asia,Universiti Sains Malaysia (USM),Universiti Sains Malaysia,Universiti Sains Malaysia,True,True,True,C071,malaysia
U00147,Technische Universität Berlin (TU Berlin),Europe,Technische Universität Berlin (TU Berlin),,,True,False,False,C040,germany
U00148,Universiti Putra Malaysia (UPM),Asia,Universiti Putra Malaysia (UPM),Universiti Putra Malaysia,Universiti Putra Malaysia,True,True,True,C071,malaysia
U00149,King Abdulaziz University (KAU),Asia,King Abdulaziz University (KAU),King Abdulaziz University,,True,True,False,C103,saudi arabia
U00150,Indian Institute of Technology Delhi (IITD),Asia,Indian Institute of Technology Delhi (IITD),,,True,False,False,C048,india
U00151,University of Bath,Europe,University of Bath,University of Bath,University of Bath,True,True,True,C128,united kingdom
U00152,Michigan State University,Americas,Michigan State University,Michigan State University,Michigan State University,True,True,True,C129,united states
U00153,Nagoya University,Asia,Nagoya University,Nagoya University,Nagoya University,True,True,True,C056,japan
U00154,Texas A&M University,Americas,Texas A&M University,Texas A&M University,Texas A&M University,True,True,True,C129,united states
U00155,University of Geneva,Europe,University of Geneva,University of Geneva,University of Geneva,True,True,True,C116,switzerland
U00156,"University of North Carolina, Chapel Hill",Americas,"University of North Carolina, Chapel Hill",University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,True,True,True,C129,united states
