country_name,university_count,average_overall_score,average_student_staff_ratio,average_international_students,average_female_percentage
Serbia,3,28.95,16.666666666666668,2.3333333333333335,58.666666666666664
"Palestinian Territory, Occupied",3,40.65,17.900000000000002,7.0,63.333333333333336
Hong Kong,2,75.85,18.6,32.0,53.5
Botswana,2,27.05,14.5,2.5,39.5
Costa Rica,2,36.6,13.600000000000001,2.0,44.0
Kuwait,2,31.85,59.550000000000004,39.5,66.5
Georgia,2,20.7,19.65,3.0,62.0
Iceland,2,44.25,20.4,9.0,57.5
Kenya,2,36.6,37.3,1.5,33.5
Macau SAR,2,52.75,26.75,65.0,56.0
Uganda,2,31.85,14.0,16.5,48.0
Singapore,2,82.05,17.45,25.0,49.5
Zambia,2,40.65,37.9,0.5,38.0
Tanzania,2,28.925,18.05,1.5,42.5
Libya,1,,16.3,2.0,58.0
Brunei Darussalam,1,47.85,10.8,14.0,66.0
Cuba,1,14.35,8.6,4.0,63.0
Albania,1,,16.2,2.0,53.0
Kyrgyzstan,1,,14.5,17.0,72.0
Jamaica,1,40.65,17.0,1.0,71.0
Fiji,1,27.05,36.6,1.0,58.0
Armenia,1,,8.7,2.0,20.0
Cambodia,1,,2.9,0.0,55.0
Namibia,1,36.6,21.8,3.0,64.0
Mozambique,1,36.6,26.1,0.0,39.0
Qatar,1,52.75,8.8,35.0,77.0
Puerto Rico,1,27.05,17.0,1.0,61.0
Paraguay,1,,5.3,0.0,59.0
Moldova,1,,25.3,1.0,53.0
Montenegro,1,14.35,24.3,2.0,57.0
Malawi,1,,12.3,0.0,28.0
Macao,1,,10.7,24.0,62.0
Luxembourg,1,52.75,19.3,51.0,53.0
Mauritius,1,27.05,21.5,1.0,55.0
Malta,1,31.85,10.7,13.0,60.0
Mongolia,1,,26.5,2.0,60.0
Nepal,1,31.85,30.9,0.0,50.0
Sudan,1,,12.3,6.0,60.0
Somalia,1,,35.3,3.0,33.0
Uruguay,1,,6.7,2.0,47.0
Zimbabwe,1,27.05,23.9,0.0,51.0
