university_id,university_name,the_rank_2023,the_rank_2023_numeric,the_2023_rank_type
U0732,middlesex university,401.0,401.0,Banded
U0736,university of modena and reggio emilia,401.0,401.0,Banded
U0748,university of the west of england,401.0,401.0,Banded
U0810,edinburgh napier university,401.0,401.0,Banded
U0818,liverpool john moores university,401.0,401.0,Banded
U0820,maynooth university,401.0,401.0,Banded
U0826,syracuse university,401.0,401.0,Banded
U0839,university of alaska fairbanks,401.0,401.0,Banded
U0861,georgia state university,401.0,401.0,Banded
U0892,university of lincoln,401.0,401.0,Banded
U0999,university of denver,401.0,401.0,Banded
U1097,sumy state university,401.0,401.0,Banded
U1167,university of ibadan,401.0,401.0,Banded
U1172,university of lagos,401.0,401.0,Banded
U1368,university of international business and economics,401.0,401.0,Banded
U1425,nova southeastern university,401.0,401.0,Banded
U1610,TU Wien,401.0,401.0,Banded
U1620,University of Innsbruck,401.0,401.0,Banded
U1630,Universiti Teknologi Petronas,401.0,401.0,Banded
U1634,University of Campinas,401.0,401.0,Banded
U1637,Justus Liebig University Giessen,401.0,401.0,Banded
U1641,Sabancı University,401.0,401.0,Banded
U1643,Southern Medical University,401.0,401.0,Banded
U1652,University of Catania,401.0,401.0,Banded
U1655,Claude Bernard University Lyon 1,401.0,401.0,Banded
U1656,"Colorado State University, Fort Collins",401.0,401.0,Banded
U1663,Institut Agro,401.0,401.0,Banded
U1666,University of Marburg,401.0,401.0,Banded
U1669,University of Nebraska-Lincoln,401.0,401.0,Banded
U1672,University of Passau,401.0,401.0,Banded
U1674,Pontificia Universidad Católica de Chile,401.0,401.0,Banded
U1682,Umeå University,401.0,401.0,Banded
U1683,Universiti Utara Malaysia,401.0,401.0,Banded
U1689,Babol Noshirvani University of Technology,401.0,401.0,Banded
U1696,University of Cyprus,401.0,401.0,Banded
U1698,University of Ferrara,401.0,401.0,Banded
U1703,Mahatma Gandhi University,401.0,401.0,Banded
U1709,University of Nebraska Medical Center,401.0,401.0,Banded
U1723,The University of Tulsa,401.0,401.0,Banded
U1731,Alagappa University,401.0,401.0,Banded
U1734,Babol University of Medical Sciences,401.0,401.0,Banded
U1740,Cankaya University,401.0,401.0,Banded
U1808,Örebro University,401.0,401.0,Banded
U1815,Qazvin University of Medical Sciences,401.0,401.0,Banded
U1829,SRUC (Scotland’s Rural College),401.0,401.0,Banded
U1838,Urmia University of Medical Sciences,401.0,401.0,Banded
U1841,William & Mary,401.0,401.0,Banded
U1852,Arak University of Medical Sciences,401.0,401.0,Banded
U1854,Aswan University,401.0,401.0,Banded
U1902,Jazan University,401.0,401.0,Banded
U1941,Qom University of Medical Sciences,401.0,401.0,Banded
U2052,Muhimbili University of Health and Allied Sciences,401.0,401.0,Banded
U2174,Ferhat Abbas Sétif University 1,401.0,401.0,Banded
U0167,kyushu university,501.0,501.0,Banded
U0173,hokkaido university,501.0,501.0,Banded
