university_id,university_name,country_name,country_code,country_name_canonical,qs_rank_2025,qs_overall_score,qs_academic_reputation_score,qs_employer_reputation_score,qs_faculty_student_score,qs_citations_per_faculty_score,qs_international_students_score,qs_international_faculty_score,qs_employment_outcomes_score,qs_sustainability_score,qs_present,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,the24_present,the_rank_2023,the_overall_score_2023,the_teaching_score_2023,the_research_score_2023,the_citations_score_2023,the_industry_income_score_2023,the_international_outlook_score_2023,the_student_staff_ratio_2023,the_international_students_pct_2023,the_female_percentage_2023,the23_present,worldbank_match_key,wb_country_code,wb_country_name,wb_long_name,wb_2alpha_code,wb_region,wb_income_group,worldbank_linked,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015,worldbank_education_2015_linked,rank_difference,absolute_rank_difference
U0041,the university of queensland,Australia,AU,australia,40.0,80.2,86.7,74.0,21.2,90.2,100.0,100.0,56.7,96.7,True,70.0,72.0,52.9,64.3,89.1,99.8,94.0,39.1,42.0,55.0,True,53.0,71.1,55.9,66.5,84.3,82.0,93.2,34.2,41.0,55.0,True,australia,AUS,Australia,Commonwealth of Australia,AU,East Asia & Pacific,High income: OECD,True,,,,,,,False,-30.0,30.0
U0044,university of michigan-ann arbor,United States,US,united states,44.0,79.0,97.9,92.1,80.3,47.6,39.2,65.5,94.5,62.2,True,23.0,87.4,84.7,87.4,95.5,80.7,69.0,8.1,16.0,51.0,True,23.0,82.9,79.3,84.6,93.6,48.7,59.2,8.2,17.0,50.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,21.0,21.0
U0045,shanghai jiao tong university,China (Mainland),CN,china,45.0,77.8,84.0,86.3,58.6,99.6,19.6,23.1,73.5,80.3,True,43.0,77.7,76.6,82.5,75.4,100.0,60.6,12.6,9.0,37.0,True,52.0,71.2,75.3,82.9,59.9,100.0,43.7,11.5,8.0,42.0,True,china,CHN,China,People's Republic of China,CN,East Asia & Pacific,Upper middle income,True,43.3917694091797,25.7051906585693,51.4681091308594,,,11923653.0,True,2.0,2.0
U0046,institut polytechnique de paris,France,FR,france,46.0,77.5,44.7,99.6,95.9,86.1,98.0,99.1,97.7,54.8,True,71.0,71.3,71.0,61.6,70.8,98.8,97.1,6.8,42.0,25.0,True,95.0,63.6,58.5,58.8,64.8,72.7,95.6,6.7,41.0,24.0,True,france,FRA,France,French Republic,FR,Europe & Central Asia,High income: OECD,True,,47.0227584838867,,,,752068.0,True,-25.0,25.0
U0049,delft university of technology,Netherlands,NL,netherlands,49.0,77.0,74.4,83.0,39.4,79.7,91.4,100.0,54.8,99.1,True,48.0,76.3,66.7,78.2,76.5,100.0,92.8,15.9,30.0,31.0,True,70.0,67.7,58.8,76.4,59.1,93.4,94.2,16.1,31.0,31.0,True,netherlands,NLD,Netherlands,Kingdom of the Netherlands,NL,Europe & Central Asia,High income: OECD,True,,48.2467498779297,52.307559967041,13.4636602401733,,,True,1.0,1.0
U0051,northwestern university,United States,US,united states,50.0,76.0,84.0,68.0,97.6,67.7,52.0,45.4,96.8,55.4,True,28.0,83.2,72.3,78.8,97.8,99.7,75.9,13.1,18.0,52.0,True,26.0,82.1,71.7,80.7,97.5,85.0,67.0,13.2,20.0,51.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,22.0,22.0
U0054,university of bristol,United Kingdom,GB,united kingdom,54.0,75.4,75.8,82.5,36.7,75.9,89.8,87.5,51.2,98.9,True,81.0,69.8,48.7,56.5,97.3,72.3,92.5,14.8,31.0,55.0,True,76.0,66.5,43.8,53.4,98.6,43.5,89.4,14.6,31.0,56.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,-27.0,27.0
U0055,university of amsterdam,Netherlands,NL,netherlands,55.0,73.7,83.8,52.1,21.4,92.2,87.5,96.0,79.8,38.2,True,61.0,73.6,55.0,63.1,96.7,77.6,93.2,13.2,36.0,60.0,True,60.0,69.6,48.0,64.1,93.3,44.4,91.9,14.5,32.0,59.0,True,netherlands,NLD,Netherlands,Kingdom of the Netherlands,NL,Europe & Central Asia,High income: OECD,True,,48.2467498779297,52.307559967041,13.4636602401733,,,True,-6.0,6.0
U0058,carnegie mellon university,United States,US,united states,58.0,72.0,69.8,80.1,40.9,98.9,99.1,33.7,61.5,24.5,True,24.0,86.3,75.0,84.6,98.9,87.3,85.5,11.9,44.0,44.0,True,28.0,81.1,65.4,81.8,98.7,55.2,80.1,12.9,47.0,44.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,34.0,34.0
U0061,duke university,United States,US,united states,61.0,70.8,86.0,74.7,100.0,35.1,61.0,16.3,85.5,75.0,True,26.0,83.9,79.3,76.1,96.2,100.0,74.8,3.9,18.0,52.0,True,25.0,82.6,78.1,76.2,95.7,99.6,68.0,4.2,24.0,52.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,35.0,35.0
