university_id,university_name,country_name,wb_country_code,wb_region,wb_income_group
U0806,asia university taiwan,Taiwan,,,
U0828,toronto metropolitan university,Canada,CAN,North America,High income: OECD
U0841,university of baghdad,Iraq,IRQ,Middle East & North Africa,Upper middle income
U0855,charles sturt university,Australia,AUS,East Asia & Pacific,High income: OECD
U0868,nagasaki university,Japan,JPN,East Asia & Pacific,High income: OECD
U0871,okayama university,Japan,JPN,East Asia & Pacific,High income: OECD
U0879,tokyo university of agriculture and technology,Japan,JPN,East Asia & Pacific,High income: OECD
U0884,université de sherbrooke,Canada,CAN,North America,High income: OECD
U0885,université du québec,Canada,CAN,North America,High income: OECD
U0895,university of santo tomas,Philippines,PHL,East Asia & Pacific,Lower middle income
U0902,australian catholic university,Australia,AUS,East Asia & Pacific,High income: OECD
U0911,kanazawa university,Japan,JPN,East Asia & Pacific,High income: OECD
U0915,makerere university,Uganda,UGA,Sub-Saharan Africa,Low income
U0920,north south university,Bangladesh,BGD,South Asia,Low income
U0921,osaka metropolitan university,Japan,JPN,East Asia & Pacific,High income: OECD
U0923,ritsumeikan asia pacific university,Japan,JPN,East Asia & Pacific,High income: OECD
U0944,university of nairobi,Kenya,KEN,Sub-Saharan Africa,Low income
U0952,yokohama city university,Japan,JPN,East Asia & Pacific,High income: OECD
U0954,athens university of economics and business,Greece,GRC,Europe & Central Asia,High income: OECD
U0968,kumamoto university,Japan,JPN,East Asia & Pacific,High income: OECD
U0970,niigata university,Japan,JPN,East Asia & Pacific,High income: OECD
U0979,sophia university,Japan,JPN,East Asia & Pacific,High income: OECD
U1001,university of regina,Canada,CAN,North America,High income: OECD
U1020,brac university,Bangladesh,BGD,South Asia,Low income
U1023,chang jung christian university,Taiwan,,,
U1024,chung yuan christian university,Taiwan,,,
U1035,gifu university,Japan,JPN,East Asia & Pacific,High income: OECD
U1037,gunma university,Japan,JPN,East Asia & Pacific,High income: OECD
U1044,international christian university,Japan,JPN,East Asia & Pacific,High income: OECD
U1049,kagoshima university,Japan,JPN,East Asia & Pacific,High income: OECD
U1053,kyushu institute of technology,Japan,JPN,East Asia & Pacific,High income: OECD
U1063,mustansiriyah university,Iraq,IRQ,Middle East & North Africa,Upper middle income
U1068,national chung cheng university,Taiwan,,,
U1087,shinshu university,Japan,JPN,East Asia & Pacific,High income: OECD
U1108,tokushima university,Japan,JPN,East Asia & Pacific,High income: OECD
U1109,tokyo metropolitan university,Japan,JPN,East Asia & Pacific,High income: OECD
U1122,universidad de puerto rico,Puerto Rico,PRI,Latin America & Caribbean,High income: nonOECD
U1136,universidad tecnológica de panamá (utp),Panama,PAN,Latin America & Caribbean,Upper middle income
U1167,university of ibadan,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U1169,university of ioannina,Greece,GRC,Europe & Central Asia,High income: OECD
U1171,university of khartoum,Sudan,SDN,Sub-Saharan Africa,Lower middle income
U1172,university of lagos,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
