,qs_overall_score,qs_academic_reputation_score,qs_employer_reputation_score,qs_faculty_student_score,qs_citations_per_faculty_score,qs_international_students_score,qs_international_faculty_score,qs_employment_outcomes_score,qs_sustainability_score,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015
the_teaching_score_2024,0.8062887866768803,0.8185710389305582,0.7032094182189598,0.5627067347507023,0.6087728026218507,0.32880070950052553,0.2781658209768407,0.52293222210002,0.5107289686735951,0.8248215038595653,1.0,0.8714404771674732,0.5270569361828641,0.6787669441925526,0.4206190998310856,-0.23440374924614293,0.4200831615695379,-0.01953808336380032,0.2093551509315917,0.036991939504643113,0.09747561351576495,-0.2563143495777853,0.11291037141246553,0.16601222139752414
the_research_score_2024,0.8677079599471641,0.8555906570088208,0.7244656080557718,0.43925002881067376,0.7046752866132822,0.41547678839644275,0.4133961751462536,0.5609083232210395,0.6388140167717468,0.9090004263899454,0.8714404771674732,1.0,0.652239631174931,0.7864610394779096,0.567197608933286,-0.014404672453358334,0.4980675988318854,-0.0049248453956505225,0.27487592251515947,0.1570673819534443,0.11164633675099601,-0.41540612287676526,0.08884109861025873,0.10331159549998449
the_citations_score_2024,0.46951508321565055,0.48032705558593897,0.350123944215912,0.10213028464275348,0.6595198706693796,0.46670241560051295,0.563419969617888,0.3519340178005259,0.5520192786583333,0.8762315894654874,0.5270569361828641,0.652239631174931,1.0,0.5884034390099945,0.6243232183437704,0.043036857514378704,0.42794816217526926,0.08997777811966949,0.11095502932318399,0.04475928649941187,0.02117328520326579,-0.19068483193387797,0.07880995020390406,0.15074831738199498
the_industry_income_score_2024,0.5076238930499442,0.5471840919923858,0.4497881917819552,0.35431241352416754,0.6479886066646845,0.2830478651988259,0.31407155488134236,0.3307465476220203,0.5592809048677184,0.778610063735811,0.6787669441925526,0.7864610394779096,0.5884034390099945,1.0,0.4838842855968054,-0.04774013069336586,0.4265861301707464,-0.08736852162013548,0.3573418043038012,0.19372240690310416,0.1135097177086157,-0.4222283390773807,0.10699880066220355,0.12545585714863644
the_international_outlook_score_2024,0.38555521964597494,0.39571857307691105,0.32439192687138496,0.13208770477057039,0.3783264596598353,0.8244242145255245,0.8470630318034207,0.29523142975472555,0.5326313894186918,0.6851377124213189,0.4206190998310856,0.567197608933286,0.6243232183437704,0.4838842855968054,1.0,0.01419804497681699,0.7742310541673886,0.15286018145616126,0.2151599396607985,0.34152343281141617,0.22607258000571823,-0.46269677024932915,-0.027197571424757976,-0.3589986563087248
the_student_staff_ratio_2024,-0.1287629948242924,-0.11280532084254372,-0.09968814004949525,-0.44885031677449255,0.031319662861466965,0.018209980721805,0.09154411834586672,0.014697237908672237,0.0539731294184504,-0.045976897391301674,-0.23440374924614293,-0.014404672453358334,0.043036857514378704,-0.04774013069336586,0.01419804497681699,1.0,-0.02230285490771408,0.009383245128376091,-0.07925553335838521,-0.03330002204085332,-0.14367392701439471,0.05093514723986661,0.00976988723918062,-0.08823332794812573
the_international_students_pct_2024,0.32576051765667724,0.31575552761949444,0.29234141450692597,0.16457517909219543,0.27654966595335234,0.9064801671903704,0.6538789650286363,0.2036230232704543,0.36954523733460554,0.5485276120816434,0.4200831615695379,0.4980675988318854,0.42794816217526926,0.4265861301707464,0.7742310541673886,-0.02230285490771408,1.0,0.0563573352842798,0.3277586935169856,0.2957865901448844,0.13180616476508983,-0.2899483344841805,0.09959657181560205,-0.22023565150754343
the_female_percentage_2024,-0.08331283481502093,0.002034778457430603,-0.13115204015298165,-0.05968362234280032,-0.11709687500748107,0.1072255218901413,0.17512283521093333,0.10542582693157476,0.07697983970475512,0.038865061502861925,-0.01953808336380032,-0.0049248453956505225,0.08997777811966949,-0.08736852162013548,0.15286018145616126,0.009383245128376091,0.0563573352842798,1.0,0.13219538634681757,0.12067076725365632,0.29050335438747155,-0.01140996852196174,0.09771124365454409,-0.24357888214136503
wb_tertiary_enrollment_ratio_2015,0.1532957284689084,0.12123025682953295,0.03987707123880536,0.133678614871106,0.03449757335192864,0.1828438337874722,0.04660506717933682,0.08787414320286158,0.25916600879760504,0.22796790722753643,0.2093551509315917,0.27487592251515947,0.11095502932318399,0.3573418043038012,0.2151599396607985,-0.07925553335838521,0.3277586935169856,0.13219538634681757,1.0,0.5541703024584275,0.1797662846556714,-0.37028065563017504,-0.02916840561548641,-0.2905717228872468
wb_tertiary_graduation_ratio_2015,0.05725075335317416,0.09634369849069654,-8.180802902863795e-05,0.15568861942652173,-0.11374646300143904,0.14447574072132388,0.11332153422774957,0.14428800525222588,0.23021211123738564,0.12447891178305368,0.036991939504643113,0.1570673819534443,0.04475928649941187,0.19372240690310416,0.34152343281141617,-0.03330002204085332,0.2957865901448844,0.12067076725365632,0.5541703024584275,1.0,0.12661846546191027,-0.3655040523726531,0.9029763167810159,-0.4177339107119141
wb_female_tertiary_students_pct_2015,0.08047089509116997,0.043598027229032,-0.06418081387775504,-0.012766186285526802,-0.0768147276604636,0.14419271186754234,0.09585016371321613,0.11941849182776204,0.056520075536892825,0.10037828069601812,0.09747561351576495,0.11164633675099601,0.02117328520326579,0.1135097177086157,0.22607258000571823,-0.14367392701439471,0.13180616476508983,0.29050335438747155,0.1797662846556714,0.12661846546191027,1.0,0.05707363818052691,-0.623908219810493,-0.27215989232170956
wb_tertiary_pupil_teacher_ratio_2015,-0.1942424269455468,-0.19343927023442525,-0.13144234370906505,-0.3929008009228968,0.028275618790572752,-0.28429714830823716,-0.2070171991076248,-0.07904034576235787,-0.21091245799638036,-0.3610711758223879,-0.2563143495777853,-0.41540612287676526,-0.19068483193387797,-0.4222283390773807,-0.46269677024932915,0.05093514723986661,-0.2899483344841805,-0.01140996852196174,-0.37028065563017504,-0.3655040523726531,0.05707363818052691,1.0,-0.7483531211340628,0.5279753991033809
wb_youth_literacy_15_24_pct_2015,0.0298633787389409,0.10346945909322601,0.1454213511696036,0.12905212343299044,0.21545291117688617,0.2890197688011545,0.23087888432260006,-0.03318006303051427,0.16002064066901717,0.0924212039219329,0.11291037141246553,0.08884109861025873,0.07880995020390406,0.10699880066220355,-0.027197571424757976,0.00976988723918062,0.09959657181560205,0.09771124365454409,-0.02916840561548641,0.9029763167810159,-0.623908219810493,-0.7483531211340628,1.0,0.04923294669567653
wb_tertiary_graduates_2015,-0.030803110117786026,-0.039948137306291945,-0.024546409049776386,-0.08474933731034431,0.479779329502691,-0.289710387639756,-0.24225194819994406,-0.10909523316584217,-0.14514364444865088,0.10268419844721148,0.16601222139752414,0.10331159549998449,0.15074831738199498,0.12545585714863644,-0.3589986563087248,-0.08823332794812573,-0.22023565150754343,-0.24357888214136503,-0.2905717228872468,-0.4177339107119141,-0.27215989232170956,0.5279753991033809,0.04923294669567653,1.0
