university_id,university_name,country_name,country_code,country_name_canonical,qs_rank_2025,qs_overall_score,qs_academic_reputation_score,qs_employer_reputation_score,qs_faculty_student_score,qs_citations_per_faculty_score,qs_international_students_score,qs_international_faculty_score,qs_employment_outcomes_score,qs_sustainability_score,qs_present,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,the24_present,the_rank_2023,the_overall_score_2023,the_teaching_score_2023,the_research_score_2023,the_citations_score_2023,the_industry_income_score_2023,the_international_outlook_score_2023,the_student_staff_ratio_2023,the_international_students_pct_2023,the_female_percentage_2023,the23_present,worldbank_match_key,wb_country_code,wb_country_name,wb_long_name,wb_2alpha_code,wb_region,wb_income_group,worldbank_linked,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015,worldbank_education_2015_linked,rank_difference,absolute_rank_difference
U0110,university of zurich,Switzerland,CH,switzerland,109.0,58.3,59.9,26.4,92.2,40.1,42.8,100.0,88.6,58.7,True,80.0,69.9,54.8,53.4,91.8,93.7,92.4,14.7,24.0,58.0,True,82.0,65.3,51.5,50.7,87.5,57.6,93.0,13.7,22.0,56.0,True,switzerland,CHE,Switzerland,Switzerland,CH,Europe & Central Asia,High income: OECD,True,57.672191619873,51.3324813842773,49.8023414611816,,,86178.0,True,29.0,29.0
U0070,university of illinois at urbana-champaign,United States,US,united states,69.0,68.2,83.9,75.7,6.4,77.5,56.3,14.0,81.7,65.0,True,42.0,77.9,69.5,81.5,85.2,85.3,64.0,19.6,23.0,51.0,True,48.0,72.7,67.1,78.9,78.1,50.1,56.2,17.4,22.0,48.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,27.0,27.0
U0051,northwestern university,United States,US,united states,50.0,76.0,84.0,68.0,97.6,67.7,52.0,45.4,96.8,55.4,True,28.0,83.2,72.3,78.8,97.8,99.7,75.9,13.1,18.0,52.0,True,26.0,82.1,71.7,80.7,97.5,85.0,67.0,13.2,20.0,51.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,22.0,22.0
U0044,university of michigan-ann arbor,United States,US,united states,44.0,79.0,97.9,92.1,80.3,47.6,39.2,65.5,94.5,62.2,True,23.0,87.4,84.7,87.4,95.5,80.7,69.0,8.1,16.0,51.0,True,23.0,82.9,79.3,84.6,93.6,48.7,59.2,8.2,17.0,50.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,21.0,21.0
U0063,ku leuven,Belgium,BE,belgium,63.0,70.3,84.6,49.6,7.1,91.0,47.7,93.8,75.3,51.2,True,45.0,77.0,60.1,74.9,91.9,100.0,79.6,37.3,19.0,52.0,True,42.0,74.6,59.7,74.9,86.7,99.2,76.8,36.5,18.0,51.0,True,belgium,BEL,Belgium,Kingdom of Belgium,BE,Europe & Central Asia,High income: OECD,True,75.0368270874023,,55.8789100646973,,,,True,18.0,18.0
U0034,columbia university,United States,US,united states,34.0,82.0,99.6,98.8,100.0,31.7,97.0,41.5,99.9,71.8,True,17.0,90.9,88.6,89.7,97.4,75.2,86.9,5.2,35.0,53.0,True,11.0,89.4,89.4,87.7,97.1,44.8,79.9,4.5,38.0,53.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,17.0,17.0
U0032,johns hopkins university,United States,US,united states,32.0,82.1,86.0,62.6,100.0,84.2,95.8,63.7,71.5,61.9,True,15.0,91.1,84.4,92.3,97.2,100.0,84.2,4.1,28.0,56.0,True,15.0,88.3,79.4,91.5,97.0,89.5,75.3,4.7,29.0,53.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,17.0,17.0
U0022,princeton university,United States,US,united states,22.0,85.5,99.8,98.3,57.0,100.0,56.6,9.6,95.7,51.5,True,6.0,96.9,96.3,97.9,98.8,95.1,89.1,7.3,23.0,47.0,True,7.0,92.4,87.6,95.9,99.1,66.0,80.3,8.0,23.0,46.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,16.0,16.0
U0073,université paris-saclay,France,FR,france,73.0,67.0,60.7,99.1,99.8,35.0,58.6,35.7,70.8,72.6,True,58.0,74.4,70.9,66.1,82.4,92.4,78.6,13.0,24.0,50.0,True,93.0,63.9,56.7,55.2,79.1,54.6,69.7,14.9,19.0,49.0,True,france,FRA,France,French Republic,FR,Europe & Central Asia,High income: OECD,True,,47.0227584838867,,,,752068.0,True,15.0,15.0
U0066,university of texas at austin,United States,US,united states,66.0,69.5,93.5,86.6,8.1,76.7,11.7,6.1,81.7,52.1,True,52.0,75.5,66.0,75.7,91.0,81.4,47.3,16.4,8.0,55.0,True,50.0,72.3,66.2,73.1,87.5,51.3,40.1,17.4,10.0,53.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,14.0,14.0
U0023,yale university,United States,US,united states,23.0,85.2,99.9,99.9,100.0,38.6,63.3,91.5,98.5,92.2,True,10.0,94.2,94.0,94.9,97.7,86.5,82.4,5.2,21.0,51.0,True,9.0,91.4,92.6,92.7,97.0,55.0,70.9,5.9,21.0,52.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,13.0,13.0
U0099,rwth aachen university,Germany,DE,germany,99.0,59.9,46.6,93.7,6.3,71.9,85.5,48.6,33.4,84.8,True,90.0,68.0,54.9,64.8,78.9,100.0,71.2,43.3,29.0,34.0,True,99.0,63.4,56.8,64.5,66.1,93.8,65.1,50.0,28.0,33.0,True,germany,DEU,Germany,Federal Republic of Germany,DE,Europe & Central Asia,High income: OECD,True,68.2655868530273,,47.9433212280273,7.51541996002197,,,True,9.0,9.0
U0020,tsinghua university,China (Mainland),CN,china,20.0,86.5,99.2,97.7,95.0,99.1,13.4,18.1,92.3,40.4,True,12.0,92.4,95.3,98.1,93.2,99.9,51.7,11.2,10.0,53.0,True,16.0,88.2,90.1,97.4,88.0,100.0,40.3,11.6,10.0,53.0,True,china,CHN,China,People's Republic of China,CN,East Asia & Pacific,Upper middle income,True,43.3917694091797,25.7051906585693,51.4681091308594,,,11923653.0,True,8.0,8.0
U0171,university of cape town,South Africa,ZA,south africa,171.0,50.0,45.2,51.8,13.8,46.8,19.2,56.5,95.8,95.6,True,167.0,60.9,38.7,47.0,88.3,78.2,82.9,13.6,13.0,54.0,True,160.0,57.2,33.9,43.8,88.7,53.3,78.8,12.8,15.0,54.0,True,south africa,ZAF,South Africa,Republic of South Africa,ZA,Sub-Saharan Africa,Upper middle income,True,,,,,98.95578,,True,4.0,4.0
U0006,stanford university,United States,US,united states,6.0,96.1,100.0,100.0,100.0,99.0,60.8,70.3,100.0,81.2,True,2.0,98.0,99.0,97.8,99.6,100.0,87.0,6.4,23.0,47.0,True,3.0,94.8,94.2,96.7,99.8,65.0,79.8,7.1,24.0,46.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,4.0,4.0
U0025,university of toronto,Canada,CA,canada,25.0,84.1,99.7,96.9,44.9,50.8,96.1,96.9,98.7,100.0,True,21.0,88.6,77.5,94.1,92.8,96.1,90.7,25.8,27.0,56.0,True,18.0,87.4,77.3,93.3,92.8,65.5,89.7,25.8,26.0,56.0,True,canada,CAN,Canada,Canada,CA,North America,High income: OECD,True,,,,,,,False,4.0,4.0
U0033,the university of tokyo,Japan,JP,japan,32.0,82.1,100.0,99.8,89.3,57.3,29.7,10.1,99.9,98.3,True,29.0,83.1,93.9,94.2,67.8,100.0,49.7,10.3,15.0,53.0,True,39.0,75.9,88.1,91.4,55.5,86.7,43.3,10.5,15.0,53.0,True,japan,JPN,Japan,Japan,JP,East Asia & Pacific,High income: OECD,True,,,,,,,False,3.0,3.0
U0003,university of oxford,United Kingdom,GB,united kingdom,3.0,96.9,100.0,100.0,100.0,84.8,97.7,98.1,100.0,85.0,True,1.0,98.5,96.6,100.0,99.0,98.7,97.5,10.9,42.0,49.0,True,1.0,96.4,92.3,99.7,99.0,74.9,96.2,10.6,42.0,48.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,2.0,2.0
U0045,shanghai jiao tong university,China (Mainland),CN,china,45.0,77.8,84.0,86.3,58.6,99.6,19.6,23.1,73.5,80.3,True,43.0,77.7,76.6,82.5,75.4,100.0,60.6,12.6,9.0,37.0,True,52.0,71.2,75.3,82.9,59.9,100.0,43.7,11.5,8.0,42.0,True,china,CHN,China,People's Republic of China,CN,East Asia & Pacific,Upper middle income,True,43.3917694091797,25.7051906585693,51.4681091308594,,,11923653.0,True,2.0,2.0
U0049,delft university of technology,Netherlands,NL,netherlands,49.0,77.0,74.4,83.0,39.4,79.7,91.4,100.0,54.8,99.1,True,48.0,76.3,66.7,78.2,76.5,100.0,92.8,15.9,30.0,31.0,True,70.0,67.7,58.8,76.4,59.1,93.4,94.2,16.1,31.0,31.0,True,netherlands,NLD,Netherlands,Kingdom of the Netherlands,NL,Europe & Central Asia,High income: OECD,True,,48.2467498779297,52.307559967041,13.4636602401733,,,True,1.0,1.0
