university_id,country_id,year,source,global_rank,global_ranking_score,research_impact_score,students_per_staff,international_student_percentage,academic_reputation_score,research_productivity_index,international_students_score
U0002,C0080,2025,QS 2025,113.0,57.9,73.6,,,45.7,75.19191919191918,40.1
U0703,C0245,2025,QS 2025,114.0,57.3,52.8,,,67.1,61.494949494949495,66.4
U3273,C0039,2025,QS 2025,115.0,57.2,78.9,,,40.4,80.98989898989899,71.3
U3282,C0245,2025,QS 2025,116.0,57.1,23.7,,,77.7,50.36363636363636,23.6
U2847,C0080,2025,QS 2025,117.0,56.8,49.6,,,62.3,68.20202020202021,5.7
U0868,C0108,2025,QS 2025,118.0,56.3,79.1,,,58.5,68.06060606060606,1.3
U3042,C0176,2025,QS 2025,119.0,56.1,55.7,,,55.6,72.06060606060606,31.7
U1723,C0244,2025,QS 2025,120.0,55.8,62.8,,,48.3,74.42424242424242,99.2
U3389,C0039,2025,QS 2025,120.0,55.8,93.4,,,32.6,88.52525252525253,49.5
U1714,C0193,2025,QS 2025,122.0,55.7,48.2,,,29.8,64.32323232323233,96.5
U1758,C0014,2025,QS 2025,123.0,55.5,77.7,,,40.4,79.69696969696969,91.4
U2000,C0261,2025,QS 2025,123.0,55.5,41.3,,,57.9,45.91919191919192,41.7
U3152,C0245,2025,QS 2025,125.0,55.2,58.0,,,50.4,68.8080808080808,74.1
U0822,C0086,2025,QS 2025,126.0,55.0,27.0,,,89.2,52.96969696969697,35.1
U2616,C0112,2025,QS 2025,126.0,55.0,46.4,,,51.4,62.343434343434346,74.8
U1986,C0226,2025,QS 2025,128.0,54.8,64.5,,,52.5,76.74747474747474,89.8
U1495,C0244,2025,QS 2025,129.0,54.5,38.7,,,50.0,61.67676767676767,68.6
U2707,C0245,2025,QS 2025,130.0,54.4,52.5,,,63.0,67.41414141414141,51.3
U2663,C0227,2025,QS 2025,131.0,54.3,94.5,,,26.6,92.3838383838384,85.8
U1826,C0114,2025,QS 2025,132.0,54.2,45.3,,,80.7,65.67676767676767,8.0
U0084,C0114,2025,QS 2025,133.0,54.1,46.6,,,80.8,66.02020202020202,12.3
U1256,C0014,2025,QS 2025,133.0,54.1,79.6,,,33.4,83.95959595959596,91.6
U3120,C0268,2025,QS 2025,133.0,54.1,97.7,,,50.0,88.7878787878788,5.1
U0579,C0168,2025,QS 2025,136.0,54.0,79.3,,,28.7,75.65656565656566,82.7
U3262,C0015,2025,QS 2025,137.0,53.9,13.0,,,70.9,45.65656565656566,92.0
U2536,C0145,2025,QS 2025,138.0,53.8,14.1,,,61.7,41.35353535353536,78.8
U0369,C0226,2025,QS 2025,139.0,53.7,77.4,,,26.3,77.01010101010101,63.1
U2259,C0045,2025,QS 2025,139.0,53.7,11.2,,,82.8,36.92929292929293,4.5
U1194,C0244,2025,QS 2025,141.0,53.6,69.6,,,38.9,77.41414141414141,92.3
U1210,C0168,2025,QS 2025,141.0,53.6,54.5,,,68.4,70.48484848484848,51.7
U1749,C0245,2025,QS 2025,141.0,53.6,87.9,,,39.1,77.3939393939394,94.1
U0003,C0058,2025,QS 2025,144.0,53.3,63.8,,,54.7,76.48484848484848,11.9
U1398,C0268,2025,QS 2025,145.0,53.0,93.0,,,57.1,82.46464646464646,7.6
U2552,C0145,2025,QS 2025,146.0,52.7,19.6,,,63.3,46.343434343434346,96.4
U2075,C0086,2025,QS 2025,147.0,52.5,22.1,,,55.3,47.17171717171718,74.8
U2549,C0145,2025,QS 2025,148.0,52.3,25.7,,,61.0,47.090909090909086,92.0
U1105,C0200,2025,QS 2025,149.0,52.2,34.4,,,59.8,57.45454545454545,9.5
U0869,C0108,2025,QS 2025,150.0,52.1,77.4,,,54.1,71.47474747474747,1.5
U2665,C0244,2025,QS 2025,150.0,52.1,52.0,,,35.8,64.52525252525253,80.0
U1323,C0245,2025,QS 2025,152.0,51.9,50.3,,,59.5,68.86868686868686,12.4
U1383,C0116,2025,QS 2025,152.0,51.9,25.4,,,63.2,40.56565656565657,19.6
U2100,C0245,2025,QS 2025,154.0,51.8,64.3,,,61.2,75.37373737373737,12.1
U2817,C0227,2025,QS 2025,155.0,51.6,62.4,,,45.5,74.86868686868686,97.6
U3028,C0245,2025,QS 2025,155.0,51.6,47.2,,,61.4,64.6060606060606,11.1
U3370,C0168,2025,QS 2025,155.0,51.6,41.3,,,42.1,63.57575757575758,81.2
U0586,C0168,2025,QS 2025,158.0,51.5,63.3,,,37.0,71.85858585858585,70.0
U2511,C0039,2025,QS 2025,159.0,51.3,19.3,,,55.5,44.98989898989899,54.1
U2830,C0168,2025,QS 2025,159.0,51.3,41.2,,,52.3,61.97979797979798,83.5
U2676,C0227,2025,QS 2025,161.0,51.2,99.3,,,29.7,97.07070707070709,38.0
U0767,C0261,2025,QS 2025,162.0,51.1,28.5,,,43.0,41.71717171717172,57.6
U0070,C0118,2025,QS 2025,163.0,51.0,1.4,,,54.2,25.979797979797983,54.2
U0472,C0216,2025,QS 2025,164.0,50.9,7.9,,,68.1,40.86868686868687,34.3
U2474,C0216,2025,QS 2025,165.0,50.7,38.1,,,73.7,61.1919191919192,26.3
U2928,C0244,2025,QS 2025,165.0,50.7,36.6,,,46.1,60.44444444444445,85.4
U1185,C0116,2025,QS 2025,167.0,50.3,27.9,,,58.3,44.14141414141415,14.1
U3285,C0014,2025,QS 2025,167.0,50.3,94.6,,,29.5,92.28282828282828,56.3
U0709,C0022,2025,QS 2025,169.0,50.1,21.5,,,53.2,52.22222222222222,21.4
U2799,C0244,2025,QS 2025,169.0,50.1,42.5,,,42.9,63.17171717171716,72.2
U2726,C0212,2025,QS 2025,171.0,50.0,46.8,,,45.2,66.66666666666666,19.2
U3088,C0244,2025,QS 2025,172.0,49.9,65.7,,,32.2,75.85858585858585,78.6
U0802,C0116,2025,QS 2025,173.0,49.8,26.0,,,59.0,46.14141414141414,12.1
U0491,C0014,2025,QS 2025,174.0,49.3,84.7,,,33.1,88.3838383838384,24.3
U2473,C0216,2025,QS 2025,175.0,49.2,59.5,,,64.0,72.66666666666666,16.5
U1297,C0039,2025,QS 2025,176.0,49.0,35.6,,,39.5,53.93939393939394,56.7
U3379,C0245,2025,QS 2025,171.0,49.9,47.7,,,36.3,61.67676767676768,72.4
U2716,C0245,2025,QS 2025,178.0,48.9,97.8,,,52.6,87.03030303030302,17.2
U3014,C0014,2025,QS 2025,179.0,48.7,91.7,,,28.3,87.6969696969697,24.2
U2284,C0047,2025,QS 2025,179.0,48.7,5.9,,,67.7,24.868686868686872,1.9
U2556,C0145,2025,QS 2025,181.0,48.5,40.5,,,48.6,57.03030303030303,86.9
U3377,C0116,2025,QS 2025,181.0,48.5,3.8,,,60.7,28.12121212121212,28.0
U0762,C0193,2025,QS 2025,183.0,48.3,100.0,,,12.9,89.61616161616162,100.0
U3294,C0244,2025,QS 2025,184.0,48.2,40.1,,,42.9,60.66666666666666,75.6
U2085,C0152,2025,QS 2025,185.0,48.1,2.4,,,53.8,23.313131313131315,10.6
U0334,C0244,2025,QS 2025,186.0,47.6,30.0,,,46.8,54.464646464646464,67.7
U0452,C0082,2025,QS 2025,187.0,47.5,93.5,,,29.8,84.06060606060606,11.7
U1075,C0116,2025,QS 2025,188.0,47.4,5.1,,,53.0,25.313131313131315,10.2
U3045,C0039,2025,QS 2025,189.0,47.3,81.3,,,26.2,85.83838383838383,77.8
U2079,C0015,2025,QS 2025,190.0,47.2,73.8,,,33.9,72.64646464646464,90.4
U2590,C0086,2025,QS 2025,191.0,47.1,54.7,,,50.7,69.87878787878788,20.4
U2142,C0268,2025,QS 2025,192.0,46.9,96.9,,,31.8,87.17171717171718,26.5
U1727,C0039,2025,QS 2025,193.0,46.8,42.6,,,40.8,53.57575757575758,26.6
U2825,C0226,2025,QS 2025,194.0,46.7,33.6,,,35.4,57.41414141414141,78.2
U3410,C0268,2025,QS 2025,194.0,46.7,91.9,,,39.2,86.28282828282829,4.9
U0583,C0245,2025,QS 2025,196.0,46.6,78.4,,,25.2,81.0909090909091,33.9
U0511,C0014,2025,QS 2025,197.0,46.4,73.6,,,31.3,77.01010101010101,63.8
U2220,C0216,2025,QS 2025,198.0,46.3,21.0,,,61.0,48.888888888888886,10.4
U2704,C0039,2025,QS 2025,198.0,46.3,40.3,,,37.9,57.83838383838384,66.2
U0159,C0245,2025,QS 2025,200.0,46.2,47.1,,,48.6,66.20202020202021,37.2
U1117,C0200,2025,QS 2025,200.0,46.2,40.0,,,39.4,61.65656565656565,15.0
U0116,C0243,2025,QS 2025,332.0,33.6,23.9,,,20.9,32.90909090909091,100.0
U2487,C0022,2025,QS 2025,203.0,46.0,55.0,,,48.4,68.64646464646464,47.6
U2977,C0245,2025,QS 2025,203.0,46.0,41.9,,,56.8,61.43434343434344,8.7
U0567,C0082,2025,QS 2025,205.0,45.8,62.6,,,8.9,51.99999999999999,96.5
U1728,C0244,2025,QS 2025,206.0,45.7,40.6,,,35.4,61.090909090909086,98.2
U2459,C0109,2025,QS 2025,206.0,45.7,2.1,,,53.8,15.292929292929294,7.1
U1567,C0245,2025,QS 2025,208.0,45.6,31.2,,,58.6,56.121212121212125,10.6
U2092,C0113,2025,QS 2025,209.0,45.2,99.4,,,32.0,90.70707070707071,7.0
U1458,C0267,2025,QS 2025,210.0,45.1,49.6,,,54.8,47.23232323232323,11.1
U0862,C0108,2025,QS 2025,211.0,45.0,99.9,,,45.7,75.33333333333334,1.5
U0064,C0086,2025,QS 2025,212.0,44.8,52.2,,,43.1,67.91919191919192,33.7
U1725,C0014,2025,QS 2025,213.0,44.7,59.9,,,39.8,68.98989898989899,20.7
U3044,C0170,2025,QS 2025,214.0,44.4,38.8,,,45.0,54.62626262626262,37.6
U1418,C0267,2025,QS 2025,215.0,44.2,20.3,,,51.5,35.01010101010101,13.9
U2803,C0245,2025,QS 2025,215.0,44.2,32.1,,,46.7,58.161616161616166,10.3
U1200,C0014,2025,QS 2025,217.0,44.1,77.7,,,23.6,77.83838383838383,95.0
U2954,C0245,2025,QS 2025,218.0,44.0,55.0,,,48.6,69.6161616161616,16.2
U1487,C0267,2025,QS 2025,219.0,43.9,52.7,,,32.9,52.62626262626263,19.2
U2395,C0047,2025,QS 2025,219.0,43.9,3.4,,,71.0,27.67676767676768,1.4
U3365,C0168,2025,QS 2025,221.0,43.8,63.7,,,39.4,73.55555555555557,47.4
U0565,C0086,2025,QS 2025,222.0,43.7,20.5,,,46.0,49.31313131313131,26.2
U0878,C0108,2025,QS 2025,222.0,43.7,90.2,,,34.0,81.65656565656566,1.1
U0671,C0086,2025,QS 2025,224.0,43.6,94.9,,,25.8,91.6969696969697,48.8
U1242,C0244,2025,QS 2025,224.0,43.6,32.4,,,29.7,53.81818181818181,68.6
U2915,C0227,2025,QS 2025,224.0,43.6,61.0,,,28.4,68.20202020202021,54.2
U0879,C0108,2025,QS 2025,227.0,43.5,70.3,,,42.4,56.74747474747475,1.6
U1747,C0086,2025,QS 2025,227.0,43.5,17.2,,,52.8,47.67676767676768,38.9
U0411,C0231,2025,QS 2025,229.0,43.4,7.5,,,68.2,35.69696969696969,3.0
U1253,C0168,2025,QS 2025,230.0,43.0,62.8,,,23.0,69.57575757575756,100.0
U2528,C0022,2025,QS 2025,230.0,43.0,49.9,,,33.3,64.58585858585857,84.4
U2327,C0030,2025,QS 2025,232.0,42.9,24.3,,,71.8,48.22222222222223,2.7
U3243,C0168,2025,QS 2025,233.0,42.7,61.3,,,20.7,71.53535353535352,90.4
U2077,C0086,2025,QS 2025,234.0,42.6,28.5,,,36.3,54.161616161616166,27.6
U3266,C0170,2025,QS 2025,235.0,42.5,84.7,,,19.1,72.58585858585859,56.9
U2523,C0114,2025,QS 2025,236.0,42.3,45.7,,,58.9,65.03030303030303,11.1
U2622,C0244,2025,QS 2025,236.0,42.3,32.0,,,30.5,54.14141414141415,92.6
U3093,C0245,2025,QS 2025,236.0,42.3,33.6,,,22.6,45.33333333333333,93.8
U0688,C0109,2025,QS 2025,239.0,41.8,1.7,,,54.4,15.414141414141412,4.1
U1291,C0170,2025,QS 2025,239.0,41.8,27.4,,,30.1,49.97979797979798,95.2
U1651,C0114,2025,QS 2025,241.0,41.7,51.6,,,40.2,63.15151515151516,41.0
U2062,C0086,2025,QS 2025,241.0,41.7,70.0,,,20.0,68.04040404040404,81.4
U0509,C0245,2025,QS 2025,243.0,41.3,60.6,,,22.8,52.888888888888886,40.9
U3340,C0170,2025,QS 2025,244.0,41.2,32.1,,,42.8,47.01010101010101,31.0
U2937,C0273,2025,QS 2025,245.0,41.1,99.1,,,11.9,82.08080808080807,99.9
U0381,C0057,2025,QS 2025,246.0,41.0,8.0,,,45.6,42.74747474747475,50.5
U3172,C0244,2025,QS 2025,246.0,41.0,56.8,,,22.6,67.63636363636363,84.9
U3330,C0245,2025,QS 2025,248.0,40.8,53.0,,,24.4,62.86868686868687,36.0
U3006,C0216,2025,QS 2025,249.0,40.7,14.7,,,30.6,33.5959595959596,73.8
U0111,C0132,2025,QS 2025,250.0,40.6,28.9,,,28.6,46.04040404040404,37.0
U2055,C0145,2025,QS 2025,251.0,40.5,10.1,,,27.0,21.83838383838384,99.6
U0769,C0268,2025,QS 2025,252.0,40.3,99.8,,,27.1,87.19191919191918,5.0
U0806,C0270,2025,QS 2025,252.0,40.3,61.4,,,18.2,51.15151515151515,100.0
U2831,C0086,2025,QS 2025,252.0,40.3,16.2,,,46.4,47.232323232323225,22.4
U0736,C0014,2025,QS 2025,255.0,40.1,62.5,,,27.0,74.08080808080808,38.5
U0223,C0109,2025,QS 2025,256.0,39.9,2.6,,,43.2,11.19191919191919,3.8
U0784,C0244,2025,QS 2025,256.0,39.9,65.2,,,17.8,68.96969696969697,98.1
U3270,C0188,2025,QS 2025,258.0,39.8,5.5,,,50.0,36.30303030303031,8.4
U0338,C0245,2025,QS 2025,259.0,39.7,61.6,,,17.2,58.78787878787879,71.7
U2927,C0189,2025,QS 2025,260.0,39.6,36.5,,,44.0,60.7878787878788,39.4
U0328,C0243,2025,QS 2025,523.0,23.5,2.7,,,20.1,6.282828282828284,100.0
U2724,C0170,2025,QS 2025,261.0,39.4,31.4,,,34.7,43.474747474747474,27.7
U0877,C0108,2025,QS 2025,263.0,39.3,73.3,,,36.9,59.09090909090908,1.1
U1544,C0176,2025,QS 2025,264.0,39.1,30.4,,,33.2,55.55555555555556,9.3
U2176,C0145,2025,QS 2025,265.0,38.8,3.6,,,27.0,16.363636363636363,95.8
U2482,C0216,2025,QS 2025,265.0,38.8,67.1,,,31.7,69.55555555555554,24.5
U2648,C0022,2025,QS 2025,267.0,38.7,48.1,,,24.1,66.36363636363637,32.0
U3284,C0212,2025,QS 2025,267.0,38.7,30.5,,,26.5,56.58585858585859,5.8
U2109,C0268,2025,QS 2025,269.0,38.6,99.5,,,17.2,85.63636363636364,25.4
U2560,C0145,2025,QS 2025,269.0,38.6,79.0,,,19.5,72.68686868686868,20.1
U0244,C0268,2025,QS 2025,271.0,38.5,92.6,,,33.9,83.71717171717172,21.3
U1729,C0168,2025,QS 2025,272.0,38.4,66.0,,,28.0,76.92929292929294,18.6
U2615,C0112,2025,QS 2025,273.0,38.3,28.5,,,30.1,44.18181818181819,52.1
U2813,C0112,2025,QS 2025,273.0,38.3,13.2,,,26.2,39.83838383838384,43.2
U0502,C0039,2025,QS 2025,275.0,38.2,53.5,,,19.4,62.68686868686869,74.6
U2957,C0245,2025,QS 2025,275.0,38.2,48.8,,,38.2,60.8080808080808,25.3
U3071,C0245,2025,QS 2025,275.0,38.2,31.3,,,35.0,55.01010101010101,13.5
U3076,C0189,2025,QS 2025,278.0,38.1,59.6,,,41.3,73.53535353535352,19.8
U3367,C0022,2025,QS 2025,278.0,38.1,18.2,,,23.3,47.63636363636363,58.2
U2184,C0261,2025,QS 2025,280.0,38.0,98.1,,,13.6,68.46464646464646,9.6
U0780,C0113,2025,QS 2025,281.0,37.9,19.4,,,32.8,42.18181818181818,23.8
U3166,C0244,2025,QS 2025,281.0,37.9,31.8,,,25.9,52.6060606060606,64.0
U2576,C0082,2025,QS 2025,283.0,37.5,2.9,,,65.6,29.151515151515152,46.5
U1950,C0268,2025,QS 2025,284.0,37.3,98.8,,,9.3,78.38383838383838,1.4
U1325,C0257,2025,QS 2025,285.0,37.2,22.3,,,31.2,42.686868686868685,18.3
U2231,C0216,2025,QS 2025,285.0,37.2,4.1,,,33.5,28.262626262626263,52.3
U2746,C0086,2025,QS 2025,285.0,37.2,29.3,,,35.2,53.43434343434343,30.1
U2917,C0244,2025,QS 2025,285.0,37.2,43.4,,,19.8,61.17171717171716,95.3
U2972,C0114,2025,QS 2025,285.0,37.2,39.6,,,52.8,57.535353535353536,6.8
U3171,C0244,2025,QS 2025,285.0,37.2,55.2,,,19.7,67.35353535353536,87.1
U2011,C0014,2025,QS 2025,291.0,37.1,86.5,,,13.9,78.12121212121211,77.3
U2675,C0176,2025,QS 2025,291.0,37.1,28.3,,,31.6,52.78787878787878,16.9
