RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score,source,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,University Rank,Name of University,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,University of Guanajuato,9.7–22.7,16360.0,16.2,1682.0,9.3,1747.0,13.4,1795.0,20.5,1510.0,36.4,1262.0,master_account,0.0,/world-university-rankings/university-guanajuato,625275.0,Mexico,"30,317",21.4,2%,55 : 45,University of Guanajuato,"Languages, Literature & Linguistics,Accounting & Finance,Art, Performing Arts & Design,Electrical & Electronic Engineering,Biological Sciences,History, Philosophy & Theology,Agriculture & Forestry,Geography,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Civil Engineering,Sport Science,Psychology,Mathematics & Statistics,Computer Science,Mechanical & Aerospace Engineering,Education,Chemical Engineering,Law,General Engineering,Other Health,Architecture,Business & Management,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies,Veterinary Science,Sociology,Economics & Econometrics,Chemistry",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Gubkin Russian State University of Oil and Gas,9.7–22.7,16370.0,23.4,1120.0,10.5,1586.0,12.5,1809.0,38.2,1016.0,26.8,1621.0,master_account,0.0,/world-university-rankings/gubkin-russian-state-university-oil-and-gas,131765.0,Russian Federation,"9,371",12.2,7%,33 : 67,Gubkin Russian State University of Oil and Gas,"Chemical Engineering,Electrical & Electronic Engineering,General Engineering,Business & Management,Physics & Astronomy,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Chemistry,Accounting & Finance",False,False,True,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Hanoi University of Science and Technology,9.7–22.7,16380.0,15.7,1717.0,15.7,1070.0,27.4,1507.0,43.4,915.0,39.7,1125.0,master_account,0.0,/world-university-rankings/hanoi-university-science-and-technology,625848.0,Vietnam,"37,891",34.1,0%,20 : 80,Hanoi University of Science and Technology,"Accounting & Finance,Education,Mechanical & Aerospace Engineering,Computer Science,Business & Management,Economics & Econometrics,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Chemical Engineering,Physics & Astronomy,Mathematics & Statistics,Chemistry",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Hasanuddin University,9.7–22.7,16390.0,18.8,1477.0,11.2,1499.0,25.8,1545.0,27.5,1249.0,19.8,1872.0,master_account,0.0,/world-university-rankings/hasanuddin-university,670491.0,Indonesia,"38,942",16.6,0%,51 : 49,Hasanuddin University,"Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Agriculture & Forestry",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Université Hassan 1er,9.7–22.7,16400.0,24.9,1009.0,10.3,1610.0,19.2,1696.0,16.6,1796.0,23.6,1754.0,master_account,0.0,/world-university-rankings/universite-hassan-1er,587925.0,Morocco,"50,518",88.2,2%,48 : 52,Université Hassan 1er,"Biological Sciences,Chemical Engineering,General Engineering,Other Health,Business & Management,Agriculture & Forestry,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Politics & International Studies (incl Development Studies),Civil Engineering,Mechanical & Aerospace Engineering,Computer Science,Law,Sport Science,Physics & Astronomy,Chemistry,Mathematics & Statistics,Languages, Literature & Linguistics,Accounting & Finance",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Hassiba Benbouali University of Chlef,9.7–22.7,16410.0,15.5,1730.0,12.3,1377.0,20.7,1665.0,32.7,1132.0,41.9,1053.0,master_account,0.0,/world-university-rankings/hassiba-benbouali-university-chlef,670428.0,Algeria,"30,200",22.0,1%,72 : 28,Hassiba Benbouali University of Chlef,"Languages, Literature & Linguistics,General Engineering,Chemistry,Civil Engineering,Sociology,Chemical Engineering,Geography,Architecture,Sport Science,History, Philosophy & Theology,Accounting & Finance,Biological Sciences,Communication & Media Studies,Archaeology,Psychology,Mathematics & Statistics,Electrical & Electronic Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Computer Science,Agriculture & Forestry,Business & Management,Politics & International Studies (incl Development Studies),Law,Mechanical & Aerospace Engineering",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,University of Havana,9.7–22.7,16420.0,28.1,803.0,11.8,1425.0,10.8,1841.0,33.9,1110.0,53.0,712.0,master_account,0.0,/world-university-rankings/university-havana,623319.0,Cuba,"15,584",9.0,5%,64 : 36,University of Havana,"Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Physics & Astronomy,Mathematics & Statistics,Sociology,Accounting & Finance,History, Philosophy & Theology,Education,Art, Performing Arts & Design,Communication & Media Studies,Business & Management,Biological Sciences,Psychology,Computer Science,Law,Chemistry,Other Health,Geography,Economics & Econometrics,Politics & International Studies (incl Development Studies)",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Hellenic Open University,9.7–22.7,16430.0,22.4,1193.0,8.5,1851.0,34.2,1344.0,15.8,1882.0,26.2,1657.0,master_account,0.0,/world-university-rankings/hellenic-open-university,622875.0,Greece,"19,612",6.8,1%,60 : 40,Hellenic Open University,"Chemical Engineering,Law,Computer Science,Education,General Engineering,Accounting & Finance,Art, Performing Arts & Design,Physics & Astronomy,Economics & Econometrics,Other Health,Psychology,Communication & Media Studies,History, Philosophy & Theology,Civil Engineering,Languages, Literature & Linguistics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Business & Management,Mechanical & Aerospace Engineering",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Herzen State Pedagogical University of Russia,9.7–22.7,16440.0,20.2,1356.0,11.5,1463.0,9.8,1858.0,17.6,1691.0,39.2,1141.0,master_account,0.0,/world-university-rankings/herzen-state-pedagogical-university-russia,624057.0,Russian Federation,"15,645",15.4,18%,75 : 25,Herzen State Pedagogical University of Russia,"Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Education,Geography,Politics & International Studies (incl Development Studies),Communication & Media Studies,Economics & Econometrics,Art, Performing Arts & Design,Physics & Astronomy,Psychology,Business & Management,History, Philosophy & Theology,Law,Computer Science,Biological Sciences,Sociology,Chemistry,Other Health,Mathematics & Statistics",False,False,True,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Hindustan Institute of Technology and Science,9.7–22.7,16450.0,21.9,1236.0,9.3,1748.0,33.6,1361.0,16.3,1826.0,23.4,1764.0,master_account,0.0,/world-university-rankings/hindustan-institute-technology-and-science,624861.0,India,"7,325",11.3,1%,47 : 53,Hindustan Institute of Technology and Science,"Civil Engineering,Chemistry,Architecture,Sport Science,Sociology,Medicine & Dentistry,Law,General Engineering,Art, Performing Arts & Design,Languages, Literature & Linguistics,Mathematics & Statistics,Psychology,Computer Science,Economics & Econometrics,Electrical & Electronic Engineering,Agriculture & Forestry,Other Health,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Business & Management,History, Philosophy & Theology,Communication & Media Studies",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Hitit University,9.7–22.7,16460.0,15.2,1742.0,9.8,1670.0,15.1,1765.0,16.5,1806.0,22.8,1779.0,master_account,0.0,/world-university-rankings/hitit-university,717286.0,Turkey,"10,501",22.6,4%,48 : 52,Hitit University,"Art, Performing Arts & Design,General Engineering,Mechanical & Aerospace Engineering,Medicine & Dentistry,Physics & Astronomy,Sport Science,Accounting & Finance,History, Philosophy & Theology,Education,Biological Sciences,Economics & Econometrics,Other Health,Chemistry,Archaeology,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Mathematics & Statistics,Electrical & Electronic Engineering,Business & Management,Chemical Engineering,Communication & Media Studies",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Hosei University,9.7–22.7,16470.0,15.2,1743.0,11.0,1524.0,34.0,1349.0,23.9,1369.0,38.3,1177.0,master_account,0.0,/world-university-rankings/hosei-university,589151.0,Japan,"29,180",37.7,5%,38 : 62,Hosei University,"Computer Science,Psychology,Communication & Media Studies,Electrical & Electronic Engineering,Law,Civil Engineering,Languages, Literature & Linguistics,Biological Sciences,Economics & Econometrics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Sociology,Business & Management,Mechanical & Aerospace Engineering,Accounting & Finance,Sport Science,Architecture,Geography",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Hue University,9.7–22.7,16480.0,13.3,1831.0,8.7,1828.0,16.4,1740.0,16.2,1835.0,49.2,822.0,master_account,0.0,/world-university-rankings/hue-university,625845.0,Vietnam,"48,943",23.0,1%,56 : 44,Hue University,"Chemical Engineering,Law,Economics & Econometrics,Veterinary Science,Education,Medicine & Dentistry",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,University of Hyogo,9.7–22.7,16490.0,22.5,1189.0,13.2,1285.0,11.8,1826.0,56.5,709.0,24.6,1720.0,master_account,0.0,/world-university-rankings/university-hyogo,609672.0,Japan,"6,540",12.4,3%,41 : 59,University of Hyogo,"Business & Management,Accounting & Finance,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences,Architecture,Agriculture & Forestry,Economics & Econometrics,Chemical Engineering,Other Health,Languages, Literature & Linguistics,Physics & Astronomy,Sport Science,Computer Science,General Engineering,Electrical & Electronic Engineering,Sociology,Biological Sciences,Communication & Media Studies,Mathematics & Statistics",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Ibaraki University,9.7–22.7,16500.0,18.9,1472.0,12.5,1358.0,12.2,1816.0,36.9,1049.0,27.4,1601.0,master_account,0.0,/world-university-rankings/ibaraki-university,609360.0,Japan,"7,741",14.8,3%,34 : 66,Ibaraki University,"Archaeology,Sport Science,Education,Economics & Econometrics,Medicine & Dentistry,Mathematics & Statistics,Psychology,Other Health,Sociology,Veterinary Science,Architecture,Agriculture & Forestry,Communication & Media Studies,Chemical Engineering,Geography,Languages, Literature & Linguistics,Computer Science,Chemistry,Business & Management,General Engineering,Biological Sciences,Law,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Accounting & Finance,Art, Performing Arts & Design,Electrical & Electronic Engineering,Physics & Astronomy",False,False,False,,,,,,,,,,,,,
