RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score,source,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,University Rank,Name of University,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,El Bosque University,9.7–22.7,16020.0,23.7,1100.0,9.3,1744.0,20.0,1676.0,16.9,1761.0,46.6,910.0,master_account,0.0,/world-university-rankings/el-bosque-university,625542.0,Colombia,"12,702",6.8,2%,62 : 38,El Bosque University,"Business & Management,Electrical & Electronic Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),Accounting & Finance,Sport Science,Mathematics & Statistics,Law,Medicine & Dentistry,Education,Communication & Media Studies,Art, Performing Arts & Design,General Engineering,Other Health,Geology, Environmental, Earth & Marine Sciences,Architecture,History, Philosophy & Theology,Languages, Literature & Linguistics,Psychology,Biological Sciences",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Erzincan Binali Yıldırım University,9.7–22.7,16030.0,12.0,1875.0,8.7,1825.0,37.6,1263.0,16.6,1793.0,23.7,1750.0,master_account,0.0,/world-university-rankings/erzincan-binali-yildirim-university,699580.0,Turkey,"24,096",21.9,4%,49 : 51,Erzincan Binali Yıldırım University,"History, Philosophy & Theology,Sport Science,Sociology,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Accounting & Finance,Civil Engineering,Mechanical & Aerospace Engineering,Chemistry,Economics & Econometrics,Law,Business & Management,Biological Sciences,Psychology,Computer Science,Mathematics & Statistics,Medicine & Dentistry,Geography,Other Health,Education,Languages, Literature & Linguistics,Physics & Astronomy,Electrical & Electronic Engineering",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Escuela Politécnica Nacional,9.7–22.7,16040.0,18.2,1535.0,9.4,1728.0,29.0,1470.0,18.6,1617.0,52.1,735.0,master_account,0.0,/world-university-rankings/escuela-politecnica-nacional,131401.0,Ecuador,"7,458",13.2,1%,28 : 72,Escuela Politécnica Nacional,"Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Civil Engineering,Business & Management,General Engineering,Agriculture & Forestry,Physics & Astronomy,Computer Science,Economics & Econometrics,Chemical Engineering",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Eskişehir Osmangazi University,9.7–22.7,16050.0,21.5,1262.0,16.6,999.0,20.5,1669.0,19.2,1572.0,27.0,1613.0,master_account,0.0,/world-university-rankings/eskisehir-osmangazi-university,624648.0,Turkey,"30,301",17.5,7%,45 : 55,Eskişehir Osmangazi University,"Architecture,Electrical & Electronic Engineering,Sport Science,Law,Other Health,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Accounting & Finance,Medicine & Dentistry,Chemistry,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Chemical Engineering,Education,History, Philosophy & Theology,Biological Sciences,Sociology,Art, Performing Arts & Design,Civil Engineering,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Mathematics & Statistics,Computer Science,Communication & Media Studies,Business & Management,Veterinary Science,Geography",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universidade do Estado de Santa Catarina,9.7–22.7,16060.0,26.5,909.0,11.0,1522.0,15.7,1752.0,17.0,1753.0,21.2,1835.0,master_account,0.0,/world-university-rankings/universidade-do-estado-de-santa-catarina,625293.0,Brazil,"12,417",11.5,1%,54 : 46,Universidade do Estado de Santa Catarina,"Chemical Engineering,Other Health,Mechanical & Aerospace Engineering,Biological Sciences,Business & Management,Education,Veterinary Science,History, Philosophy & Theology,Electrical & Electronic Engineering,Civil Engineering,Architecture,Geography,Accounting & Finance,General Engineering,Economics & Econometrics,Computer Science,Agriculture & Forestry,Art, Performing Arts & Design,Sport Science",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universidade Estadual do Norte Fluminense Darcy Ribeiro,9.7–22.7,16070.0,21.1,1293.0,10.9,1535.0,21.6,1644.0,22.3,1427.0,34.5,1336.0,master_account,0.0,/world-university-rankings/universidade-estadual-do-norte-fluminense-darcy-ribeiro,625545.0,Brazil,"7,105",22.8,0%,61 : 39,Universidade Estadual do Norte Fluminense Darcy Ribeiro,"Mathematics & Statistics,Languages, Literature & Linguistics,Chemistry,Computer Science,Veterinary Science,Physics & Astronomy,Biological Sciences,Sociology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Education",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universidade Estadual de Maringá,9.7–22.7,16080.0,28.9,747.0,13.8,1224.0,20.2,1671.0,21.2,1472.0,22.0,1808.0,master_account,0.0,/world-university-rankings/universidade-estadual-de-maringa,131470.0,Brazil,"18,706",12.2,0%,53 : 47,Universidade Estadual de Maringá,"Other Health,Veterinary Science,Civil Engineering,Communication & Media Studies,Economics & Econometrics,Computer Science,Physics & Astronomy,Architecture,Biological Sciences,History, Philosophy & Theology,Agriculture & Forestry,Geography,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Chemistry,Law,Medicine & Dentistry,Sport Science,General Engineering,Mathematics & Statistics,Education,Art, Performing Arts & Design,Chemical Engineering,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Sociology,Business & Management,Psychology",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universidade Estadual do Oeste do Paraná (Unioeste),9.7–22.7,16090.0,27.6,830.0,9.8,1668.0,7.4,1887.0,17.2,1734.0,20.4,1853.0,master_account,0.0,/world-university-rankings/universidade-estadual-do-oeste-do-parana-unioeste,625686.0,Brazil,"12,529",9.9,0%,60 : 40,Universidade Estadual do Oeste do Paraná (Unioeste),"Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Law,Computer Science,Mathematics & Statistics,Medicine & Dentistry,Biological Sciences,Accounting & Finance,History, Philosophy & Theology,Sport Science,Economics & Econometrics,Civil Engineering,Sociology,General Engineering,Geography,Other Health,Veterinary Science,Business & Management,Languages, Literature & Linguistics,Chemical Engineering,Education,Mechanical & Aerospace Engineering,Chemistry",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,"Federal University of Agriculture, Abeokuta",9.7–22.7,16100.0,15.6,1724.0,8.0,1879.0,24.5,1573.0,17.0,1754.0,31.4,1446.0,master_account,0.0,/world-university-rankings/federal-university-agriculture-abeokuta-0,706663.0,Nigeria,"17,433",26.5,0%,52 : 48,"Federal University of Agriculture, Abeokuta","Veterinary Science,Agriculture & Forestry,General Engineering,Chemistry,Biological Sciences,Mathematics & Statistics,Computer Science,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Business & Management,Economics & Econometrics,Civil Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Communication & Media Studies,Accounting & Finance",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),9.7–22.7,16110.0,21.2,1285.0,12.8,1324.0,25.1,1557.0,21.2,1473.0,26.1,1660.0,master_account,0.0,/world-university-rankings/universidade-federal-de-ciencias-da-saude-de-porto-alegre-ufcspa,639032.0,Brazil,"4,183",11.6,1%,70 : 30,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),"Physics & Astronomy,Psychology,Biological Sciences,Business & Management,Medicine & Dentistry,Education,Other Health,Chemistry",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Federal University of Itajubá,9.7–22.7,16120.0,17.7,1580.0,9.6,1698.0,21.3,1651.0,20.5,1509.0,28.0,1575.0,master_account,0.0,/world-university-rankings/federal-university-itajuba,625677.0,Brazil,"8,608",17.3,1%,30 : 70,Federal University of Itajubá,"Electrical & Electronic Engineering,Computer Science,Mechanical & Aerospace Engineering,Chemical Engineering,Biological Sciences,Chemistry,Mathematics & Statistics,Civil Engineering,Business & Management,General Engineering,Physics & Astronomy",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universidade Federal de Juiz de Fora,9.7–22.7,16130.0,18.5,1505.0,12.1,1398.0,27.5,1505.0,18.6,1618.0,29.8,1500.0,master_account,0.0,/world-university-rankings/universidade-federal-de-juiz-de-fora,621432.0,Brazil,"26,483",16.6,0%,50 : 50,Universidade Federal de Juiz de Fora,"Chemistry,General Engineering,Psychology,Accounting & Finance,Sociology,Medicine & Dentistry,Veterinary Science,Law,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Business & Management,History, Philosophy & Theology,Physics & Astronomy,Communication & Media Studies,Biological Sciences,Education,Sport Science,Other Health,Civil Engineering,Geography,Art, Performing Arts & Design,Computer Science,Architecture,Economics & Econometrics",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universidade Federal do Maranhão (UFMA),9.7–22.7,16140.0,15.2,1741.0,10.3,1608.0,14.5,1775.0,18.7,1609.0,23.2,1769.0,master_account,0.0,/world-university-rankings/universidade-federal-do-maranhao-ufma,621456.0,Brazil,"37,016",19.2,0%,51 : 49,Universidade Federal do Maranhão (UFMA),"Art, Performing Arts & Design,Chemical Engineering,Sociology,Civil Engineering,Education,Electrical & Electronic Engineering,Biological Sciences,Geography,Mechanical & Aerospace Engineering,Communication & Media Studies,Psychology,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Medicine & Dentistry,Agriculture & Forestry,Law,History, Philosophy & Theology,Sport Science,Accounting & Finance,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Physics & Astronomy,Other Health,Chemistry",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Federal University of Mato Grosso do Sul,9.7–22.7,16150.0,21.4,1275.0,11.7,1435.0,22.3,1627.0,33.0,1128.0,28.9,1546.0,master_account,0.0,/world-university-rankings/federal-university-mato-grosso-do-sul,621771.0,Brazil,"26,725",15.0,1%,55 : 45,Federal University of Mato Grosso do Sul,"Civil Engineering,Sociology,Languages, Literature & Linguistics,Biological Sciences,Economics & Econometrics,General Engineering,Veterinary Science,Education,Art, Performing Arts & Design,Chemical Engineering,Business & Management,Medicine & Dentistry,Communication & Media Studies,History, Philosophy & Theology,Electrical & Electronic Engineering,Geography,Sport Science,Architecture,Chemistry,Agriculture & Forestry,Accounting & Finance,Computer Science,Physics & Astronomy,Psychology,Other Health,Mathematics & Statistics,Law",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universidade Federal de Ouro Preto (UFOP),9.7–22.7,16160.0,22.1,1222.0,12.0,1406.0,20.7,1663.0,25.5,1316.0,24.7,1714.0,master_account,0.0,/world-university-rankings/universidade-federal-de-ouro-preto-ufop,584778.0,Brazil,"14,799",16.3,1%,49 : 51,Universidade Federal de Ouro Preto (UFOP),"Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Law,Mechanical & Aerospace Engineering,Communication & Media Studies,Civil Engineering,Physics & Astronomy,Medicine & Dentistry,Sociology,Art, Performing Arts & Design,Biological Sciences,Education,Computer Science,Chemistry,History, Philosophy & Theology,Sport Science,Business & Management,Architecture,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Geography",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Federal University of Pará,9.7–22.7,16170.0,22.6,1175.0,11.7,1436.0,21.3,1652.0,21.7,1452.0,26.8,1620.0,master_account,0.0,/world-university-rankings/federal-university-para,649211.0,Brazil,"46,837",17.7,0%,52 : 48,Federal University of Pará,"Civil Engineering,Sociology,Chemistry,Archaeology,Biological Sciences,Communication & Media Studies,Education,Business & Management,Economics & Econometrics,Accounting & Finance,Chemical Engineering,Art, Performing Arts & Design,Psychology,Architecture,Other Health,Physics & Astronomy,General Engineering,Electrical & Electronic Engineering,Geography,Mathematics & Statistics,Sport Science,History, Philosophy & Theology,Languages, Literature & Linguistics,Medicine & Dentistry,Law,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Computer Science,Veterinary Science,Agriculture & Forestry",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Federal Rural University of Pernambuco,9.7–22.7,16180.0,25.0,1004.0,11.0,1523.0,19.1,1701.0,20.0,1529.0,23.4,1761.0,master_account,0.0,/world-university-rankings/federal-rural-university-pernambuco,639020.0,Brazil,"14,347",12.3,0%,49 : 51,Federal Rural University of Pernambuco,"History, Philosophy & Theology,Mathematics & Statistics,Agriculture & Forestry,Business & Management,Electrical & Electronic Engineering,Physics & Astronomy,Computer Science,Veterinary Science,Education,General Engineering,Sport Science,Biological Sciences,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Sociology,Chemistry,Accounting & Finance,Languages, Literature & Linguistics,Civil Engineering,Economics & Econometrics",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universidade Federal Rural do Semi-Arido,9.7–22.7,16190.0,19.1,1458.0,9.0,1794.0,5.7,1896.0,16.6,1794.0,18.3,1894.0,master_account,0.0,/world-university-rankings/universidade-federal-rural-do-semi-arido,639104.0,Brazil,"8,687",12.4,0%,49 : 51,Universidade Federal Rural do Semi-Arido,"Law,Mathematics & Statistics,Civil Engineering,Education,General Engineering,Electrical & Electronic Engineering,Accounting & Finance,Business & Management,Architecture,Chemical Engineering,Veterinary Science,Chemistry,Computer Science,Biological Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Physics & Astronomy,Medicine & Dentistry,Agriculture & Forestry",False,False,False,,,,,,,,,,,,,
