university_id,university_name,country_id,country,region,source,ranking_year,global_rank,normalized_rank,ranking_score,rank_band,overall_score,academic_reputation_score,employer_reputation_score,faculty_student_score,student_staff_ratio,citations_per_faculty_score,citations_score,teaching_score,research_score,industry_income_score,international_outlook_score,international_faculty_score,international_students_score,international_student_percentage,international_research_network_score,employment_outcomes_score,sustainability_score,number_of_students,female_percentage
U1225,lund university,C113,Sweden,Europe,QS,2025,75,75.0,95.07,51-100,65.6,68.3,52.5,55.5,,44.6,,,,,,97.4,73.4,,96.7,86.5,99.6,,
U3273,university of washington,C127,United States,Americas,QS,2025,76,76.0,95.0,51-100,65.3,81.9,55.5,28.6,,78.8,,,,,,11.0,32.8,,95.6,68.7,66.5,,
U3278,the university of western australia,C006,Australia,Oceania,QS,2025,77,77.0,94.93,51-100,65.2,55.5,41.8,13.1,,98.8,,,,,,100.0,99.8,,94.2,78.0,50.8,,
U2834,university of glasgow,C126,United Kingdom,Europe,QS,2025,78,78.0,94.87,51-100,65.0,77.4,67.7,38.0,,32.5,,,,,,95.7,99.4,,97.6,33.5,98.5,,
U0296,brown university,C127,United States,Americas,QS,2025,79,79.0,94.8,51-100,64.7,59.9,49.6,77.7,,76.4,,,,,,79.9,50.9,,83.2,63.6,46.6,,
U2695,university of birmingham,C126,United Kingdom,Europe,QS,2025,80,80.0,94.73,51-100,64.1,68.9,69.0,39.0,,40.5,,,,,,92.6,89.3,,97.5,44.5,96.8,,
U3158,university of southampton,C126,United Kingdom,Europe,QS,2025,80,80.0,94.73,51-100,64.1,50.1,44.3,40.7,,83.4,,,,,,92.5,98.0,,97.1,49.2,96.9,,
U2102,the university of adelaide,C006,Australia,Oceania,QS,2025,82,82.0,94.6,51-100,63.8,56.0,38.9,17.9,,87.0,,,,,,100.0,99.3,,93.6,51.5,95.7,,
U2925,university of leeds,C126,United Kingdom,Europe,QS,2025,82,82.0,94.6,51-100,63.8,70.5,75.9,36.4,,39.8,,,,,,82.5,88.5,,98.8,50.9,71.8,,
U1753,ruprecht karls universitat heidelberg,C039,Germany,Europe,QS,2025,84,84.0,94.47,51-100,63.7,76.9,59.4,99.4,,32.7,,,,,,54.2,53.6,,94.5,25.2,77.6,,
U2149,tokyo institute of technology tokyo tech,C055,Japan,Asia,QS,2025,84,84.0,94.47,51-100,63.7,75.1,94.1,84.1,,43.1,,,,,,23.4,30.5,,61.2,23.7,62.2,,
U1570,osaka university,C055,Japan,Asia,QS,2025,86,86.0,94.33,51-100,63.5,82.4,87.0,45.2,,54.9,,,,,,23.9,12.2,,68.2,33.0,68.0,,
U2177,trinity college dublin the university of dublin,C051,Ireland,Europe,QS,2025,87,87.0,94.27,51-100,62.9,69.5,47.4,20.2,,58.4,,,,,,99.3,88.0,,91.3,88.6,57.7,,
U3192,university of technology sydney,C006,Australia,Oceania,QS,2025,88,88.0,94.2,51-100,62.4,43.9,55.0,9.8,,97.7,,,,,,96.6,86.0,,91.4,40.2,96.3,,
U0517,durham university,C126,United Kingdom,Europe,QS,2025,89,89.0,94.13,51-100,61.7,59.6,83.9,26.3,,40.9,,,,,,97.3,84.9,,89.7,39.4,98.6,,
U1603,pennsylvania state university,C127,United States,Americas,QS,2025,89,89.0,94.13,51-100,61.7,76.6,64.5,25.0,,55.4,,,,,,25.1,28.0,,97.9,61.9,96.5,,
U1683,purdue university,C127,United States,Americas,QS,2025,89,89.0,94.13,51-100,61.7,63.3,81.1,11.4,,54.3,,,,,,79.6,45.2,,92.9,63.1,90.1,,
U2415,universidade de sao paulo,C016,Brazil,Americas,QS,2025,92,92.0,93.93,51-100,61.6,92.8,74.6,21.4,,28.5,,,,,,6.8,2.1,,95.9,97.9,93.6,,
U1646,pontificia universidad catolica de chile uc,C021,Chile,Americas,QS,2025,93,93.0,93.87,51-100,61.5,93.7,98.0,23.7,,8.8,,,,,,26.0,3.7,,82.5,99.9,79.3,,
U1209,lomonosov moscow state university,C099,Russia,Europe,QS,2025,94,94.0,93.8,51-100,61.4,78.0,82.3,99.7,,4.1,,,,,,19.7,91.5,,88.1,95.8,3.5,,
U2355,universidad nacional autonoma de mexico unam,C073,Mexico,Americas,QS,2025,94,94.0,93.8,51-100,61.4,97.0,94.4,37.4,,2.4,,,,,,7.5,2.3,,93.2,93.2,83.4,,
U2650,university of alberta,C020,Canada,Americas,QS,2025,96,96.0,93.67,51-100,61.2,57.0,42.2,39.1,,61.3,,,,,,98.3,71.0,,96.0,70.0,97.6,,
U0659,freie universitaet berlin,C039,Germany,Europe,QS,2025,97,97.0,93.6,51-100,60.6,80.3,56.9,5.0,,71.7,,,,,,62.4,43.7,,93.1,32.8,31.3,,
U1622,pohang university of science and technology postech,C109,South Korea,Asia,QS,2025,98,98.0,93.53,51-100,60.3,45.9,80.0,99.9,,96.9,,,,,,27.6,2.7,,26.6,11.0,36.6,,
U1762,rwth aachen university,C039,Germany,Europe,QS,2025,99,99.0,93.47,51-100,59.9,46.6,93.7,6.3,,71.9,,,,,,48.6,85.5,,86.1,33.4,84.8,,
U2769,university of copenhagen,C029,Denmark,Europe,QS,2025,100,100.0,93.4,51-100,59.6,74.0,31.6,99.8,,23.1,,,,,,84.9,15.6,,98.2,90.8,73.2,,
U1090,king fahd university of petroleum minerals,C101,Saudi Arabia,Asia,QS,2025,101,101.0,93.33,101-250,59.5,38.0,46.5,86.0,,78.0,,,,,,100.0,47.6,,73.9,97.8,20.1,,
U1104,kit karlsruhe institute of technology,C039,Germany,Europe,QS,2025,102,102.0,93.27,101-250,59.4,44.9,80.9,39.4,,68.4,,,,,,70.5,42.9,,86.4,50.8,75.3,,
U3312,uppsala university,C113,Sweden,Europe,QS,2025,103,103.0,93.2,101-250,59.3,61.4,33.7,52.0,,42.3,,,,,,99.4,81.1,,96.7,68.4,99.2,,
U3165,university of st andrews,C126,United Kingdom,Europe,QS,2025,104,104.0,93.13,101-250,59.2,46.5,63.2,64.7,,49.2,,,,,,98.4,100.0,,83.8,18.5,91.1,,
U2121,the university of sheffield,C126,United Kingdom,Europe,QS,2025,105,105.0,93.07,101-250,59.1,58.3,48.7,52.5,,43.9,,,,,,83.3,96.8,,95.8,33.8,97.7,,
U3328,utrecht university,C081,Netherlands,Europe,QS,2025,105,105.0,93.07,101-250,59.1,66.5,38.8,31.0,,79.5,,,,,,55.7,19.4,,97.3,54.7,61.9,,
U2142,tohoku university,C055,Japan,Asia,QS,2025,107,107.0,92.93,101-250,58.8,73.8,82.8,97.8,,23.9,,,,,,14.1,11.4,,68.3,22.6,78.6,,
U3040,university of nottingham,C126,United Kingdom,Europe,QS,2025,108,108.0,92.87,101-250,58.5,61.1,65.8,32.8,,37.6,,,,,,89.4,70.5,,98.0,38.0,97.0,,
U2032,technical university of denmark,C029,Denmark,Europe,QS,2025,109,109.0,92.8,101-250,58.3,33.2,22.1,99.1,,84.4,,,,,,100.0,87.7,,88.1,43.6,47.9,,
U3302,university of zurich,C114,Switzerland,Europe,QS,2025,109,109.0,92.8,101-250,58.3,59.9,26.4,92.2,,40.1,,,,,,100.0,42.8,,94.3,88.6,58.7,,
U1624,politecnico di milano,C053,Italy,Europe,QS,2025,111,111.0,92.67,101-250,58.2,70.8,77.0,5.8,,40.2,,,,,,67.4,56.8,,88.1,52.9,72.6,,
U0283,boston university,C127,United States,Americas,QS,2025,108,108.0,92.87,101-250,58.6,61.9,69.1,38.3,,41.3,,,,,,34.3,88.9,,86.9,77.2,65.9,,
U0002,aalto university,C036,Finland,Europe,QS,2025,113,113.0,92.53,101-250,57.9,45.7,40.6,33.2,,73.6,,,,,,95.2,40.1,,78.2,95.1,94.7,,
U0691,georgia institute of technology,C127,United States,Americas,QS,2025,114,114.0,92.47,101-250,57.3,67.1,82.6,20.3,,52.8,,,,,,21.3,66.4,,75.5,43.1,39.5,,
U3274,university of waterloo,C020,Canada,Americas,QS,2025,115,115.0,92.4,101-250,57.2,40.4,64.2,6.5,,78.9,,,,,,75.8,71.3,,84.6,58.9,93.3,,
U3283,university of wisconsin madison,C127,United States,Americas,QS,2025,116,116.0,92.33,101-250,57.1,77.7,47.8,74.3,,23.7,,,,,,35.3,23.6,,91.6,81.6,59.6,,
U2857,university of helsinki,C036,Finland,Europe,QS,2025,117,117.0,92.27,101-250,56.8,62.3,29.1,59.4,,49.6,,,,,,73.4,5.7,,96.9,90.5,94.5,,
U0848,indian institute of technology bombay iitb,C047,India,Asia,QS,2025,118,118.0,92.2,101-250,56.3,58.5,86.0,14.4,,79.1,,,,,,4.3,1.3,,52.3,64.5,52.5,,
U3048,university of oslo,C086,Norway,Europe,QS,2025,119,119.0,92.13,101-250,56.1,55.6,16.0,73.8,,55.7,,,,,,91.6,31.7,,97.3,80.9,72.1,,
U1696,queen mary university of london,C126,United Kingdom,Europe,QS,2025,120,120.0,92.07,101-250,55.8,48.3,36.9,30.4,,62.8,,,,,,99.5,99.2,,92.5,21.4,95.6,,
U3397,western university,C020,Canada,Americas,QS,2025,120,120.0,92.07,101-250,55.8,32.6,38.9,3.3,,93.4,,,,,,99.8,49.5,,81.5,96.7,99.3,,
U1687,qatar university,C097,Qatar,Asia,QS,2025,122,122.0,91.93,101-250,55.7,29.8,50.6,68.1,,48.2,,,,,,100.0,96.5,,89.4,98.6,74.0,,
U1730,rmit university,C006,Australia,Oceania,QS,2025,123,123.0,91.87,101-250,55.5,40.4,48.0,5.2,,77.7,,,,,,100.0,91.4,,83.2,38.4,93.9,,
U1970,sungkyunkwan university skku,C109,South Korea,Asia,QS,2025,123,123.0,91.87,101-250,55.5,57.9,70.7,80.5,,41.3,,,,,,17.5,41.7,,54.2,36.5,79.1,,
U3159,university of southern california,C127,United States,Americas,QS,2025,125,125.0,91.73,101-250,55.2,50.4,54.5,17.3,,58.0,,,,,,26.0,74.1,,85.8,92.6,97.7,,
U0805,humboldt universitat zu berlin,C039,Germany,Europe,QS,2025,126,126.0,91.67,101-250,55.0,89.2,69.9,7.4,,27.0,,,,,,69.1,35.1,,93.1,19.0,19.9,,
U2633,university college dublin,C051,Ireland,Europe,QS,2025,126,126.0,91.67,101-250,55.0,51.4,43.5,16.6,,46.4,,,,,,99.1,74.8,,87.2,89.8,95.6,,
U1956,stockholm university,C113,Sweden,Europe,QS,2025,128,128.0,91.53,101-250,54.8,52.5,21.0,26.7,,64.5,,,,,,80.7,89.8,,95.7,86.6,58.7,,
U1473,newcastle university,C126,United Kingdom,Europe,QS,2025,129,129.0,91.47,101-250,54.5,50.0,59.3,39.2,,38.7,,,,,,89.5,68.6,,97.1,31.3,97.1,,
