country_code,year,indicator,value
GRC,2015,female_tertiary_students_pct,
PHL,2015,female_tertiary_students_pct,
IRN,2015,female_tertiary_students_pct,45.8151702880859
EGY,2015,female_tertiary_students_pct,48.0099792480469
LUX,2015,female_tertiary_students_pct,
EST,2015,female_tertiary_students_pct,58.8057403564453
PER,2015,female_tertiary_students_pct,
OMN,2015,female_tertiary_students_pct,58.1746711730957
JOR,2015,female_tertiary_students_pct,51.5971183776855
BRN,2015,female_tertiary_students_pct,60.9791984558105
BLR,2015,female_tertiary_students_pct,55.635440826416
CYP,2015,female_tertiary_students_pct,56.7696304321289
LTU,2015,female_tertiary_students_pct,57.5741806030273
VNM,2015,female_tertiary_students_pct,48.9088592529297
CRI,2015,female_tertiary_students_pct,55.6451683044434
BHR,2015,female_tertiary_students_pct,59.589729309082
UZB,2015,female_tertiary_students_pct,37.5186805725098
ISL,2015,female_tertiary_students_pct,
BGD,2015,female_tertiary_students_pct,
HUN,2015,female_tertiary_students_pct,54.5398712158203
SVN,2015,female_tertiary_students_pct,
KWT,2015,female_tertiary_students_pct,
HRV,2015,female_tertiary_students_pct,56.4713401794434
SVK,2015,female_tertiary_students_pct,
BGR,2015,female_tertiary_students_pct,54.5615196228027
URY,2015,female_tertiary_students_pct,
VEN,2015,female_tertiary_students_pct,
CUB,2015,female_tertiary_students_pct,56.767261505127
UKR,2015,female_tertiary_students_pct,52.3703498840332
LVA,2015,female_tertiary_students_pct,59.5661392211914
SRB,2015,female_tertiary_students_pct,55.780029296875
MLT,2015,female_tertiary_students_pct,55.9019393920898
ETH,2015,female_tertiary_students_pct,
TUN,2015,female_tertiary_students_pct,61.6124000549316
ROU,2015,female_tertiary_students_pct,53.663688659668
GEO,2015,female_tertiary_students_pct,54.0213012695313
ECU,2015,female_tertiary_students_pct,
IRQ,2015,female_tertiary_students_pct,
PSE,2015,female_tertiary_students_pct,60.2412490844727
KGZ,2015,female_tertiary_students_pct,55.7030982971191
GHA,2015,female_tertiary_students_pct,40.0305099487305
UGA,2015,female_tertiary_students_pct,
KEN,2015,female_tertiary_students_pct,
ARM,2015,female_tertiary_students_pct,54.2729797363281
AZE,2015,female_tertiary_students_pct,51.7134284973145
LKA,2015,female_tertiary_students_pct,61.0555191040039
PRI,2015,female_tertiary_students_pct,
PRY,2015,female_tertiary_students_pct,
PAN,2015,female_tertiary_students_pct,
MAR,2015,female_tertiary_students_pct,48.0312385559082
NGA,2015,female_tertiary_students_pct,
SDN,2015,female_tertiary_students_pct,
BIH,2015,female_tertiary_students_pct,56.0138282775879
SYR,2015,female_tertiary_students_pct,50.9117202758789
DOM,2015,female_tertiary_students_pct,64.4203414916992
GTM,2015,female_tertiary_students_pct,53.5707511901855
BOL,2015,female_tertiary_students_pct,
HND,2015,female_tertiary_students_pct,57.0028991699219
DZA,2015,female_tertiary_students_pct,60.202449798584
TZA,2015,female_tertiary_students_pct,
FJI,2015,female_tertiary_students_pct,
JAM,2015,female_tertiary_students_pct,62.5823402404785
BWA,2015,female_tertiary_students_pct,57.4930305480957
MOZ,2015,female_tertiary_students_pct,42.4251403808594
MUS,2015,female_tertiary_students_pct,56.3465385437012
NAM,2015,female_tertiary_students_pct,
NPL,2015,female_tertiary_students_pct,51.6897811889648
ZMB,2015,female_tertiary_students_pct,
ZWE,2015,female_tertiary_students_pct,47.8945198059082
MNE,2015,female_tertiary_students_pct,
XKX,2015,female_tertiary_students_pct,
MKD,2015,female_tertiary_students_pct,54.3065299987792
SOM,2015,female_tertiary_students_pct,
RWA,2015,female_tertiary_students_pct,44.9007301330566
YEM,2015,female_tertiary_students_pct,
LBY,2015,female_tertiary_students_pct,
TCA,2015,female_tertiary_students_pct,
TKM,2015,female_tertiary_students_pct,
SEN,2015,female_tertiary_students_pct,37.6380081176758
MWI,2015,female_tertiary_students_pct,
KHM,2015,female_tertiary_students_pct,43.7082481384277
AGO,2015,female_tertiary_students_pct,44.5065803527832
MDA,2015,female_tertiary_students_pct,56.2895889282227
MNG,2015,female_tertiary_students_pct,57.4323310852051
ALB,2015,female_tertiary_students_pct,56.7119483947754
USA,2015,tertiary_pupil_teacher_ratio,
GBR,2015,tertiary_pupil_teacher_ratio,
CHE,2015,tertiary_pupil_teacher_ratio,
SGP,2015,tertiary_pupil_teacher_ratio,
AUS,2015,tertiary_pupil_teacher_ratio,
CHN,2015,tertiary_pupil_teacher_ratio,
HKG,2015,tertiary_pupil_teacher_ratio,
FRA,2015,tertiary_pupil_teacher_ratio,
CAN,2015,tertiary_pupil_teacher_ratio,
DEU,2015,tertiary_pupil_teacher_ratio,7.51541996002197
KOR,2015,tertiary_pupil_teacher_ratio,
JPN,2015,tertiary_pupil_teacher_ratio,
NLD,2015,tertiary_pupil_teacher_ratio,13.4636602401733
MYS,2015,tertiary_pupil_teacher_ratio,10.1904096603394
BEL,2015,tertiary_pupil_teacher_ratio,
NZL,2015,tertiary_pupil_teacher_ratio,
ARG,2015,tertiary_pupil_teacher_ratio,
SWE,2015,tertiary_pupil_teacher_ratio,12.5553598403931
IRL,2015,tertiary_pupil_teacher_ratio,
BRA,2015,tertiary_pupil_teacher_ratio,
CHL,2015,tertiary_pupil_teacher_ratio,
RUS,2015,tertiary_pupil_teacher_ratio,
MEX,2015,tertiary_pupil_teacher_ratio,
DNK,2015,tertiary_pupil_teacher_ratio,8.46296977996826
SAU,2015,tertiary_pupil_teacher_ratio,19.8450202941895
ITA,2015,tertiary_pupil_teacher_ratio,20.300500869751
FIN,2015,tertiary_pupil_teacher_ratio,
IND,2015,tertiary_pupil_teacher_ratio,24.2897605895996
NOR,2015,tertiary_pupil_teacher_ratio,9.92749977111816
QAT,2015,tertiary_pupil_teacher_ratio,12.9428701400757
AUT,2015,tertiary_pupil_teacher_ratio,6.99524021148682
KAZ,2015,tertiary_pupil_teacher_ratio,12.9751901626587
ESP,2015,tertiary_pupil_teacher_ratio,12.5089902877808
ZAF,2015,tertiary_pupil_teacher_ratio,
COL,2015,tertiary_pupil_teacher_ratio,15.3640804290771
ARE,2015,tertiary_pupil_teacher_ratio,17.8090705871582
IDN,2015,tertiary_pupil_teacher_ratio,
ISR,2015,tertiary_pupil_teacher_ratio,
THA,2015,tertiary_pupil_teacher_ratio,21.5390300750732
MAC,2015,tertiary_pupil_teacher_ratio,15.2709703445435
CZE,2015,tertiary_pupil_teacher_ratio,
LBN,2015,tertiary_pupil_teacher_ratio,
POL,2015,tertiary_pupil_teacher_ratio,
PRT,2015,tertiary_pupil_teacher_ratio,10.4342699050903
TUR,2015,tertiary_pupil_teacher_ratio,
PAK,2015,tertiary_pupil_teacher_ratio,17.5596199035645
GRC,2015,tertiary_pupil_teacher_ratio,
PHL,2015,tertiary_pupil_teacher_ratio,
