Country Name,Country Code,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015
Spain,ESP,89.6701431274414,51.2237510681152,53.1438102722167,12.5089902877808,99.65568,438616.0
Sri Lanka,LKA,19.7966194152832,11.0762100219727,61.0555191040039,,,46337.0
St. Kitts and Nevis,KNA,79.5645294189453,,66.562141418457,7.6427001953125,,
St. Lucia,LCA,16.76589012146,,65.3156433105469,10.1751804351807,,944.0
Sweden,SWE,62.3007698059082,,59.1986618041992,12.5553598403931,,
Switzerland,CHE,57.672191619873,51.3324813842773,49.8023414611816,,,86178.0
Syrian Arab Republic,SYR,44.0486183166504,,50.9117202758789,64.4064178466797,,59116.0
Tajikistan,TJK,26.3745002746582,,39.3399314880371,17.55419921875,,42964.0
Tanzania,TZA,,,,,85.75514,
Thailand,THA,48.8574409484863,26.9894104003906,58.3397102355957,21.5390300750732,98.14663,371412.0
Togo,TGO,10.6259603500366,,29.8774509429932,26.2367305755615,84.29011,
Tunisia,TUN,34.6065788269042,24.4065208435059,61.6124000549316,,,64612.0
Turkey,TUR,94.7322998046875,,45.9554710388184,,99.49439,
Turks and Caicos Islands,TCA,,,,,,107.0
Ukraine,UKR,,,52.3703498840332,10.5358104705811,,499993.0
United Arab Emirates,ARE,,,54.916259765625,17.8090705871582,,27893.0
United Kingdom,GBR,,,,,,740276.0
United States,USA,85.7957763671875,,56.2370185852051,,,
Upper middle income,UMC,46.9158592224121,,52.5372009277344,,,
Uruguay,URY,55.5662689208984,,,7.08838987350464,98.9276,12036.0
Uzbekistan,UZB,8.78775024414063,,37.5186805725098,10.7137098312378,100.0,68192.0
"Venezuela, RB",VEN,,,,,99.00763,
Vietnam,VNM,28.8356494903564,19.5287895202637,48.9088592529297,27.051570892334,,585554.0
West Bank and Gaza,PSE,44.2832183837891,30.5414791107178,60.2412490844727,26.140510559082,99.34061,39720.0
World,WLD,35.6925582885742,,51.178581237793,,,
Zimbabwe,ZWE,8.43327045440674,,47.8945198059082,17.9308300018311,,33255.0
