university_id,university_name,country_id,country_name,region
U00360,catholic university of ávila,C066,Spain,Europe & Central Asia
U00361,católica de córdoba,C008,Argentina,Latin America & Caribbean
U00362,caucasus international university,C077,Georgia,Europe & Central Asia
U00363,cbs international business school,C052,Germany,Europe & Central Asia
U00364,ceará state university,C028,Brazil,Latin America & Caribbean
U00365,cebu technological university,C174,Philippines,East Asia & Pacific
U00366,cecos university of it and emerging sciences,C171,Pakistan,South Asia
U00367,central european university,C013,Austria,Europe & Central Asia
U00368,central luzon state university,C174,Philippines,East Asia & Pacific
U00369,central michigan university,C228,United States,North America
U00370,central queensland university,C012,Australia,East Asia & Pacific
U00371,central queensland university,,,
U00372,central queensland university cquniversity australia,C012,Australia,East Asia & Pacific
U00373,central south university,C038,China,East Asia & Pacific
U00374,central south university,C038,China,East Asia & Pacific
U00375,centrale nantes,C072,France,Europe & Central Asia
U00376,centro de estudios para la calidad educativa y la investigación científica ceceic,C142,Mexico,Latin America & Caribbean
U00377,centro federal de educação tecnológica celso suckow da fonseca cefetrj,C028,Brazil,Latin America & Caribbean
U00378,centro universitário cesuca,C028,Brazil,Latin America & Caribbean
U00379,centro universitário de jaguariúna,C028,Brazil,Latin America & Caribbean
U00380,centro universitário max planck,C028,Brazil,Latin America & Caribbean
U00381,centurion university of technology and management,C099,India,South Asia
U00382,ces university,C043,Colombia,Latin America & Caribbean
U00383,cetys universidad,C142,Mexico,Latin America & Caribbean
U00384,chalmers university of technology,C206,Sweden,Europe & Central Asia
U00385,chandigarh university,C099,India,South Asia
U00386,chang gung university,,Taiwan,
U00387,chang gung university,,,
U00388,chang gung university of science and technology,,Taiwan,
U00389,chang jung christian university,,Taiwan,
U00390,changsha university of science and technology,C038,China,East Asia & Pacific
U00391,chaoyang university of technology,,Taiwan,
U00392,chapman university,C228,United States,North America
U00393,charisma university,C211,Turks and Caicos Islands,Latin America & Caribbean
U00394,charité universitätsmedizin berlin,C052,Germany,Europe & Central Asia
U00395,charles darwin university,C012,Australia,East Asia & Pacific
U00396,charles sturt university,C012,Australia,East Asia & Pacific
U00397,charles university,C051,Czech Republic,Europe & Central Asia
U00398,chelyabinsk state university,C186,Russian Federation,
U00399,chengdu university,C038,China,East Asia & Pacific
U00400,chengdu university,,,
U00401,chernihiv polytechnic national university,C225,Ukraine,Europe & Central Asia
U00402,chettinad academy of research and education,C099,India,South Asia
U00403,chiang mai university,C214,Thailand,East Asia & Pacific
U00404,chiba institute of technology,C108,Japan,East Asia & Pacific
U00405,chiba university,C108,Japan,East Asia & Pacific
U00406,china agricultural university,C038,China,East Asia & Pacific
U00407,china medical university taiwan,,Taiwan,
U00408,china pharmaceutical university,C038,China,East Asia & Pacific
U00409,china university of geosciences,C038,China,East Asia & Pacific
U00410,china university of geosciences beijing,C038,China,East Asia & Pacific
U00411,china university of mining and technology,C038,China,East Asia & Pacific
U00412,china university of petroleum,C038,China,East Asia & Pacific
U00413,china university of petroleum beijing,C038,China,East Asia & Pacific
U00414,china university of petroleum east china,C038,China,East Asia & Pacific
U00415,china university of political science and law,C038,China,East Asia & Pacific
U00416,chinese culture university,,Taiwan,
U00417,chinese university of hong kong,C091,"Hong Kong SAR, China",East Asia & Pacific
U00418,chinese university of hong kong,,,
U00419,chinhoyi university of technology,C241,Zimbabwe,Sub-Saharan Africa
U00420,chitkara university,C099,India,South Asia
U00421,chittagong university of engineering and technology,C019,Bangladesh,South Asia
U00422,chongqing university,C038,China,East Asia & Pacific
U00423,chongqing university,C038,China,East Asia & Pacific
U00424,chongqing university,,,
U00425,chonnam national university,C115,"Korea, Rep.",
U00426,chonnam national university,,,
U00427,chosun university,C115,"Korea, Rep.",
U00428,christ university bengaluru india,C099,India,South Asia
U00429,christianalbrechtsuniversity zu kiel,C052,Germany,Europe & Central Asia
U00430,chubu university,C108,Japan,East Asia & Pacific
U00431,chulalongkorn university,C214,Thailand,East Asia & Pacific
U00432,chulalongkorn university,,,
U00433,chung shan medical university,,Taiwan,
U00434,chung yuan christian university,,Taiwan,
U00435,chungang university,C115,"Korea, Rep.",
U00436,chungang university cau,C115,"Korea, Rep.",
U00437,chungbuk national university,C115,"Korea, Rep.",
U00438,chungbuk national university,,,
U00439,chungnam national university,C115,"Korea, Rep.",
U00440,chuo university,C108,Japan,East Asia & Pacific
U00441,cihan university erbil,C102,Iraq,Middle East & North Africa
U00442,cihan university sulaimaniya,C102,Iraq,Middle East & North Africa
U00443,city university of hong kong,C091,"Hong Kong SAR, China",East Asia & Pacific
U00444,city university of hong kong,C091,"Hong Kong SAR, China",East Asia & Pacific
U00445,city university of hong kong,,,
U00446,city university of london,C076,United Kingdom,Europe & Central Asia
U00447,city university of new york,C228,United States,North America
U00448,city university of science and information technology peshawar,C171,Pakistan,South Asia
U00449,civil aviation academy,C109,Kazakhstan,Europe & Central Asia
U00450,clark university,C228,United States,North America
U00451,clarkson university,C228,United States,North America
U00452,claude bernard university lyon 1,C072,France,Europe & Central Asia
U00453,clemson university,C228,United States,North America
