master_university_id,source_a,source_a_row,source_b,source_b_row,match_method,match_score
UNI00466,QS,407,THE,1388,exact,exact
UNI00467,QS,409,THE,851,exact,exact
UNI00429,QS,412,THE,376,exact,exact
UNI00372,QS,413,THE,392,exact,exact
UNI00471,QS,414,THE,741,exact,exact
UNI00370,QS,415,THE,331,exact,exact
UNI00420,QS,416,THE,374,exact,exact
UNI00387,QS,421,THE,346,exact,exact
UNI00482,QS,422,THE,537,exact,exact
UNI00294,QS,426,THE,357,exact,exact
UNI00487,QS,427,THE,449,exact,exact
UNI00490,QS,428,THE,509,exact,exact
UNI00454,QS,431,THE,396,exact,exact
UNI00435,QS,433,THE,383,exact,exact
UNI00495,QS,434,THE,931,exact,exact
UNI00497,QS,435,THE,565,exact,exact
UNI00441,QS,436,THE,482,exact,exact
UNI00477,QS,437,THE,424,exact,exact
UNI00320,QS,438,THE,285,exact,exact
UNI00377,QS,439,THE,339,exact,exact
UNI00231,QS,443,THE,310,exact,exact
UNI00278,QS,445,THE,246,exact,exact
UNI00506,QS,446,THE,564,exact,exact
UNI00409,QS,447,THE,361,exact,exact
UNI00459,QS,448,THE,401,exact,exact
UNI00381,QS,450,THE,342,exact,exact
UNI00518,QS,456,THE,1036,exact,exact
UNI00522,QS,459,THE,771,exact,exact
UNI00296,QS,463,THE,259,exact,exact
UNI00533,QS,468,THE,492,exact,exact
UNI00400,QS,469,THE,354,exact,exact
UNI00321,QS,470,THE,389,exact,exact
UNI00534,QS,471,THE,515,exact,exact
UNI00425,QS,472,THE,372,exact,exact
UNI00536,QS,474,THE,665,exact,exact
UNI00541,QS,477,THE,990,exact,exact
UNI00542,QS,478,THE,692,exact,exact
UNI00516,QS,482,THE,454,exact,exact
UNI00464,QS,483,THE,404,exact,exact
UNI00550,QS,484,THE,2207,exact,exact
UNI00433,QS,485,THE,378,exact,exact
UNI00551,QS,486,THE,1830,exact,exact
UNI00496,QS,490,THE,434,exact,exact
UNI00247,QS,495,THE,216,exact,exact
UNI00539,QS,498,THE,475,exact,exact
UNI00566,QS,500,THE,651,exact,exact
UNI00567,QS,501,THE,785,exact,exact
UNI00406,QS,502,THE,423,exact,exact
UNI00572,QS,504,THE,622,exact,exact
UNI00532,QS,506,THE,471,exact,exact
UNI00578,QS,508,THE,720,exact,exact
UNI00581,QS,511,THE,974,exact,exact
UNI00398,QS,512,THE,353,exact,exact
UNI00544,QS,514,THE,479,exact,exact
UNI00479,QS,517,THE,642,exact,exact
UNI00596,QS,522,THE,550,exact,exact
UNI00498,QS,526,THE,437,exact,exact
UNI00412,QS,531,THE,363,exact,exact
UNI00604,QS,532,THE,814,exact,exact
UNI00486,QS,535,THE,429,exact,exact
UNI00473,QS,538,THE,527,exact,exact
UNI00611,QS,539,THE,960,exact,exact
UNI00584,QS,547,THE,513,exact,exact
UNI00628,QS,550,THE,695,exact,exact
UNI00603,QS,552,THE,531,exact,exact
UNI00631,QS,553,THE,1921,exact,exact
UNI00355,QS,555,THE,368,exact,exact
UNI00520,QS,556,THE,461,exact,exact
UNI00488,QS,558,THE,427,exact,exact
UNI00641,QS,562,THE,1031,exact,exact
UNI00528,QS,564,THE,467,exact,exact
UNI00392,QS,565,THE,1012,exact,exact
UNI00262,QS,567,THE,290,exact,exact
