University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score,female_percentage,male_percentage,overall_score_min,overall_score_max,overall_score_mid,rank_type,rank_numeric
1501+,Tokyo Denki University,Japan,9846,28.5,3.0,13 : 87,10.4â18.3,15.0,9.6,1.7,40.2,19.5,13,87,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,Tokyo University of Pharmacy and Life Sciences,Japan,3853,18.9,1.0,52 : 48,10.4â18.3,17.5,7.8,11.2,38.0,18.4,52,48,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,Tottori University,Japan,5995,8.1,2.0,38 : 62,10.4â18.3,23.3,12.3,14.4,39.6,22.6,38,62,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,Toyo University,Japan,30465,24.2,6.0,43 : 57,10.4â18.3,14.4,9.0,4.8,37.9,30.9,43,57,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,University of Tunis,Tunisia,16418,12.8,2.0,68 : 32,10.4â18.3,20.5,9.6,14.7,37.0,38.2,68,32,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,Universitas Andalas,Indonesia,32537,21.6,0.0,55 : 45,10.4â18.3,23.9,9.1,10.7,43.4,16.7,55,45,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,Universiti Malaysia Sabah (UMS),Malaysia,17068,19.0,4.0,67 : 33,10.4â18.3,16.3,12.6,16.5,37.5,40.1,67,33,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,Uşak University,Turkey,20902,38.1,11.0,47 : 53,10.4â18.3,12.3,10.0,10.5,39.1,28.2,47,53,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,Utsunomiya University,Japan,4829,14.1,4.0,37 : 63,10.4â18.3,19.0,11.6,3.0,40.2,24.5,37,63,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,University of Valparaíso,Chile,16371,18.3,2.0,58 : 42,10.4â18.3,15.5,11.4,18.6,37.0,47.8,58,42,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,Van Yüzüncü Yil University,Turkey,20523,17.0,3.0,44 : 56,10.4â18.3,17.4,22.7,10.4,61.0,19.4,44,56,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,Vietnam National University (Ho Chi Minh City),Vietnam,75704,21.7,1.0,46 : 54,10.4â18.3,15.1,10.1,20.7,41.5,35.6,46,54,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,VSB - Technical University of Ostrava,,11087,14.4,10.0,33 : 67,10.4â18.3,18.8,17.0,8.2,44.1,42.0,33,67,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,Walailak University,Thailand,8553,13.3,1.0,73 : 27,10.4â18.3,17.7,10.6,14.5,37.2,36.0,73,27,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,University of Warmia and Mazury in Olsztyn,Poland,17690,17.7,2.0,59 : 41,10.4â18.3,16.8,12.2,20.6,39.2,21.4,59,41,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,University of West Attica,Greece,34530,33.6,0.0,49 : 51,10.4â18.3,12.0,9.8,22.8,37.3,26.0,49,51,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,West University of Timişoara,Romania,14527,24.6,6.0,66 : 34,10.4â18.3,18.7,13.4,16.8,37.7,28.7,66,34,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,Wrocław University of Science and Technology,Poland,23657,20.3,6.0,35 : 65,10.4â18.3,17.9,16.0,14.9,45.5,27.3,35,65,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,Yamaguchi University,Japan,10724,11.1,7.0,38 : 62,10.4â18.3,21.3,12.3,13.9,43.8,30.4,38,62,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,Yanshan University,China,38649,13.2,1.0,39 : 61,10.4â18.3,17.2,10.9,18.3,46.9,17.0,39,61,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,Yeditepe University,Turkey,17038,28.2,5.0,55 : 45,10.4â18.3,18.8,12.2,10.5,65.7,29.6,55,45,10.4,18.3,14.350000000000001,Range_1501_plus,
1501+,Zonguldak Bülent Ecevit University,Turkey,28319,25.4,8.0,47 : 53,10.4â18.3,13.2,8.2,23.5,38.9,23.1,47,53,10.4,18.3,14.350000000000001,Range_1501_plus,
Reporter,University Abdelhamid Ibn Badis Mostaganem,Algeria,24493,19.3,1.0,67 : 33,,,,,,,67,33,,,,Reporter,
Reporter,Abdullah Gül University,Turkey,2509,20.1,9.0,43 : 57,,,,,,,43,57,,,,Reporter,
Reporter,Abertay University,United Kingdom,4010,21.7,22.0,48 : 52,,,,,,,48,52,,,,Reporter,
Reporter,"Adamawa State University, Mubi",Nigeria,17840,70.0,0.0,35 : 65,,,,,,,35,65,,,,Reporter,
Reporter,AECC University College,United Kingdom,615,15.4,43.0,47 : 53,,,,,,,47,53,,,,Reporter,
Reporter,Afe Babalola University,,9085,11.1,1.0,59 : 41,,,,,,,59,41,,,,Reporter,
Reporter,Aga Khan University,Pakistan,1356,2.3,1.0,65 : 35,,,,,,,65,35,,,,Reporter,
Reporter,Ahl Al Bayt University,Iraq,2879,14.3,1.0,51 : 49,,,,,,,51,49,,,,Reporter,
Reporter,Aichi Prefectural University,Japan,3302,15.2,1.0,72 : 28,,,,,,,72,28,,,,Reporter,
Reporter,Air University,Pakistan,6404,15.2,0.0,32 : 68,,,,,,,32,68,,,,Reporter,
Reporter,Ajeenkya DY Patil University,India,2793,16.4,0.0,24 : 76,,,,,,,24,76,,,,Reporter,
Reporter,Tashkent Metropolitan University,Uzbekistan,317,22.6,5.0,51 : 49,,,,,,,51,49,,,,Reporter,
Reporter,Ajman University,United Arab Emirates,5050,16.4,82.0,59 : 41,,,,,,,59,41,,,,Reporter,
Reporter,Akita Prefectural University,Japan,1826,8.5,1.0,26 : 74,,,,,,,26,74,,,,Reporter,
Reporter,Akwa Ibom State University,Nigeria,10026,20.7,0.0,42 : 58,,,,,,,42,58,,,,Reporter,
Reporter,Al-Ayen University,Iraq,11000,51.2,0.0,66 : 34,,,,,,,66,34,,,,Reporter,
Reporter,Alex Ekwueme Federal University Ndufu-Alike,Nigeria,12962,16.8,0.0,52 : 48,,,,,,,52,48,,,,Reporter,
Reporter,Al-Ahliyya Amman University,,4192,11.8,57.0,50 : 50,,,,,,,50,50,,,,Reporter,
Reporter,Al-Farabi University College,Iraq,4309,16.0,0.0,36 : 64,,,,,,,36,64,,,,Reporter,
Reporter,Al-Farahidi University,Iraq,17080,65.9,0.0,47 : 53,,,,,,,47,53,,,,Reporter,
Reporter,Al-Esraa University College,Iraq,16150,22.2,0.0,,,,,,,,,,,,,Reporter,
Reporter,University of Al-Hamdaniya,Iraq,2302,26.5,0.0,32 : 68,,,,,,,32,68,,,,Reporter,
Reporter,Alisher Navo’i Tashkent State University of Uzbek Language and Literature,,3614,12.9,6.0,82 : 18,,,,,,,82,18,,,,Reporter,
Reporter,Al-Kitab University,Iraq,7206,16.9,0.0,32 : 68,,,,,,,32,68,,,,Reporter,
Reporter,Al-Maarif University College,Iraq,6000,17.6,1.0,60 : 40,,,,,,,60,40,,,,Reporter,
Reporter,Al-Manara College for Medical Sciences,Iraq,4538,30.9,0.0,47 : 53,,,,,,,47,53,,,,Reporter,
Reporter,Al-Mustaqbal University,,9698,20.8,0.0,41 : 59,,,,,,,41,59,,,,Reporter,
Reporter,Al-Muthanna University,Iraq,15591,23.1,0.0,55 : 45,,,,,,,55,45,,,,Reporter,
Reporter,Al-Nahrain University,Iraq,5716,6.2,0.0,49 : 51,,,,,,,49,51,,,,Reporter,
Reporter,Al-Noor University College,Iraq,6454,40.6,0.0,62 : 38,,,,,,,62,38,,,,Reporter,
Reporter,Al-Quds University,Palestine,12170,12.3,6.0,62 : 38,,,,,,,62,38,,,,Reporter,
Reporter,Altınbaş University,Turkey,8204,13.7,47.0,41 : 59,,,,,,,41,59,,,,Reporter,
Reporter,American International University – Bangladesh,Bangladesh,10738,26.6,0.0,24 : 76,,,,,,,24,76,,,,Reporter,
Reporter,American University of Madaba,Jordan,1685,17.9,26.0,47 : 53,,,,,,,47,53,,,,Reporter,
Reporter,American University of Nigeria,Nigeria,1100,10.1,2.0,49 : 51,,,,,,,49,51,,,,Reporter,
Reporter,American University of Ras Al Khaimah,United Arab Emirates,784,8.1,63.0,50 : 50,,,,,,,50,50,,,,Reporter,
Reporter,"Amity University, Gurugram",India,5695,14.8,2.0,40 : 60,,,,,,,40,60,,,,Reporter,
Reporter,"Amity University, Gwalior",India,2160,12.6,0.0,43 : 57,,,,,,,43,57,,,,Reporter,
Reporter,"Amity University Rajasthan, Jaipur",India,2971,12.5,0.0,33 : 67,,,,,,,33,67,,,,Reporter,
Reporter,"Amity University, Mumbai",India,4358,22.7,0.0,48 : 52,,,,,,,48,52,,,,Reporter,
Reporter,Andijan State Medical Institute,Uzbekistan,6831,9.5,5.0,47 : 53,,,,,,,47,53,,,,Reporter,
Reporter,Andrés Bello Catholic University (UCAB),Venezuela,10857,17.8,1.0,50 : 50,,,,,,,50,50,,,,Reporter,
Reporter,Anglo-American University,Czech Republic,620,12.7,80.0,40 : 60,,,,,,,40,60,,,,Reporter,
Reporter,Ankara Science University,Turkey,393,9.6,19.0,62 : 38,,,,,,,62,38,,,,Reporter,
Reporter,Arab American University,Palestine,12070,31.1,44.0,58 : 42,,,,,,,58,42,,,,Reporter,
Reporter,Arab Open University – Kuwait,Kuwait,9139,103.9,64.0,57 : 43,,,,,,,57,43,,,,Reporter,
Reporter,Arab Open University Lebanon,Lebanon,1754,13.3,14.0,47 : 53,,,,,,,47,53,,,,Reporter,
Reporter,Arts University Bournemouth,United Kingdom,3310,14.1,21.0,69 : 31,,,,,,,69,31,,,,Reporter,
Reporter,Antonio Nariño University,Colombia,13359,17.9,1.0,53 : 47,,,,,,,53,47,,,,Reporter,
Reporter,University of the Arts London,United Kingdom,17930,12.8,60.0,76 : 24,,,,,,,76,24,,,,Reporter,
Reporter,Arts University Plymouth,United Kingdom,1215,12.2,9.0,72 : 28,,,,,,,72,28,,,,Reporter,
Reporter,Asahi University,Japan,2607,8.7,5.0,33 : 67,,,,,,,33,67,,,,Reporter,
Reporter,Ashikaga University,Japan,1572,19.9,15.0,25 : 75,,,,,,,25,75,,,,Reporter,
Reporter,Ashur University College,Iraq,1059,8.1,0.0,59 : 41,,,,,,,59,41,,,,Reporter,
Reporter,Audencia,France,5838,38.7,31.0,52 : 48,,,,,,,52,48,,,,Reporter,
Reporter,Augustine University,Nigeria,238,3.7,0.0,40 : 60,,,,,,,40,60,,,,Reporter,
Reporter,Azerbaijan University of Architecture and Construction,Azerbaijan,9846,18.9,3.0,22 : 78,,,,,,,22,78,,,,Reporter,
Reporter,Azerbaijan State University of Economics,Azerbaijan,17328,11.8,2.0,51 : 49,,,,,,,51,49,,,,Reporter,
Reporter,Babcock University,Nigeria,12340,18.8,0.0,53 : 47,,,,,,,53,47,,,,Reporter,
Reporter,Badr University in Cairo (BUC),Egypt,14021,20.7,2.0,55 : 45,,,,,,,55,45,,,,Reporter,
Reporter,Bakrie University,Indonesia,3219,33.9,0.0,57 : 43,,,,,,,57,43,,,,Reporter,
Reporter,"Balochistan University of Engineering and Technology, Khuzdar",Pakistan,2990,15.0,,7 : 93,,,,,,,7,93,,,,Reporter,
Reporter,"Bamidele Olumilua University of Education, Science and Technology, Ikere-Ikiti",Nigeria,4329,14.9,0.0,60 : 40,,,,,,,60,40,,,,Reporter,
Reporter,Bandirma Onyedi Eylül University,Turkey,15473,47.0,7.0,45 : 55,,,,,,,45,55,,,,Reporter,
Reporter,Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangladesh,1760,8.4,3.0,53 : 47,,,,,,,53,47,,,,Reporter,
Reporter,Barawa International University,Somalia,13200,35.3,3.0,33 : 67,,,,,,,33,67,,,,Reporter,
Reporter,Bartin University,Turkey,10317,23.7,9.0,44 : 56,,,,,,,44,56,,,,Reporter,
Reporter,Basrah University College of Science and Technology,Iraq,2115,21.2,0.0,46 : 54,,,,,,,46,54,,,,Reporter,
Reporter,Bath Spa University,United Kingdom,6555,17.7,11.0,68 : 32,,,,,,,68,32,,,,Reporter,
Reporter,University of Batna 1,Algeria,32179,28.1,0.0,64 : 36,,,,,,,64,36,,,,Reporter,
Reporter,Baze University,Nigeria,1790,5.2,0.0,50 : 50,,,,,,,50,50,,,,Reporter,
Reporter,Bells University of Technology,Nigeria,1765,7.5,0.0,27 : 73,,,,,,,27,73,,,,Reporter,
Reporter,University of Benghazi,Libya,76419,16.3,2.0,58 : 42,,,,,,,58,42,,,,Reporter,
Reporter,Benson Idahosa University,Nigeria,3859,16.6,0.0,50 : 50,,,,,,,50,50,,,,Reporter,
Reporter,Bernardo O’Higgins University,Chile,7554,18.1,4.0,66 : 34,,,,,,,66,34,,,,Reporter,
Reporter,Beykent University,Turkey,22103,25.4,4.0,47 : 53,,,,,,,47,53,,,,Reporter,
Reporter,Bilecik Şeyh Edebali University,Turkey,10434,18.2,8.0,42 : 58,,,,,,,42,58,,,,Reporter,
Reporter,Biruni University,Turkey,5111,16.9,7.0,72 : 28,,,,,,,72,28,,,,Reporter,
Reporter,Birzeit University,Palestine,11486,17.5,5.0,63 : 37,,,,,,,63,37,,,,Reporter,
Reporter,University of Bisha,Saudi Arabia,13919,11.8,1.0,66 : 34,,,,,,,66,34,,,,Reporter,
Reporter,Bishop Grosseteste University,United Kingdom,2010,21.2,4.0,79 : 21,,,,,,,79,21,,,,Reporter,
Reporter,University of Bogotá Jorge Tadeo Lozano,Colombia,7704,18.6,1.0,55 : 45,,,,,,,55,45,,,,Reporter,
Reporter,University of Bolton,United Kingdom,5400,14.6,33.0,61 : 39,,,,,,,61,39,,,,Reporter,
Reporter,Botswana International University of Science and Technology (BIUST),Botswana,2006,11.4,1.0,22 : 78,,,,,,,22,78,,,,Reporter,
Reporter,Bowen University,Nigeria,4161,12.0,0.0,58 : 42,,,,,,,58,42,,,,Reporter,
Reporter,Buckinghamshire New University,United Kingdom,5290,17.3,32.0,60 : 40,,,,,,,60,40,,,,Reporter,
Reporter,Buriram Rajabhat University,Thailand,11197,26.2,0.0,53 : 47,,,,,,,53,47,,,,Reporter,
Reporter,Canadian International College (CIC) – Cairo,Egypt,9494,39.4,2.0,32 : 68,,,,,,,32,68,,,,Reporter,
Reporter,Catholic University in Erbil,Iraq,152,3.6,0.0,58 : 42,,,,,,,58,42,,,,Reporter,
Reporter,Universidad Católica de Colombia,Colombia,10671,27.2,0.0,50 : 50,,,,,,,50,50,,,,Reporter,
Reporter,B. S. Abdur Rahman Crescent Institute of Science and Technology,India,7046,15.7,0.0,24 : 76,,,,,,,24,76,,,,Reporter,
Reporter,Universidad Católica de Cuenca,Ecuador,16046,20.6,2.0,57 : 43,,,,,,,57,43,,,,Reporter,
Reporter,Universidad Católica San Pablo,Peru,8793,32.5,0.0,53 : 47,,,,,,,53,47,,,,Reporter,
Reporter,Cebu Technological University,Philippines,39726,33.3,0.0,50 : 50,,,,,,,50,50,,,,Reporter,
Reporter,CECOS University of IT and Emerging Sciences,Pakistan,2405,13.0,0.0,11 : 89,,,,,,,11,89,,,,Reporter,
Reporter,University of Celaya,Mexico,1993,14.0,2.0,50 : 50,,,,,,,50,50,,,,Reporter,
Reporter,Central European University,Austria,1276,7.6,83.0,55 : 45,,,,,,,55,45,,,,Reporter,
Reporter,University of Central Punjab,Pakistan,16948,32.8,0.0,36 : 64,,,,,,,36,64,,,,Reporter,
Reporter,Centro Universitário de Jaguariúna,Brazil,9839,25.8,0.0,58 : 42,,,,,,,58,42,,,,Reporter,
Reporter,Centro Universitário Max Planck,Brazil,5150,16.0,0.0,61 : 39,,,,,,,61,39,,,,Reporter,
Reporter,CES University,Colombia,6348,13.5,3.0,70 : 30,,,,,,,70,30,,,,Reporter,
Reporter,César Ritz Colleges Switzerland,Switzerland,547,4.8,99.0,49 : 51,,,,,,,49,51,,,,Reporter,
Reporter,CETYS Universidad,Mexico,4960,9.6,13.0,52 : 48,,,,,,,52,48,,,,Reporter,
Reporter,Chernihiv Polytechnic National University,Ukraine,5914,20.5,0.0,42 : 58,,,,,,,42,58,,,,Reporter,
Reporter,University of Chichester,United Kingdom,4180,14.7,7.0,62 : 38,,,,,,,62,38,,,,Reporter,
Reporter,Chitkara University,India,12895,15.5,3.0,40 : 60,,,,,,,40,60,,,,Reporter,
Reporter,Christ University Bengaluru India,India,23637,20.2,2.0,48 : 52,,,,,,,48,52,,,,Reporter,
Reporter,Coal City University,Nigeria,461,4.8,0.0,48 : 52,,,,,,,48,52,,,,Reporter,
Reporter,Conservatoire for Dance and Drama,United Kingdom,940,10.4,35.0,70 : 30,,,,,,,70,30,,,,Reporter,
Reporter,University of Constantine 3,Algeria,14736,16.2,2.0,73 : 27,,,,,,,73,27,,,,Reporter,
Reporter,Courtauld Institute of Art,United Kingdom,510,12.8,51.0,82 : 18,,,,,,,82,18,,,,Reporter,
Reporter,Cranfield University,United Kingdom,3135,7.8,68.0,30 : 70,,,,,,,30,70,,,,Reporter,
Reporter,Cihan University – Erbil,Iraq,4457,23.3,1.0,43 : 57,,,,,,,43,57,,,,Reporter,
Reporter,University for the Creative Arts,United Kingdom,5345,18.8,35.0,67 : 33,,,,,,,67,33,,,,Reporter,
Reporter,"City University of Science and Information Technology, Peshawar",Pakistan,4163,21.3,2.0,15 : 85,,,,,,,15,85,,,,Reporter,
Reporter,Cross River University of Technology,Nigeria,18915,40.2,0.0,36 : 64,,,,,,,36,64,,,,Reporter,
Reporter,University of Cumbria,United Kingdom,5275,15.7,10.0,70 : 30,,,,,,,70,30,,,,Reporter,
Reporter,C.V. Raman Global University,India,6991,15.8,4.0,29 : 71,,,,,,,29,71,,,,Reporter,
Reporter,Cyprus Health and Social Sciences University,Northern Cyprus,2354,35.1,75.0,45 : 55,,,,,,,45,55,,,,Reporter,
Reporter,Daffodil International University (DIU),Bangladesh,16157,21.1,3.0,34 : 66,,,,,,,34,66,,,,Reporter,
Reporter,Debre Tabor University,Ethiopia,8414,7.4,0.0,41 : 59,,,,,,,41,59,,,,Reporter,
Reporter,Universidad del Sinú,Colombia,4350,25.6,0.0,57 : 43,,,,,,,57,43,,,,Reporter,
Reporter,Delta University for Science and Technology,Egypt,8780,16.9,0.0,48 : 52,,,,,,,48,52,,,,Reporter,
Reporter,Deraya University,Egypt,4275,18.9,0.0,58 : 42,,,,,,,58,42,,,,Reporter,
Reporter,University for Development Studies,Ghana,20674,33.9,1.0,41 : 59,,,,,,,41,59,,,,Reporter,
Reporter,Dhaka International University,Bangladesh,6033,29.9,8.0,17 : 83,,,,,,,17,83,,,,Reporter,
Reporter,Dhofar University,Oman,3122,17.8,6.0,56 : 44,,,,,,,56,44,,,,Reporter,
Reporter,Dhonburi Rajabhat University,Thailand,4210,16.1,1.0,61 : 39,,,,,,,61,39,,,,Reporter,
Reporter,Dijlah University,Iraq,8864,28.5,0.0,43 : 57,,,,,,,43,57,,,,Reporter,
Reporter,University of Diyala,Iraq,29461,17.9,0.0,54 : 46,,,,,,,54,46,,,,Reporter,
Reporter,Denau Institute of Entrepreneurship and Pedagogy,Uzbekistan,5247,21.9,0.0,63 : 37,,,,,,,63,37,,,,Reporter,
Reporter,Doğuş University,Turkey,9149,30.2,1.0,40 : 60,,,,,,,40,60,,,,Reporter,
Reporter,Donetsk National University of Economics and Trade named after Mykhailo Tuhan-Baranovsky (DonNUET),Ukraine,1068,18.4,2.0,60 : 40,,,,,,,60,40,,,,Reporter,
Reporter,Dr. M.G.R. Educational and Research Institute,India,23097,13.3,0.0,32 : 68,,,,,,,32,68,,,,Reporter,
Reporter,University of Dubai,United Arab Emirates,1147,27.3,24.0,29 : 71,,,,,,,29,71,,,,Reporter,
Reporter,DHA Suffa University,Pakistan,1807,14.5,0.0,15 : 85,,,,,,,15,85,,,,Reporter,
Reporter,University of Duhok,Iraq,23662,13.5,0.0,52 : 48,,,,,,,52,48,,,,Reporter,
Reporter,EAN University,Colombia,10000,142.9,0.0,,,,,,,,,,,,,Reporter,
Reporter,Ebonyi State University,Nigeria,25204,27.5,0.0,50 : 50,,,,,,,50,50,,,,Reporter,
Reporter,University of El Oued,Algeria,29028,33.1,0.0,59 : 41,,,,,,,59,41,,,,Reporter,
Reporter,École Nationale Polytechnique,Algeria,1489,8.7,0.0,46 : 54,,,,,,,46,54,,,,Reporter,
Reporter,École Polytechnique d’Architecture et d’Urbanisme,Algeria,1371,10.1,0.0,69 : 31,,,,,,,69,31,,,,Reporter,
Reporter,Academy of Economic Studies of Moldova,Moldova,5525,25.3,1.0,53 : 47,,,,,,,53,47,,,,Reporter,
Reporter,Edo State University Uzairue,Nigeria,1489,9.5,0.0,52 : 48,,,,,,,52,48,,,,Reporter,
Reporter,"University of Education, Lahore",Pakistan,27105,33.1,0.0,51 : 49,,,,,,,51,49,,,,Reporter,
Reporter,Effat University,Saudi Arabia,1067,9.4,26.0,99 : 1,,,,,,,99,1,,,,Reporter,
Reporter,Egerton University,Kenya,20472,40.1,1.0,43 : 57,,,,,,,43,57,,,,Reporter,
Reporter,Egyptian Russian University,Egypt,6237,13.6,2.0,39 : 61,,,,,,,39,61,,,,Reporter,
Reporter,Egypt-Japan University of Science and Technology (E-JUST),Egypt,539,6.7,3.0,33 : 67,,,,,,,33,67,,,,Reporter,
Reporter,"University of Engineering and Technology, Mardan",Pakistan,1208,21.6,1.0,5 : 95,,,,,,,5,95,,,,Reporter,
Reporter,ESIC,,6123,19.4,10.0,46 : 54,,,,,,,46,54,,,,Reporter,
Reporter,Universidade Estadual de Goiás,Brazil,19519,15.4,0.0,66 : 34,,,,,,,66,34,,,,Reporter,
Reporter,European University Cyprus,,5229,19.4,49.0,58 : 42,,,,,,,58,42,,,,Reporter,
Reporter,European University of Valencia,Spain,2169,8.8,50.0,58 : 42,,,,,,,58,42,,,,Reporter,
Reporter,"Evangel University, Akaeze",Nigeria,987,5.7,0.0,47 : 53,,,,,,,47,53,,,,Reporter,
Reporter,Externado University of Colombia,Colombia,12370,13.0,1.0,58 : 42,,,,,,,58,42,,,,Reporter,
Reporter,Falmouth University,United Kingdom,4800,17.8,14.0,57 : 43,,,,,,,57,43,,,,Reporter,
Reporter,Federal University Gashua,Nigeria,1091,3.3,0.0,10 : 90,,,,,,,10,90,,,,Reporter,
Reporter,Federal University of Kashere,Nigeria,10121,21.4,0.0,30 : 70,,,,,,,30,70,,,,Reporter,
Reporter,Federal University of Lafia,Nigeria,12456,22.8,0.0,40 : 60,,,,,,,40,60,,,,Reporter,
Reporter,Federal University of Latin American Integration (UNILA),Brazil,4774,11.8,31.0,50 : 50,,,,,,,50,50,,,,Reporter,
Reporter,"Federal University of Petroleum Resources, Effurun",Nigeria,7313,39.7,0.0,17 : 83,,,,,,,17,83,,,,Reporter,
Reporter,"Federal University of Technology, Minna",Nigeria,24671,27.8,0.0,25 : 75,,,,,,,25,75,,,,Reporter,
Reporter,"Federal University of Technology, Owerri",Nigeria,22610,18.7,0.0,31 : 69,,,,,,,31,69,,,,Reporter,
Reporter,First Technical University,Nigeria,2442,29.1,0.0,29 : 71,,,,,,,29,71,,,,Reporter,
Reporter,Fountain University,Nigeria,1420,18.9,0.0,59 : 41,,,,,,,59,41,,,,Reporter,
Reporter,University of Franca,Brazil,50760,160.6,0.0,57 : 43,,,,,,,57,43,,,,Reporter,
Reporter,Fukui Prefectural University,Japan,1772,10.9,1.0,51 : 49,,,,,,,51,49,,,,Reporter,
Reporter,Fundação Oswaldo Cruz,Brazil,3699,,,,,,,,,,,,,,,Reporter,
Reporter,Fundación Universitaria del Área Andina,Colombia,40193,35.9,0.0,60 : 40,,,,,,,60,40,,,,Reporter,
Reporter,Future University in Egypt,Egypt,9066,10.7,10.0,43 : 57,,,,,,,43,57,,,,Reporter,
Reporter,General Sir John Kotelawala Defence University,Sri Lanka,5136,21.0,2.0,48 : 52,,,,,,,48,52,,,,Reporter,
Reporter,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,Pakistan,2046,20.5,0.0,10 : 90,,,,,,,10,90,,,,Reporter,
Reporter,GLA University,India,9680,17.2,0.0,27 : 73,,,,,,,27,73,,,,Reporter,
Reporter,Fergana Polytechnic Institute,Uzbekistan,14812,23.6,0.0,20 : 80,,,,,,,20,80,,,,Reporter,
Reporter,Glasgow School of Art,United Kingdom,2240,16.0,44.0,67 : 33,,,,,,,67,33,,,,Reporter,
Reporter,University of Gloucestershire,United Kingdom,6605,17.2,11.0,60 : 40,,,,,,,60,40,,,,Reporter,
Reporter,Government College Women University Faisalabad,Pakistan,14424,56.3,0.0,100 : 0,,,,,,,100,0,,,,Reporter,
Reporter,"Government College Women University, Sialkot",Pakistan,7023,34.8,0.0,100 : 0,,,,,,,100,0,,,,Reporter,
Reporter,"The Graduate University for Advanced Studies, SOKENDAI",Japan,506,0.4,31.0,29 : 71,,,,,,,29,71,,,,Reporter,
Reporter,Greenwich University,Pakistan,1261,15.6,3.0,35 : 65,,,,,,,35,65,,,,Reporter,
Reporter,Gregory University Uturu,Nigeria,2025,7.3,0.0,62 : 38,,,,,,,62,38,,,,Reporter,
Reporter,Guildhall School of Music and Drama,United Kingdom,995,5.2,34.0,50 : 50,,,,,,,50,50,,,,Reporter,
Reporter,Gulf College,Oman,2780,27.5,3.0,40 : 60,,,,,,,40,60,,,,Reporter,
Reporter,Harper Adams University,United Kingdom,2195,13.3,11.0,58 : 42,,,,,,,58,42,,,,Reporter,
Reporter,Hartpury University,United Kingdom,1655,23.6,10.0,64 : 36,,,,,,,64,36,,,,Reporter,
Reporter,Hassiba Benbouali University of Chlef,Algeria,30121,22.3,1.0,71 : 29,,,,,,,71,29,,,,Reporter,
Reporter,Hawler Medical University,Iraq,4152,7.2,1.0,63 : 37,,,,,,,63,37,,,,Reporter,
Reporter,University of Health and Allied Sciences,Ghana,6445,23.5,0.0,62 : 38,,,,,,,62,38,,,,Reporter,
Reporter,"University of Health Sciences, Turkey",Turkey,21322,9.0,5.0,34 : 66,,,,,,,34,66,,,,Reporter,
Reporter,University of the Highlands and Islands,United Kingdom,7200,130.9,12.0,61 : 39,,,,,,,61,39,,,,Reporter,
Reporter,Hindustan Institute of Technology and Science,India,6033,12.1,1.0,36 : 64,,,,,,,36,64,,,,Reporter,
Reporter,Hiroshima Shudo University,Japan,4776,16.6,0.0,39 : 61,,,,,,,39,61,,,,Reporter,
Reporter,Hiroshima Institute of Technology,Japan,4628,25.4,0.0,10 : 90,,,,,,,10,90,,,,Reporter,
Reporter,Hitotsubashi University,Japan,6212,17.0,15.0,32 : 68,,,,,,,32,68,,,,Reporter,
Reporter,Huachiew Chalermprakiet University,Thailand,7297,16.0,7.0,79 : 21,,,,,,,79,21,,,,Reporter,
Reporter,University of Human Development,Iraq,2583,17.1,3.0,49 : 51,,,,,,,49,51,,,,Reporter,
Reporter,Hyogo University of Teacher Education,Japan,1161,8.0,2.0,68 : 32,,,,,,,68,32,,,,Reporter,
Reporter,IFHE Hyderabad,India,6931,20.3,0.0,39 : 61,,,,,,,39,61,,,,Reporter,
Reporter,Ignatius Ajuru University of Education,Nigeria,29785,75.2,0.0,49 : 51,,,,,,,49,51,,,,Reporter,
Reporter,Ilma University,Pakistan,4107,22.4,0.0,21 : 79,,,,,,,21,79,,,,Reporter,
Reporter,IMT Mines Alès,France,1425,12.8,15.0,31 : 69,,,,,,,31,69,,,,Reporter,
Reporter,Indira Gandhi Delhi Technical University for Women,India,3673,53.2,0.0,100 : 0,,,,,,,100,0,,,,Reporter,
Reporter,Institute of Cancer Research,United Kingdom,195,2.8,33.0,62 : 38,,,,,,,62,38,,,,Reporter,
