University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score,female_percentage,male_percentage,overall_score_min,overall_score_max,overall_score_mid,rank_type,rank_numeric
91,Free University of Berlin,Germany,26497,41.9,23.0,62 : 38,64.2,54.2,62.4,74.8,41.7,76.4,62,38,64.2,64.2,64.2,Exact,91
91,Korea Advanced Institute of Science and Technology (KAIST),South Korea,9946,10.7,9.0,21 : 79,64.2,64.5,66.0,65.7,100.0,38.2,21,79,64.2,64.2,64.2,Exact,91
93,Université Paris-Saclay,France,44443,14.9,19.0,49 : 51,63.9,56.7,55.2,79.1,54.6,69.7,49,51,63.9,63.9,63.9,Exact,93
94,University of Bern,Switzerland,11728,17.2,17.0,58 : 42,63.7,46.0,46.5,90.7,86.3,88.2,58,42,63.7,63.7,63.7,Exact,94
95,"University of California, Irvine",United States,36655,16.9,28.0,52 : 48,63.6,43.5,51.6,93.6,59.4,73.2,52,48,63.6,63.6,63.6,Exact,95
95,Institut Polytechnique de Paris,France,5999,6.7,41.0,24 : 76,63.6,58.5,58.8,64.8,72.7,95.6,24,76,63.6,63.6,63.6,Exact,95
95,Nanjing University,China,36426,16.5,8.0,54 : 46,63.6,58.4,58.2,74.3,87.3,55.2,54,46,63.6,63.6,63.6,Exact,95
98,Vanderbilt University,United States,12696,3.8,15.0,55 : 45,63.5,49.5,47.5,96.5,66.7,50.6,55,45,63.5,63.5,63.5,Exact,98
99,City University of Hong Kong,,9099,12.1,62.0,54 : 46,63.4,47.2,53.0,79.9,76.6,99.6,54,46,63.4,63.4,63.4,Exact,99
99,RWTH Aachen University,Germany,39738,50.0,28.0,33 : 67,63.4,56.8,64.5,66.1,93.8,65.1,33,67,63.4,63.4,63.4,Exact,99
101,University of Basel,Switzerland,8632,10.9,30.0,57 : 43,63.0,47.0,44.1,86.5,99.2,96.8,57,43,63.0,63.0,63.0,Exact,101
101,King Abdulaziz University,,31545,7.8,22.0,54 : 46,63.0,51.7,36.7,91.9,74.2,93.6,54,46,63.0,63.0,63.0,Exact,101
101,University of Minnesota,United States,61009,12.0,10.0,54 : 46,63.0,55.1,56.9,81.2,77.8,41.7,54,46,63.0,63.0,63.0,Exact,101
104,"University of Maryland, College Park",United States,33775,16.5,11.0,49 : 51,62.9,48.1,57.7,89.7,40.0,42.6,49,51,62.9,62.9,62.9,Exact,104
104,University of Warwick,,23230,13.1,44.0,50 : 50,62.9,44.8,49.6,88.1,42.7,94.9,50,50,62.9,62.9,62.9,Exact,104
106,Michigan State University,United States,45465,16.0,13.0,52 : 48,62.8,56.2,55.6,78.8,39.9,61.9,52,48,62.8,62.8,62.8,Exact,106
107,Ghent University,Belgium,39437,35.6,12.0,57 : 43,62.7,48.6,60.1,77.8,80.0,63.9,57,43,62.7,62.7,62.7,Exact,107
108,University of Birmingham,United Kingdom,31820,15.0,34.0,58 : 42,62.6,40.5,46.2,95.2,42.3,92.2,58,42,62.6,62.6,62.6,Exact,108
108,University of Southampton,United Kingdom,21175,13.7,39.0,53 : 47,62.6,41.4,47.5,92.3,44.1,94.6,53,47,62.6,62.6,62.6,Exact,108
110,University of Helsinki,Finland,23059,15.8,5.0,67 : 33,62.5,45.9,58.5,86.6,39.1,57.0,67,33,62.5,62.5,62.5,Exact,110
111,University of Montreal,,38189,20.8,22.0,,62.3,50.9,53.2,75.8,76.5,85.5,,,62.3,62.3,62.3,Exact,111
112,Ohio State University (Main campus),United States,55814,11.8,13.0,51 : 49,62.2,53.0,51.2,83.4,55.3,60.3,51,49,62.2,62.2,62.2,Exact,112
113,University of Freiburg,Germany,20253,37.2,17.0,53 : 47,61.9,47.8,52.8,80.8,96.2,67.3,53,47,61.9,61.9,61.9,Exact,113
114,University of Copenhagen,Denmark,31519,4.2,16.0,62 : 38,61.7,45.1,47.5,87.2,55.0,84.7,62,38,61.7,61.7,61.7,Exact,114
114,Université Paris Cité,,62747,17.0,19.0,65 : 35,61.7,51.5,44.8,89.3,37.3,68.3,65,35,61.7,61.7,61.7,Exact,114
114,University of Sheffield,,27465,14.5,41.0,53 : 47,61.7,43.6,46.4,89.5,47.4,88.5,53,47,61.7,61.7,61.7,Exact,114
117,Aarhus University,Denmark,26475,13.5,10.0,55 : 45,61.2,40.6,60.0,77.6,74.1,77.9,55,45,61.2,61.2,61.2,Exact,117
118,University of Alberta,Canada,32338,21.6,28.0,,61.1,48.8,52.7,72.9,82.7,89.2,,,61.1,61.1,61.1,Exact,118
119,University of Göttingen,Germany,30221,26.0,14.0,52 : 48,61.0,46.3,53.8,83.9,40.1,63.0,52,48,61.0,61.0,61.0,Exact,119
119,Lund University,Sweden,28545,11.5,18.0,55 : 45,61.0,40.5,55.5,81.0,79.5,78.5,55,45,61.0,61.0,61.0,Exact,119
121,Vrije Universiteit Amsterdam,Netherlands,29796,19.8,16.0,56 : 44,60.9,38.4,52.2,87.5,59.1,79.4,56,44,60.9,60.9,60.9,Exact,121
122,Lancaster University,United Kingdom,14380,12.8,39.0,51 : 49,60.8,38.7,40.0,96.9,38.3,94.9,51,49,60.8,60.8,60.8,Exact,122
123,Dartmouth College,United States,6440,7.8,15.0,49 : 51,60.7,59.8,40.4,88.2,40.0,42.0,49,51,60.7,60.7,60.7,Exact,123
124,Queen Mary University of London,United Kingdom,20505,13.1,46.0,55 : 45,60.4,34.3,41.3,97.7,44.0,97.1,55,45,60.4,60.4,60.4,Exact,124
124,University of Vienna,Austria,35929,42.9,29.0,66 : 34,60.4,49.4,59.3,65.1,44.8,95.8,66,34,60.4,60.4,60.4,Exact,124
126,University of Oslo,Norway,21548,13.3,15.0,66 : 34,60.2,40.1,48.5,89.0,44.5,77.0,66,34,60.2,60.2,60.2,Exact,126
127,Purdue University West Lafayette,United States,44551,16.9,20.0,44 : 56,60.1,55.9,64.2,56.9,67.8,71.1,44,56,60.1,60.1,60.1,Exact,127
128,University of Hamburg,Germany,30676,61.5,12.0,58 : 42,59.8,46.5,54.4,75.4,96.1,60.4,58,42,59.8,59.8,59.8,Exact,128
128,University of Leeds,United Kingdom,33990,14.6,36.0,60 : 40,59.8,46.0,47.8,79.3,40.5,91.8,60,40,59.8,59.8,59.8,Exact,128
130,University of Nottingham,United Kingdom,32875,15.1,31.0,54 : 46,59.6,41.8,44.1,86.6,41.7,90.4,54,46,59.6,59.6,59.6,Exact,130
131,University of Antwerp,Belgium,15857,32.2,17.0,56 : 44,59.4,36.4,46.2,90.4,83.5,71.8,56,44,59.4,59.4,59.4,Exact,131
131,The University of Western Australia,Australia,18405,21.3,28.0,49 : 51,59.4,34.9,48.1,85.6,69.2,94.4,49,51,59.4,59.4,59.4,Exact,131
133,University of Technology Sydney,,27481,35.1,31.0,50 : 50,59.3,36.9,42.1,90.5,49.7,96.0,50,50,59.3,59.3,59.3,Exact,133
134,Case Western Reserve University,United States,10934,8.2,20.0,51 : 49,59.0,48.4,40.6,90.7,43.4,52.9,51,49,59.0,59.0,59.0,Exact,134
135,University of Lausanne,Switzerland,13401,10.2,23.0,,58.7,35.8,47.6,83.0,72.3,92.3,,,58.7,58.7,58.7,Exact,135
136,Georgetown University,United States,16074,8.0,19.0,54 : 46,58.6,55.5,35.0,88.0,54.0,49.1,54,46,58.6,58.6,58.6,Exact,136
137,University of Exeter,United Kingdom,24165,15.9,29.0,53 : 47,58.5,32.4,41.3,94.8,39.2,92.7,53,47,58.5,58.5,58.5,Exact,137
137,University of Ottawa,,36670,26.0,24.0,58 : 42,58.5,41.7,45.4,82.6,51.0,84.1,58,42,58.5,58.5,58.5,Exact,137
139,University of Auckland,New Zealand,33093,22.1,32.0,56 : 44,58.4,36.8,44.3,85.4,56.4,94.3,56,44,58.4,58.4,58.4,Exact,139
139,Newcastle University,,25590,15.1,29.0,52 : 48,58.4,33.3,40.0,96.0,41.8,87.8,52,48,58.4,58.4,58.4,Exact,139
139,Radboud University Nijmegen,,21979,17.6,13.0,56 : 44,58.4,34.9,51.6,85.5,48.0,74.7,56,44,58.4,58.4,58.4,Exact,139
139,University of Würzburg,Germany,23754,40.7,10.0,58 : 42,58.4,40.7,45.2,87.8,79.4,57.3,58,42,58.4,58.4,58.4,Exact,139
139,University of York,United Kingdom,17665,14.4,28.0,56 : 44,58.4,39.3,44.0,85.9,38.4,88.7,56,44,58.4,58.4,58.4,Exact,139
144,University of Pittsburgh-Pittsburgh campus,United States,26575,5.5,11.0,55 : 45,58.3,46.2,42.9,90.6,44.2,43.4,55,45,58.3,58.3,58.3,Exact,144
145,Maastricht University,Netherlands,19909,18.6,56.0,60 : 40,58.2,38.4,49.6,75.5,73.2,98.1,60,40,58.2,58.2,58.2,Exact,145
146,University of Cologne,Germany,33341,30.4,16.0,,58.0,44.5,46.5,80.0,77.3,64.4,,,58.0,58.0,58.0,Exact,146
147,Rice University,United States,7068,9.2,28.0,43 : 57,57.9,46.5,39.7,84.4,44.5,75.3,43,57,57.9,57.9,57.9,Exact,147
148,University of Colorado Boulder,United States,34928,16.0,8.0,45 : 55,57.8,45.6,46.3,85.5,44.6,45.6,45,55,57.8,57.8,57.8,Exact,148
148,Ulm University,Germany,10271,26.2,13.0,51 : 49,57.8,41.6,41.2,89.3,77.6,56.1,51,49,57.8,57.8,57.8,Exact,148
148,Uppsala University,Sweden,25548,15.3,17.0,62 : 38,57.8,37.6,55.7,75.2,71.5,72.6,62,38,57.8,57.8,57.8,Exact,148
151,University of Florida,United States,46807,16.1,8.0,56 : 44,57.7,55.0,58.7,64.2,51.4,41.4,56,44,57.7,57.7,57.7,Exact,151
151,Penn State (Main campus),United States,46863,14.0,16.0,47 : 53,57.7,47.8,53.8,75.2,41.6,48.3,47,53,57.7,57.7,57.7,Exact,151
151,Tufts University,United States,11399,10.0,16.0,56 : 44,57.7,47.1,36.7,92.2,43.4,51.4,56,44,57.7,57.7,57.7,Exact,151
154,University of Rochester,United States,10364,7.7,36.0,50 : 50,57.6,42.0,40.5,87.0,49.3,73.8,50,50,57.6,57.6,57.6,Exact,154
155,KTH Royal Institute of Technology,Sweden,13329,16.4,20.0,34 : 66,57.5,43.5,53.8,68.4,68.1,81.1,34,66,57.5,57.5,57.5,Exact,155
156,Arizona State University (Tempe),,50027,19.6,17.0,45 : 55,57.4,44.8,47.9,79.6,40.2,62.5,45,55,57.4,57.4,57.4,Exact,156
156,Technical University of Berlin,Germany,20243,48.1,27.0,35 : 65,57.4,48.8,55.7,62.0,92.6,67.8,35,65,57.4,57.4,57.4,Exact,156
156,TU Dresden,Germany,30382,30.8,16.0,45 : 55,57.4,48.8,50.7,69.1,92.4,60.5,45,55,57.4,57.4,57.4,Exact,156
156,University of Virginia (Main campus),United States,25810,9.0,13.0,53 : 47,57.4,48.1,39.8,86.6,45.8,52.5,53,47,57.4,57.4,57.4,Exact,156
160,University of Cape Town,,21069,12.8,15.0,54 : 46,57.2,33.9,43.8,88.7,53.3,78.8,54,46,57.2,57.2,57.2,Exact,160
161,University of Bologna,,69831,24.4,12.0,56 : 44,57.0,52.1,40.8,80.2,46.4,51.6,56,44,57.0,57.0,57.0,Exact,161
161,Trinity College Dublin,,17764,21.0,28.0,60 : 40,57.0,36.0,47.3,79.4,47.1,93.7,60,40,57.0,57.0,57.0,Exact,161
163,University of Leicester,United Kingdom,14650,14.1,34.0,54 : 46,56.9,31.4,32.9,98.7,41.9,92.5,54,46,56.9,56.9,56.9,Exact,163
163,Pohang University of Science and Technology (POSTECH),,3260,10.0,3.0,,56.9,54.7,51.4,67.7,96.2,31.8,,,56.9,56.9,56.9,Exact,163
166,Southern University of Science and Technology (SUSTech),,5137,8.8,1.0,,56.8,29.8,42.9,95.5,77.9,59.0,,,56.8,56.8,56.8,Exact,166
166,Technical University of Denmark,Denmark,9599,6.9,26.0,32 : 68,56.8,40.4,44.9,73.2,86.0,94.0,32,68,56.8,56.8,56.8,Exact,166
168,Medical University of Graz,Austria,3722,14.1,27.0,53 : 47,56.6,29.4,34.4,96.8,98.1,79.0,53,47,56.6,56.6,56.6,Exact,168
168,"Northeastern University, US",United States,21211,14.6,36.0,48 : 52,56.6,39.9,30.2,96.2,40.1,76.3,48,52,56.6,56.6,56.6,Exact,168
170,Indiana University,United States,66637,12.6,13.0,53 : 47,56.5,45.5,39.4,85.5,53.6,54.3,53,47,56.5,56.5,56.5,Exact,170
170,Université Catholique de Louvain,Belgium,24523,36.0,20.0,54 : 46,56.5,39.9,50.4,72.8,57.7,82.3,54,46,56.5,56.5,56.5,Exact,170
170,Sungkyunkwan University (SKKU),,23399,19.4,18.0,,56.5,52.8,54.0,59.4,98.3,56.4,,,56.5,56.5,56.5,Exact,170
173,Wuhan University,China,55412,15.2,6.0,,56.4,43.5,40.5,89.2,69.4,35.3,,,56.4,56.4,56.4,Exact,173
174,Ulsan National Institute of Science and Technology (UNIST),,3896,13.6,9.0,27 : 73,56.3,41.3,42.0,85.9,89.9,43.7,27,73,56.3,56.3,56.3,Exact,174
175,Macquarie University,Australia,30561,69.0,27.0,52 : 48,56.2,38.7,44.6,76.1,64.9,89.8,52,48,56.2,56.2,56.2,Exact,175
176,Huazhong University of Science and Technology,China,57167,16.2,4.0,,56.1,42.2,42.6,88.8,83.2,25.5,,,56.1,56.1,56.1,Exact,176
