rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,closed,unaccredited,rank_numeric,ranking_status,score_status,female_percentage
3620,351–400,University of Colorado Denver/Anschutz Medical Campus,50.05,3620,33.4,523,23.7,667,93.7,64,73.4,358,36.9,1249,United States,20208,4.5,7.0,58 : 42,5.0,University of Colorado Denver/Anschutz Medical Campus,"Physics & Astronomy,Languages, Literature & Linguistics,Psychology,Art, Performing Arts & Design,Agriculture & Forestry,Education,Sociology,Biological Sciences,Mechanical & Aerospace Engineering,Business & Management,Archaeology,Mathematics & Statistics,Computer Science,Other Health,Geography,Economics & Econometrics,History, Philosophy & Theology,Electrical & Electronic Engineering,Chemistry,Architecture,Civil Engineering,Accounting & Finance,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry",False,False,,Reporter,Available,58.0
3630,351–400,University of Connecticut,50.05,3630,41.2,273,30.2,465,72.8,487,68.7,462,64.6,493,United States,28128,13.1,11.0,53 : 47,23.0,University of Connecticut,"Architecture,Biological Sciences,Law,Medicine & Dentistry,Agriculture & Forestry,Sociology,General Engineering,Communication & Media Studies,Accounting & Finance,Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,Business & Management,Languages, Literature & Linguistics,Other Health,Sport Science,Education,Computer Science,Physics & Astronomy,Psychology,Archaeology,Veterinary Science,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Chemistry,History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Geography,Economics & Econometrics",False,False,,Reporter,Available,53.0
3640,351–400,Daegu Gyeongbuk Institute of Science and Technology (DGIST),50.05,3640,48.8,144,38.9,263,64.8,678,78.1,288,34.5,1337,South Korea,742,6.3,4.0,36 : 64,34.0,Daegu Gyeongbuk Institute of Science and Technology (DGIST),"Biological Sciences,Physics & Astronomy,Computer Science,Chemical Engineering,Chemistry,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Other Health,General Engineering,Civil Engineering",False,False,,Reporter,Available,36.0
3650,351–400,Edith Cowan University,50.05,3650,23.7,1100,26.2,563,86.9,175,69.2,450,87.6,156,Australia,17965,29.8,24.0,62 : 38,22.0,Edith Cowan University ecu edith cowan,"Psychology,History, Philosophy & Theology,Sport Science,Electrical & Electronic Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Accounting & Finance,Sociology,Biological Sciences,Languages, Literature & Linguistics,Law,Communication & Media Studies,Education,Other Health,Civil Engineering,Physics & Astronomy,Chemical Engineering,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Computer Science,General Engineering,Business & Management,Art, Performing Arts & Design,Agriculture & Forestry,Mechanical & Aerospace Engineering",False,False,,Reporter,Available,62.0
3660,351–400,University of Electronic Science and Technology of China,50.05,3660,34.8,469,35.2,344,80.9,302,85.5,201,33.9,1361,China,37498,15.7,3.0,30 : 70,42.0,University of Electronic Science and Technology of China,"History, Philosophy & Theology,Chemistry,Computer Science,Electrical & Electronic Engineering,Physics & Astronomy,Psychology,General Engineering,Languages, Literature & Linguistics,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Economics & Econometrics,Business & Management,Other Health,Mathematics & Statistics,Mechanical & Aerospace Engineering,Biological Sciences",False,False,,Reporter,Available,30.0
3670,351–400,University of Florence,50.05,3670,35.5,445,34.4,367,78.6,352,72.9,370,51.9,742,Italy,40535,24.0,10.0,56 : 44,26.0,University of Florence,"Archaeology,Chemistry,Business & Management,Medicine & Dentistry,Sport Science,Education,Other Health,Agriculture & Forestry,Law,Civil Engineering,Computer Science,Mathematics & Statistics,Economics & Econometrics,Art, Performing Arts & Design,Electrical & Electronic Engineering,Geography,Architecture,Physics & Astronomy,Psychology,General Engineering,Sociology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,History, Philosophy & Theology,Biological Sciences,Communication & Media Studies,Politics & International Studies (incl Development Studies)",False,False,,Reporter,Available,56.0
3680,351–400,Free University of Bozen-Bolzano,50.05,3680,31.8,596,22.8,694,85.5,198,45.6,886,78.6,276,Italy,4244,10.7,14.0,67 : 33,41.0,Free University of Bozen-Bolzano,"Computer Science,Business & Management,Economics & Econometrics,Communication & Media Studies,Electrical & Electronic Engineering,General Engineering,Agriculture & Forestry,Accounting & Finance,Education,Languages, Literature & Linguistics,Art, Performing Arts & Design",False,False,,Reporter,Available,67.0
3690,351–400,University of Georgia,50.05,3690,41.2,275,40.5,243,68.2,599,69.8,435,43.9,993,United States,37565,15.7,6.0,58 : 42,20.0,University of Georgia,"Medicine & Dentistry,Chemistry,Accounting & Finance,Languages, Literature & Linguistics,Architecture,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Civil Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Law,History, Philosophy & Theology,Electrical & Electronic Engineering,Geography,Mechanical & Aerospace Engineering,Veterinary Science,Psychology,Other Health,Sport Science,Education,General Engineering,Biological Sciences,Sociology,Business & Management,Archaeology,Communication & Media Studies,Computer Science,Physics & Astronomy,Economics & Econometrics",False,False,,Reporter,Available,58.0
3700,351–400,Hasselt University,50.05,3700,33.5,520,38.1,283,69.1,578,83.9,219,71.6,382,Belgium,5749,30.9,14.0,50 : 50,28.0,Hasselt University,"Sport Science,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,Education,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Computer Science,Electrical & Electronic Engineering,Mathematics & Statistics,Business & Management,Biological Sciences,Other Health,Law,Communication & Media Studies,Accounting & Finance,General Engineering,Physics & Astronomy,Architecture,Medicine & Dentistry,Sociology,Chemistry,Agriculture & Forestry",False,False,,Reporter,Available,50.0
3710,351–400,Heriot-Watt University,50.05,3710,34.3,483,33.4,395,65.2,671,75.1,336,94.8,52,United Kingdom,9735,18.2,36.0,39 : 61,44.0,Heriot-Watt University,"Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Accounting & Finance,Languages, Literature & Linguistics,Physics & Astronomy,General Engineering,Geography,Computer Science,Business & Management,Electrical & Electronic Engineering,Economics & Econometrics,Biological Sciences,Mechanical & Aerospace Engineering,Chemistry,Mathematics & Statistics,Psychology,Architecture,Sport Science,Agriculture & Forestry",False,False,,Reporter,Available,39.0
