rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,closed,unaccredited,rank_numeric,ranking_status,score_status,female_percentage
13250,1201–1500,Kangwon National University,25.5,13250,22.0,1228,21.9,736,32.4,1393,47.4,856,24.1,1737,South Korea,21920,21.6,3.0,41 : 59,25.0,Kangwon National University Kangwon KNU Korea,"Chemical Engineering,Sociology,General Engineering,Chemistry,Other Health,Veterinary Science,Psychology,Architecture,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Computer Science,Agriculture & Forestry,Business & Management,Electrical & Electronic Engineering,Mathematics & Statistics,Law,Medicine & Dentistry,Sport Science,Education,History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies)",False,False,,Reporter,Available,41.0
13260,1201–1500,Karabük University,25.5,13260,12.6,1859,9.4,1734,57.2,845,16.1,1852,48.2,863,Turkey,47709,42.4,24.0,39 : 61,30.0,Karabük University,"Archaeology,History, Philosophy & Theology,Medicine & Dentistry,Sport Science,Computer Science,Geography,Chemistry,Physics & Astronomy,Sociology,Civil Engineering,Electrical & Electronic Engineering,Art, Performing Arts & Design,Business & Management,Other Health,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Agriculture & Forestry,General Engineering,Politics & International Studies (incl Development Studies),Accounting & Finance,Communication & Media Studies,Architecture,Mathematics & Statistics,Economics & Econometrics",False,False,,Reporter,Available,39.0
13270,1201–1500,Karunya Institute of Technology and Sciences,25.5,13270,18.7,1486,13.4,1267,48.4,1048,18.6,1623,23.2,1772,India,7659,16.5,0.0,36 : 64,41.0,Karunya Institute of Technology and Sciences,"General Engineering,Sociology,Mechanical & Aerospace Engineering,Physics & Astronomy,Civil Engineering,Computer Science,Agriculture & Forestry,Biological Sciences,Chemistry,Electrical & Electronic Engineering,Business & Management",False,False,,Reporter,Available,36.0
13280,1201–1500,Kaunas University of Technology,25.5,13280,22.2,1211,15.3,1095,39.0,1244,36.9,1051,39.2,1145,Lithuania,7986,13.3,8.0,36 : 64,38.0,Kaunas University of Technology,"Other Health,Agriculture & Forestry,Accounting & Finance,History, Philosophy & Theology,Physics & Astronomy,General Engineering,Chemical Engineering,Architecture,Civil Engineering,Education,Mechanical & Aerospace Engineering,Sociology,Art, Performing Arts & Design,Chemistry,Computer Science,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Business & Management,Electrical & Electronic Engineering,Mathematics & Statistics,Communication & Media Studies,Economics & Econometrics",False,False,,Reporter,Available,36.0
13290,1201–1500,Kharazmi University,25.5,13290,32.7,561,13.8,1228,37.2,1275,25.0,1338,29.5,1520,Iran,12604,16.8,3.0,55 : 45,35.0,Kharazmi University,"Education,Chemistry,Biological Sciences,Mathematics & Statistics,Civil Engineering,Physics & Astronomy,Sport Science,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Architecture,Electrical & Electronic Engineering,Business & Management,Accounting & Finance,Mechanical & Aerospace Engineering,Sociology,Languages, Literature & Linguistics,Law,Psychology,Politics & International Studies (incl Development Studies),General Engineering,Geography,Computer Science",False,False,,Reporter,Available,55.0
13300,1201–1500,Kharkiv Aviation Institute,25.5,13300,20.6,1330,9.2,1762,44.5,1135,16.4,1818,32.6,1400,Ukraine,5654,12.0,12.0,31 : 69,55.0,Kharkiv Aviation Institute,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Business & Management,Psychology,Economics & Econometrics,Computer Science,Law,Languages, Literature & Linguistics,General Engineering,Accounting & Finance",False,False,,Reporter,Available,31.0
13310,1201–1500,Khon Kaen University,25.5,13310,23.3,1131,15.7,1072,35.5,1313,36.1,1072,35.4,1305,Thailand,32895,17.2,2.0,62 : 38,23.0,Khon Kaen University,"Mechanical & Aerospace Engineering,Other Health,Mathematics & Statistics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Physics & Astronomy,Art, Performing Arts & Design,Chemical Engineering,Law,Civil Engineering,Business & Management,Architecture,Agriculture & Forestry,Languages, Literature & Linguistics,Veterinary Science,General Engineering,Education,Computer Science,Chemistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences",False,False,,Reporter,Available,62.0
13320,1201–1500,Khulna University,25.5,13320,17.0,1625,9.5,1712,46.9,1080,17.1,1747,43.7,998,Bangladesh,6997,13.9,0.0,43 : 57,27.0,Khulna University,"Architecture,Law,Agriculture & Forestry,Art, Performing Arts & Design,Sociology,Biological Sciences,Economics & Econometrics,Electrical & Electronic Engineering,Chemistry,Mathematics & Statistics,Education,History, Philosophy & Theology,Physics & Astronomy,Business & Management,Computer Science,Communication & Media Studies,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences",False,False,,Reporter,Available,43.0
13330,1201–1500,King Mongkut's University of Technology North Bangkok,25.5,13330,16.2,1685,12.7,1337,50.9,999,25.9,1305,28.7,1553,Thailand,28122,23.3,0.0,42 : 58,42.0,King Mongkut's University of Technology North Bangkok,"Business & Management,Chemical Engineering,Art, Performing Arts & Design,Civil Engineering,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Education,General Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),Physics & Astronomy,Mathematics & Statistics,Sociology,Electrical & Electronic Engineering,Accounting & Finance,Architecture,Chemistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics",False,False,,Reporter,Available,42.0
13340,1201–1500,Kitasato University,25.5,13340,27.0,877,11.5,1466,28.8,1477,56.5,711,20.0,1870,Japan,8628,5.2,0.0,55 : 45,9.0,Kitasato University,"Medicine & Dentistry,General Engineering,Veterinary Science,Computer Science,Other Health,Agriculture & Forestry,Physics & Astronomy,Chemistry,Biological Sciences",False,False,,Reporter,Available,55.0
13350,1201–1500,KL University,25.5,13350,22.4,1195,11.1,1512,52.0,964,16.6,1799,21.5,1823,India,17602,14.6,2.0,36 : 64,44.0,KL University,"Electrical & Electronic Engineering,Chemistry,Art, Performing Arts & Design,Law,Architecture,Mathematics & Statistics,Accounting & Finance,Other Health,Communication & Media Studies,Agriculture & Forestry,Physics & Astronomy,Business & Management,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,General Engineering,Economics & Econometrics,Computer Science,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics",False,False,,Reporter,Available,36.0
13360,1201–1500,Kyoto Institute of Technology,25.5,13360,27.2,864,17.1,963,15.2,1764,73.3,361,33.7,1365,Japan,3943,13.8,6.0,29 : 71,37.0,Kyoto Institute of Technology,"Art, Performing Arts & Design,Architecture,Mechanical & Aerospace Engineering,Biological Sciences,Electrical & Electronic Engineering,Computer Science,Chemistry,Chemical Engineering,General Engineering",False,False,,Reporter,Available,29.0
13370,1201–1500,Kyushu Institute of Technology (Kyutech),25.5,13370,26.3,920,15.6,1075,31.4,1414,60.3,640,40.8,1090,Japan,5628,16.0,5.0,14 : 86,45.0,Kyushu Institute of Technology (Kyutech),"Computer Science,Biological Sciences,General Engineering,Physics & Astronomy,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering,Mathematics & Statistics",False,False,,Reporter,Available,14.0
13380,1201–1500,University of Lethbridge,25.5,13380,20.3,1349,14.1,1196,31.2,1420,34.6,1100,61.4,552,Canada,7181,13.4,12.0,53 : 47,25.0,University of Lethbridge,"Politics & International Studies (incl Development Studies),Chemistry,Psychology,Archaeology,Mathematics & Statistics,Business & Management,Geography,Geology, Environmental, Earth & Marine Sciences,Sociology,Biological Sciences,Accounting & Finance,Art, Performing Arts & Design,Other Health,Sport Science,Education,Economics & Econometrics,Physics & Astronomy,Languages, Literature & Linguistics,Agriculture & Forestry,Computer Science,History, Philosophy & Theology",False,False,,Reporter,Available,53.0
13390,1201–1500,Lodz University of Technology,25.5,13390,21.2,1288,15.7,1073,34.4,1342,66.9,504,29.8,1503,Poland,11706,13.1,5.0,39 : 61,41.0,Lodz University of Technology,"Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Business & Management,Computer Science,Mathematics & Statistics,General Engineering,Chemistry,Physics & Astronomy,Biological Sciences,Electrical & Electronic Engineering",False,False,,Reporter,Available,39.0
13400,1201–1500,Universidad Loyola,25.5,13400,23.2,1136,13.0,1304,39.2,1235,17.3,1726,48.8,838,Spain,3481,12.1,4.0,57 : 43,29.0,Universidad Loyola,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Business & Management,Accounting & Finance,Law,Mathematics & Statistics,Electrical & Electronic Engineering,Education,Computer Science,General Engineering,Mechanical & Aerospace Engineering,Psychology,Economics & Econometrics",False,False,,Reporter,Available,57.0
13410,1201–1500,"Lumière University, Lyon 2",25.5,13410,24.6,1038,18.6,887,24.9,1567,32.8,1131,67.5,439,France,26014,50.4,18.0,68 : 32,18.0,"Lumière University, Lyon 2","Mathematics & Statistics,Psychology,Sociology,Languages, Literature & Linguistics,Education,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Archaeology,Accounting & Finance,Communication & Media Studies,Geography,Computer Science,Business & Management,Law,History, Philosophy & Theology,Economics & Econometrics",False,False,,Reporter,Available,68.0
13420,1201–1500,Universidade Lusófona,25.5,13420,23.2,1137,8.6,1847,35.7,1311,17.8,1682,59.7,592,Portugal,11153,6.4,18.0,54 : 46,20.0,Universidade Lusófona,"Sociology,Biological Sciences,Law,Business & Management,Politics & International Studies (incl Development Studies),Chemistry,Economics & Econometrics,Veterinary Science,Art, Performing Arts & Design,Architecture,Civil Engineering,Other Health,Communication & Media Studies,Electrical & Electronic Engineering,Computer Science,Psychology,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Education,Sport Science,General Engineering,Accounting & Finance",False,False,,Reporter,Available,54.0
13430,1201–1500,Universiti Malaysia Perlis,25.5,13430,21.6,1259,12.5,1360,46.0,1099,26.0,1301,33.3,1381,Malaysia,10836,13.6,3.0,47 : 53,39.0,Universiti Malaysia Perlis,"Chemical Engineering,Mathematics & Statistics,Business & Management,Civil Engineering,Electrical & Electronic Engineering,General Engineering,Accounting & Finance,Economics & Econometrics,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Communication & Media Studies",False,False,,Reporter,Available,47.0
13440,1201–1500,Manipal University Jaipur,25.5,13440,19.5,1422,14.2,1191,51.9,970,23.9,1372,24.0,1745,India,8361,14.9,3.0,43 : 57,47.0,Manipal University Jaipur,"Law,Mechanical & Aerospace Engineering,Communication & Media Studies,Civil Engineering,Computer Science,Accounting & Finance,Biological Sciences,Business & Management,Economics & Econometrics,Psychology,Electrical & Electronic Engineering,General Engineering,History, Philosophy & Theology,Physics & Astronomy,Art, Performing Arts & Design,Mathematics & Statistics,Languages, Literature & Linguistics,Chemistry,Architecture,Chemical Engineering",False,False,,Reporter,Available,43.0
13450,1201–1500,University of Manouba,25.5,13450,21.8,1247,9.2,1763,44.2,1143,19.4,1567,45.8,940,Tunisia,17175,14.5,2.0,64 : 36,36.0,University of Manouba,"History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Accounting & Finance,Communication & Media Studies,Veterinary Science,Geography,Education,Economics & Econometrics,Sport Science,Business & Management,Biological Sciences,Computer Science",False,False,,Reporter,Available,64.0
13460,1201–1500,University of Maribor,25.5,13460,20.1,1368,16.9,978,40.8,1209,36.5,1061,38.9,1156,Slovenia,12919,14.4,11.0,54 : 46,36.0,University of Maribor,"Geography,Communication & Media Studies,Psychology,Civil Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Sport Science,Law,Architecture,Other Health,Computer Science,Sociology,Economics & Econometrics,General Engineering,Chemical Engineering,Chemistry,History, Philosophy & Theology,Biological Sciences,Accounting & Finance,Agriculture & Forestry,Education,Medicine & Dentistry,Business & Management,Physics & Astronomy,Mechanical & Aerospace Engineering,Art, Performing Arts & Design",False,False,,Reporter,Available,54.0
13470,1201–1500,University of Marrakech Cadi Ayyad,25.5,13470,20.5,1338,11.5,1467,36.5,1293,21.6,1459,40.2,1113,Morocco,115156,45.9,1.0,51 : 49,40.0,University of Marrakech Cadi Ayyad,"History, Philosophy & Theology,Civil Engineering,Education,General Engineering,Sociology,Chemical Engineering,Law,Mathematics & Statistics,Geography,Computer Science,Physics & Astronomy,Accounting & Finance,Electrical & Electronic Engineering,Communication & Media Studies,Business & Management,Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Biological Sciences,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Agriculture & Forestry,Psychology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Chemistry",False,False,,Reporter,Available,51.0
13480,1201–1500,University of Mauritius,25.5,13480,17.6,1589,13.4,1269,45.3,1113,40.3,976,35.4,1306,Mauritius,8167,22.8,1.0,54 : 46,31.0,University of Mauritius,"Mechanical & Aerospace Engineering,Agriculture & Forestry,Communication & Media Studies,Education,Sociology,Chemical Engineering,Languages, Literature & Linguistics,Computer Science,Chemistry,Geology, Environmental, Earth & Marine Sciences,General Engineering,Electrical & Electronic Engineering,Mathematics & Statistics,History, Philosophy & Theology,Medicine & Dentistry,Accounting & Finance,Law,Biological Sciences,Civil Engineering,Psychology,Politics & International Studies (incl Development Studies),Business & Management,Other Health,Physics & Astronomy,Economics & Econometrics",False,False,,Reporter,Available,54.0
13490,1201–1500,Medical University of Lublin,25.5,13490,30.5,668,12.3,1382,30.5,1429,36.1,1074,36.8,1254,Poland,6884,5.7,16.0,72 : 28,7.0,Medical University of Lublin,"Medicine & Dentistry,Other Health",False,False,,Reporter,Available,72.0
13500,1201–1500,Medical University of Silesia in Katowice,25.5,13500,28.1,805,12.4,1369,31.1,1422,29.0,1201,24.7,1718,Poland,10237,7.3,5.0,74 : 26,5.0,Medical University of Silesia in Katowice,"Medicine & Dentistry,Other Health",False,False,,Reporter,Available,74.0
13510,1201–1500,Medical University of Sofia,25.5,13510,30.8,650,13.5,1254,27.9,1494,48.8,827,53.9,696,Bulgaria,10849,5.7,44.0,48 : 52,7.0,Medical University of Sofia,"Medicine & Dentistry,Other Health",False,False,,Reporter,Available,48.0
13520,1201–1500,University of Medicine and Pharmacy of Craiova,25.5,13520,24.3,1057,9.9,1655,37.2,1276,19.2,1575,40.5,1103,Romania,4298,9.8,14.0,63 : 37,4.0,University of Medicine and Pharmacy of Craiova,"Medicine & Dentistry,Other Health",False,False,,Reporter,Available,63.0
13530,1201–1500,Mendel University in Brno,25.5,13530,20.9,1309,19.4,845,36.8,1284,21.0,1480,55.1,672,Czech Republic,9019,16.3,17.0,57 : 43,27.0,Mendel University in Brno,"Architecture,Education,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemistry,Economics & Econometrics,Biological Sciences,Agriculture & Forestry,Business & Management,Geography,Computer Science",False,False,,Reporter,Available,57.0
13540,1201–1500,Metropolitan Autonomous University,25.5,13540,19.9,1383,23.9,659,22.8,1620,28.6,1217,29.2,1533,Mexico,60865,42.1,1.0,50 : 50,31.0,Metropolitan Autonomous University,"Languages, Literature & Linguistics,Mathematics & Statistics,Law,Architecture,Biological Sciences,Business & Management,Art, Performing Arts & Design,Chemical Engineering,Economics & Econometrics,Medicine & Dentistry,Veterinary Science,Other Health,Agriculture & Forestry,Sociology,Electrical & Electronic Engineering,Chemistry,Education,Computer Science,Civil Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Physics & Astronomy,Geography,General Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,History, Philosophy & Theology,Communication & Media Studies",False,False,,Reporter,Available,50.0
13550,1201–1500,Mie University,25.5,13550,26.9,881,13.9,1213,23.9,1587,61.8,618,24.8,1715,Japan,6983,8.3,3.0,38 : 62,17.0,Mie University,"Chemical Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),Geography,Mechanical & Aerospace Engineering,Sociology,Architecture,Biological Sciences,Other Health,History, Philosophy & Theology,Archaeology,Medicine & Dentistry,Law,Electrical & Electronic Engineering,General Engineering,Business & Management,Accounting & Finance,Agriculture & Forestry,Computer Science,Geology, Environmental, Earth & Marine Sciences,Education,Languages, Literature & Linguistics",False,False,,Reporter,Available,38.0
13560,1201–1500,Mohammed V University of Rabat,25.5,13560,29.1,741,15.0,1123,32.2,1399,37.3,1035,32.1,1424,Morocco,87462,41.7,3.0,53 : 47,39.0,Mohammed V University of Rabat,"Languages, Literature & Linguistics,Art, Performing Arts & Design,Computer Science,Geography,Economics & Econometrics,History, Philosophy & Theology,Biological Sciences,Psychology,Medicine & Dentistry,Mathematics & Statistics,Law,Mechanical & Aerospace Engineering,Sociology,Other Health,Physics & Astronomy,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Electrical & Electronic Engineering,Communication & Media Studies,Sport Science,Education,Civil Engineering,Politics & International Studies (incl Development Studies),Business & Management,General Engineering,Chemistry",False,False,,Reporter,Available,53.0
13570,1201–1500,University of Monastir,25.5,13570,25.7,960,10.1,1635,36.2,1299,28.1,1234,46.0,932,Tunisia,18846,8.5,2.0,69 : 31,38.0,University of Monastir,"Mathematics & Statistics,Chemical Engineering,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,General Engineering,Physics & Astronomy,Architecture,Electrical & Electronic Engineering,Accounting & Finance,Medicine & Dentistry,Chemistry,Computer Science,Business & Management,Biological Sciences,Languages, Literature & Linguistics,Education,Other Health,Economics & Econometrics,Mechanical & Aerospace Engineering",False,False,,Reporter,Available,69.0
13580,1201–1500,Morgan State University,25.5,13580,22.8,1168,12.6,1351,29.2,1464,28.7,1213,56.3,658,United States,6973,14.6,7.0,61 : 39,33.0,Morgan State University,"Languages, Literature & Linguistics,Geography,Economics & Econometrics,Mathematics & Statistics,Accounting & Finance,Education,Art, Performing Arts & Design,Chemistry,Architecture,Sociology,Civil Engineering,History, Philosophy & Theology,General Engineering,Electrical & Electronic Engineering,Physics & Astronomy,Biological Sciences,Business & Management,Psychology,Communication & Media Studies,Other Health,Politics & International Studies (incl Development Studies),Computer Science",False,False,,Reporter,Available,61.0
13590,1201–1500,Moscow Aviation Institute,25.5,13590,32.9,549,14.4,1168,26.4,1529,48.6,833,31.9,1432,Russian Federation,15468,12.8,12.0,29 : 71,51.0,Moscow Aviation Institute,"Economics & Econometrics,Chemical Engineering,Computer Science,Business & Management,Physics & Astronomy,Sociology,Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",False,False,,Reporter,Available,29.0
13600,1201–1500,Moscow Power Engineering Institute,25.5,13600,23.6,1106,18.3,905,20.4,1672,51.4,786,39.9,1122,Russian Federation,14248,20.7,14.0,33 : 67,46.0,Moscow Power Engineering Institute,"Civil Engineering,Education,Art, Performing Arts & Design,Physics & Astronomy,Mechanical & Aerospace Engineering,Business & Management,Electrical & Electronic Engineering,Sport Science,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,General Engineering,Chemistry,Computer Science,Chemical Engineering,Accounting & Finance,History, Philosophy & Theology,Communication & Media Studies,Biological Sciences",False,False,,Reporter,Available,33.0
13610,1201–1500,Multimedia University,25.5,13610,19.5,1424,13.0,1306,29.0,1473,62.2,611,41.2,1077,Malaysia,8893,16.3,9.0,45 : 55,36.0,Multimedia University,"Art, Performing Arts & Design,Business & Management,General Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,Communication & Media Studies,Law,Electrical & Electronic Engineering,Computer Science,Accounting & Finance",False,False,,Reporter,Available,45.0
13620,1201–1500,Mutah University,25.5,13620,29.7,706,11.5,1468,27.6,1505,20.9,1487,61.2,558,Jordan,11348,15.5,18.0,44 : 56,27.0,Mutah University,"Art, Performing Arts & Design,Sociology,Architecture,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Economics & Econometrics,Mechanical & Aerospace Engineering,General Engineering,Chemistry,Law,Electrical & Electronic Engineering,Archaeology,Mathematics & Statistics,Other Health,Chemical Engineering,Geography,Physics & Astronomy,Medicine & Dentistry,Languages, Literature & Linguistics,Education,Accounting & Finance,Sport Science,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Civil Engineering,Psychology,History, Philosophy & Theology,Computer Science,Business & Management",False,False,,Reporter,Available,44.0
13630,1201–1500,Nagaoka University of Technology,25.5,13630,34.3,484,16.4,1018,19.9,1681,62.1,613,43.2,1012,Japan,2127,10.2,12.0,12 : 88,40.0,Nagaoka University of Technology,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Computer Science,Civil Engineering",False,False,,Reporter,Available,12.0
13640,1201–1500,Nagasaki University,25.5,13640,29.4,727,14.8,1139,28.5,1485,48.4,834,40.3,1108,Japan,8782,6.7,5.0,39 : 61,14.0,Nagasaki University,"Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Computer Science,Civil Engineering,Education,Sociology,Mechanical & Aerospace Engineering,Economics & Econometrics,Languages, Literature & Linguistics,Chemical Engineering,General Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Business & Management,Other Health,Communication & Media Studies,Accounting & Finance",False,False,,Reporter,Available,39.0
13650,1201–1500,Nagoya Institute of Technology,25.5,13650,21.5,1270,20.3,798,23.0,1614,73.2,365,31.4,1450,Japan,5760,16.1,5.0,17 : 83,41.0,Nagoya Institute of Technology,"General Engineering,Communication & Media Studies,Chemistry,Computer Science,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Biological Sciences,Business & Management,Architecture,Physics & Astronomy,Sport Science,Chemical Engineering,Electrical & Electronic Engineering,Mathematics & Statistics",False,False,,Reporter,Available,17.0
13660,1201–1500,University of Nairobi,25.5,13660,12.0,1879,10.6,1578,45.9,1101,18.8,1606,49.8,807,Kenya,52678,34.5,2.0,24 : 76,17.0,University of Nairobi,"Law,Mathematics & Statistics,Business & Management,Communication & Media Studies,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Civil Engineering,Electrical & Electronic Engineering,General Engineering,Education,Chemistry,Other Health,Art, Performing Arts & Design,Sport Science,Computer Science,Accounting & Finance,Geography,Mechanical & Aerospace Engineering,Sociology,Chemical Engineering,Architecture,Agriculture & Forestry,History, Philosophy & Theology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Archaeology,Veterinary Science,Psychology,Medicine & Dentistry,Biological Sciences",False,False,,Reporter,Available,24.0
13670,1201–1500,University of Namibia,25.5,13670,13.1,1840,8.6,1848,51.3,988,15.8,1888,62.8,524,Namibia,28916,21.6,3.0,63 : 37,23.0,University of Namibia,"Agriculture & Forestry,Education,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Business & Management,Medicine & Dentistry,Sociology,History, Philosophy & Theology,Veterinary Science,Geography,Computer Science,Law,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Art, Performing Arts & Design",False,False,,Reporter,Available,63.0
13680,1201–1500,National Changhua University of Education,25.5,13680,22.2,1214,17.8,930,20.6,1669,74.5,344,28.8,1551,Taiwan,8459,15.0,8.0,51 : 49,36.0,National Changhua University of Education,"Languages, Literature & Linguistics,Mathematics & Statistics,Education,Computer Science,Geography,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Accounting & Finance,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Chemistry,Psychology,General Engineering,Art, Performing Arts & Design,Biological Sciences,Sport Science,Business & Management",False,False,,Reporter,Available,51.0
13690,1201–1500,National Chin-Yi University of Technology,25.5,13690,13.9,1809,25.1,608,27.4,1511,42.1,936,28.7,1555,Taiwan,7618,22.7,6.0,30 : 70,44.0,National Chin-Yi University of Technology,"Chemical Engineering,Languages, Literature & Linguistics,Computer Science,Electrical & Electronic Engineering,Business & Management,General Engineering,Art, Performing Arts & Design",False,False,,Reporter,Available,30.0
13700,1201–1500,National Chung Cheng University,25.5,13700,23.5,1113,22.2,721,25.0,1564,72.9,371,26.5,1641,Taiwan,8748,15.6,4.0,44 : 56,36.0,National Chung Cheng University,"Chemistry,Psychology,Other Health,History, Philosophy & Theology,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Sociology,Sport Science,Physics & Astronomy,Economics & Econometrics,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Education,Biological Sciences,Accounting & Finance,Languages, Literature & Linguistics,Mathematics & Statistics,Law,Communication & Media Studies,General Engineering,Electrical & Electronic Engineering,Chemical Engineering",False,False,,Reporter,Available,44.0
13710,1201–1500,National University of Colombia,25.5,13710,19.7,1403,13.6,1243,37.1,1277,36.9,1052,41.1,1080,Colombia,56586,22.0,1.0,40 : 60,31.0,National University of Colombia,"Architecture,Veterinary Science,Sociology,Other Health,Mathematics & Statistics,Accounting & Finance,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Medicine & Dentistry,Biological Sciences,Business & Management,History, Philosophy & Theology,Computer Science,Physics & Astronomy,Psychology,Civil Engineering,Law,Languages, Literature & Linguistics,General Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering,Geography,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Chemistry,Education",False,False,,Reporter,Available,40.0
13720,1201–1500,National University of Distance Education (UNED),25.5,13720,24.9,1011,18.9,872,37.8,1263,35.8,1080,31.0,1468,Spain,80478,67.5,4.0,55 : 45,29.0,National University of Distance Education (UNED),"Languages, Literature & Linguistics,Business & Management,Education,Psychology,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Computer Science,Economics & Econometrics,General Engineering,Sociology,Physics & Astronomy,Law,Mathematics & Statistics,Accounting & Finance,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Geography,History, Philosophy & Theology",False,False,,Reporter,Available,55.0
13730,1201–1500,National Dong Hwa University,25.5,13730,19.1,1460,23.8,665,26.3,1536,33.5,1123,48.6,850,Taiwan,9970,18.6,9.0,52 : 48,33.0,National Dong Hwa University NDHU,"Mathematics & Statistics,Business & Management,Physics & Astronomy,Chemistry,Geography,Art, Performing Arts & Design,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Law,Psychology,Economics & Econometrics,General Engineering,Communication & Media Studies,Politics & International Studies (incl Development Studies),Accounting & Finance,Education,Sociology,Biological Sciences,Sport Science,Agriculture & Forestry,Electrical & Electronic Engineering,History, Philosophy & Theology",False,False,,Reporter,Available,52.0
13740,1201–1500,National Institute of Technology Srinagar,25.5,13740,23.1,1145,10.7,1562,45.7,1106,16.7,1788,19.8,1875,India,3820,15.9,0.0,0 : 100,43.0,National Institute of Technology Srinagar,"Electrical & Electronic Engineering,Mathematics & Statistics,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering,Chemistry,Computer Science",False,False,,Reporter,Available,0.0
