university_name,university_name_clean,country_name,country_name_clean,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,university_id
University of Deusto,university of deusto,Spain,spain,,34.8,22.5,23.2,54.3,36.6,42.3,18.8,6.0,57.0,U1165
University of Dhaka,university of dhaka,Bangladesh,bangladesh,,34.8,17.5,10.0,68.8,18.1,48.5,15.3,3.0,50.0,U0557
Eötvös Loránd University,eötvös loránd university,Hungary,hungary,,34.8,28.6,19.2,57.3,33.4,51.3,17.8,11.0,61.0,U0564
Federal University of Minas Gerais,federal university of minas gerais,Brazil,brazil,,34.8,40.2,23.3,43.3,50.8,33.4,13.5,1.0,53.0,U1877
Universidade Federal de Santa Catarina,universidade federal de santa catarina,Brazil,brazil,,34.8,32.5,21.6,41.6,64.2,35.3,17.7,2.0,49.0,U0789
Universidade Federal de São Paulo (UNIFESP),universidade federal de são paulo (unifesp),Brazil,brazil,,34.8,33.2,22.5,48.2,47.2,35.2,11.3,1.0,59.0,U1878
Ferdowsi University of Mashhad,ferdowsi university of mashhad,Iran,iran,,34.8,28.6,26.8,48.2,45.4,38.6,30.5,11.0,54.0,U0961
Florida Atlantic University,florida atlantic university,United States,united states,,34.8,22.5,21.9,57.3,57.6,51.8,19.8,6.0,63.0,U1879
Florida Institute of Technology,florida institute of technology,United States,united states,,34.8,29.0,16.4,45.2,54.8,80.4,15.9,20.0,42.0,U1880
University of the Free State,university of the free state,South Africa,south africa,,34.8,22.4,18.7,56.4,26.9,51.7,35.6,2.0,63.0,U1188
Fuzhou University,fuzhou university,China,china,,34.8,18.9,16.5,71.5,53.2,36.7,17.4,1.0,39.0,U1881
University of Girona,university of girona,Spain,spain,,34.8,20.8,22.4,56.3,55.0,56.8,21.0,14.0,58.0,U1882
University of Gloucestershire,university of gloucestershire,United Kingdom,united kingdom,,34.8,17.4,14.0,57.6,34.5,65.7,17.0,12.0,59.0,U1883
Gorgan University of Agricultural Sciences and Natural Resources,gorgan university of agricultural sciences and natural resources,Iran,iran,,34.8,15.8,11.3,78.0,34.2,35.7,21.5,1.0,50.0,U1884
Guangzhou University,guangzhou university,China,china,,34.8,19.4,12.7,77.1,22.4,35.9,17.5,0.0,60.0,U1885
Guangzhou Medical University,guangzhou medical university,China,china,,34.8,24.2,10.2,72.5,26.6,28.5,1.7,2.0,58.0,U1886
Guilan University of Medical Sciences,guilan university of medical sciences,Iran,iran,,34.8,38.2,10.4,63.7,16.6,21.9,11.5,1.0,53.0,U1887
Harbin Engineering University,harbin engineering university,China,china,,34.8,28.1,30.6,43.6,64.9,24.4,19.8,2.0,22.0,U1039
Hazara University Mansehra,hazara university mansehra,Pakistan,pakistan,,34.8,27.1,10.7,70.9,16.7,49.0,21.3,0.0,54.0,U1888
