university_name,university_name_clean,country_name,country_name_clean,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,university_id
Nanjing Forestry University,nanjing forestry university,China,china,,39.4,22.6,21.2,79.4,28.7,28.0,16.5,1.0,53.0,U1790
Nanjing Tech University,nanjing tech university,China,china,,39.4,21.8,16.2,69.1,68.1,37.1,13.5,3.0,53.0,U1791
National Institute of Applied Sciences of Lyon (INSA Lyon),national institute of applied sciences of lyon (insa lyon),France,france,,39.4,37.2,27.0,38.3,93.8,75.1,18.7,29.0,36.0,U1792
National University of Sciences and Technology,national university of sciences and technology,Pakistan,pakistan,,39.4,25.1,19.4,71.2,34.9,55.1,9.3,5.0,34.0,U1793
National University of Science and Technology (MISiS),national university of science and technology (misis),Russian Federation,russian federation,,39.4,39.1,27.1,43.2,64.1,65.6,12.0,21.0,40.0,U1794
National Sun Yat-Sen University,national sun yat-sen university,Taiwan,taiwan,,39.4,28.2,33.7,43.8,79.1,47.2,12.6,9.0,42.0,U0486
National Technical University of Athens,national technical university of athens,Greece,greece,,39.4,26.3,23.0,59.1,59.7,38.1,20.3,6.0,37.0,U0322
National Institute of Technology Rourkela,national institute of technology rourkela,India,india,,39.4,30.6,20.2,64.7,29.9,23.1,20.6,4.0,22.0,U1795
National Institute of Technology Silchar,national institute of technology silchar,India,india,,39.4,32.4,19.5,71.7,18.4,20.5,16.3,2.0,20.0,U1796
Near East University,near east university,Northern Cyprus,northern cyprus,,39.4,25.9,18.8,66.6,49.9,86.8,29.2,86.0,45.0,U1797
"University of Nevada, Las Vegas","university of nevada, las vegas",United States,united states,,39.4,29.3,25.6,64.7,51.5,38.3,23.2,4.0,57.0,U1798
University of New Brunswick UNB,university of new brunswick unb,Canada,canada,,39.4,24.3,25.0,62.4,64.0,81.1,15.0,14.0,53.0,U1799
University of North Carolina at Charlotte,university of north carolina at charlotte,United States,united states,,39.4,23.2,22.1,74.4,58.7,37.0,20.6,6.0,49.0,U1179
"Northeastern University, China","northeastern university, china",China,china,,39.4,31.5,28.1,57.8,73.7,46.7,13.2,3.0,53.0,U1800
Northern Illinois University,northern illinois university,United States,united states,,39.4,26.3,15.9,60.0,60.4,62.8,14.3,6.0,54.0,U1801
North-West University,north-west university,South Africa,south africa,,39.4,22.7,18.7,64.3,48.0,56.6,25.5,3.0,61.0,U0870
Norwegian University of Life Sciences,norwegian university of life sciences,Norway,norway,,39.4,32.1,14.7,64.0,36.5,70.8,8.2,12.0,61.0,U1802
Novosibirsk State University,novosibirsk state university,Russian Federation,russian federation,,39.4,42.2,36.6,31.6,40.7,51.9,6.6,20.0,53.0,U0443
Ohio University (Main campus),ohio university (main campus),United States,united states,,39.4,30.6,20.1,61.2,54.7,37.2,19.9,4.0,58.0,U1803
Oklahoma State University,oklahoma state university,United States,united states,,39.4,34.1,20.9,60.8,65.8,56.0,14.1,5.0,52.0,U0872
Old Dominion University,old dominion university,United States,united states,,39.4,26.1,20.4,61.2,64.0,38.1,18.2,2.0,57.0,U1804
Ontario Tech University,ontario tech university,Canada,canada,,39.4,18.8,25.0,63.5,51.9,63.2,30.1,8.0,43.0,U1805
The Open University,the open university,United Kingdom,united kingdom,,39.4,17.7,16.1,68.7,52.6,63.6,33.5,8.0,65.0,U1806
Open University of Catalonia,open university of catalonia,Spain,spain,,39.4,18.4,18.2,75.9,29.7,51.0,96.5,6.0,56.0,U1807
Örebro University,örebro university,Sweden,sweden,,39.4,20.1,22.5,77.9,43.8,54.6,15.6,5.0,62.0,U1808
Otto von Guericke University of Magdeburg,otto von guericke university of magdeburg,Germany,germany,,39.4,33.4,18.0,54.4,51.4,74.5,11.2,26.0,42.0,U1809
Oxford Brookes University,oxford brookes university,United Kingdom,united kingdom,,39.4,25.1,21.1,62.5,29.1,87.9,14.0,25.0,58.0,U0416
University of Palermo,university of palermo,Italy,italy,,39.4,18.9,22.5,69.8,47.2,34.8,22.0,1.0,59.0,U0894
Panjab University,panjab university,India,india,,39.4,32.6,16.2,67.9,39.2,23.5,18.6,1.0,51.0,U1076
University of Parma,university of parma,Italy,italy,,39.4,19.4,22.6,72.2,65.9,38.7,33.4,6.0,58.0,U1000
Parthenope University of Naples,parthenope university of naples,Italy,italy,,39.4,18.5,22.6,78.2,25.6,32.2,32.4,1.0,42.0,U1810
Universiti Pendidikan Sultan Idris,universiti pendidikan sultan idris,Malaysia,malaysia,,39.4,35.3,25.2,38.8,62.3,70.8,9.8,20.0,57.0,U1811
Universitat Politècnica de Catalunya,universitat politècnica de catalunya,Spain,spain,,39.4,31.2,21.0,57.3,69.7,61.4,9.8,13.0,28.0,U1812
Polytechnic University of Valencia,polytechnic university of valencia,Spain,spain,,39.4,30.0,25.0,55.4,83.2,57.6,14.5,14.0,41.0,U1813
Prince Sattam Bin Abdulaziz University,prince sattam bin abdulaziz university,Saudi Arabia,saudi arabia,,39.4,21.3,12.0,80.8,23.5,75.8,11.9,2.0,61.0,U1814
Princess Nourah bint Abdulrahman University,princess nourah bint abdulrahman university,Saudi Arabia,saudi arabia,,39.4,26.7,16.3,66.1,28.3,91.7,12.1,17.0,100.0,U0687
Qazvin University of Medical Sciences,qazvin university of medical sciences,Iran,iran,,39.4,38.7,11.6,71.9,18.7,26.5,1.6,2.0,56.0,U1815
Qingdao University,qingdao university,China,china,,39.4,17.8,18.4,84.1,40.0,24.4,15.1,1.0,53.0,U1816
Universitat Ramon Llull,universitat ramon llull,Spain,spain,,39.4,20.7,18.2,70.3,32.1,72.6,22.6,20.0,51.0,U0467
Reykjavík University,reykjavík university,Iceland,iceland,,39.4,15.6,24.0,76.1,28.7,64.4,24.2,10.0,47.0,U1817
University of Rhode Island,university of rhode island,United States,united states,,39.4,26.3,20.5,57.4,50.0,53.7,14.5,3.0,57.0,U1182
University of Rome III,university of rome iii,Italy,italy,,39.4,23.1,25.3,58.3,49.5,45.4,46.5,5.0,60.0,U1818
Roskilde University,roskilde university,Denmark,denmark,,39.4,21.9,33.4,55.5,76.1,54.6,15.8,15.0,65.0,U1819
RUDN University,rudn university,Russian Federation,russian federation,,39.4,39.1,23.0,46.1,21.0,70.4,15.6,32.0,59.0,U0316
Saint-Petersburg Mining University,saint-petersburg mining university,Russian Federation,russian federation,,39.4,29.7,16.9,69.3,50.4,43.1,13.4,12.0,41.0,U1083
University of Salento,university of salento,Italy,italy,,39.4,30.1,21.8,64.5,52.2,34.5,24.7,2.0,62.0,U1820
University of Sannio,university of sannio,Italy,italy,,39.4,23.6,20.5,63.6,71.1,29.3,13.4,1.0,49.0,U1821
University of Santiago de Compostela,university of santiago de compostela,Spain,spain,,39.4,29.7,21.1,58.7,69.6,46.6,14.6,6.0,65.0,U1822
University of Sassari,university of sassari,Italy,italy,,39.4,31.1,24.7,66.3,45.7,41.9,38.1,2.0,63.0,U1823
Saveetha Institute of Medical and Technical Sciences,saveetha institute of medical and technical sciences,India,india,,39.4,31.7,10.2,77.8,17.3,58.9,7.1,1.0,46.0,U1824
Shahid Beheshti University of Medical Sciences,shahid beheshti university of medical sciences,Iran,iran,,39.4,45.1,22.9,49.9,63.5,27.1,8.0,4.0,55.0,U1825
University of Siegen,university of siegen,Germany,germany,,39.4,27.4,26.9,60.7,46.2,62.7,29.9,13.0,56.0,U1826
South China Normal University,south china normal university,China,china,,39.4,22.9,21.7,63.9,51.4,37.4,18.9,3.0,53.0,U1827
South Ural State University,south ural state university,Russian Federation,russian federation,,39.4,23.2,13.5,74.7,24.7,54.5,11.0,11.0,37.0,U1828
SRUC (Scotland’s Rural College),sruc (scotland’s rural college),United Kingdom,united kingdom,,39.4,25.3,12.8,79.3,26.9,64.8,5.5,8.0,64.0,U1829
University of Stavanger,university of stavanger,Norway,norway,,39.4,24.7,15.6,66.6,30.2,74.4,10.5,13.0,58.0,U0849
Sultan Qaboos University,sultan qaboos university,Oman,oman,,39.4,28.1,22.2,62.3,35.7,74.0,9.2,4.0,50.0,U0362
Sunway University,sunway university,Malaysia,malaysia,,39.4,24.7,14.6,71.7,17.2,78.3,8.1,14.0,52.0,U0542
SUNY Binghamton University,suny binghamton university,United States,united states,,39.4,30.7,22.0,61.1,62.8,42.7,22.1,8.0,52.0,U1830
Tallinn University of Technology,tallinn university of technology,Estonia,estonia,,39.4,25.7,20.6,65.7,48.1,69.1,11.4,14.0,40.0,U1831
Tehran University of Medical Sciences,tehran university of medical sciences,Iran,iran,,39.4,50.0,18.5,54.3,45.1,37.5,6.2,12.0,56.0,U1832
Universiti Tenaga Nasional (UNITEN),universiti tenaga nasional (uniten),Malaysia,malaysia,,39.4,25.1,16.8,58.0,70.8,60.8,9.0,19.0,32.0,U0654
University of Texas at Arlington,university of texas at arlington,United States,united states,,39.4,25.2,20.5,65.5,62.9,55.0,31.9,11.0,63.0,U1833
Texas Tech University,texas tech university,United States,united states,,39.4,30.7,20.9,56.9,58.0,58.9,21.1,6.0,50.0,U0786
Thapar Institute of Engineering and Technology,thapar institute of engineering and technology,India,india,,39.4,24.3,11.9,84.8,23.0,28.7,15.1,1.0,34.0,U1834
University of Toledo,university of toledo,United States,united states,,39.4,35.7,16.7,54.5,68.8,56.7,17.0,9.0,53.0,U1190
Ton Duc Thang University,ton duc thang university,Vietnam,vietnam,,39.4,12.9,16.0,90.6,20.9,63.1,21.9,1.0,57.0,U0721
Toronto Metropolitan University,toronto metropolitan university,Canada,canada,,39.4,19.5,32.3,57.3,70.3,62.1,42.8,9.0,55.0,U0828
University of Tuscia,university of tuscia,Italy,italy,,39.4,21.4,22.6,77.3,54.9,43.2,20.0,4.0,52.0,U1835
University of Udine,university of udine,Italy,italy,,39.4,28.5,20.2,73.1,61.1,41.8,19.3,5.0,55.0,U1836
Ulster University,ulster university,United Kingdom,united kingdom,,39.4,21.3,22.4,62.0,50.1,82.4,20.1,10.0,56.0,U0560
Umm Al-Qura University,umm al-qura university,Saudi Arabia,saudi arabia,,39.4,33.3,14.4,62.2,53.2,73.1,9.6,7.0,53.0,U0561
Paris Lodron Universität Salzburg,paris lodron universität salzburg,Austria,austria,,39.4,31.6,23.4,55.0,45.8,93.4,10.0,35.0,67.0,U1837
Urmia University of Medical Sciences,urmia university of medical sciences,Iran,iran,,39.4,35.3,11.7,69.3,17.8,25.2,12.4,5.0,52.0,U1838
VIT University,vit university,India,india,,39.4,27.9,15.6,68.3,28.9,46.2,18.8,5.0,30.0,U1839
University of Warsaw,university of warsaw,Poland,poland,,39.4,33.1,29.9,55.6,37.1,45.6,10.9,9.0,62.0,U0258
University of the Western Cape,university of the western cape,South Africa,south africa,,39.4,22.0,23.8,59.3,22.6,65.7,36.7,6.0,61.0,U1003
University of the West of Scotland,university of the west of scotland,United Kingdom,united kingdom,,39.4,24.4,16.0,66.5,24.2,86.9,24.6,25.0,62.0,U1840
William & Mary,william & mary,United States,united states,,39.4,38.4,21.7,62.2,37.1,39.1,11.3,7.0,57.0,U1841
University of Wolverhampton,university of wolverhampton,United Kingdom,united kingdom,,39.4,19.1,14.7,64.7,40.7,81.1,16.7,28.0,62.0,U1194
Worcester Polytechnic Institute,worcester polytechnic institute,United States,united states,,39.4,30.0,22.1,61.2,61.8,57.2,13.0,14.0,38.0,U0949
Wroclaw Medical University,wroclaw medical university,Poland,poland,,39.4,40.7,13.3,66.9,36.5,37.7,10.9,14.0,72.0,U1842
University of Wyoming,university of wyoming,United States,united states,,39.4,35.9,20.3,62.1,58.6,37.7,14.1,4.0,52.0,U1195
Xi’an Jiaotong-Liverpool University,xi’an jiaotong-liverpool university,China,china,,39.4,18.6,15.1,70.8,20.9,77.3,19.9,4.0,51.0,U1843
Xidian University,xidian university,China,china,,39.4,24.3,25.0,61.0,77.5,25.9,15.3,1.0,26.0,U1844
Yeungnam University,yeungnam university,South Korea,south korea,,39.4,24.1,18.0,66.8,47.0,54.9,14.7,5.0,50.0,U1005
Zhejiang Normal University,zhejiang normal university,China,china,,39.4,20.3,19.0,75.4,54.1,35.6,12.2,5.0,53.0,U1845
Zhengzhou University,zhengzhou university,China,china,,39.4,18.7,19.8,82.5,35.8,25.2,15.6,4.0,48.0,U0512
University of the Aegean,university of the aegean,Greece,greece,,34.8,18.3,21.9,54.4,80.0,33.9,63.5,1.0,55.0,U1846
Ahvaz Jundishapur University of Medical Sciences (AJUMS),ahvaz jundishapur university of medical sciences (ajums),Iran,iran,,34.8,38.1,10.7,58.1,20.1,21.8,11.7,3.0,67.0,U1847
Al-Azhar University,al-azhar university,Egypt,egypt,,34.8,19.2,10.9,69.2,20.4,57.4,22.0,9.0,42.0,U1006
University of Alcalá,university of alcalá,Spain,spain,,34.8,27.8,15.1,55.0,41.9,64.4,10.4,24.0,59.0,U1848
Alexandria University,alexandria university,Egypt,egypt,,34.8,17.9,17.7,58.2,27.2,51.4,28.7,4.0,52.0,U0804
University of Algarve,university of algarve,Portugal,portugal,,34.8,18.5,19.5,52.3,25.3,66.4,15.0,19.0,56.0,U1849
American University in Cairo,american university in cairo,Egypt,egypt,,34.8,26.7,24.0,51.1,23.0,70.3,14.2,4.0,58.0,U1850
Amity University,amity university,India,india,,34.8,23.6,14.0,62.3,20.0,31.1,17.1,7.0,52.0,U1008
Amrita Vishwa Vidyapeetham,amrita vishwa vidyapeetham,India,india,,34.8,28.4,20.5,60.8,41.1,36.9,11.8,5.0,53.0,U1009
"University of the Andes, Colombia","university of the andes, colombia",Colombia,colombia,,34.8,24.4,19.6,48.4,28.5,60.8,13.5,2.0,45.0,U1851
Arak University of Medical Sciences,arak university of medical sciences,Iran,iran,,34.8,31.7,10.2,66.4,18.9,21.2,7.4,2.0,55.0,U1852
Aristotle University of Thessaloniki,aristotle university of thessaloniki,Greece,greece,,34.8,22.3,16.8,66.3,52.7,38.1,18.2,5.0,58.0,U0508
Arts et Métiers,arts et métiers,France,france,,34.8,31.1,19.5,35.2,67.7,67.0,16.3,12.0,18.0,U1853
Aswan University,aswan university,Egypt,egypt,,34.8,16.7,12.1,75.6,18.4,50.4,45.4,1.0,51.0,U1854
Athens University of Economics and Business,athens university of economics and business,Greece,greece,,34.8,18.1,23.6,53.3,57.8,44.5,53.7,5.0,45.0,U0954
Bahçeşehir University,bahçeşehir university,Turkey,turkey,,34.8,19.5,24.4,59.4,39.6,61.2,47.9,22.0,50.0,U1855
Bahria University,bahria university,Pakistan,pakistan,,34.8,14.2,9.7,77.3,16.2,48.7,20.3,1.0,45.0,U1856
University of the Balearic Islands,university of the balearic islands,Spain,spain,,34.8,26.8,15.1,56.4,32.0,58.1,9.4,8.0,60.0,U1857
University of Belgrade,university of belgrade,Serbia,serbia,,34.8,21.3,27.0,49.4,34.0,42.3,18.2,5.0,62.0,U0740
University of Bergamo,university of bergamo,Italy,italy,,34.8,19.4,21.2,59.6,33.3,37.5,54.8,7.0,63.0,U1858
"Birla Institute of Technology and Science, Pilani","birla institute of technology and science, pilani",India,india,,34.8,23.7,17.0,67.4,31.7,25.1,16.2,2.0,20.0,U0809
BRAC University,brac university,Bangladesh,bangladesh,,34.8,14.8,12.3,71.1,15.7,42.2,16.9,1.0,43.0,U1020
Université de Bretagne Occidentale,université de bretagne occidentale,France,france,,34.8,20.3,19.6,52.0,47.8,60.5,33.1,11.0,59.0,U1859
University of Brighton,university of brighton,United Kingdom,united kingdom,,34.8,19.8,16.5,53.9,60.9,84.4,18.0,22.0,60.0,U0843
Bucharest University of Economic Studies,bucharest university of economic studies,Romania,romania,,34.8,19.7,11.6,75.9,20.8,27.8,16.3,4.0,62.0,U1860
Cairo University,cairo university,Egypt,egypt,,34.8,25.0,18.5,59.9,39.2,45.4,30.9,5.0,60.0,U0350
University of Camerino (Unicam),university of camerino (unicam),Italy,italy,,34.8,18.0,17.6,58.6,60.0,53.0,30.1,9.0,52.0,U1861
Carlos III University of Madrid,carlos iii university of madrid,Spain,spain,,34.8,29.5,20.8,42.9,66.9,60.0,11.2,12.0,47.0,U1862
University of Castilla-La Mancha,university of castilla-la mancha,Spain,spain,,34.8,24.2,17.2,53.7,46.3,42.0,12.8,7.0,57.0,U1863
Catholic University of Portugal,catholic university of portugal,Portugal,portugal,,34.8,19.6,18.7,64.4,25.6,55.7,22.2,17.0,62.0,U1864
Changsha University of Science and Technology,changsha university of science and technology,China,china,,34.8,16.8,13.5,76.5,41.6,27.9,16.0,1.0,36.0,U1865
Chapman University,chapman university,United States,united states,,34.8,36.9,14.7,48.1,59.2,46.8,12.0,7.0,61.0,U1866
Charles Sturt University,charles sturt university,Australia,australia,,34.8,18.5,17.9,55.1,58.0,66.3,24.6,13.0,63.0,U0855
Institute of Chemical Technology,institute of chemical technology,India,india,,34.8,37.5,20.7,51.0,57.9,17.4,17.2,0.0,30.0,U1867
Chengdu University,chengdu university,China,china,,34.8,18.5,14.5,74.1,28.5,28.2,16.3,2.0,55.0,U1868
Chiang Mai University,chiang mai university,Thailand,thailand,,34.8,28.5,19.1,46.3,58.1,39.5,13.6,4.0,61.0,U0567
Chiba University,chiba university,Japan,japan,,34.8,33.2,20.9,42.0,68.9,33.9,8.9,6.0,38.0,U0773
University of Chile,university of chile,Chile,chile,,34.8,25.9,19.8,50.5,57.4,52.9,16.4,5.0,51.0,U1869
China University of Petroleum (East China),china university of petroleum (east china),China,china,,34.8,22.2,23.0,54.3,68.2,23.8,17.0,2.0,33.0,U1870
Chonnam National University,chonnam national university,South Korea,south korea,,34.8,28.5,28.3,43.6,57.5,32.8,17.7,7.0,49.0,U0856
Chungnam National University,chungnam national university,South Korea,south korea,,34.8,29.9,29.7,34.9,71.7,26.0,19.8,4.0,47.0,U0857
Clarkson University,clarkson university,United States,united states,,34.8,29.9,18.0,41.2,67.4,63.3,15.5,8.0,34.0,U0858
University of Clermont Auvergne,university of clermont auvergne,France,france,,34.8,21.8,18.1,54.2,61.6,68.3,21.2,15.0,57.0,U1871
University of la Costa,university of la costa,Colombia,colombia,,34.8,13.2,10.7,74.2,16.3,54.9,18.1,1.0,42.0,U1872
Covenant University,covenant university,Nigeria,nigeria,,34.8,24.7,24.4,56.6,24.2,54.3,17.5,0.0,37.0,U1873
CY Cergy Paris University,cy cergy paris university,France,france,,34.8,23.8,25.3,44.4,56.6,92.7,19.5,26.0,52.0,U0859
Czech University of Life Sciences Prague (CZU),czech university of life sciences prague (czu),Czech Republic,czech republic,,34.8,20.1,15.4,50.8,50.2,76.4,18.3,26.0,50.0,U1874
Damietta University,damietta university,Egypt,egypt,,34.8,16.4,9.4,73.0,17.4,46.1,33.9,1.0,63.0,U1875
University of Delhi,university of delhi,India,india,,34.8,40.4,24.2,39.0,40.5,23.3,23.8,1.0,48.0,U0330
Delhi Technological University,delhi technological university,India,india,,34.8,16.9,20.1,76.7,28.5,19.7,23.4,3.0,22.0,U1876
