University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,QS_Normalized_Rank,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,THE_Year,THE_Normalized_Rank,THE_Female_Percentage,THE_Male_Percentage
The University of Arizona,United States,293.0,37.0,37.3,22.2,44.4,38.8,31.6,15.1,94.1,37.1,40.4,50.924369747899156,136.0,62.6895,48.0,52.8,86.3,81.0,54.5,47926.0,19.6,7.0,57 : 43,2025,93.54375896700144,57,43
The University of Auckland,New Zealand,65.0,69.7,82.2,44.7,15.5,66.9,100.0,84.0,87.4,92.9,99.7,89.2436974789916,152.0,61.8475,40.4,46.4,87.8,87.4,88.5,34626.0,24.4,31.0,56 : 44,2025,92.77857484457198,56,44
The University of Edinburgh,United Kingdom,27.0,83.3,98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9,99.0,95.63025210084034,29.0,82.501,72.2,77.1,95.7,72.2,96.6,37035.0,12.2,49.0,62 : 38,2025,98.66092778574844,62,38
The University of Exeter,United Kingdom,169.0,50.1,42.9,45.0,30.2,42.5,91.0,72.2,95.1,30.1,97.1,71.76470588235294,174.0,60.3605,34.8,42.3,94.9,56.0,94.9,29310.0,16.9,29.0,53 : 47,2025,91.72644667623146,53,47
The University of Georgia,United States,587.0,21.1,20.6,18.6,9.8,24.4,6.7,4.5,83.7,21.5,30.7,1.5126050420168067,359.0,50.925,42.2,40.4,69.1,69.0,43.6,38399.0,15.9,7.0,59 : 41,2025,82.87900526064084,59,41
The University of Hong Kong,Hong Kong SAR,17.0,87.6,97.4,59.4,81.2,86.4,100.0,99.3,81.4,99.7,89.2,97.3109243697479,35.0,79.607,65.0,70.5,96.1,96.3,97.4,18010.0,18.4,45.0,55 : 45,2025,98.3739837398374,55,45
The University of Manchester,United Kingdom,34.0,82.0,95.6,98.1,51.3,45.1,93.1,99.2,99.2,87.6,99.8,94.45378151260503,53.0,75.53599999999999,60.3,67.7,93.4,73.3,95.5,42160.0,15.1,46.0,56 : 44,2025,97.51315160210426,56,44
The University of Melbourne,Australia,13.0,88.9,98.5,93.9,15.4,93.0,95.1,99.8,97.4,96.5,99.6,97.98319327731092,39.0,78.4005,64.2,75.3,89.1,99.3,92.3,50303.0,23.6,48.0,58 : 42,2025,98.18268770923004,58,42
The University of Queensland,Australia,40.0,80.2,86.7,74.0,21.2,90.2,100.0,100.0,96.7,56.7,96.7,93.4453781512605,77.0,70.285,50.8,61.9,87.8,99.7,93.6,41249.0,37.6,42.0,55 : 45,2025,96.36537541846006,55,45
The University of Sheffield,United Kingdom,105.0,59.1,58.3,48.7,52.5,43.9,83.3,96.8,95.8,33.8,97.7,82.52100840336134,99.0,66.28049999999999,48.7,49.1,90.1,94.0,91.8,28100.0,14.9,41.0,53 : 47,2025,95.31324725011956,53,47
