university_rank,name_of_university,location,no_of_student,no_of_student_per_staff,international_student,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,university_name_clean,country_clean,rank_numeric,rank_is_banded
1001–1200,Universiti Malaysia Perlis,Malaysia,10937.0,13.6,5.0,45 : 55,,17.9,13.6,40.7,37.2,29.6,universiti malaysia perlis,malaysia,1100.5,True
1001–1200,University of Manouba,Tunisia,16315.0,12.1,1.0,59 : 41,,19.2,8.3,52.7,36.9,44.6,university of manouba,tunisia,1100.5,True
1001–1200,University of Maragheh,Iran,3146.0,19.9,0.0,56 : 44,,15.1,12.4,55.7,36.9,27.4,university of maragheh,iran,1100.5,True
1001–1200,University of Marrakech Cadi Ayyad,Morocco,110826.0,44.8,1.0,50 : 50,,26.8,10.5,32.7,38.7,37.7,university of marrakech cadi ayyad,morocco,1100.5,True
1001–1200,University of Mauritius,Mauritius,8710.0,21.5,1.0,55 : 45,,16.4,10.0,49.1,38.1,41.9,university of mauritius,mauritius,1100.5,True
1001–1200,University of Mazandaran,Iran,13320.0,33.1,6.0,62 : 38,,25.2,15.0,38.1,38.1,27.0,university of mazandaran,iran,1100.5,True
1001–1200,Medical University of Bialystok,Poland,5494.0,12.7,8.0,76 : 24,,37.1,10.5,30.9,39.5,28.0,medical university of bialystok,poland,1100.5,True
1001–1200,Menoufia University,Egypt,100182.0,34.3,0.0,43 : 57,,14.5,8.2,61.4,38.2,41.7,menoufia university,egypt,1100.5,True
1001–1200,Miguel Hernández University of Elche,Spain,12276.0,17.0,7.0,48 : 52,,17.5,16.1,40.5,40.0,38.6,miguel hernández university of elche,spain,1100.5,True
1001–1200,Morgan State University,United States,6129.0,11.7,8.0,59 : 41,,22.0,10.4,36.7,37.2,48.7,morgan state university,united states,1100.5,True
1001–1200,University of Murcia,Spain,26351.0,16.0,8.0,59 : 41,,20.1,19.1,34.0,39.2,39.8,university of murcia,spain,1100.5,True
1001–1200,Nanjing University of Aeronautics and Astronautics,China,32300.0,15.6,3.0,30 : 70,,22.0,26.1,23.1,69.5,20.8,nanjing university of aeronautics and astronautics,china,1100.5,True
1001–1200,Nanjing Medical University,China,20660.0,8.6,4.0,,,29.2,19.7,37.2,39.0,20.7,nanjing medical university,china,1100.5,True
1001–1200,National Autonomous University of Mexico,Mexico,172729.0,17.4,4.0,52 : 48,,29.9,29.5,21.3,54.3,47.8,national autonomous university of mexico,mexico,1100.5,True
1001–1200,National Central University,Taiwan,10853.0,9.7,9.0,36 : 64,,25.0,22.6,17.4,73.6,43.7,national central university,taiwan,1100.5,True
1001–1200,National University of Colombia,Colombia,42188.0,15.8,1.0,39 : 61,,20.3,13.1,41.2,37.3,38.4,national university of colombia,colombia,1100.5,True
1001–1200,National Taipei University of Technology,Taiwan,9873.0,15.7,11.0,28 : 72,,22.7,23.1,24.6,96.5,39.7,national taipei university of technology,taiwan,1100.5,True
1001–1200,National Taiwan Ocean University,Taiwan,8905.0,21.0,6.0,33 : 67,,18.7,25.6,24.1,74.9,31.3,national taiwan ocean university,taiwan,1100.5,True
1001–1200,National Institute of Technology Rourkela,India,7583.0,20.6,4.0,23 : 77,,22.2,17.2,45.6,39.0,18.6,national institute of technology rourkela,india,1100.5,True
1001–1200,Necmettin Erbakan University,Turkey,18420.0,13.4,13.0,51 : 49,,33.7,12.7,26.9,39.6,31.5,necmettin erbakan university,turkey,1100.5,True
1001–1200,Niigata University,Japan,12037.0,7.6,3.0,38 : 62,,25.3,13.5,48.8,42.1,25.3,niigata university,japan,1100.5,True
1001–1200,Northwest University,China,26073.0,14.0,1.0,53 : 47,,21.5,14.5,40.1,41.5,21.4,northwest university,china,1100.5,True
1001–1200,Oakland University,United States,15413.0,17.8,4.0,58 : 42,,29.0,15.7,31.3,37.1,33.6,oakland university,united states,1100.5,True
1001–1200,Óbuda University,Hungary,11804.0,38.4,6.0,21 : 79,,15.0,14.6,45.5,38.8,42.1,óbuda university,hungary,1100.5,True
1001–1200,Okayama University,Japan,13012.0,10.4,10.0,40 : 60,,27.6,20.3,22.4,57.6,33.6,okayama university,japan,1100.5,True
1001–1200,University of Oviedo,Spain,18599.0,11.6,2.0,53 : 47,,22.0,20.1,38.4,40.4,32.8,university of oviedo,spain,1100.5,True
1001–1200,Palacký University Olomouc,Czech Republic,18673.0,14.5,13.0,69 : 31,,19.6,19.9,40.0,37.8,59.3,palacký university olomouc,czechia,1100.5,True
1001–1200,University of Patras,Greece,29393.0,25.6,6.0,51 : 49,,16.9,16.6,43.7,40.9,38.1,university of patras,greece,1100.5,True
1001–1200,Pavol Jozef Šafárik University in Košice,Slovakia,6867.0,10.0,23.0,67 : 33,,39.7,10.1,14.4,37.0,64.8,pavol jozef šafárik university in košice,slovakia,1100.5,True
1001–1200,University of Pécs,Hungary,17711.0,12.6,23.0,57 : 43,,38.3,13.0,27.2,38.7,56.3,university of pécs,hungary,1100.5,True
1001–1200,PMAS Arid Agriculture University Rawalpindi,Pakistan,11456.0,44.8,0.0,37 : 63,,26.4,11.2,35.5,36.9,43.1,pmas arid agriculture university rawalpindi,pakistan,1100.5,True
1001–1200,Polytechnic Institute of Porto,Portugal,18743.0,16.9,7.0,48 : 52,,14.3,11.2,46.3,37.1,36.7,polytechnic institute of porto,portugal,1100.5,True
1001–1200,Pondicherry University,India,7291.0,22.6,1.0,47 : 53,,35.9,21.3,23.5,38.1,16.1,pondicherry university,india,1100.5,True
1001–1200,Portland State University,United States,18067.0,19.3,6.0,58 : 42,,20.5,21.5,40.6,37.8,30.6,portland state university,united states,1100.5,True
1001–1200,Port Said University,Egypt,29534.0,29.8,0.0,49 : 51,,13.2,8.0,53.9,37.0,42.5,port said university,egypt,1100.5,True
1001–1200,Public University of Navarre,Spain,7806.0,11.2,8.0,51 : 49,,20.0,13.5,42.5,39.0,46.6,public university of navarre,spain,1100.5,True
1001–1200,University of Puerto Rico,Puerto Rico,47257.0,17.0,1.0,61 : 39,,22.9,10.5,41.0,39.9,46.7,university of puerto rico,puerto rico,1100.5,True
1001–1200,Pusan National University,,21018.0,17.0,6.0,51 : 49,,30.7,32.5,21.6,50.8,28.5,pusan national university,,1100.5,True
1001–1200,Reichman University,Israel,8030.0,18.7,28.0,51 : 49,,14.3,9.6,50.3,36.9,66.2,reichman university,israel,1100.5,True
1001–1200,University Rey Juan Carlos,Spain,43160.0,20.3,7.0,59 : 41,,15.4,13.2,47.4,38.3,38.8,university rey juan carlos,spain,1100.5,True
1001–1200,Rikkyo University,Japan,20014.0,15.1,5.0,,,16.5,8.7,41.0,37.4,49.2,rikkyo university,japan,1100.5,True
1001–1200,Robert Gordon University,United Kingdom,8955.0,19.1,25.0,60 : 40,,17.7,12.9,33.9,38.2,79.9,robert gordon university,united kingdom,1100.5,True
1001–1200,Rochester Institute of Technology,United States,14520.0,15.7,16.0,36 : 64,,20.9,19.2,43.5,38.2,41.5,rochester institute of technology,united states,1100.5,True
1001–1200,Rowan University,United States,17912.0,14.4,3.0,47 : 53,,30.7,11.3,45.6,37.3,31.3,rowan university,united states,1100.5,True
1001–1200,Sahand University of Technology,Iran,4595.0,24.5,0.0,35 : 65,,20.2,15.6,48.7,55.1,19.3,sahand university of technology,iran,1100.5,True
1001–1200,Sakarya University,Turkey,40331.0,25.1,8.0,54 : 46,,21.2,11.3,46.2,54.2,27.3,sakarya university,turkey,1100.5,True
1001–1200,Universidad San Francisco de Quito,Ecuador,10338.0,13.6,5.0,49 : 51,,16.7,9.8,42.8,37.7,65.6,universidad san francisco de quito,ecuador,1100.5,True
1001–1200,University of Sargodha,Pakistan,23740.0,31.0,0.0,53 : 47,,28.1,10.7,39.2,37.3,43.2,university of sargodha,pakistan,1100.5,True
1001–1200,Semnan University of Medical Sciences and Health Services,Iran,3536.0,8.3,7.0,64 : 36,,20.9,9.2,47.6,37.0,25.0,semnan university of medical sciences and health services,iran,1100.5,True
1001–1200,University of Seville,Spain,49155.0,16.7,12.0,58 : 42,,20.3,22.6,39.5,40.6,45.4,university of seville,spain,1100.5,True
1001–1200,Shahid Beheshti University of Medical Sciences,Iran,12850.0,8.7,3.0,58 : 42,,38.6,14.8,35.8,50.9,21.7,shahid beheshti university of medical sciences,iran,1100.5,True
1001–1200,Shahrekord University,Iran,7268.0,21.1,0.0,56 : 44,,17.7,12.7,48.7,37.7,19.3,shahrekord university,iran,1100.5,True
1001–1200,Shahrood University of Technology,Iran,8221.0,21.1,1.0,44 : 56,,25.1,16.6,46.1,37.6,28.1,shahrood university of technology,iran,1100.5,True
1001–1200,Shanghai Maritime University,China,23263.0,16.7,2.0,46 : 54,,15.8,11.2,50.6,48.4,32.0,shanghai maritime university,china,1100.5,True
1001–1200,Sidi Mohamed Ben Abdellah University,Morocco,90045.0,53.3,2.0,48 : 52,,23.9,10.4,40.7,36.9,23.4,sidi mohamed ben abdellah university,morocco,1100.5,True
1001–1200,Siksha ‘O’ Anusandhan,,13990.0,12.4,1.0,54 : 46,,28.6,14.8,46.3,52.8,16.0,siksha o anusandhan,,1100.5,True
1001–1200,University of Social Welfare and Rehabilitation Sciences,Iran,1746.0,10.9,2.0,68 : 32,,29.4,19.5,33.1,41.4,33.1,university of social welfare and rehabilitation sciences,iran,1100.5,True
1001–1200,Sogang University,South Korea,9625.0,24.0,15.0,46 : 54,,24.8,25.9,28.4,51.7,39.0,sogang university,south korea,1100.5,True
1001–1200,Sohag University,Egypt,60248.0,26.4,0.0,56 : 44,,14.2,8.3,52.2,37.4,44.9,sohag university,egypt,1100.5,True
1001–1200,University of South Africa,South Africa,236282.0,232.2,3.0,73 : 27,,30.4,25.5,29.3,37.6,42.6,university of south africa,south africa,1100.5,True
1001–1200,University of South Dakota,United States,7129.0,14.7,3.0,63 : 37,,35.2,15.0,30.1,36.9,24.9,university of south dakota,united states,1100.5,True
1001–1200,University of the South Pacific,Fiji,12052.0,36.6,1.0,58 : 42,,15.8,16.3,45.3,43.1,69.0,university of the south pacific,fiji,1100.5,True
1001–1200,South Valley University,Egypt,52035.0,30.0,1.0,57 : 43,,13.7,8.4,53.6,37.0,46.1,south valley university,egypt,1100.5,True
1001–1200,University of South Wales,United Kingdom,15625.0,15.4,21.0,53 : 47,,16.9,11.0,33.0,38.5,70.9,university of south wales,united kingdom,1100.5,True
1001–1200,University of Split,Croatia,19363.0,16.3,2.0,57 : 43,,15.7,13.4,49.7,37.9,37.3,university of split,croatia,1100.5,True
1001–1200,Ştefan cel Mare University of Suceava,Romania,9239.0,24.8,14.0,59 : 41,,16.9,12.0,52.0,37.5,33.5,ştefan cel mare university of suceava,romania,1100.5,True
1001–1200,St Marianna University School of Medicine,Japan,833.0,0.9,1.0,39 : 61,,26.7,8.6,39.4,37.1,17.6,st marianna university school of medicine,japan,1100.5,True
1001–1200,University of Sunderland,United Kingdom,12050.0,15.9,40.0,60 : 40,,16.9,9.6,35.3,37.1,69.6,university of sunderland,united kingdom,1100.5,True
1001–1200,SWPS University of Social Sciences and Humanities,Poland,14522.0,37.6,8.0,78 : 22,,15.4,16.3,38.5,37.3,52.0,swps university of social sciences and humanities,poland,1100.5,True
1001–1200,University of Szeged,Hungary,20023.0,12.5,22.0,55 : 45,,23.2,15.5,33.3,39.6,60.8,university of szeged,hungary,1100.5,True
1001–1200,Tallinn University,Estonia,4178.0,9.6,16.0,71 : 29,,19.7,18.8,22.4,39.0,68.9,tallinn university,estonia,1100.5,True
1001–1200,Technical University of Crete,Greece,6597.0,31.6,4.0,37 : 63,,14.1,11.9,57.4,41.4,43.4,technical university of crete,greece,1100.5,True
1001–1200,Technical University of Madrid,Spain,38976.0,15.6,16.0,32 : 68,,22.5,15.3,36.5,45.2,52.7,technical university of madrid,spain,1100.5,True
1001–1200,Technological University Dublin,Ireland,20686.0,18.7,21.0,44 : 56,,17.8,12.3,33.1,37.5,72.6,technological university dublin,ireland,1100.5,True
1001–1200,Teesside University,United Kingdom,13135.0,19.3,20.0,57 : 43,,19.1,12.7,42.5,37.2,69.1,teesside university,united kingdom,1100.5,True
1001–1200,University of Texas Rio Grande Valley,United States,29420.0,23.5,3.0,60 : 40,,18.1,23.7,40.7,37.1,36.0,university of texas rio grande valley,united states,1100.5,True
1001–1200,Tokyo Medical University,Japan,1370.0,1.7,1.0,45 : 55,,28.2,11.5,39.8,44.5,19.0,tokyo medical university,japan,1100.5,True
1001–1200,Tokyo Metropolitan University,,8829.0,10.6,6.0,39 : 61,,24.5,14.6,34.1,39.9,30.0,tokyo metropolitan university,,1100.5,True
1001–1200,Toyota Technological Institute,Japan,489.0,9.4,2.0,8 : 92,,23.5,17.5,30.4,59.9,26.0,toyota technological institute,japan,1100.5,True
1001–1200,University of Trás-os-Montes and Alto Douro,Portugal,7123.0,11.1,8.0,55 : 45,,17.1,19.4,31.9,36.9,44.2,university of trásosmontes and alto douro,portugal,1100.5,True
1001–1200,Universiti Tunku Abdul Rahman (UTAR),Malaysia,18183.0,15.8,3.0,51 : 49,,16.1,14.9,49.8,39.7,35.6,universiti tunku abdul rahman,malaysia,1100.5,True
1001–1200,Urmia University,Iran,13910.0,27.2,2.0,50 : 50,,24.2,16.4,38.6,40.9,22.4,urmia university,iran,1100.5,True
1001–1200,"University of Veterinary and Animal Sciences, Lahore",Pakistan,7087.0,19.6,1.0,50 : 50,,16.3,13.9,38.4,54.8,45.0,university of veterinary and animal sciences lahore,pakistan,1100.5,True
1001–1200,"Vietnam National University, Hanoi",Vietnam,48070.0,15.3,1.0,63 : 37,,18.7,9.6,45.9,38.9,45.5,vietnam national university hanoi,vietnam,1100.5,True
1001–1200,University of Vigo,Spain,17613.0,15.4,6.0,51 : 49,,18.7,16.5,44.5,40.6,44.6,university of vigo,spain,1100.5,True
1001–1200,Waseda University,Japan,46799.0,14.6,13.0,39 : 61,,29.3,23.8,27.6,41.1,47.0,waseda university,japan,1100.5,True
1001–1200,University of Westminster,United Kingdom,16945.0,20.8,50.0,61 : 39,,18.6,18.4,35.9,37.3,82.9,university of westminster,united kingdom,1100.5,True
1001–1200,Wuhan University of Technology,China,55426.0,14.9,2.0,30 : 70,,19.4,15.2,48.3,55.7,23.2,wuhan university of technology,china,1100.5,True
1001–1200,Xidian University,China,37205.0,16.0,1.0,27 : 73,,22.0,20.4,40.8,78.4,21.1,xidian university,china,1100.5,True
1001–1200,Yarmouk University,Jordan,36443.0,33.2,10.0,69 : 31,,29.4,11.1,33.6,38.2,49.8,yarmouk university,jordan,1100.5,True
1001–1200,Yasouj University,Iran,5713.0,23.6,0.0,56 : 44,,14.8,13.6,53.8,38.5,18.5,yasouj university,iran,1100.5,True
1001–1200,Yıldız Technical University,,25532.0,26.0,11.0,48 : 52,,25.7,26.7,29.3,100.0,32.0,yıldız technical university,,1100.5,True
1001–1200,University of Zaragoza,Spain,28085.0,10.1,8.0,54 : 46,,21.1,16.3,35.0,40.7,40.3,university of zaragoza,spain,1100.5,True
1001–1200,Zhejiang Gongshang University,China,22676.0,15.8,5.0,61 : 39,,16.9,11.0,53.8,40.1,32.8,zhejiang gongshang university,china,1100.5,True
1001–1200,Zhejiang University of Technology,China,32095.0,14.5,6.0,,,18.2,18.4,49.1,65.1,24.5,zhejiang university of technology,china,1100.5,True
1001–1200,University of Žilina,Slovakia,7545.0,13.4,3.0,35 : 65,,21.3,18.2,29.7,45.3,33.0,university of žilina,slovakia,1100.5,True
1001–1200,University of Zimbabwe,Zimbabwe,20598.0,23.9,0.0,51 : 49,,14.8,23.3,35.6,43.1,50.0,university of zimbabwe,zimbabwe,1100.5,True
1201–1500,Université 8 Mai 1945 Guelma,Algeria,17530.0,20.1,1.0,67 : 33,,16.2,8.6,41.3,37.0,36.5,université 8 mai 1945 guelma,algeria,1350.5,True
1201–1500,Abdelmalek Essaâdi University,Morocco,112677.0,88.2,1.0,50 : 50,,27.4,9.5,16.2,36.9,28.0,abdelmalek essaâdi university,morocco,1350.5,True
1201–1500,Acharya Nagarjuna University,India,4872.0,7.9,7.0,38 : 62,,42.4,9.7,18.2,42.5,24.1,acharya nagarjuna university,india,1350.5,True
1201–1500,Acıbadem University,,2784.0,6.1,3.0,74 : 26,,22.4,11.4,18.0,38.7,24.9,acıbadem university,,1350.5,True
1201–1500,Adolfo Ibáñez University,Chile,10573.0,25.7,5.0,38 : 62,,15.6,17.2,20.0,38.1,60.4,adolfo ibáñez university,chile,1350.5,True
1201–1500,AGH University of Krakow,Poland,20240.0,12.7,3.0,35 : 65,,20.6,18.6,18.7,56.8,25.5,agh university of krakow,poland,1350.5,True
1201–1500,Aichi Medical University,Japan,1323.0,2.9,1.0,57 : 43,,26.5,12.4,31.6,41.1,18.7,aichi medical university,japan,1350.5,True
1201–1500,Universitas Airlangga,,26142.0,7.7,2.0,66 : 34,,23.4,10.5,27.6,38.4,38.5,universitas airlangga,,1350.5,True
1201–1500,Akdeniz University,Turkey,44434.0,32.7,3.0,33 : 67,,15.5,10.8,27.8,38.1,19.7,akdeniz university,turkey,1350.5,True
1201–1500,University of Alicante,Spain,22094.0,14.4,10.0,58 : 42,,20.3,18.4,23.1,39.3,41.3,university of alicante,spain,1350.5,True
1201–1500,Anadolu University,Turkey,20815.0,17.0,3.0,53 : 47,,23.1,11.3,32.9,40.5,22.9,anadolu university,turkey,1350.5,True
1201–1500,"University of the Andes, Chile",Chile,9405.0,18.9,3.0,58 : 42,,17.8,14.3,28.0,40.2,48.1,university of the andes chile,chile,1350.5,True
1201–1500,Andhra University,India,9048.0,13.2,6.0,49 : 51,,38.4,9.9,21.7,40.3,20.4,andhra university,india,1350.5,True
1201–1500,Universidad Andrés Bello (UNAB),Chile,46325.0,19.5,4.0,54 : 46,,14.3,9.4,29.8,37.8,50.4,universidad andrés bello,chile,1350.5,True
1201–1500,Ankara University,Turkey,71311.0,15.2,5.0,46 : 54,,18.8,11.0,25.6,37.7,27.4,ankara university,turkey,1350.5,True
1201–1500,University of Antioquia,Colombia,38437.0,21.5,0.0,51 : 49,,17.2,14.9,25.0,43.3,37.8,university of antioquia,colombia,1350.5,True
1201–1500,"Arab Academy for Science, Technology and Maritime Transport",Egypt,32049.0,13.8,12.0,33 : 67,,23.3,10.4,24.0,39.8,45.5,arab academy for science technology and maritime transport,egypt,1350.5,True
1201–1500,Arak University,Iran,6379.0,21.3,6.0,67 : 33,,17.9,12.9,24.9,37.2,23.5,arak university,iran,1350.5,True
1201–1500,Ariel University,Israel,12418.0,20.7,0.0,49 : 51,,15.8,18.9,15.5,40.1,31.4,ariel university,israel,1350.5,True
1201–1500,Atatürk University,Turkey,56419.0,30.2,3.0,51 : 49,,18.8,14.0,37.2,37.3,20.4,atatürk university,turkey,1350.5,True
1201–1500,Austral University of Chile,Chile,17434.0,17.5,1.0,53 : 47,,16.5,14.4,24.0,44.4,51.4,austral university of chile,chile,1350.5,True
1201–1500,Banasthali University,India,10092.0,17.1,5.0,100 : 0,,34.7,11.0,26.3,43.2,21.8,banasthali university,india,1350.5,True
1201–1500,Bandung Institute of Technology (ITB),Indonesia,20915.0,13.9,2.0,44 : 56,,22.6,25.8,15.3,88.8,34.7,bandung institute of technology,indonesia,1350.5,True
1201–1500,Bangladesh Agricultural University (BAU),Bangladesh,9918.0,17.3,1.0,34 : 66,,17.3,10.2,33.7,40.7,46.3,bangladesh agricultural university,bangladesh,1350.5,True
1201–1500,Bangladesh University of Engineering and Technology,Bangladesh,6268.0,13.0,0.0,22 : 78,,18.1,13.4,33.0,37.8,25.7,bangladesh university of engineering and technology,bangladesh,1350.5,True
1201–1500,University of Benin,Nigeria,47468.0,25.2,0.0,50 : 50,,14.7,8.7,28.3,36.9,27.1,university of benin,nigeria,1350.5,True
1201–1500,Bezmiâlem Vakif University,Turkey,2904.0,9.5,6.0,71 : 29,,27.7,10.7,27.2,41.0,24.3,bezmiâlem vakif university,turkey,1350.5,True
1201–1500,BINUS University,Indonesia,15331.0,14.3,4.0,41 : 59,,17.6,14.3,24.4,43.8,27.0,binus university,indonesia,1350.5,True
1201–1500,Bozok University,Turkey,14642.0,16.8,6.0,50 : 50,,13.8,8.7,30.2,38.4,27.7,bozok university,turkey,1350.5,True
1201–1500,University of Brasília,Brazil,45737.0,15.2,1.0,52 : 48,,27.3,15.8,23.5,49.5,31.2,university of brasília,brazil,1350.5,True
1201–1500,The British University in Egypt,Egypt,11042.0,16.2,3.0,46 : 54,,15.1,8.7,41.9,37.1,30.1,the british university in egypt,egypt,1350.5,True
1201–1500,Brno University of Technology,Czech Republic,18762.0,16.6,23.0,29 : 71,,18.6,17.8,17.1,42.7,56.2,brno university of technology,czechia,1350.5,True
1201–1500,Bu-Ali Sina University,Iran,10838.0,23.4,1.0,56 : 44,,16.5,15.6,29.0,38.4,22.0,buali sina university,iran,1350.5,True
1201–1500,University of Bucharest,Romania,31267.0,32.7,2.0,68 : 32,,24.3,16.8,23.1,37.6,29.4,university of bucharest,romania,1350.5,True
1201–1500,Budapest University of Technology and Economics,Hungary,18728.0,17.0,12.0,31 : 69,,19.1,17.5,18.0,43.6,39.1,budapest university of technology and economics,hungary,1350.5,True
1201–1500,University of Cadiz,Spain,18672.0,16.8,9.0,56 : 44,,17.6,16.4,32.6,38.4,39.8,university of cadiz,spain,1350.5,True
1201–1500,Canterbury Christ Church University,United Kingdom,10740.0,17.8,14.0,69 : 31,,24.7,12.8,26.4,37.0,47.7,canterbury christ church university,united kingdom,1350.5,True
1201–1500,University of Carthage,Tunisia,28962.0,9.9,1.0,67 : 33,,19.0,9.8,19.1,38.3,44.2,university of carthage,tunisia,1350.5,True
1201–1500,The Catholic University of Korea,,9782.0,7.1,4.0,60 : 40,,25.1,18.9,24.9,41.2,20.1,the catholic university of korea,,1350.5,True
1201–1500,Catholic University of the North,Chile,11343.0,20.4,3.0,47 : 53,,14.3,17.0,27.4,38.2,57.1,catholic university of the north,chile,1350.5,True
1201–1500,Chang Gung University of Science and Technology,Taiwan,6326.0,26.5,1.0,90 : 10,,13.6,16.1,29.4,47.8,19.3,chang gung university of science and technology,taiwan,1350.5,True
1201–1500,"University of Chemistry and Technology, Prague",Czech Republic,4006.0,8.0,22.0,58 : 42,,26.2,13.4,15.8,41.5,51.4,university of chemistry and technology prague,czechia,1350.5,True
1201–1500,University of Chester,United Kingdom,10435.0,18.0,15.0,68 : 32,,18.8,12.9,18.7,37.6,56.5,university of chester,united kingdom,1350.5,True
1201–1500,Chosun University,South Korea,21073.0,27.3,3.0,48 : 52,,17.8,22.2,16.9,81.3,29.6,chosun university,south korea,1350.5,True
1201–1500,Chungbuk National University,,17219.0,14.2,5.0,44 : 56,,20.3,20.2,20.9,42.9,26.6,chungbuk national university,,1350.5,True
1201–1500,Chungnam National University,South Korea,21244.0,20.7,4.0,47 : 53,,26.7,24.6,18.7,46.1,24.3,chungnam national university,south korea,1350.5,True
1201–1500,Chung Yuan Christian University,Taiwan,15037.0,31.3,9.0,46 : 54,,17.2,21.9,26.6,48.5,42.9,chung yuan christian university,taiwan,1350.5,True
1201–1500,Cochin University of Science and Technology,India,3969.0,16.9,1.0,60 : 40,,37.8,18.6,12.8,37.4,16.9,cochin university of science and technology,india,1350.5,True
1201–1500,University of Colorado Colorado Springs,United States,12380.0,21.2,1.0,55 : 45,,17.1,12.7,32.9,38.4,24.7,university of colorado colorado springs,united states,1350.5,True
1201–1500,University of Concepción,Chile,28112.0,17.1,2.0,52 : 48,,16.4,14.0,30.1,49.9,50.7,university of concepción,chile,1350.5,True
1201–1500,Corvinus University of Budapest,Hungary,11225.0,21.3,15.0,53 : 47,,16.0,12.2,23.0,37.2,43.5,corvinus university of budapest,hungary,1350.5,True
1201–1500,Czech Technical University in Prague,Czech Republic,16217.0,8.8,20.0,19 : 81,,23.2,16.1,15.5,48.4,58.2,czech technical university in prague,czechia,1350.5,True
1201–1500,Damghan University,Iran,4980.0,28.6,0.0,62 : 38,,18.1,13.3,25.4,39.1,23.4,damghan university,iran,1350.5,True
1201–1500,De La Salle University,,12941.0,14.9,3.0,50 : 50,,18.1,13.4,23.6,36.9,25.6,de la salle university,,1350.5,True
1201–1500,Del Rosario University,Colombia,11751.0,13.2,2.0,59 : 41,,16.8,11.6,25.3,38.4,48.4,del rosario university,colombia,1350.5,True
1201–1500,Democritus University of Thrace,Greece,22230.0,37.0,4.0,56 : 44,,15.2,13.8,36.9,37.9,32.6,democritus university of thrace,greece,1350.5,True
1201–1500,Dokuz Eylül University,Turkey,56233.0,17.6,3.0,47 : 53,,18.4,13.3,20.9,95.8,21.7,dokuz eylül university,turkey,1350.5,True
1201–1500,Ege University,Turkey,33062.0,18.5,4.0,57 : 43,,21.8,13.3,19.0,46.7,24.1,ege university,turkey,1350.5,True
1201–1500,Ehime University,Japan,9204.0,13.3,2.0,38 : 62,,20.7,15.3,21.7,44.0,27.1,ehime university,japan,1350.5,True
1201–1500,El Bosque University,Colombia,12721.0,6.6,0.0,65 : 35,,20.3,7.8,19.7,37.9,44.1,el bosque university,colombia,1350.5,True
1201–1500,The University of Electro-Communications,Japan,4662.0,15.4,6.0,12 : 88,,19.9,21.1,10.5,44.3,32.6,the university of electrocommunications,japan,1350.5,True
1201–1500,Erciyes University,Turkey,50212.0,36.2,4.0,47 : 53,,20.0,14.1,23.7,68.9,24.1,erciyes university,turkey,1350.5,True
1201–1500,Escuela Superior Politécnica del Litoral,Ecuador,11549.0,12.8,1.0,38 : 62,,16.1,10.2,35.0,37.0,54.3,escuela superior politécnica del litoral,ecuador,1350.5,True
1201–1500,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,22458.0,9.1,0.0,56 : 44,,24.9,12.4,17.4,39.9,24.2,universidade do estado do rio de janeiro,brazil,1350.5,True
1201–1500,Universidade Federal do ABC (UFABC),Brazil,16706.0,22.2,1.0,35 : 65,,17.6,15.4,32.6,38.1,34.9,universidade federal do abc,brazil,1350.5,True
1201–1500,Universidade Federal da Bahia,Brazil,45692.0,17.4,0.0,51 : 49,,24.6,11.1,25.6,37.2,24.6,universidade federal da bahia,brazil,1350.5,True
1201–1500,Federal University of Espírito Santo,Brazil,23475.0,13.4,1.0,54 : 46,,20.4,12.2,22.5,42.1,24.8,federal university of espírito santo,brazil,1350.5,True
1201–1500,Federal University of Goiás,Brazil,25511.0,13.7,1.0,50 : 50,,22.5,13.0,19.2,38.8,23.7,federal university of goiás,brazil,1350.5,True
1201–1500,Federal University of Lavras,Brazil,14637.0,18.4,1.0,52 : 48,,24.7,17.1,15.7,54.3,23.1,federal university of lavras,brazil,1350.5,True
1201–1500,Universidade Federal do Paraná (UFPR),Brazil,33621.0,13.4,0.0,63 : 37,,25.4,16.0,15.2,39.1,23.9,universidade federal do paraná,brazil,1350.5,True
1201–1500,Federal University of Rio Grande do Norte (UFRN),Brazil,37879.0,14.7,0.0,40 : 60,,22.2,10.1,34.0,38.5,27.1,federal university of rio grande do norte,brazil,1350.5,True
1201–1500,Federal University of Santa Maria,Brazil,27242.0,13.7,1.0,53 : 47,,22.1,12.1,33.9,37.8,21.5,federal university of santa maria,brazil,1350.5,True
1201–1500,Federal University of São Carlos,Brazil,20314.0,15.4,1.0,50 : 50,,28.1,19.0,18.4,42.8,26.1,federal university of são carlos,brazil,1350.5,True
1201–1500,Federal University of Uberlândia,Brazil,25748.0,13.6,1.0,52 : 48,,23.0,11.1,34.6,39.4,21.4,federal university of uberlândia,brazil,1350.5,True
1201–1500,Federal University of Viçosa,Brazil,16436.0,13.3,2.0,55 : 45,,28.3,16.7,15.2,43.7,21.7,federal university of viçosa,brazil,1350.5,True
1201–1500,Federico Santa María Technical University,Chile,22405.0,30.0,3.0,26 : 74,,14.0,12.0,27.3,39.4,54.8,federico santa maría technical university,chile,1350.5,True
1201–1500,University of Fort Hare,South Africa,13626.0,38.4,2.0,57 : 43,,22.5,12.4,22.5,37.0,43.9,university of fort hare,south africa,1350.5,True
