university_rank,name_of_university,location,no_of_student,no_of_student_per_staff,international_student,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,university_name_clean,country_clean,rank_numeric,rank_is_banded
Reporter,Hindustan Institute of Technology and Science,India,6033.0,12.1,1.0,36 : 64,,,,,,,hindustan institute of technology and science,india,,True
Reporter,Hiroshima Shudo University,Japan,4776.0,16.6,0.0,39 : 61,,,,,,,hiroshima shudo university,japan,,True
Reporter,Hiroshima Institute of Technology,Japan,4628.0,25.4,0.0,10 : 90,,,,,,,hiroshima institute of technology,japan,,True
Reporter,Hitotsubashi University,Japan,6212.0,17.0,15.0,32 : 68,,,,,,,hitotsubashi university,japan,,True
Reporter,Huachiew Chalermprakiet University,Thailand,7297.0,16.0,7.0,79 : 21,,,,,,,huachiew chalermprakiet university,thailand,,True
Reporter,University of Human Development,Iraq,2583.0,17.1,3.0,49 : 51,,,,,,,university of human development,iraq,,True
Reporter,Hyogo University of Teacher Education,Japan,1161.0,8.0,2.0,68 : 32,,,,,,,hyogo university of teacher education,japan,,True
Reporter,IFHE Hyderabad,India,6931.0,20.3,0.0,39 : 61,,,,,,,ifhe hyderabad,india,,True
Reporter,Ignatius Ajuru University of Education,Nigeria,29785.0,75.2,0.0,49 : 51,,,,,,,ignatius ajuru university of education,nigeria,,True
Reporter,Ilma University,Pakistan,4107.0,22.4,0.0,21 : 79,,,,,,,ilma university,pakistan,,True
Reporter,IMT Mines Alès,France,1425.0,12.8,15.0,31 : 69,,,,,,,imt mines alès,france,,True
Reporter,Indira Gandhi Delhi Technical University for Women,India,3673.0,53.2,0.0,100 : 0,,,,,,,indira gandhi delhi technical university for women,india,,True
Reporter,Institute of Cancer Research,United Kingdom,195.0,2.8,33.0,62 : 38,,,,,,,institute of cancer research,united kingdom,,True
Reporter,International Christian University,Japan,2913.0,12.6,11.0,61 : 39,,,,,,,international christian university,japan,,True
Reporter,International University of Rabat,Morocco,5830.0,33.3,2.0,51 : 49,,,,,,,international university of rabat,morocco,,True
Reporter,Ionian University,Greece,8169.0,41.9,3.0,53 : 47,,,,,,,ionian university,greece,,True
Reporter,Ion Mincu University of Architecture and Urbanism,Romania,3173.0,12.8,4.0,71 : 29,,,,,,,ion mincu university of architecture and urbanism,romania,,True
Reporter,Islamia College Peshawar,Pakistan,6732.0,25.5,3.0,27 : 73,,,,,,,islamia college peshawar,pakistan,,True
Reporter,The Islamic University,Iraq,4152.0,9.1,2.0,70 : 30,,,,,,,the islamic university,iraq,,True
Reporter,Islamic University of Gaza,Palestine,17058.0,47.0,1.0,60 : 40,,,,,,,islamic university of gaza,palestine,,True
Reporter,Islamic University of Madinah,Saudi Arabia,11703.0,7.7,75.0,4 : 96,,,,,,,islamic university of madinah,saudi arabia,,True
Reporter,Isra University,Jordan,4864.0,19.6,18.0,54 : 46,,,,,,,isra university,jordan,,True
Reporter,Israel Technological University,Ecuador,3070.0,34.9,1.0,42 : 58,,,,,,,israel technological university,ecuador,,True
Reporter,Istanbul Aydın University,Turkey,27826.0,27.9,13.0,51 : 49,,,,,,,istanbul aydın university,turkey,,True
Reporter,Istanbul Gelişim University,Turkey,18774.0,23.4,15.0,46 : 54,,,,,,,istanbul gelişim university,turkey,,True
Reporter,IUBAT – International University of Business Agriculture and Technology,Bangladesh,6435.0,22.1,1.0,30 : 70,,,,,,,iubat international university of business agriculture and technology,bangladesh,,True
Reporter,Universita IULM,,7841.0,15.9,7.0,72 : 28,,,,,,,universita iulm,,,True
Reporter,Jabir ibn Hayyan Medical University,Iraq,1532.0,16.1,0.0,58 : 42,,,,,,,jabir ibn hayyan medical university,iraq,,True
Reporter,Japan Advanced Institute of Science and Technology (JAIST),Japan,1218.0,7.8,42.0,23 : 77,,,,,,,japan advanced institute of science and technology,japan,,True
Reporter,Jashore University of Science and Technology,Bangladesh,4741.0,20.1,0.0,30 : 70,,,,,,,jashore university of science and technology,bangladesh,,True
Reporter,Jerash Private University,Jordan,3362.0,18.0,31.0,38 : 62,,,,,,,jerash private university,jordan,,True
Reporter,University of Jijel,Algeria,21228.0,20.2,0.0,63 : 37,,,,,,,university of jijel,algeria,,True
Reporter,University of Jos,Nigeria,37885.0,23.4,0.0,45 : 55,,,,,,,university of jos,nigeria,,True
Reporter,Kamianets-Podіlskyi Ivan Ohiienko National University,Ukraine,2944.0,7.8,0.0,64 : 36,,,,,,,kamianetspodіlskyi ivan ohiienko national university,ukraine,,True
Reporter,Kampala International University,Uganda,23800.0,7.0,30.0,45 : 55,,,,,,,kampala international university,uganda,,True
Reporter,Karaganda University of Kazpotrebsoyuz,Kazakhstan,5076.0,13.3,1.0,59 : 41,,,,,,,karaganda university of kazpotrebsoyuz,kazakhstan,,True
Reporter,Karshi State University,Uzbekistan,13909.0,21.0,0.0,63 : 37,,,,,,,karshi state university,uzbekistan,,True
Reporter,Kastamonu University,Turkey,17597.0,41.0,15.0,45 : 55,,,,,,,kastamonu university,turkey,,True
Reporter,Kazakh National Pedagogical University Abai,Kazakhstan,13479.0,12.6,2.0,61 : 39,,,,,,,kazakh national pedagogical university abai,kazakhstan,,True
Reporter,University of Kelaniya,Sri Lanka,17082.0,17.1,3.0,65 : 35,,,,,,,university of kelaniya,sri lanka,,True
Reporter,University of Kerbala,Iraq,20327.0,16.5,0.0,55 : 45,,,,,,,university of kerbala,iraq,,True
Reporter,Kermanshah University of Technology,Iran,2251.0,13.6,0.0,38 : 62,,,,,,,kermanshah university of technology,iran,,True
Reporter,Kharkiv University of Humanities “People’s Ukrainian Academy”,Ukraine,455.0,5.5,1.0,81 : 19,,,,,,,kharkiv university of humanities peoples ukrainian academy,ukraine,,True
Reporter,Kadir Has University,Turkey,4896.0,23.5,3.0,53 : 47,,,,,,,kadir has university,turkey,,True
Reporter,Khazar University,Azerbaijan,2610.0,11.3,7.0,54 : 46,,,,,,,khazar university,azerbaijan,,True
Reporter,Khomein University of Medical Sciences,Iran,782.0,31.3,0.0,48 : 52,,,,,,,khomein university of medical sciences,iran,,True
Reporter,Khulna University,Bangladesh,5921.0,11.8,0.0,41 : 59,,,,,,,khulna university,bangladesh,,True
Reporter,Khwaja Fareed University of Engineering and Information Technology,Pakistan,10713.0,21.6,0.0,41 : 59,,,,,,,khwaja fareed university of engineering and information technology,pakistan,,True
Reporter,Khyber Medical University,Pakistan,4364.0,16.5,3.0,40 : 60,,,,,,,khyber medical university,pakistan,,True
Reporter,Kings University,Nigeria,132.0,3.3,0.0,42 : 58,,,,,,,kings university,nigeria,,True
Reporter,University of Kirkuk,Iraq,22867.0,24.8,0.0,52 : 48,,,,,,,university of kirkuk,iraq,,True
Reporter,Kitami Institute of Technology,Japan,1965.0,14.1,4.0,13 : 87,,,,,,,kitami institute of technology,japan,,True
Reporter,Kobe City University of Foreign Studies,Japan,2287.0,15.3,4.0,67 : 33,,,,,,,kobe city university of foreign studies,japan,,True
Reporter,Kobe Gakuin University,Japan,11557.0,34.3,2.0,38 : 62,,,,,,,kobe gakuin university,japan,,True
Reporter,Kocaeli Health and Technology University,Turkey,2784.0,31.6,4.0,66 : 34,,,,,,,kocaeli health and technology university,turkey,,True
Reporter,Kokshetau State University,Kazakhstan,7047.0,11.3,5.0,65 : 35,,,,,,,kokshetau state university,kazakhstan,,True
Reporter,Konan Women’s University,Japan,4416.0,24.7,1.0,100 : 0,,,,,,,konan womens university,japan,,True
Reporter,Konya Technical University,Turkey,13016.0,30.1,4.0,26 : 74,,,,,,,konya technical university,turkey,,True
Reporter,KTO Karatay University,Turkey,8370.0,26.2,3.0,58 : 42,,,,,,,kto karatay university,turkey,,True
Reporter,Kyiv National Economic University,Ukraine,10585.0,9.4,2.0,61 : 39,,,,,,,kyiv national economic university,ukraine,,True
Reporter,Kyoai Gakuen University,Japan,1089.0,19.4,4.0,66 : 34,,,,,,,kyoai gakuen university,japan,,True
Reporter,Kyrgyz-Turkish Manas University,Kyrgyzstan,5448.0,14.5,17.0,72 : 28,,,,,,,kyrgyzturkish manas university,kyrgyzstan,,True
Reporter,University of Laghouat,Algeria,34345.0,35.2,0.0,51 : 49,,,,,,,university of laghouat,algeria,,True
Reporter,Lagos State University,Nigeria,28289.0,37.1,0.0,50 : 50,,,,,,,lagos state university,nigeria,,True
Reporter,Knowledge University,Iraq,2125.0,16.6,1.0,47 : 53,,,,,,,knowledge university,iraq,,True
Reporter,University of Lampung,Indonesia,25782.0,19.9,0.0,50 : 50,,,,,,,university of lampung,indonesia,,True
Reporter,Landmark University,Nigeria,3429.0,13.4,0.0,34 : 66,,,,,,,landmark university,nigeria,,True
Reporter,La Salle University,Colombia,9869.0,20.1,1.0,55 : 45,,,,,,,la salle university,colombia,,True
Reporter,University of Las Américas (UDLA),Ecuador,12767.0,13.7,1.0,54 : 46,,,,,,,university of las américas,ecuador,,True
Reporter,Leeds Arts University,United Kingdom,2065.0,15.3,12.0,76 : 24,,,,,,,leeds arts university,united kingdom,,True
Reporter,Leeds Conservatoire,United Kingdom,1260.0,19.4,12.0,33 : 67,,,,,,,leeds conservatoire,united kingdom,,True
Reporter,Leeds Trinity University,United Kingdom,3230.0,24.8,9.0,65 : 35,,,,,,,leeds trinity university,united kingdom,,True
Reporter,Koya University,Iraq,4536.0,9.4,1.0,50 : 50,,,,,,,koya university,iraq,,True
Reporter,Lesya Ukrainka Volyn National University,Ukraine,8039.0,10.1,1.0,68 : 32,,,,,,,lesya ukrainka volyn national university,ukraine,,True
Reporter,University of Liberal Arts Bangladesh,Bangladesh,4475.0,20.2,0.0,49 : 51,,,,,,,university of liberal arts bangladesh,bangladesh,,True
Reporter,Liverpool Hope University,United Kingdom,4025.0,15.2,13.0,67 : 33,,,,,,,liverpool hope university,united kingdom,,True
Reporter,Liverpool Institute for Performing Arts,United Kingdom,865.0,17.3,23.0,57 : 43,,,,,,,liverpool institute for performing arts,united kingdom,,True
Reporter,Liverpool School of Tropical Medicine,United Kingdom,210.0,2.2,39.0,65 : 35,,,,,,,liverpool school of tropical medicine,united kingdom,,True
Reporter,The LNM Institute of Information Technology,India,2136.0,22.3,0.0,17 : 83,,,,,,,the lnm institute of information technology,india,,True
Reporter,Loei Rajabhat University,Thailand,7433.0,19.6,0.0,70 : 30,,,,,,,loei rajabhat university,thailand,,True
Reporter,London Business School,United Kingdom,1995.0,18.1,91.0,38 : 62,,,,,,,london business school,united kingdom,,True
Reporter,London School of Hygiene and Tropical Medicine,United Kingdom,825.0,1.8,62.0,70 : 30,,,,,,,london school of hygiene and tropical medicine,united kingdom,,True
Reporter,London Metropolitan University,United Kingdom,8260.0,21.5,45.0,66 : 34,,,,,,,london metropolitan university,united kingdom,,True
Reporter,University of Los Lagos,Chile,5567.0,16.6,0.0,58 : 42,,,,,,,university of los lagos,chile,,True
Reporter,Universidad Loyola,Spain,3319.0,13.3,4.0,65 : 35,,,,,,,universidad loyola,spain,,True
Reporter,Malawi University of Science and Technology (MUST),Malawi,2356.0,12.3,0.0,28 : 72,,,,,,,malawi university of science and technology,malawi,,True
Reporter,Management Development Institute (MDI),India,982.0,12.8,0.0,21 : 79,,,,,,,management development institute,india,,True
Reporter,Marian College Kuttikkanam (Autonomous),India,1755.0,17.0,0.0,52 : 48,,,,,,,marian college kuttikkanam,india,,True
Reporter,Maritime University of Szczecin,Poland,2559.0,24.7,13.0,26 : 74,,,,,,,maritime university of szczecin,poland,,True
Reporter,University of Mascara,Algeria,21682.0,12.0,0.0,61 : 39,,,,,,,university of mascara,algeria,,True
Reporter,Universidad Mayor,Chile,20330.0,11.0,2.0,57 : 43,,,,,,,universidad mayor,chile,,True
Reporter,University of Medellín,Colombia,9371.0,17.6,2.0,54 : 46,,,,,,,university of medellín,colombia,,True
Reporter,Meikai University,Japan,4326.0,16.1,17.0,43 : 57,,,,,,,meikai university,japan,,True
Reporter,Michael and Cecilia Ibru University,Nigeria,405.0,6.9,0.0,41 : 59,,,,,,,michael and cecilia ibru university,nigeria,,True
Reporter,"Michael Okpara University of Agriculture, Umudike",Nigeria,23198.0,21.7,0.0,41 : 59,,,,,,,michael okpara university of agriculture umudike,nigeria,,True
Reporter,Middle Technical University,Iraq,37101.0,26.7,0.0,45 : 55,,,,,,,middle technical university,iraq,,True
Reporter,Mindanao State University – Iligan Institute of Technology,Philippines,9348.0,18.6,0.0,60 : 40,,,,,,,mindanao state university iligan institute of technology,philippines,,True
Reporter,MIOTI Tech and Business School,Spain,115.0,38.3,9.0,31 : 69,,,,,,,mioti tech and business school,spain,,True
Reporter,Mirpur University of Science and Technology,Pakistan,7544.0,19.8,0.0,44 : 56,,,,,,,mirpur university of science and technology,pakistan,,True
Reporter,University of Misan,Iraq,11855.0,15.0,0.0,51 : 49,,,,,,,university of misan,iraq,,True
Reporter,Misr University for Science and Technology,Egypt,24742.0,18.8,6.0,47 : 53,,,,,,,misr university for science and technology,egypt,,True
Reporter,Mahatma Jyotiba Phule Rohilkhand University,India,3999.0,20.1,0.0,31 : 69,,,,,,,mahatma jyotiba phule rohilkhand university,india,,True
Reporter,M. Kumarasamy College of Engineering,India,3772.0,11.7,0.0,27 : 73,,,,,,,m kumarasamy college of engineering,india,,True
Reporter,"MNS University of Agriculture, Multan",Pakistan,3266.0,23.5,0.0,22 : 78,,,,,,,mns university of agriculture multan,pakistan,,True
Reporter,Modern University for Business and Science,Lebanon,1896.0,16.9,31.0,47 : 53,,,,,,,modern university for business and science,lebanon,,True
Reporter,Université Mohamed El Bachir El Ibrahimi de Bordj Bou Arréridj,Algeria,18000.0,30.9,0.0,100 : 0,,,,,,,université mohamed el bachir el ibrahimi de bordj bou arréridj,algeria,,True
Reporter,Universidad Monteávila,Venezuela,1054.0,5.7,0.0,71 : 29,,,,,,,universidad monteávila,venezuela,,True
Reporter,University of Monterrey,Mexico,10814.0,31.2,1.0,61 : 39,,,,,,,university of monterrey,mexico,,True
Reporter,October University for Modern Sciences and Arts (MSA),Egypt,12444.0,11.4,2.0,50 : 50,,,,,,,october university for modern sciences and arts,egypt,,True
Reporter,Muban Chombueng Rajabhat University,Thailand,4951.0,17.9,0.0,62 : 38,,,,,,,muban chombueng rajabhat university,thailand,,True
Reporter,Mukogawa Women’s University,Japan,8394.0,26.4,0.0,100 : 0,,,,,,,mukogawa womens university,japan,,True
Reporter,Mulungushi University,Zambia,6988.0,54.6,0.0,41 : 59,,,,,,,mulungushi university,zambia,,True
Reporter,Mutah University,Jordan,11486.0,16.1,15.0,46 : 54,,,,,,,mutah university,jordan,,True
Reporter,Universidad Nacional de Chimborazo,Ecuador,8478.0,14.7,1.0,57 : 43,,,,,,,universidad nacional de chimborazo,ecuador,,True
Reporter,Universidad Nacional de Itapúa,Paraguay,5595.0,5.3,0.0,59 : 41,,,,,,,universidad nacional de itapúa,paraguay,,True
Reporter,Nagoya University of Commerce & Business,Japan,3549.0,29.9,8.0,25 : 75,,,,,,,nagoya university of commerce business,japan,,True
Reporter,Najran University,Saudi Arabia,17967.0,16.9,1.0,69 : 31,,,,,,,najran university,saudi arabia,,True
Reporter,Nakhchivan State University,Azerbaijan,7620.0,14.1,20.0,46 : 54,,,,,,,nakhchivan state university,azerbaijan,,True
Reporter,Namangan Engineering Construction Institute,Uzbekistan,3881.0,11.8,0.0,18 : 82,,,,,,,namangan engineering construction institute,uzbekistan,,True
Reporter,Namangan Institute of Engineering and Technology,Uzbekistan,5784.0,18.1,0.0,21 : 79,,,,,,,namangan institute of engineering and technology,uzbekistan,,True
Reporter,Namangan State University,Uzbekistan,20636.0,31.9,0.0,66 : 34,,,,,,,namangan state university,uzbekistan,,True
