university_id,university_name,country_code,country_name,country_name_canonical,wb_country_code,wb_region,wb_income_group
U0104,university of st andrews,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0105,the university of sheffield,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0106,utrecht university,NL,Netherlands,netherlands,NLD,Europe & Central Asia,High income: OECD
U0107,tohoku university,JP,Japan,japan,JPN,East Asia & Pacific,High income: OECD
U0108,university of nottingham,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0109,technical university of denmark,DK,Denmark,denmark,DNK,Europe & Central Asia,High income: OECD
U0110,university of zurich,CH,Switzerland,switzerland,CHE,Europe & Central Asia,High income: OECD
U0111,politecnico di milano,IT,Italy,italy,ITA,Europe & Central Asia,High income: OECD
U0112,boston university,US,United States,united states,USA,North America,High income: OECD
U0113,aalto university,FI,Finland,finland,FIN,Europe & Central Asia,High income: OECD
U0114,georgia institute of technology,US,United States,united states,USA,North America,High income: OECD
U0115,university of waterloo,CA,Canada,canada,CAN,North America,High income: OECD
U0116,university of wisconsin-madison,US,United States,united states,USA,North America,High income: OECD
U0117,university of helsinki,FI,Finland,finland,FIN,Europe & Central Asia,High income: OECD
U0118,indian institute of technology bombay (iitb),IN,India,india,IND,South Asia,Lower middle income
U0119,university of oslo,NO,Norway,norway,NOR,Europe & Central Asia,High income: OECD
U0120,queen mary university of london,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0121,western university,CA,Canada,canada,CAN,North America,High income: OECD
U0122,qatar university,QA,Qatar,qatar,QAT,Middle East & North Africa,High income: nonOECD
U0123,rmit university,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0124,sungkyunkwan university(skku),KR,South Korea,south korea,KOR,East Asia & Pacific,High income: OECD
U0125,university of southern california,US,United States,united states,USA,North America,High income: OECD
U0126,humboldt-universität zu berlin,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0127,university college dublin,IE,Ireland,ireland,IRL,Europe & Central Asia,High income: OECD
U0128,stockholm university,SE,Sweden,sweden,SWE,Europe & Central Asia,High income: OECD
U0129,newcastle university,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0130,"university of california, davis",US,United States,united states,USA,North America,High income: OECD
U0131,university of basel,CH,Switzerland,switzerland,CHE,Europe & Central Asia,High income: OECD
U0132,sapienza university of rome,IT,Italy,italy,ITA,Europe & Central Asia,High income: OECD
U0133,alma mater studiorum - university of bologna,IT,Italy,italy,ITA,Europe & Central Asia,High income: OECD
U0134,macquarie university,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0135,university of science and technology of china,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0136,eindhoven university of technology,NL,Netherlands,netherlands,NLD,Europe & Central Asia,High income: OECD
U0137,university of vienna,AT,Austria,austria,AUT,Europe & Central Asia,High income: OECD
U0138,universiti kebangsaan malaysia (ukm),MY,Malaysia,malaysia,MYS,East Asia & Pacific,Upper middle income
U0139,chalmers university of technology,SE,Sweden,sweden,SWE,Europe & Central Asia,High income: OECD
U0140,universidad de chile,CL,Chile,chile,CHL,Latin America & Caribbean,High income: OECD
U0141,lancaster university,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0142,leiden university,NL,Netherlands,netherlands,NLD,Europe & Central Asia,High income: OECD
U0143,rice university,US,United States,united states,USA,North America,High income: OECD
U0144,aarhus university,DK,Denmark,denmark,DNK,Europe & Central Asia,High income: OECD
U0145,nanjing university,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0146,universiti sains malaysia (usm),MY,Malaysia,malaysia,MYS,East Asia & Pacific,Upper middle income
U0147,technische universität berlin (tu berlin),DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0148,universiti putra malaysia (upm),MY,Malaysia,malaysia,MYS,East Asia & Pacific,Upper middle income
U0149,king abdulaziz university (kau),SA,Saudi Arabia,saudi arabia,SAU,Middle East & North Africa,High income: nonOECD
U0150,indian institute of technology delhi (iitd),IN,India,india,IND,South Asia,Lower middle income
U0151,university of bath,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0152,michigan state university,US,United States,united states,USA,North America,High income: OECD
U0153,nagoya university,JP,Japan,japan,JPN,East Asia & Pacific,High income: OECD
U0154,texas a&m university,US,United States,united states,USA,North America,High income: OECD
U0155,university of geneva,CH,Switzerland,switzerland,CHE,Europe & Central Asia,High income: OECD
U0156,"university of north carolina, chapel hill",US,United States,united states,USA,North America,High income: OECD
U0157,wageningen university & research,NL,Netherlands,netherlands,NLD,Europe & Central Asia,High income: OECD
U0158,erasmus university rotterdam,NL,Netherlands,netherlands,NLD,Europe & Central Asia,High income: OECD
U0159,université de montréal,CA,Canada,canada,CAN,North America,High income: OECD
U0160,university of groningen,NL,Netherlands,netherlands,NLD,Europe & Central Asia,High income: OECD
U0161,university of bern,CH,Switzerland,switzerland,CHE,Europe & Central Asia,High income: OECD
U0162,hanyang university,KR,South Korea,south korea,KOR,East Asia & Pacific,High income: OECD
U0163,al-farabi kazakh national university,KZ,Kazakhstan,kazakhstan,KAZ,Europe & Central Asia,Upper middle income
U0164,complutense university of madrid,ES,Spain,spain,ESP,Europe & Central Asia,High income: OECD
U0165,universitat de barcelona,ES,Spain,spain,ESP,Europe & Central Asia,High income: OECD
U0166,university of liverpool,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0167,kyushu university,JP,Japan,japan,JPN,East Asia & Pacific,High income: OECD
U0168,university of wollongong,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0169,ghent university,BE,Belgium,belgium,BEL,Europe & Central Asia,High income: OECD
U0170,the university of exeter,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0171,university of cape town,ZA,South Africa,south africa,ZAF,Sub-Saharan Africa,Upper middle income
U0172,university of reading,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0173,hokkaido university,JP,Japan,japan,JPN,East Asia & Pacific,High income: OECD
U0174,curtin university,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0175,universitat autònoma de barcelona,ES,Spain,spain,ESP,Europe & Central Asia,High income: OECD
U0176,mcmaster university,CA,Canada,canada,CAN,North America,High income: OECD
U0177,washington university in st. louis,US,United States,united states,USA,North America,High income: OECD
U0178,"university of california, santa barbara (ucsb)",US,United States,united states,USA,North America,High income: OECD
U0179,"the university of newcastle, australia (uon)",AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0180,universidad de los andes,CO,Colombia,colombia,COL,Latin America & Caribbean,Upper middle income
U0181,universiti teknologi malaysia,MY,Malaysia,malaysia,MYS,East Asia & Pacific,Upper middle income
U0182,waseda university,JP,Japan,japan,JPN,East Asia & Pacific,High income: OECD
U0183,hamad bin khalifa university,QA,Qatar,qatar,QAT,Middle East & North Africa,High income: nonOECD
U0184,university of york,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0185,tecnológico de monterrey,MX,Mexico,mexico,MEX,Latin America & Caribbean,Upper middle income
U0186,cardiff university,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0187,école normale supérieure de lyon,FR,France,france,FRA,Europe & Central Asia,High income: OECD
U0188,keio university,JP,Japan,japan,JPN,East Asia & Pacific,High income: OECD
U0189,university of ottawa,CA,Canada,canada,CAN,North America,High income: OECD
U0190,technische universität wien,AT,Austria,austria,AUT,Europe & Central Asia,High income: OECD
U0191,universität hamburg,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0192,tongji university,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0193,queen's university at kingston,CA,Canada,canada,CAN,North America,High income: OECD
U0194,university of gothenburg,SE,Sweden,sweden,SWE,Europe & Central Asia,High income: OECD
U0195,wuhan university,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0196,emory university,US,United States,united states,USA,North America,High income: OECD
U0197,deakin university,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0198,universidad autónoma de madrid,ES,Spain,spain,ESP,Europe & Central Asia,High income: OECD
U0199,university of calgary,CA,Canada,canada,CAN,North America,High income: OECD
