University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score,University_Name_Standardized,Country_Standardized,Country_ID,University_ID
69,University of North Carolina at Chapel Hill,United States,"31,080",7.9,8%,59 : 41,67.8,58.9,59.7,93.3,46.0,41.7,university of north carolina at chapel hill,united states,C110,U0069
70,Delft University of Technology,Netherlands,"20,299",16.1,31%,31 : 69,67.7,58.8,76.4,59.1,93.4,94.2,delft university of technology,netherlands,C071,U0070
71,Boston University,United States,"27,243",10.8,31%,59 : 41,67.5,55.9,56.1,92.9,41.1,65.9,boston university,united states,C110,U0071
71,UNSW Sydney,,"45,133",36.3,40%,47 : 53,67.5,51.1,59.0,85.9,63.5,95.1,unsw sydney,,,U0072
73,CharitÃ© - UniversitÃ¤tsmedizin Berlin,Germany,"8,429",18.0,21%,64 : 36,67.2,48.5,52.2,98.8,87.1,69.3,charitã universitãtsmedizin berlin,germany,C033,U0073
74,University of Science and Technology of China,,"18,573",8.1,6%,,67.1,65.0,64.9,78.8,69.4,36.9,university of science and technology of china,,,U0074
75,University of Groningen,,"30,009",24.4,28%,52 : 48,66.6,45.4,57.6,90.4,75.8,89.8,university of groningen,,,U0075
76,University of Bristol,,"25,680",14.6,31%,56 : 44,66.5,43.8,53.4,98.6,43.5,89.4,university of bristol,,,U0076
77,Leiden University,,"33,648",19.3,20%,60 : 40,66.4,43.2,64.4,86.6,68.4,85.4,leiden university,,,U0077
78,Yonsei University (Seoul campus),,"19,481",14.7,17%,50 : 50,66.3,67.0,68.9,63.9,94.8,52.8,yonsei university seoul campus,,,U0078
79,Hong Kong Polytechnic University,,"19,046",28.9,30%,51 : 49,65.8,46.6,57.0,86.7,56.0,97.6,hong kong polytechnic university,,,U0079
80,Erasmus University Rotterdam,,"31,668",33.9,22%,53 : 47,65.7,38.6,57.1,95.6,64.4,89.7,erasmus university rotterdam,,,U0080
81,University of Wisconsin-Madison,United States,"40,701",10.0,14%,,65.5,59.7,62.9,78.7,48.4,51.8,university of wisconsinmadison,united states,C110,U0081
82,Emory University,United States,"13,190",4.2,20%,60 : 40,65.3,54.8,46.0,98.0,48.6,59.8,emory university,united states,C110,U0082
82,University of Glasgow,,"28,540",13.5,41%,59 : 41,65.3,43.3,50.8,96.5,41.9,93.8,university of glasgow,,,U0083
82,University of Zurich,Switzerland,"25,003",13.7,22%,56 : 44,65.3,51.5,50.7,87.5,57.6,93.0,university of zurich,switzerland,C099,U0084
85,McMaster University,,"26,403",29.0,20%,56 : 44,65.1,42.7,51.1,94.6,89.9,84.7,mcmaster university,,,U0085
86,Humboldt University of Berlin,Germany,"34,399",53.2,17%,,64.9,55.2,64.3,75.6,42.8,70.5,humboldt university of berlin,germany,C033,U0086
86,University of TÃ¼bingen,Germany,"20,620",27.5,13%,59 : 41,64.9,51.1,58.2,84.5,79.9,64.1,university of tã¼bingen,germany,C033,U0087
88,University of Adelaide,,"23,102",32.8,32%,49 : 51,64.7,42.7,51.8,92.2,65.3,93.6,university of adelaide,,,U0088
89,University of Bonn,Germany,"27,210",47.5,17%,56 : 44,64.6,51.6,56.1,86.0,55.0,68.7,university of bonn,germany,C033,U0089
90,Sorbonne University,France,"41,443",13.9,21%,59 : 41,64.5,58.7,58.3,76.6,40.0,72.3,sorbonne university,france,C031,U0090
91,Free University of Berlin,Germany,"26,497",41.9,23%,62 : 38,64.2,54.2,62.4,74.8,41.7,76.4,free university of berlin,germany,C033,U0091
91,Korea Advanced Institute of Science and Technology (KAIST),South Korea,"9,946",10.7,9%,21 : 79,64.2,64.5,66.0,65.7,100.0,38.2,korea advanced institute of science and technology kaist,south korea,C094,U0092
93,UniversitÃ© Paris-Saclay,France,"44,443",14.9,19%,49 : 51,63.9,56.7,55.2,79.1,54.6,69.7,universitã parissaclay,france,C031,U0093
94,University of Bern,Switzerland,"11,728",17.2,17%,58 : 42,63.7,46.0,46.5,90.7,86.3,88.2,university of bern,switzerland,C099,U0094
95,"University of California, Irvine",United States,"36,655",16.9,28%,52 : 48,63.6,43.5,51.6,93.6,59.4,73.2,university of california irvine,united states,C110,U0095
95,Institut Polytechnique de Paris,France,"5,999",6.7,41%,24 : 76,63.6,58.5,58.8,64.8,72.7,95.6,institut polytechnique de paris,france,C031,U0096
95,Nanjing University,China,"36,426",16.5,8%,54 : 46,63.6,58.4,58.2,74.3,87.3,55.2,nanjing university,china,C017,U0097
98,Vanderbilt University,United States,"12,696",3.8,15%,55 : 45,63.5,49.5,47.5,96.5,66.7,50.6,vanderbilt university,united states,C110,U0098
99,City University of Hong Kong,,"9,099",12.1,62%,54 : 46,63.4,47.2,53.0,79.9,76.6,99.6,city university of hong kong,,,U0099
99,RWTH Aachen University,Germany,"39,738",50.0,28%,33 : 67,63.4,56.8,64.5,66.1,93.8,65.1,rwth aachen university,germany,C033,U0100
101,University of Basel,Switzerland,"8,632",10.9,30%,57 : 43,63.0,47.0,44.1,86.5,99.2,96.8,university of basel,switzerland,C099,U0101
101,King Abdulaziz University,,"31,545",7.8,22%,54 : 46,63.0,51.7,36.7,91.9,74.2,93.6,king abdulaziz university,,,U0102
101,University of Minnesota,United States,"61,009",12.0,10%,54 : 46,63.0,55.1,56.9,81.2,77.8,41.7,university of minnesota,united states,C110,U0103
104,"University of Maryland, College Park",United States,"33,775",16.5,11%,49 : 51,62.9,48.1,57.7,89.7,40.0,42.6,university of maryland college park,united states,C110,U0104
104,University of Warwick,,"23,230",13.1,44%,50 : 50,62.9,44.8,49.6,88.1,42.7,94.9,university of warwick,,,U0105
106,Michigan State University,United States,"45,465",16.0,13%,52 : 48,62.8,56.2,55.6,78.8,39.9,61.9,michigan state university,united states,C110,U0106
107,Ghent University,Belgium,"39,437",35.6,12%,57 : 43,62.7,48.6,60.1,77.8,80.0,63.9,ghent university,belgium,C009,U0107
108,University of Birmingham,United Kingdom,"31,820",15.0,34%,58 : 42,62.6,40.5,46.2,95.2,42.3,92.2,university of birmingham,united kingdom,C109,U0108
108,University of Southampton,United Kingdom,"21,175",13.7,39%,53 : 47,62.6,41.4,47.5,92.3,44.1,94.6,university of southampton,united kingdom,C109,U0109
110,University of Helsinki,Finland,"23,059",15.8,5%,67 : 33,62.5,45.9,58.5,86.6,39.1,57.0,university of helsinki,finland,C030,U0110
111,University of Montreal,,"38,189",20.8,22%,,62.3,50.9,53.2,75.8,76.5,85.5,university of montreal,,,U0111
112,Ohio State University (Main campus),United States,"55,814",11.8,13%,51 : 49,62.2,53.0,51.2,83.4,55.3,60.3,ohio state university main campus,united states,C110,U0112
113,University of Freiburg,Germany,"20,253",37.2,17%,53 : 47,61.9,47.8,52.8,80.8,96.2,67.3,university of freiburg,germany,C033,U0113
114,University of Copenhagen,Denmark,"31,519",4.2,16%,62 : 38,61.7,45.1,47.5,87.2,55.0,84.7,university of copenhagen,denmark,C024,U0114
114,UniversitÃ© Paris CitÃ©,,"62,747",17.0,19%,65 : 35,61.7,51.5,44.8,89.3,37.3,68.3,universitã paris citã,,,U0115
114,University of Sheffield,,"27,465",14.5,41%,53 : 47,61.7,43.6,46.4,89.5,47.4,88.5,university of sheffield,,,U0116
117,Aarhus University,Denmark,"26,475",13.5,10%,55 : 45,61.2,40.6,60.0,77.6,74.1,77.9,aarhus university,denmark,C024,U0117
118,University of Alberta,Canada,"32,338",21.6,28%,,61.1,48.8,52.7,72.9,82.7,89.2,university of alberta,canada,C015,U0118
119,University of GÃ¶ttingen,Germany,"30,221",26.0,14%,52 : 48,61.0,46.3,53.8,83.9,40.1,63.0,university of gãttingen,germany,C033,U0119
