RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score,RANK_2025_Original,Rank_Type,University_Name_Standardized,Country_Standardized,Country_ID,University_ID
392,387,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,Asia,M,FO,VH,A,27.6,320,37.9,248,43.5,358,29.4,439,19.7,603,25.5,471,29.8,701+,19.9,563,38.8,379=,30,392,Exact,national taiwan university of science and technology taiwan tech,taiwan,C094,U0521
393,444,National and Kapodistrian University of Athens,Greece,Europe,XL,FC,VH,A,26.7,329,33.2,283,2.1,701+,31.0,426,9.9,701+,15.9,609,86.6,222,85.8,96,29.3,451=,29.9,393,Exact,national and kapodistrian university of athens,greece,C035,U0503
393,332,"University of California, Santa Cruz",United States,Americas,L,CO,VH,A,17.7,512,5.9,601+,7.4,701+,65.3,170,53.4,348,7.0,701+,64.5,566,6.1,701+,83.6,132=,29.9,393,Exact,university of california santa cruz,united states,C102,U1116
393,489,"University of Rome ""Tor Vergata""",Italy,Europe,L,CO,VH,A,31.3,285,15.4,547,9.0,701+,47.2,287,9.6,701+,30.8,422,69.1,495,6.3,701+,57.7,276=,29.9,393,Exact,university of rome tor vergata,italy,C047,U1286
396,375,Northeastern University,United States,Americas,XL,CO,VH,B,19.2,470,11.8,601+,15.4,701+,24.6,501,51.6,360,96.4,85,67.3,516,44.0,291,72.3,205=,29.7,396,Exact,northeastern university,united states,C102,U0541
396,375,Ruhr-Universität Bochum,Germany,Europe,XL,FC,VH,A,20.3,437,8.8,601+,2.5,701+,53.4,240,48.8,371,39.3,358,87.3,209,16.2,632,53.5,295=,29.7,396,Exact,ruhruniversität bochum,germany,C033,U0634
396,436,Sejong University,South Korea,Asia,L,CO,VH,B,10.8,601+,16.1,528,11.9,701+,76.9,127,23.8,551,31.2,418,64.1,570,1.8,701+,45.9,336=,29.7,396,Exact,sejong university,south korea,C087,U0662
396,421,Université de Liège,Belgium,Europe,L,FC,VH,A,17.0,531,11.8,601+,9.6,701+,38.0,365,50.3,364,53.0,277,94.6,86,23.6,478,81.2,148=,29.7,396,Exact,université de liège,belgium,C009,U1411
396,410,University of Southern Queensland,Australia,Oceania,M,CO,VH,A,8.8,601+,5.7,601+,4.8,701+,73.1,143,84.1,223,23.0,503,81.0,310,8.6,701+,43.0,353,29.7,396,Exact,university of southern queensland,australia,C003,U1312
401,396,Kazan (Volga region) Federal University,Russia,Europe,L,FC,VH,A,23.6,373,11.4,601+,95.6,58,2.4,701+,10.2,701+,95.7,93,88.3,191,15.4,647,22.2,513=,29.6,401,Exact,kazan volga region federal university,russia,C080,U0378
401,431,Koç University,Turkey,Asia,M,FC,VH,B,24.3,359,54.6,155,19.1,697,32.4,407,24.7,540,13.0,659,51.6,701+,6.8,701+,34.8,406=,29.6,401,Exact,koç university,turkey,C097,U0406
403,375,Amirkabir University of Technology,"Iran, Islamic Republic of",Asia,M,FO,VH,A,5.2,601+,20.5,445,4.6,701+,100.0,7,24.6,543,2.8,701+,70.2,483,5.8,701+,1.6,701+,29.5,403,Exact,amirkabir university of technology,"iran, islamic republic of",C043,U0038
403,421,University of Canberra,Australia,Oceania,M,CO,VH,A,14.3,601+,7.7,601+,2.4,701+,51.2,255,79.6,243,69.4,213,63.1,583,5.6,701+,70.9,217=,29.5,403,Exact,university of canberra,australia,C003,U1118
405,392,Institut National des Sciences Appliquées de Lyon (INSA),France,Europe,M,FO,VH,A,7.4,601+,28.7,334,33.7,469,60.6,201,29.2,500,58.3,254,59.5,638,14.4,680,2.4,701+,29.3,405,Exact,institut national des sciences appliquées de lyon insa,france,C031,U0317
405,481,Satbayev University,Kazakhstan,Asia,M,FO,VH,A,27.8,318,43.4,211,88.1,94,1.2,701+,66.7,296,16.9,588,15.0,701+,23.6,477,3.8,701+,29.3,405,Exact,satbayev university,kazakhstan,C050,U0654
405,328,USI - Università della Svizzera italiana,Switzerland,Europe,S,FO,VH,A,6.1,601+,4.6,601+,73.5,176,40.7,343,100.0,34,100.0,13,39.3,701+,2.1,701+,1.1,701+,29.3,405,Exact,usi università della svizzera italiana,switzerland,C092,U1441
408,374,"Birkbeck, University of London",United Kingdom,Europe,M,CO,VH,A,10.0,601+,3.6,601+,15.6,701+,57.1,218,97.7,123,99.5,46,55.5,686,8.8,701+,7.7,701+,29.1,408,Exact,birkbeck university of london,united kingdom,C101,U0094
408,400,Masaryk University,Czech Republic,Europe,XL,CO,VH,A,23.5,376,31.7,298,9.5,701+,13.8,656,27.6,513,66.7,223,80.2,318,36.0,352,79.1,161=,29.1,408,Exact,masaryk university,czech republic,C023,U0462
410,399,HSE University,Russia,Europe,XL,CO,VH,A,24.0,366,38.4,246,84.8,105,1.8,701+,6.6,701+,13.5,652,83.6,271,13.0,701+,44.6,343=,29,410,Exact,hse university,russia,C080,U0284
410,415,The American University in Cairo,Egypt,Africa,M,CO,VH,B,32.1,274,31.1,301,35.5,444,5.2,701+,97.0,130,3.8,701+,29.4,701+,75.6,138,14.6,597=,29,410,Exact,the american university in cairo,egypt,C027,U0769
412,407,Auckland University of Technology (AUT),New Zealand,Oceania,L,CO,VH,A,19.3,464,11.2,601+,10.6,701+,21.7,536,100.0,64,99.8,42,52.6,701+,12.4,701+,72.6,202=,28.9,412,Exact,auckland university of technology aut,new zealand,C064,U0060
413,421,Graz University of Technology,Austria,Europe,M,FO,VH,A,14.7,590,15.7,545,98.9,40,11.1,701+,81.8,232,59.7,247,59.9,634,11.9,701+,2.8,701+,28.8,413,Exact,graz university of technology,austria,C004,U0258
413,369,Yeshiva University,United States,Americas,S,FC,HI,B,3.1,601+,2.8,601+,65.3,202,91.6,71,31.4,488,13.5,651,6.6,701+,3.0,701+,15.8,583,28.8,413,Exact,yeshiva university,united states,C102,U1487
415,387,Concordia University,Canada,Americas,XL,CO,VH,A,15.8,559,11.4,601+,3.3,701+,17.5,590,87.4,208,92.3,104,73.8,423,43.6,294,89.8,96=,28.7,415,Exact,concordia university,canada,C015,U0169
416,413,Oxford Brookes University,United Kingdom,Europe,L,CO,HI,A,30.7,289,37.6,250,13.7,701+,7.0,701+,67.5,291,67.4,220,68.4,508,20.5,554,13.2,606=,28.6,416,Exact,oxford brookes university,united kingdom,C101,U0566
416,392,Technion - Israel Institute of Technology,Israel,Asia,L,FC,VH,A,23.9,369,24.8,385,52.0,293,20.1,555,74.2,266,4.3,701+,59.1,641,35.3,359,15.0,592=,28.6,416,Exact,technion israel institute of technology,israel,C046,U0752
418,441,University of Dundee,United Kingdom,Europe,L,FC,HI,A,18.4,494,13.7,590,30.8,512,14.0,654,91.1,185,89.4,126,75.2,405,7.4,701+,55.4,285=,28.5,418,Exact,university of dundee,united kingdom,C101,U1145
418,514,Bogaziçi University,Turkey,Asia,L,CO,HI,A,24.9,353,65.3,118,4.1,701+,10.7,701+,10.7,701+,2.6,701+,46.8,701+,84.9,102,46.2,334=,28.5,418,Exact,bogaziçi university,turkey,C097,U0098
420,454,Czech Technical University in Prague,Czech Republic,Europe,L,SP,VH,A,22.0,404,42.4,217,80.6,129,3.6,701+,19.9,598,50.2,293,59.4,639,15.6,642,5.8,701+,28.4,420,Exact,czech technical university in prague,czech republic,C023,U0178
421,436,Dublin City University,Ireland,Europe,L,FC,HI,A,20.1,441,26.0,366,25.8,577,10.7,701+,75.0,265,22.6,508,75.4,401,35.3,358,82.5,143=,28.3,421,Exact,dublin city university,ireland,C045,U0199
421,426,University of Limerick,Ireland,Europe,L,FC,HI,A,18.3,497,25.5,371,15.7,701+,23.0,520,87.1,209,30.8,421,72.5,447,8.0,701+,76.4,176=,28.3,421,Exact,university of limerick,ireland,C045,U1203
423,446,Aston University,United Kingdom,Europe,L,CO,VH,A,12.5,601+,18.5,478,9.0,701+,34.4,388,94.2,160,53.8,274,79.2,336,19.6,569,46.9,330=,28.1,423,Exact,aston university,united kingdom,C101,U0054
423,441,Université Laval,Canada,Americas,L,FC,VH,A,19.2,468,8.1,601+,26.0,572,23.8,512,55.8,336,41.6,344,80.2,317,36.4,349,78.4,166=,28.1,423,Exact,université laval,canada,C015,U1428
425,431,National Taipei University of Technology,Taiwan,Asia,M,FO,VH,A,13.9,601+,54.7,154,24.3,602,41.6,334,19.8,602,20.6,531,21.3,701+,22.5,509,31.3,435=,28,425,Exact,national taipei university of technology,taiwan,C094,U0517
426,489,IPB University (a.k.a. Bogor Agricultural University),Indonesia,Asia,L,FO,VH,A,23.5,375,46.9,196,71.4,186,1.8,701+,53.2,351,3.6,701+,19.1,701+,33.9,373,35.1,403=,27.9,426,Exact,ipb university aka bogor agricultural university,indonesia,C042,U0330
426,481,Leibniz University Hannover,Germany,Europe,L,CO,VH,A,21.2,415,32.0,293,17.9,701+,17.4,591,46.3,388,26.9,455,78.5,347,14.5,676,82.1,146,27.9,426,Exact,leibniz university hannover,germany,C033,U0431
428,440,Julius-Maximilians-Universität Würzburg,Germany,Europe,L,FC,VH,A,15.8,560,7.0,601+,5.5,701+,74.4,136,45.0,396,9.5,701+,78.5,348,8.7,701+,8.8,692=,27.8,428,Exact,juliusmaximiliansuniversität würzburg,germany,C033,U0362
428,454,Southeast University,China (Mainland),Asia,XL,FC,VH,A,13.5,601+,6.6,601+,20.8,658,82.0,102,14.4,675,3.4,701+,69.2,494,5.0,701+,11.6,629=,27.8,428,Exact,southeast university,china (mainland),C017,U0703
430,436,University of Science and Technology Beijing,China (Mainland),Asia,L,CO,VH,A,11.8,601+,4.2,601+,10.2,701+,99.4,21,3.1,701+,2.8,701+,56.8,668,4.9,701+,3.6,701+,27.7,430,Exact,university of science and technology beijing,china (mainland),C017,U1297
431,452,Central South University,China (Mainland),Asia,XL,FO,VH,A,8.6,601+,4.1,601+,5.5,701+,99.7,15,6.4,701+,4.0,701+,67.5,515,14.1,689,3.9,701+,27.6,431,Exact,central south university,china (mainland),C017,U0128
431,418,Tomsk State University,Russia,Europe,M,CO,VH,A,22.0,403,13.5,601+,99.0,36,4.2,701+,21.6,574,91.6,113,64.1,571,4.4,701+,1.4,701+,27.6,431,Exact,tomsk state university,russia,C080,U0819
431,403,University of Granada,Spain,Europe,XL,FC,VH,A,44.4,191,14.1,581,5.7,701+,26.2,482,3.1,701+,14.8,628,96.3,52,4.9,701+,26.3,478=,27.6,431,Exact,university of granada,spain,C088,U1160
477,551,Ajman University,United Arab Emirates,Asia,S,FO,VH,B,17.3,521,42.2,221,9.6,701+,3.2,701+,100.0,6,100.0,3,48.4,701+,9.8,701+,1.4,701+,25.1,477,Exact,ajman university,united arab emirates,C100,U0015
435,428,IE University,Spain,Europe,M,FO,HI,C,8.1,601+,49.3,182,46.5,328,2.2,701+,95.2,145,100.0,4,3.5,701+,65.6,176,4.6,701+,27.4,435,Exact,ie university,spain,C088,U0293
436,451,Iran University of Science and Technology,"Iran, Islamic Republic of",Asia,L,FO,VH,A,7.8,601+,14.0,584,2.7,701+,98.7,31,12.0,701+,1.5,701+,53.4,701+,5.3,701+,1.6,701+,27.2,436,Exact,iran university of science and technology,"iran, islamic republic of",C043,U0331
436,431,Murdoch University,Australia,Oceania,M,CO,VH,A,8.0,601+,4.5,601+,5.2,701+,57.3,216,85.6,216,73.9,194,74.9,410,14.8,668,11.3,636=,27.2,436,Exact,murdoch university,australia,C003,U0487
436,476,Universitat Politècnica de València,Spain,Europe,L,CO,VH,A,26.5,335,16.3,521,36.1,440,19.7,559,5.5,701+,25.0,479,84.9,248,11.7,701+,76.1,178=,27.2,436,Exact,universitat politècnica de valència,spain,C088,U1043
439,473,Vilnius University,Lithuania,Europe,L,FC,HI,A,19.1,472,23.5,405,74.7,168,3.3,701+,12.4,701+,13.6,649,75.5,398,83.7,105,27.1,471=,27.1,439,Exact,vilnius university,lithuania,C056,U1454
440,429,Singapore University of Technology and Design,Singapore,Asia,S,SP,VH,,7.4,601+,5.3,601+,99.0,37,66.0,168,,,,,31.2,701+,4.6,701+,1.1,701+,27,440,Exact,singapore university of technology and design,singapore,C083,U0687
440,469,Università degli Studi di Pavia,Italy,Europe,L,FC,VH,A,21.7,406,7.4,601+,8.3,701+,64.6,173,6.2,701+,12.6,666,82.7,281,13.5,701+,15.4,585=,27,440,Exact,università degli studi di pavia,italy,C047,U1382
442,409,Colorado State University,United States,Americas,L,CO,VH,A,18.3,498,20.4,447,60.9,236,17.1,599,18.5,621,3.7,701+,78.4,351,22.2,517,70.9,217=,26.8,442,Exact,colorado state university,united states,C102,U0164
442,421,Novosibirsk State University,Russia,Europe,M,CO,VH,A,24.7,354,18.4,480,91.0,81,9.5,701+,6.3,701+,57.0,259,56.5,671,5.8,701+,5.3,701+,26.8,442,Exact,novosibirsk state university,russia,C080,U0555
442,505,Università Cattolica del Sacro Cuore,Italy,Europe,L,FO,VH,B,24.2,360,35.5,267,27.6,552,19.2,567,15.5,661,7.1,701+,60.5,628,32.3,393,54.8,289=,26.8,442,Exact,università cattolica del sacro cuore,italy,C047,U1379
445,415,James Cook University,Australia,Oceania,M,FC,VH,A,14.4,601+,6.5,601+,17.5,701+,46.9,292,36.7,434,16.0,607,76.0,389,6.7,701+,88.9,103=,26.7,445,Exact,james cook university,australia,C003,U0348
445,396,Justus-Liebig-University Giessen,Germany,Europe,L,FC,VH,A,12.7,601+,5.9,601+,1.9,701+,79.3,113,14.2,679,18.8,569,83.9,264,10.5,701+,11.0,644=,26.7,445,Exact,justusliebiguniversity giessen,germany,C033,U0363
445,485,Universitat de Valencia,Spain,Europe,XL,FC,VH,A,35.6,246,11.0,601+,12.0,701+,19.9,557,2.1,701+,24.3,484,89.3,180,8.4,701+,79.3,159=,26.7,445,Exact,universitat de valencia,spain,C088,U1041
448,491,Dalian University of Technology,China (Mainland),Asia,XL,CO,VH,A,9.6,601+,3.8,601+,18.1,701+,88.1,82,11.5,701+,2.9,701+,55.9,680,14.4,678,8.0,701+,26.6,448,Exact,dalian university of technology,china (mainland),C017,U0184
448,494,Hunan University,China (Mainland),Asia,XL,CO,VH,A,7.9,601+,10.3,601+,15.2,701+,90.6,74,4.6,701+,1.8,701+,46.5,701+,23.1,495,2.7,701+,26.6,448,Exact,hunan university,china (mainland),C017,U0291
448,382,Université de Montpellier,France,Europe,XL,FO,VH,A,18.6,486,3.4,601+,8.5,701+,57.2,217,22.8,562,29.9,431,99.5,6,13.1,701+,17.3,561,26.6,448,Exact,université de montpellier,france,C031,U1413
451,486,University of Electronic Science and Technology of China,China (Mainland),Asia,XL,FO,VH,A,5.3,601+,5.0,601+,8.2,701+,99.1,25,3.2,701+,2.5,701+,73.3,433,7.2,701+,2.3,701+,26.5,451,Exact,university of electronic science and technology of china,china (mainland),C017,U1149
452,473,Beihang University (former BUAA),China (Mainland),Asia,L,CO,VH,A,12.1,601+,7.8,601+,41.5,375,72.1,147,7.0,701+,4.5,701+,51.2,701+,12.8,701+,4.3,701+,26.4,452,Exact,beihang university former buaa,china (mainland),C017,U0075
452,431,National Taiwan Normal University,Taiwan,Asia,M,CO,VH,A,34.7,254,20.5,444,62.9,219,5.4,701+,14.5,673,25.2,478,23.3,701+,17.3,612,49.8,319=,26.4,452,Exact,national taiwan normal university,taiwan,C094,U0518
452,410,University of Kansas,United States,Americas,L,FC,VH,A,14.4,601+,12.6,601+,86.7,99,9.2,701+,60.3,322,7.2,701+,84.6,255,28.2,435,32.4,427,26.4,452,Exact,university of kansas,united states,C102,U1188
452,431,University of Stirling,United Kingdom,Europe,M,CO,VH,A,11.2,601+,9.4,601+,9.3,701+,30.3,436,76.9,253,81.3,168,61.6,606,15.8,638,76.1,178=,26.4,452,Exact,university of stirling,united kingdom,C101,U1317
456,415,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia,Europe,M,FO,VH,A,16.6,541,23.6,404,94.6,64,12.0,692,31.1,489,45.5,324,41.7,701+,17.6,605,1.0,701+,26.3,456,Exact,moscow institute of physics and technology mipt moscow phystech,russia,C080,U0484
456,465,Umea University,Sweden,Europe,L,FC,VH,A,19.9,447,11.6,601+,71.8,182,15.2,631,51.1,362,21.8,518,78.0,360,9.0,701+,26.3,478=,26.3,456,Exact,umea university,sweden,C091,U0836
456,421,Université de Strasbourg,France,Europe,XL,FC,VH,A,39.1,219,10.3,601+,5.1,701+,20.7,549,34.2,469,35.9,384,90.7,161,20.4,558,5.4,701+,26.3,456,Exact,université de strasbourg,france,C031,U1421
456,486,University of Guelph,Canada,Americas,L,CO,VH,A,12.8,601+,12.8,601+,5.0,701+,50.1,261,46.4,385,14.3,636,65.2,552,11.2,701+,82.9,139=,26.3,456,Exact,university of guelph,canada,C015,U1163
460,396,"Stony Brook University, State University of New York",United States,Americas,L,FC,VH,A,18.0,504,7.3,601+,32.2,489,23.6,515,34.7,462,43.5,332,76.0,390,21.2,541,79.1,161=,26.2,460,Exact,stony brook university state university of new york,united states,C102,U0718
461,410,Universidad de Santiago de Chile (USACH),Chile,Americas,L,FC,HI,A,43.4,195,55.0,152,7.2,701+,4.2,701+,6.3,701+,2.2,701+,51.1,701+,12.7,701+,11.2,642=,26.1,461,Exact,universidad de santiago de chile usach,chile,C016,U0917
462,436,Tampere University,Finland,Europe,L,FC,VH,A,21.7,407,15.4,548,20.4,662,33.1,400,44.5,398,5.9,701+,84.8,251,30.8,409,23.0,508,26,462,Exact,tampere university,finland,C030,U0740
462,494,Universidad de Sevilla,Spain,Europe,XL,FC,VH,A,39.1,221,12.6,601+,18.4,701+,8.2,701+,3.5,701+,18.9,567,91.4,152,16.0,634,67.4,231,26,462,Exact,universidad de sevilla,spain,C088,U0918
464,505,Macau University of Science and Technology,Macau SAR,Asia,L,CO,VH,B,4.4,601+,3.4,601+,3.9,701+,56.4,222,100.0,23,100.0,1,26.2,701+,29.5,423,11.3,636=,25.9,464,Exact,macau university of science and technology,macau sar,C058,U0451
465,476,Kobe University,Japan,Asia,L,FC,VH,A,28.4,309,33.2,281,43.9,356,11.4,701+,7.0,701+,5.6,701+,55.0,698,15.0,662,49.8,319=,25.8,465,Exact,kobe university,japan,C048,U0401
466,478,Universität Konstanz,Germany,Europe,M,CO,VH,A,18.3,495,10.5,601+,37.8,421,18.3,578,85.9,215,14.5,634,66.1,537,13.1,701+,63.1,250=,25.7,466,Exact,universität konstanz,germany,C033,U1395
466,621-630,Universitat Ramon Llull,Spain,Europe,L,CO,HI,B,11.0,601+,52.0,167,8.7,701+,8.1,701+,93.6,164,43.1,336,32.6,701+,71.7,149,20.1,530=,25.7,466,Exact,universitat ramon llull,spain,C088,U1045
466,491,University at Buffalo SUNY,United States,Americas,L,FC,VH,A,18.0,503,10.7,601+,8.8,701+,33.6,393,20.1,596,36.9,380,68.6,504,33.3,383,82.5,143=,25.7,466,Exact,university at buffalo suny,united states,C102,U1072
466,419,Washington State University,United States,Americas,L,FC,VH,A,23.3,379,20.0,452,15.5,701+,33.5,396,47.1,379,5.0,701+,77.3,373,8.6,701+,29.6,447=,25.7,466,Exact,washington state university,united states,C102,U1467
470,400,Iowa State University,United States,Americas,L,CO,VH,A,20.7,425,12.0,601+,9.1,701+,47.9,280,7.5,701+,12.5,667,77.3,374,32.9,388,31.3,435=,25.6,470,Exact,iowa state university,united states,C102,U0329
471,469,Ben-Gurion University of The Negev,Israel,Asia,L,FC,VH,A,14.4,601+,14.5,569,11.1,701+,51.7,253,64.0,304,14.3,635,64.9,558,16.3,630,11.8,623=,25.5,471,Exact,bengurion university of the negev,israel,C046,U0089
472,459,"Essex, University of",United Kingdom,Europe,L,CO,VH,A,15.5,568,5.2,601+,12.7,701+,22.6,523,99.8,93,98.6,62,75.1,408,14.0,693,13.2,606=,25.3,472,Exact,essex university of,united kingdom,C101,U0220
