RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score,RANK_2025_Original,Rank_Type,University_Name_Standardized,Country_Standardized,Country_ID,University_ID
472,446,Johannes Kepler University Linz,Austria,Europe,M,FO,VH,A,12.8,601+,12.3,601+,75.9,162,14.3,649,83.5,226,33.5,402,59.7,636,12.2,701+,13.2,606=,25.3,472,Exact,johannes kepler university linz,austria,C004,U0358
474,481,Bangor University,United Kingdom,Europe,M,FC,VH,A,8.6,601+,5.8,601+,12.1,701+,43.0,321,40.7,416,52.3,280,75.0,409,8.1,701+,82.9,139=,25.2,474,Exact,bangor university,united kingdom,C101,U0071
474,472,Hiroshima University,Japan,Asia,L,FC,VH,A,24.1,363,12.3,601+,75.9,161,8.9,701+,13.2,701+,12.9,660,70.1,485,6.9,701+,50.8,315=,25.2,474,Exact,hiroshima university,japan,C048,U0276
474,460,Universität Potsdam,Germany,Europe,L,FO,VH,A,15.8,557,3.4,601+,18.6,701+,36.5,375,51.8,358,21.2,526,92.9,121,1.3,701+,67.1,232=,25.2,474,Exact,universität potsdam,germany,C033,U1398
434,465,University of Sharjah,United Arab Emirates,Asia,L,CO,VH,B,18.1,501,17.3,496,6.0,701+,22.0,532,100.0,8,100.0,31,84.8,250,11.2,701+,11.8,623=,27.5,434,Exact,university of sharjah,united arab emirates,C100,U1300
477,502,Bilkent University,Turkey,Asia,M,CO,VH,B,24.0,365,52.1,164,13.3,701+,15.2,632,61.4,319,3.7,701+,38.3,701+,19.3,573,10.6,653=,25.1,477,Exact,bilkent university,turkey,C097,U0091
477,454,Indian Institute of Technology Indore (IIT Indore),India,Asia,S,FO,VH,A,6.1,601+,5.0,601+,27.1,558,95.6,47,2.1,701+,1.1,701+,23.6,701+,2.2,701+,4.2,701+,25.1,477,Exact,indian institute of technology indore iit indore,india,C041,U0308
477,413,Royal Holloway University of London,United Kingdom,Europe,M,CO,VH,A,14.9,585,5.7,601+,13.0,701+,27.2,474,94.1,161,86.9,141,73.2,434,7.2,701+,19.7,537=,25.1,477,Exact,royal holloway university of london,united kingdom,C101,U0632
481,387,Aix-Marseille University,France,Europe,XL,FC,VH,A,36.9,235,6.5,601+,7.9,701+,21.7,534,17.5,633,18.2,578,99.1,13,15.2,656,25.5,488=,25,481,Exact,aixmarseille university,france,C031,U0014
481,514,Pontificia Universidad Católica Argentina,Argentina,Americas,L,FC,MD,B,19.9,446,29.4,320,99.9,19,1.1,701+,1.9,701+,6.7,701+,12.5,701+,85.7,97,1.0,701+,25,481,Exact,pontificia universidad católica argentina,argentina,C001,U0585
481,446,"The University of Tennessee, Knoxville",United States,Americas,XL,FC,VH,A,10.1,601+,8.2,601+,9.5,701+,76.3,131,4.9,701+,2.4,701+,77.3,371,11.0,701+,15.0,592=,25,481,Exact,the university of tennessee knoxville,united states,C102,U0803
484,534,China Agricultural University,China (Mainland),Asia,L,FC,VH,A,8.4,601+,2.6,601+,18.9,701+,88.8,79,3.2,701+,1.5,701+,52.2,701+,4.5,701+,5.8,701+,24.9,484,Exact,china agricultural university,china (mainland),C017,U0139
