university_id,university_name,country_name,openalex_id,openalex_display_name,openalex_country_code,openalex_country,openalex_ror,openalex_works_count,openalex_works_2023,openalex_works_2024,openalex_works_2025,normalized_university_name,normalized_openalex_name,name_similarity,country_match,publication_match_status
U2369,Belgorod State National Research University,Russian Federation,,,,,,,,,,belgorod state national research university,,0.0,False,Unmatched
U2370,University of Benin,Nigeria,,,,,,,,,,university of benin,,0.0,False,Unmatched
U2371,Bernardo O’Higgins University,Chile,,,,,,,,,,bernardo o higgins university,,0.0,False,Unmatched
U2372,Bharath Institute of Higher Education and Research,India,,,,,,,,,,bharath institute of higher education and research,,0.0,False,Unmatched
U2373,Bharati Vidyapeeth University,India,,,,,,,,,,bharati vidyapeeth university,,0.0,False,Unmatched
U2374,Bialystok University of Technology,Poland,,,,,,,,,,bialystok university of technology,,0.0,False,Unmatched
U2375,Bilecik Şeyh Edebali University,Turkey,,,,,,,,,,bilecik seyh edebali university,,0.0,False,Unmatched
U2376,University of Bío-Bío,Chile,,,,,,,,,,university of bio bio,,0.0,False,Unmatched
U2377,University of Birjand,Iran,,,,,,,,,,university of birjand,,0.0,False,Unmatched
U2378,University of Biskra,Algeria,,,,,,,,,,university of biskra,,0.0,False,Unmatched
U2379,Blida 1 University,Algeria,,,,,,,,,,blida 1 university,,0.0,False,Unmatched
U2380,Bolu Abant Izzet Baysal University,Turkey,,,,,,,,,,bolu abant izzet baysal university,,0.0,False,Unmatched
U2381,Bozok University,Turkey,,,,,,,,,,bozok university,,0.0,False,Unmatched
U2382,University of Brawijaya,Indonesia,,,,,,,,,,university of brawijaya,,0.0,False,Unmatched
U2383,Burapha University,Thailand,,,,,,,,,,burapha university,,0.0,False,Unmatched
U2384,Bursa Technical University,Turkey,,,,,,,,,,bursa technical university,,0.0,False,Unmatched
U2385,Bursa Uludağ University,Turkey,,,,,,,,,,bursa uludag university,,0.0,False,Unmatched
U2386,University of Caldas,Colombia,,,,,,,,,,university of caldas,,0.0,False,Unmatched
U2387,Çankırı Karatekin University,Turkey,,,,,,,,,,cank r karatekin university,,0.0,False,Unmatched
U2388,Catholic University of Brasília,Brazil,,,,,,,,,,catholic university of brasilia,,0.0,False,Unmatched
U2389,Catholic University of the North,Chile,,,,,,,,,,catholic university of the north,,0.0,False,Unmatched
U2390,Universidad Católica del Maule,Chile,,,,,,,,,,universidad catolica del maule,,0.0,False,Unmatched
U2391,Universidad Católica de la Santísima Concepción,Chile,,,,,,,,,,universidad catolica de la santisima concepcion,,0.0,False,Unmatched
U2392,University of Caxias do Sul,Brazil,,,,,,,,,,university of caxias do sul,,0.0,False,Unmatched
U2393,Ceará State University,Brazil,,,,,,,,,,ceara state university,,0.0,False,Unmatched
U2394,Manisa Celal Bayar University,Turkey,,,,,,,,,,manisa celal bayar university,,0.0,False,Unmatched
U2395,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET-RJ),Brazil,,,,,,,,,,centro federal de educacao tecnologica celso suckow da fonseca,,0.0,False,Unmatched
U2396,CES University,Colombia,,,,,,,,,,ces university,,0.0,False,Unmatched
U2397,College of Charleston,United States,,,,,,,,,,college of charleston,,0.0,False,Unmatched
U2398,Chelyabinsk State University,Russian Federation,,,,,,,,,,chelyabinsk state university,,0.0,False,Unmatched
U2399,Chiba Institute of Technology,Japan,,,,,,,,,,chiba institute of technology,,0.0,False,Unmatched
U2400,Chinese Culture University,Taiwan,,,,,,,,,,chinese culture university,,0.0,False,Unmatched
U2401,Université Chouaïb Doukkali,Morocco,,,,,,,,,,universite chouaib doukkali,,0.0,False,Unmatched
U2402,Chubu University,Japan,,,,,,,,,,chubu university,,0.0,False,Unmatched
U2403,Chuo University,Japan,,,,,,,,,,chuo university,,0.0,False,Unmatched
U2404,University of Colima,Mexico,,,,,,,,,,university of colima,,0.0,False,Unmatched
U2405,Comillas Pontifical University,Spain,,,,,,,,,,comillas pontifical university,,0.0,False,Unmatched
U2406,Communication University of China,China,,,,,,,,,,communication university of china,,0.0,False,Unmatched
U2407,Cracow University of Technology,Poland,,,,,,,,,,cracow university of technology,,0.0,False,Unmatched
U2408,Damghan University,Iran,,,,,,,,,,damghan university,,0.0,False,Unmatched
U2409,University of Dar es Salaam,Tanzania,,,,,,,,,,university of dar es salaam,,0.0,False,Unmatched
U2410,University for Development Studies,Ghana,,,,,,,,,,university for development studies,,0.0,False,Unmatched
U2411,Dicle University,Turkey,,,,,,,,,,dicle university,,0.0,False,Unmatched
U2412,Dokkyo Medical University,Japan,,,,,,,,,,dokkyo medical university,,0.0,False,Unmatched
U2413,Dumlupinar University,Turkey,,,,,,,,,,dumlupinar university,,0.0,False,Unmatched
U2414,Dunarea de Jos University of Galati,Romania,,,,,,,,,,dunarea de jos university of galati,,0.0,False,Unmatched
U2415,EAFIT University,Colombia,,,,,,,,,,eafit university,,0.0,False,Unmatched
U2416,El Bosque University,Colombia,,,,,,,,,,el bosque university,,0.0,False,Unmatched
U2417,Erzincan Binali Yıldırım University,Turkey,,,,,,,,,,erzincan binali y ld r m university,,0.0,False,Unmatched
U2418,Eskişehir Osmangazi University,Turkey,,,,,,,,,,eskisehir osmangazi university,,0.0,False,Unmatched
