world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year,university_id
101.0,Dartmouth College,54-71,,24.3,0.0,20.8,22.0,33.0,29.1,2005,UNI_01152
101.0,Emory University,54-71,,0.0,0.0,28.3,19.0,48.4,21.6,2005,UNI_01010
101.0,Georgia Institute of Technology,54-71,,16.6,0.0,23.6,19.0,43.9,25.8,2005,UNI_00996
101.0,Ghent University,1-4,,8.9,15.8,15.7,9.1,48.8,27.2,2005,UNI_00057
101.0,Hokkaido University,6-9,,0.0,0.0,15.7,14.1,53.8,21.5,2005,UNI_00539
101.0,Kyushu University,6-9,,0.0,0.0,13.6,21.3,52.8,21.6,2005,UNI_00541
101.0,Mayo Medical School,54-71,,0.0,0.0,27.2,6.2,50.2,24.4,2005,UNI_01255
101.0,Nagoya University,6-9,,0.0,14.4,15.7,20.5,52.3,25.1,2005,UNI_00530
101.0,National University of Singapore,1,,0.0,0.0,15.7,13.8,56.7,25.7,2005,UNI_00710
101.0,North Carolina State University - Raleigh,54-71,,0.0,0.0,29.4,17.8,44.3,19.0,2005,UNI_01256
101.0,Oregon State University,54-71,,15.4,0.0,24.8,25.7,36.6,27.1,2005,UNI_01051
101.0,Seoul National University,1,,0.0,0.0,7.9,14.6,61.2,26.9,2005,UNI_00723
101.0,State University of New York at Stony Brook,54-71,,0.0,0.0,17.6,31.4,40.7,20.5,2005,UNI_01257
101.0,Technion-Israel Institute of Technology,2-4,,18.8,23.5,13.6,14.1,42.1,22.8,2005,UNI_00474
101.0,Tel Aviv University,2-4,,0.0,0.0,24.8,20.1,54.7,26.9,2005,UNI_00471
101.0,The University of Georgia,54-71,,0.0,0.0,28.3,21.1,46.4,18.4,2005,UNI_01046
101.0,The University of Glasgow,12-15,,10.9,0.0,19.2,17.1,44.4,22.1,2005,UNI_00947
101.0,The University of Queensland,3-4,,16.6,0.0,7.9,19.9,50.1,18.9,2005,UNI_00014
101.0,University Libre Bruxelles,1-4,,28.1,19.3,0.0,12.8,37.8,29.1,2005,UNI_01258
101.0,University of Alberta,5,,15.4,0.0,17.6,17.4,55.1,26.1,2005,UNI_00094
101.0,University of Amsterdam,3-4,,8.9,0.0,19.2,22.2,50.1,23.1,2005,UNI_00635
101.0,University of Bonn,6-11,,19.8,20.4,15.7,11.3,41.3,22.0,2005,UNI_00365
101.0,"University of California, Riverside",54-71,,0.0,0.0,28.3,25.9,36.5,27.0,2005,UNI_01106
101.0,"University of California, Santa Cruz",54-71,,0.0,0.0,28.3,28.5,31.1,29.2,2005,UNI_01042
101.0,University of Frankfurt,6-11,,36.6,9.1,17.6,16.5,37.9,22.4,2005,UNI_01259
101.0,University of Geneva,4,,29.4,0.0,19.2,23.8,33.7,23.1,2005,UNI_00814
101.0,University of Groningen,3-4,,0.0,20.4,13.6,18.5,43.2,19.8,2005,UNI_00634
101.0,University of Hamburg,6-11,,16.6,0.0,17.6,20.7,40.9,21.4,2005,UNI_00350
101.0,University of Hawaii at Manoa,54-71,,0.0,0.0,27.2,30.1,36.8,22.2,2005,UNI_01165
101.0,University of Illinois at Chicago,54-71,,0.0,0.0,28.3,18.5,46.9,21.5,2005,UNI_01146
