university_name,university_name_clean,country_name,country_name_clean,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024
Manipal University Jaipur,manipal university jaipur,India,india,,25.5,19.5,14.2,51.9,23.9,24.0,14.9,3.0,43.0
University of Manouba,university of manouba,Tunisia,tunisia,,25.5,21.8,9.2,44.2,19.4,45.8,14.5,2.0,64.0
University of Maribor,university of maribor,Slovenia,slovenia,,25.5,20.1,16.9,40.8,36.5,38.9,14.4,11.0,54.0
University of Marrakech Cadi Ayyad,university of marrakech cadi ayyad,Morocco,morocco,,25.5,20.5,11.5,36.5,21.6,40.2,45.9,1.0,51.0
University of Mauritius,university of mauritius,Mauritius,mauritius,,25.5,17.6,13.4,45.3,40.3,35.4,22.8,1.0,54.0
Medical University of Lublin,medical university of lublin,Poland,poland,,25.5,30.5,12.3,30.5,36.1,36.8,5.7,16.0,72.0
Medical University of Silesia in Katowice,medical university of silesia in katowice,Poland,poland,,25.5,28.1,12.4,31.1,29.0,24.7,7.3,5.0,74.0
Medical University of Sofia,medical university of sofia,Bulgaria,bulgaria,,25.5,30.8,13.5,27.9,48.8,53.9,5.7,44.0,48.0
University of Medicine and Pharmacy of Craiova,university of medicine and pharmacy of craiova,Romania,romania,,25.5,24.3,9.9,37.2,19.2,40.5,9.8,14.0,63.0
Mendel University in Brno,mendel university in brno,Czech Republic,czech republic,,25.5,20.9,19.4,36.8,21.0,55.1,16.3,17.0,57.0
Metropolitan Autonomous University,metropolitan autonomous university,Mexico,mexico,,25.5,19.9,23.9,22.8,28.6,29.2,42.1,1.0,50.0
Mie University,mie university,Japan,japan,,25.5,26.9,13.9,23.9,61.8,24.8,8.3,3.0,38.0
Mohammed V University of Rabat,mohammed v university of rabat,Morocco,morocco,,25.5,29.1,15.0,32.2,37.3,32.1,41.7,3.0,53.0
University of Monastir,university of monastir,Tunisia,tunisia,,25.5,25.7,10.1,36.2,28.1,46.0,8.5,2.0,69.0
Morgan State University,morgan state university,United States,united states,,25.5,22.8,12.6,29.2,28.7,56.3,14.6,7.0,61.0
Moscow Aviation Institute,moscow aviation institute,Russian Federation,russian federation,,25.5,32.9,14.4,26.4,48.6,31.9,12.8,12.0,29.0
Moscow Power Engineering Institute,moscow power engineering institute,Russian Federation,russian federation,,25.5,23.6,18.3,20.4,51.4,39.9,20.7,14.0,33.0
Multimedia University,multimedia university,Malaysia,malaysia,,25.5,19.5,13.0,29.0,62.2,41.2,16.3,9.0,45.0
Mutah University,mutah university,Jordan,jordan,,25.5,29.7,11.5,27.6,20.9,61.2,15.5,18.0,44.0
Nagaoka University of Technology,nagaoka university of technology,Japan,japan,,25.5,34.3,16.4,19.9,62.1,43.2,10.2,12.0,12.0
Nagasaki University,nagasaki university,Japan,japan,,25.5,29.4,14.8,28.5,48.4,40.3,6.7,5.0,39.0
Nagoya Institute of Technology,nagoya institute of technology,Japan,japan,,25.5,21.5,20.3,23.0,73.2,31.4,16.1,5.0,17.0
University of Nairobi,university of nairobi,Kenya,kenya,,25.5,12.0,10.6,45.9,18.8,49.8,34.5,2.0,24.0
University of Namibia,university of namibia,Namibia,namibia,,25.5,13.1,8.6,51.3,15.8,62.8,21.6,3.0,63.0
National Changhua University of Education,national changhua university of education,Taiwan,taiwan,,25.5,22.2,17.8,20.6,74.5,28.8,15.0,8.0,51.0
National Chin-Yi University of Technology,national chin-yi university of technology,Taiwan,taiwan,,25.5,13.9,25.1,27.4,42.1,28.7,22.7,6.0,30.0
National Chung Cheng University,national chung cheng university,Taiwan,taiwan,,25.5,23.5,22.2,25.0,72.9,26.5,15.6,4.0,44.0
National University of Colombia,national university of colombia,Colombia,colombia,,25.5,19.7,13.6,37.1,36.9,41.1,22.0,1.0,40.0
National University of Distance Education (UNED),national university of distance education (uned),Spain,spain,,25.5,24.9,18.9,37.8,35.8,31.0,67.5,4.0,55.0
National Dong Hwa University,national dong hwa university,Taiwan,taiwan,,25.5,19.1,23.8,26.3,33.5,48.6,18.6,9.0,52.0
National Institute of Technology Srinagar,national institute of technology srinagar,India,india,,25.5,23.1,10.7,45.7,16.7,19.8,15.9,0.0,0.0
National Kaohsiung University of Science and Technology,national kaohsiung university of science and technology,Taiwan,taiwan,,25.5,15.2,20.3,35.0,61.6,26.8,33.1,3.0,39.0
National Research University of Electronic Technology (MIET),national research university of electronic technology (miet),Russian Federation,russian federation,,25.5,43.8,14.9,10.7,50.2,25.5,9.5,7.0,25.0
National Taiwan Ocean University,national taiwan ocean university,Taiwan,taiwan,,25.5,19.7,25.0,30.2,63.0,34.7,16.2,8.0,32.0
National Technical University Kharkiv Polytechnic Institute,national technical university kharkiv polytechnic institute,Ukraine,ukraine,,25.5,24.8,9.0,14.9,17.5,33.6,7.9,14.0,31.0
National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,national technical university of ukraine – igor sikorsky kyiv polytechnic institute,Ukraine,ukraine,,25.5,26.5,9.9,16.0,22.2,22.4,8.0,3.0,30.0
University of Nigeria Nsukka,university of nigeria nsukka,Nigeria,nigeria,,25.5,29.1,10.6,30.3,17.3,37.0,11.7,1.0,46.0
Ochanomizu University,ochanomizu university,Japan,japan,,25.5,33.2,16.5,19.7,36.5,38.2,14.5,6.0,100.0
Oles Honchar Dnipro National University,oles honchar dnipro national university,Ukraine,ukraine,,25.5,25.1,9.0,7.4,18.9,21.5,10.1,2.0,56.0
Opole University of Technology,opole university of technology,Poland,poland,,25.5,18.5,13.8,37.3,18.5,36.1,13.7,6.0,32.0
University of Oradea,university of oradea,Romania,romania,,25.5,16.7,14.6,35.0,16.9,41.0,17.5,6.0,56.0
Osaka Metropolitan University,osaka metropolitan university,Japan,japan,,25.5,29.1,18.7,29.8,79.5,26.6,11.5,4.0,37.0
Osmania University,osmania university,India,india,,25.5,33.9,16.3,31.1,27.7,21.4,25.7,3.0,36.0
Paris Nanterre University,paris nanterre university,France,france,,25.5,20.9,16.8,27.9,42.9,66.7,23.4,16.0,64.0
University of Pau and Pays de l’Adour,university of pau and pays de l’adour,France,france,,25.5,23.4,12.4,21.6,28.5,79.9,13.9,15.0,53.0
Pavol Jozef Šafárik University in Košice,pavol jozef šafárik university in košice,Slovakia,slovakia,,25.5,40.7,10.2,17.1,24.9,62.1,10.3,24.0,67.0
Persian Gulf University,persian gulf university,Iran,iran,,25.5,17.8,14.1,45.5,28.8,38.2,23.1,5.0,55.0
University of the Philippines,university of the philippines,Philippines,philippines,,25.5,25.4,15.3,38.7,22.8,38.4,11.1,0.0,59.0
Pirogov Russian National Research Medical University,pirogov russian national research medical university,Russian Federation,russian federation,,25.5,44.2,13.3,14.5,28.1,22.6,6.9,4.0,53.0
Polytechnic Institute of Porto,polytechnic institute of porto,Portugal,portugal,,25.5,15.0,11.9,49.6,22.1,31.8,16.9,5.0,47.0
Pontifical Catholic University of Peru,pontifical catholic university of peru,Peru,peru,,25.5,24.8,9.8,29.7,16.9,45.6,7.3,1.0,47.0
Pontifical Catholic University of Valparaíso,pontifical catholic university of valparaíso,Chile,chile,,25.5,15.8,17.1,32.8,38.1,51.1,26.2,1.0,43.0
Pontifical Javeriana University,pontifical javeriana university,Colombia,colombia,,25.5,20.7,11.5,37.4,21.0,45.3,12.9,2.0,56.0
Pontifícia Universidade Católica do Paraná,pontifícia universidade católica do paraná,Brazil,brazil,,25.5,26.3,12.8,34.3,43.0,30.7,13.0,1.0,56.0
Port Said University,port said university,Egypt,egypt,,25.5,13.7,8.5,53.7,16.8,46.6,28.3,0.0,62.0
Poznań University of Life Sciences,poznań university of life sciences,Poland,poland,,25.5,25.1,11.3,45.2,27.4,25.9,8.5,6.0,60.0
Poznan University of Technology,poznan university of technology,Poland,poland,,25.5,22.6,13.0,35.9,41.8,26.9,11.4,6.0,32.0
Prince of Songkla University,prince of songkla university,Thailand,thailand,,25.5,23.4,14.8,32.6,43.5,37.7,12.9,2.0,69.0
University of Puerto Rico,university of puerto rico,Puerto Rico,puerto rico,,25.5,25.0,11.4,40.8,37.6,44.4,15.2,1.0,58.0
Pukyong National University,pukyong national university,South Korea,south korea,,25.5,26.7,13.9,28.5,39.0,36.4,11.4,10.0,52.0
University of Qom,university of qom,Iran,iran,,25.5,22.2,12.1,35.1,17.3,48.6,43.0,33.0,44.0
University Rey Juan Carlos,university rey juan carlos,Spain,spain,,25.5,15.8,13.4,51.2,31.3,39.9,19.4,6.0,59.0
Rikkyo University,rikkyo university,Japan,japan,,25.5,18.6,9.3,34.0,19.7,58.4,14.4,4.0,53.0
Ritsumeikan University,ritsumeikan university,Japan,japan,,25.5,19.8,13.9,27.4,30.3,46.8,17.4,10.0,37.0
Université Saint-Joseph de Beyrouth,université saint-joseph de beyrouth,Lebanon,lebanon,,25.5,32.6,10.9,24.2,27.0,69.7,10.9,7.0,61.0
Saitama Medical University,saitama medical university,Japan,japan,,25.5,26.5,10.3,39.3,41.5,18.3,1.4,0.0,51.0
Sakarya University,sakarya university,Turkey,turkey,,25.5,16.5,10.6,45.4,24.0,28.4,26.6,7.0,51.0
Samara National Research University (Samara University),samara national research university (samara university),Russian Federation,russian federation,,25.5,27.5,14.8,21.8,26.6,37.1,10.7,14.0,48.0
Sapporo Medical University,sapporo medical university,Japan,japan,,25.5,29.7,12.9,33.1,58.3,17.6,3.3,0.0,44.0
SASTRA University,sastra university,India,india,,25.5,22.4,11.3,45.0,30.3,29.4,13.1,3.0,43.0
Sathyabama Institute of Science and Technology,sathyabama institute of science and technology,India,india,,25.5,31.2,9.9,35.1,16.9,29.7,10.6,5.0,50.0
Universitas Sebelas Maret,universitas sebelas maret,Indonesia,indonesia,,25.5,19.3,19.3,33.9,48.3,33.3,16.9,2.0,64.0
Selçuk University,selçuk university,Turkey,turkey,,25.5,22.4,14.4,36.7,58.2,34.1,14.0,8.0,58.0
Semnan University of Medical Sciences and Health Services,semnan university of medical sciences and health services,Iran,iran,,25.5,25.4,10.5,46.2,16.2,29.1,7.9,7.0,61.0
Seoul National University of Science and Technology (SeoulTech),seoul national university of science and technology (seoultech),South Korea,south korea,,25.5,28.0,20.1,32.7,39.8,30.6,13.8,9.0,36.0
University of La Serena,university of la serena,Chile,chile,,25.5,12.3,9.9,49.2,16.4,50.4,26.4,1.0,51.0
Shahid Bahonar University of Kerman,shahid bahonar university of kerman,Iran,iran,,25.5,19.4,13.7,41.8,26.9,26.3,22.1,1.0,60.0
Shahid Sadoughi University of Medical Sciences,shahid sadoughi university of medical sciences,Iran,iran,,25.5,39.1,10.6,20.8,17.5,20.6,13.0,2.0,58.0
Shahjalal University of Science and Technology,shahjalal university of science and technology,Bangladesh,bangladesh,,25.5,13.2,8.4,43.4,16.6,44.8,17.8,0.0,31.0
University of Shanghai for Science and Technology,university of shanghai for science and technology,China,china,,25.5,23.1,11.5,40.4,36.7,26.6,10.5,2.0,43.0
Shibaura Institute of Technology,shibaura institute of technology,Japan,japan,,25.5,20.8,20.1,22.3,36.3,42.3,29.7,5.0,18.0
Shiga University of Medical Science,shiga university of medical science,Japan,japan,,25.5,31.5,12.8,32.3,62.7,24.5,3.2,4.0,50.0
Showa University,showa university,Japan,japan,,25.5,32.8,10.3,35.5,40.2,19.8,1.6,0.0,62.0
Silesian University of Technology,silesian university of technology,Poland,poland,,25.5,21.8,15.6,39.4,31.5,26.6,12.0,4.0,32.0
Université de Skikda,université de skikda,Algeria,algeria,,25.5,12.5,7.6,51.3,15.8,40.6,29.4,0.0,71.0
Slovak University of Agriculture in Nitra,slovak university of agriculture in nitra,Slovakia,slovakia,,25.5,23.6,12.2,27.4,18.9,48.5,11.9,5.0,54.0
Sohag University,sohag university,Egypt,egypt,,25.5,12.5,9.0,53.5,18.3,48.8,27.6,0.0,56.0
Soonchunhyang University,soonchunhyang university,South Korea,south korea,,25.5,19.8,25.4,33.0,48.2,35.0,21.4,6.0,51.0
Soongsil University,soongsil university,South Korea,south korea,,25.5,26.7,15.0,25.1,47.4,35.6,18.6,12.0,48.0
Université Sorbonne Nouvelle,université sorbonne nouvelle,France,france,,25.5,25.7,15.3,20.8,15.6,70.0,23.7,26.0,77.0
University of Sousse,university of sousse,Tunisia,tunisia,,25.5,30.3,10.3,31.4,19.3,40.1,13.7,2.0,68.0
University of South China,university of south china,China,china,,25.5,26.8,13.9,27.7,30.6,22.3,7.4,2.0,38.0
Southern Federal University,southern federal university,Russian Federation,russian federation,,25.5,27.9,14.3,21.4,32.1,40.3,11.3,11.0,54.0
South Valley University,south valley university,Egypt,egypt,,25.5,16.0,9.2,53.3,17.7,48.9,33.0,1.0,53.0
Southwest Petroleum University,southwest petroleum university,China,china,,25.5,17.9,15.1,38.3,53.1,21.8,15.9,2.0,34.0
University of Split,university of split,Croatia,croatia,,25.5,17.9,13.9,49.1,23.1,36.0,15.7,2.0,58.0
Sri Venkateswara University,sri venkateswara university,India,india,,25.5,36.8,11.3,23.6,20.9,31.5,15.0,0.0,48.0
SRM Institute of Science and Technology,srm institute of science and technology,India,india,,25.5,21.6,11.5,51.6,21.9,26.8,15.5,2.0,30.0
Ştefan cel Mare University of Suceava,ştefan cel mare university of suceava,Romania,romania,,25.5,15.6,13.0,49.3,16.8,36.9,22.9,14.0,59.0
St Marianna University School of Medicine,st marianna university school of medicine,Japan,japan,,25.5,27.6,9.9,44.4,37.3,20.1,0.8,1.0,44.0
St Petersburg Electrotechnical University (LETI),st petersburg electrotechnical university (leti),Russian Federation,russian federation,,25.5,22.6,16.4,22.8,37.6,41.7,13.6,20.0,31.0
Universiti Sultan Zainal Abidin,universiti sultan zainal abidin,Malaysia,malaysia,,25.5,24.1,11.3,38.6,16.5,47.0,17.7,7.0,67.0
University of Sunderland,university of sunderland,United Kingdom,united kingdom,,25.5,18.2,9.9,40.2,42.1,71.6,16.0,42.0,61.0
Suranaree University of Technology,suranaree university of technology,Thailand,thailand,,25.5,21.9,20.9,27.7,54.9,37.9,26.2,1.0,54.0
Universitas Syiah Kuala,universitas syiah kuala,Indonesia,indonesia,,25.5,14.0,9.4,51.5,19.5,25.8,20.4,0.0,62.0
University of Talca,university of talca,Chile,chile,,25.5,17.4,13.7,31.5,36.7,52.3,15.5,0.0,48.0
Tamkang University,tamkang university,Taiwan,taiwan,,25.5,15.3,12.7,34.1,43.6,42.9,22.5,7.0,47.0
University of Tarapacá,university of tarapacá,Chile,chile,,25.5,12.4,19.0,45.1,19.4,59.0,31.8,4.0,54.0
Taras Shevchenko National University of Kyiv,taras shevchenko national university of kyiv,Ukraine,ukraine,,25.5,30.0,13.1,20.2,31.4,31.8,10.6,5.0,56.0
Technical University of Cluj-Napoca,technical university of cluj-napoca,Romania,romania,,25.5,17.0,13.2,39.3,29.5,25.0,20.5,2.0,37.0
Technical University of Crete,technical university of crete,Greece,greece,,25.5,13.1,11.1,50.4,40.6,40.7,33.2,4.0,37.0
Technical University of Košice,technical university of košice,Slovakia,slovakia,,25.5,26.5,17.1,30.2,30.0,44.8,13.1,23.0,27.0
University of Technology of Compiègne,university of technology of compiègne,France,france,,25.5,26.7,10.9,24.3,48.8,83.8,15.6,19.0,39.0
Universiti Teknikal Malaysia Melaka,universiti teknikal malaysia melaka,Malaysia,malaysia,,25.5,20.1,11.4,32.6,19.6,44.2,16.1,6.0,38.0
Institut Teknologi Sepuluh Nopember,institut teknologi sepuluh nopember,Indonesia,indonesia,,25.5,25.3,10.8,25.4,35.4,42.5,7.1,6.0,40.0
University of Texas Rio Grande Valley,university of texas rio grande valley,United States,united states,,25.5,17.9,8.5,45.1,17.4,46.1,21.7,2.0,61.0
Tezpur University,tezpur university,India,india,,25.5,31.3,15.3,27.9,33.8,18.4,15.3,1.0,43.0
Thammasat University,thammasat university,Thailand,thailand,,25.5,26.3,19.1,25.7,30.1,38.1,11.4,1.0,64.0
Thiagarajar College of Engineering,thiagarajar college of engineering,India,india,,25.5,18.7,8.9,41.9,20.2,18.0,18.3,0.0,36.0
Toho University,toho university,Japan,japan,,25.5,24.7,15.0,33.7,57.3,21.5,13.7,0.0,53.0
Tokai University,tokai university,Japan,japan,,25.5,18.3,12.0,36.5,46.0,30.4,16.0,4.0,27.0
Tokushima University,tokushima university,Japan,japan,,25.5,29.2,24.0,24.4,81.6,26.4,9.7,2.0,35.0
Tokyo University of Marine Science and Technology,tokyo university of marine science and technology,Japan,japan,,25.5,31.3,15.2,19.7,43.1,44.4,10.4,8.0,33.0
Tokyo University of Science,tokyo university of science,Japan,japan,,25.5,24.0,26.1,26.4,74.0,29.1,24.0,4.0,25.0
Tomas Bata University in Zlín,tomas bata university in zlín,Czech Republic,czech republic,,25.5,18.1,21.0,31.8,26.1,51.3,20.1,11.0,56.0
University of Toyama,university of toyama,Japan,japan,,25.5,27.0,14.6,29.2,61.9,33.1,10.6,3.0,39.0
Transilvania University of Brașov,transilvania university of brașov,Romania,romania,,25.5,15.4,11.5,49.8,18.7,36.9,20.4,1.0,52.0
Tribhuvan University,tribhuvan university,Nepal,nepal,,25.5,11.3,8.2,49.5,15.9,46.7,30.9,0.0,52.0
Tunghai University,tunghai university,Taiwan,taiwan,,25.5,16.5,14.4,37.8,49.4,46.6,20.4,10.0,55.0
University of Tunis,university of tunis,Tunisia,tunisia,,25.5,30.9,10.3,23.5,16.6,39.2,11.4,2.0,70.0
Tzu Chi University,tzu chi university,Taiwan,taiwan,,25.5,25.3,26.0,18.3,65.6,27.1,8.9,8.0,60.0
UNIR – International University of La Rioja,unir – international university of la rioja,Spain,spain,,25.5,11.9,13.9,38.0,15.6,58.6,36.0,37.0,62.0
Unisinos University,unisinos university,Brazil,brazil,,25.5,30.1,15.4,22.3,25.2,29.3,24.3,0.0,47.0
Universiti Tun Hussein Onn Malaysia (UTHM),universiti tun hussein onn malaysia (uthm),Malaysia,malaysia,,25.5,22.0,13.5,37.0,18.5,42.1,16.6,6.0,46.0
University of Valladolid,university of valladolid,Spain,spain,,25.5,25.1,14.4,37.9,43.8,38.1,10.7,6.0,56.0
Veltech University,veltech university,India,india,,25.5,17.9,9.1,44.4,16.0,27.7,14.4,2.0,16.0
University of Venda,university of venda,South Africa,south africa,,25.5,20.3,29.2,19.9,16.8,49.0,29.4,1.0,58.0
"Vietnam National University, Hanoi","vietnam national university, hanoi",Vietnam,vietnam,,25.5,20.9,11.2,46.8,19.1,48.9,15.9,1.0,63.0
Vilnius Gediminas Technical University (Vilnius Tech),vilnius gediminas technical university (vilnius tech),Lithuania,lithuania,,25.5,22.0,16.3,36.0,57.8,47.2,12.3,11.0,34.0
"Visvesvaraya National Institute of Technology, Nagpur","visvesvaraya national institute of technology, nagpur",India,india,,25.5,24.5,13.4,41.8,40.4,20.1,15.3,2.0,27.0
V.N. Karazin Kharkiv National University,v.n. karazin kharkiv national university,Ukraine,ukraine,,25.5,26.4,10.9,8.8,46.6,47.2,8.3,28.0,53.0
Volgograd State University,volgograd state university,Russian Federation,russian federation,,25.5,24.0,12.9,34.5,15.8,27.9,10.5,5.0,43.0
VSB - Technical University of Ostrava,vsb - technical university of ostrava,Czech Republic,czech republic,,25.5,26.8,19.7,27.8,31.0,46.9,14.7,13.0,33.0
Vytautas Magnus University,vytautas magnus university,Lithuania,lithuania,,25.5,22.4,12.3,27.4,20.9,61.9,11.2,15.0,61.0
Walailak University,walailak university,Thailand,thailand,,25.5,20.9,13.3,35.5,16.3,40.7,13.6,1.0,73.0
Warsaw University of Life Sciences – SGGW,warsaw university of life sciences – sggw,Poland,poland,,25.5,19.9,11.8,41.6,23.4,34.2,13.4,8.0,58.0
Warsaw University of Technology,warsaw university of technology,Poland,poland,,25.5,22.0,19.6,33.3,53.5,31.7,17.1,7.0,32.0
University of West Bohemia,university of west bohemia,Czech Republic,czech republic,,25.5,20.5,18.0,35.2,27.7,32.4,14.8,5.0,54.0
University of Western Macedonia,university of western macedonia,Greece,greece,,25.5,11.6,17.1,39.3,26.2,27.9,46.2,2.0,51.0
West University of Timişoara,west university of timişoara,Romania,romania,,25.5,24.3,13.7,40.2,17.4,34.9,23.9,6.0,64.0
Wrocław University of Environmental and Life Sciences,wrocław university of environmental and life sciences,Poland,poland,,25.5,19.1,13.9,34.3,49.8,29.6,16.7,4.0,67.0
Wrocław University of Science and Technology,wrocław university of science and technology,Poland,poland,,25.5,19.7,17.4,33.1,54.6,29.7,19.8,4.0,35.0
Wuhan Textile University,wuhan textile university,China,china,,25.5,15.0,11.0,46.2,36.7,23.5,15.8,1.0,50.0
Xiangtan University,xiangtan university,China,china,,25.5,17.0,15.9,49.0,33.7,21.8,20.6,0.0,50.0
Xuzhou Medical University,xuzhou medical university,China,china,,25.5,15.8,16.3,43.5,26.0,21.4,18.6,3.0,53.0
Yamagata University,yamagata university,Japan,japan,,25.5,28.0,15.3,24.8,72.2,32.3,8.8,2.0,34.0
Yamaguchi University,yamaguchi university,Japan,japan,,25.5,28.5,13.4,21.4,57.3,33.4,10.9,5.0,37.0
University of Yamanashi,university of yamanashi,Japan,japan,,25.5,27.8,13.1,25.9,45.4,29.0,6.2,5.0,30.0
Yarmouk University,yarmouk university,Jordan,jordan,,25.5,19.9,12.9,41.5,20.8,53.1,28.3,11.0,57.0
Yasouj University,yasouj university,Iran,iran,,25.5,14.7,14.5,52.3,20.1,22.4,25.8,0.0,54.0
Yokohama National University,yokohama national university,Japan,japan,,25.5,26.0,22.5,19.1,71.2,36.1,13.4,8.0,28.0
Yuan Ze University,yuan ze university,Taiwan,taiwan,,25.5,18.5,24.1,32.1,69.0,42.8,23.0,8.0,44.0
Yuriy Fedkovych Chernivtsi National University,yuriy fedkovych chernivtsi national university,Ukraine,ukraine,,25.5,22.8,9.9,8.2,17.6,26.3,10.4,1.0,56.0
University of Zambia,university of zambia,Zambia,zambia,,25.5,13.2,9.8,45.8,19.9,54.9,24.6,2.0,39.0
University of Zanjan,university of zanjan,Iran,iran,,25.5,17.1,12.3,42.6,21.5,27.3,23.5,0.0,53.0
Zanjan University of Medical Sciences,zanjan university of medical sciences,Iran,iran,,25.5,36.4,12.6,35.5,24.2,21.5,10.9,1.0,56.0
Zhejiang Chinese Medical University,zhejiang chinese medical university,China,china,,25.5,16.5,16.4,34.5,37.2,23.0,31.0,5.0,66.0
University of Zimbabwe,university of zimbabwe,Zimbabwe,zimbabwe,,25.5,12.9,12.7,37.3,20.9,50.8,22.5,0.0,42.0
Université 8 Mai 1945 Guelma,université 8 mai 1945 guelma,Algeria,algeria,,16.2,14.7,8.6,25.4,15.9,37.0,20.9,1.0,70.0
University Abdelhamid Ibn Badis Mostaganem,university abdelhamid ibn badis mostaganem,Algeria,algeria,,16.2,17.7,7.8,8.1,15.7,33.5,19.5,1.0,68.0
Abdelmalek Essaâdi University,abdelmalek essaâdi university,Morocco,morocco,,16.2,21.6,9.7,30.1,17.2,29.4,91.8,1.0,52.0
University of Abou Bekr Belkaïd Tlemcen,university of abou bekr belkaïd tlemcen,Algeria,algeria,,16.2,22.7,9.0,11.6,19.6,35.3,21.3,1.0,59.0
Acıbadem University,acıbadem university,Turkey,turkey,,16.2,25.8,12.0,22.7,24.2,30.3,5.7,3.0,73.0
Adelphi University,adelphi university,United States,united states,,16.2,24.1,7.7,26.1,16.4,33.0,11.1,7.0,70.0
Afe Babalola University,afe babalola university,Nigeria,nigeria,,16.2,23.4,11.6,17.2,24.6,43.6,10.7,1.0,57.0
Akita University,akita university,Japan,japan,,16.2,25.6,13.4,20.8,39.1,26.7,10.7,4.0,35.0
Aksaray University,aksaray university,Turkey,turkey,,16.2,11.6,8.8,23.5,26.8,28.0,22.2,8.0,49.0
Alexandru Ioan Cuza University,alexandru ioan cuza university,Romania,romania,,16.2,16.5,12.1,31.6,18.3,40.2,22.3,8.0,56.0
Altai State University,altai state university,Russian Federation,russian federation,,16.2,20.5,16.5,15.2,25.2,64.4,19.0,27.0,56.0
Alzahra University,alzahra university,Iran,iran,,16.2,25.4,15.3,24.6,19.6,31.0,28.4,3.0,100.0
University of Anbar,university of anbar,Iraq,iraq,,16.2,17.7,9.1,39.1,16.9,29.3,15.5,0.0,55.0
Universitas Andalas,universitas andalas,Indonesia,indonesia,,16.2,24.7,12.7,16.5,36.1,33.2,22.0,1.0,58.0
"University of the Andes, Venezuela","university of the andes, venezuela",Venezuela,venezuela,,16.2,21.9,8.6,8.8,27.7,50.2,10.1,2.0,61.0
Andhra University,andhra university,India,india,,16.2,38.2,10.4,18.7,26.1,24.1,14.8,5.0,46.0
Universidad Andrés Bello (UNAB),universidad andrés bello (unab),Chile,chile,,16.2,15.1,10.4,33.5,20.7,50.6,18.4,2.0,53.0
Ankara University,ankara university,Turkey,turkey,,16.2,18.2,11.6,30.5,36.6,34.4,27.6,6.0,53.0
Ankara Yildirim Beyazit University,ankara yildirim beyazit university,Turkey,turkey,,16.2,19.2,12.6,23.1,17.3,35.4,23.3,12.0,54.0
Annamalai University,annamalai university,India,india,,16.2,35.5,9.6,20.0,22.2,20.1,13.6,0.0,48.0
Antonio Nariño University,antonio nariño university,Colombia,colombia,,16.2,16.6,7.9,33.1,16.0,51.5,14.1,2.0,55.0
Aoyama Gakuin University,aoyama gakuin university,Japan,japan,,16.2,20.0,8.9,10.4,22.2,36.2,12.2,3.0,49.0
Arak University,arak university,Iran,iran,,16.2,19.5,11.2,32.7,20.1,26.3,18.7,5.0,58.0
Universidad Autónoma de Ciudad Juárez,universidad autónoma de ciudad juárez,Mexico,mexico,,16.2,15.6,8.0,10.2,17.5,37.3,15.0,2.0,56.0
Universidad Autónoma de Coahuila,universidad autónoma de coahuila,Mexico,mexico,,16.2,21.4,8.0,12.8,18.1,34.4,29.6,0.0,58.0
Universidad Autónoma del Estado de Hidalgo,universidad autónoma del estado de hidalgo,Mexico,mexico,,16.2,19.2,9.6,11.1,18.1,26.4,19.5,0.0,58.0
Universidad Autónoma del Estado de Mexico (UAEMex),universidad autónoma del estado de mexico (uaemex),Mexico,mexico,,16.2,22.2,9.3,7.7,17.4,26.9,10.6,1.0,59.0
Universidad Autónoma del Estado de Morelos,universidad autónoma del estado de morelos,Mexico,mexico,,16.2,17.1,9.1,9.1,28.8,27.4,17.4,0.0,56.0
Universidad Autónoma de Nuevo León (UANL),universidad autónoma de nuevo león (uanl),Mexico,mexico,,16.2,13.3,9.1,17.1,19.8,33.4,48.0,0.0,47.0
Universidad Autónoma de Querétaro,universidad autónoma de querétaro,Mexico,mexico,,16.2,19.1,10.5,19.1,23.7,30.0,45.2,1.0,57.0
Universidad Autónoma de Yucatán,universidad autónoma de yucatán,Mexico,mexico,,16.2,14.9,10.0,14.6,24.1,33.6,19.6,0.0,50.0
Autonomous University of Baja California,autonomous university of baja california,Mexico,mexico,,16.2,13.0,9.0,12.6,17.0,35.7,21.7,3.0,54.0
Badji Mokhtar University – Annaba,badji mokhtar university – annaba,Algeria,algeria,,16.2,34.1,16.2,12.5,16.9,35.0,11.9,2.0,63.0
University of Baghdad,university of baghdad,Iraq,iraq,,16.2,25.1,12.6,19.8,28.5,20.2,13.3,0.0,57.0
Baku State University,baku state university,Azerbaijan,azerbaijan,,16.2,20.1,8.6,13.8,19.7,35.5,13.2,2.0,66.0
Başkent University,başkent university,Turkey,turkey,,16.2,20.0,12.2,15.7,29.1,22.0,13.3,3.0,49.0
University of Basrah,university of basrah,Iraq,iraq,,16.2,23.4,7.8,14.6,16.2,26.1,11.7,0.0,55.0
University of Batna 2,university of batna 2,Algeria,algeria,,16.2,17.5,7.9,12.2,15.9,30.4,23.7,1.0,51.0
University of Béjaïa,university of béjaïa,Algeria,algeria,,16.2,13.8,8.3,14.4,20.9,44.9,23.7,1.0,61.0
