university_name,university_name_clean,country_name,country_name_clean,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024
University of Rome III,university of rome iii,Italy,italy,,39.4,23.1,25.3,58.3,49.5,45.4,46.5,5.0,60.0
Roskilde University,roskilde university,Denmark,denmark,,39.4,21.9,33.4,55.5,76.1,54.6,15.8,15.0,65.0
RUDN University,rudn university,Russian Federation,russian federation,,39.4,39.1,23.0,46.1,21.0,70.4,15.6,32.0,59.0
Saint-Petersburg Mining University,saint-petersburg mining university,Russian Federation,russian federation,,39.4,29.7,16.9,69.3,50.4,43.1,13.4,12.0,41.0
University of Salento,university of salento,Italy,italy,,39.4,30.1,21.8,64.5,52.2,34.5,24.7,2.0,62.0
University of Sannio,university of sannio,Italy,italy,,39.4,23.6,20.5,63.6,71.1,29.3,13.4,1.0,49.0
University of Santiago de Compostela,university of santiago de compostela,Spain,spain,,39.4,29.7,21.1,58.7,69.6,46.6,14.6,6.0,65.0
University of Sassari,university of sassari,Italy,italy,,39.4,31.1,24.7,66.3,45.7,41.9,38.1,2.0,63.0
Saveetha Institute of Medical and Technical Sciences,saveetha institute of medical and technical sciences,India,india,,39.4,31.7,10.2,77.8,17.3,58.9,7.1,1.0,46.0
Shahid Beheshti University of Medical Sciences,shahid beheshti university of medical sciences,Iran,iran,,39.4,45.1,22.9,49.9,63.5,27.1,8.0,4.0,55.0
University of Siegen,university of siegen,Germany,germany,,39.4,27.4,26.9,60.7,46.2,62.7,29.9,13.0,56.0
South China Normal University,south china normal university,China,china,,39.4,22.9,21.7,63.9,51.4,37.4,18.9,3.0,53.0
South Ural State University,south ural state university,Russian Federation,russian federation,,39.4,23.2,13.5,74.7,24.7,54.5,11.0,11.0,37.0
SRUC (Scotland’s Rural College),sruc (scotland’s rural college),United Kingdom,united kingdom,,39.4,25.3,12.8,79.3,26.9,64.8,5.5,8.0,64.0
University of Stavanger,university of stavanger,Norway,norway,,39.4,24.7,15.6,66.6,30.2,74.4,10.5,13.0,58.0
Sultan Qaboos University,sultan qaboos university,Oman,oman,,39.4,28.1,22.2,62.3,35.7,74.0,9.2,4.0,50.0
Sunway University,sunway university,Malaysia,malaysia,,39.4,24.7,14.6,71.7,17.2,78.3,8.1,14.0,52.0
SUNY Binghamton University,suny binghamton university,United States,united states,,39.4,30.7,22.0,61.1,62.8,42.7,22.1,8.0,52.0
Tallinn University of Technology,tallinn university of technology,Estonia,estonia,,39.4,25.7,20.6,65.7,48.1,69.1,11.4,14.0,40.0
Tehran University of Medical Sciences,tehran university of medical sciences,Iran,iran,,39.4,50.0,18.5,54.3,45.1,37.5,6.2,12.0,56.0
Universiti Tenaga Nasional (UNITEN),universiti tenaga nasional (uniten),Malaysia,malaysia,,39.4,25.1,16.8,58.0,70.8,60.8,9.0,19.0,32.0
University of Texas at Arlington,university of texas at arlington,United States,united states,,39.4,25.2,20.5,65.5,62.9,55.0,31.9,11.0,63.0
Texas Tech University,texas tech university,United States,united states,,39.4,30.7,20.9,56.9,58.0,58.9,21.1,6.0,50.0
Thapar Institute of Engineering and Technology,thapar institute of engineering and technology,India,india,,39.4,24.3,11.9,84.8,23.0,28.7,15.1,1.0,34.0
University of Toledo,university of toledo,United States,united states,,39.4,35.7,16.7,54.5,68.8,56.7,17.0,9.0,53.0
Ton Duc Thang University,ton duc thang university,Vietnam,vietnam,,39.4,12.9,16.0,90.6,20.9,63.1,21.9,1.0,57.0
Toronto Metropolitan University,toronto metropolitan university,Canada,canada,,39.4,19.5,32.3,57.3,70.3,62.1,42.8,9.0,55.0
University of Tuscia,university of tuscia,Italy,italy,,39.4,21.4,22.6,77.3,54.9,43.2,20.0,4.0,52.0
University of Udine,university of udine,Italy,italy,,39.4,28.5,20.2,73.1,61.1,41.8,19.3,5.0,55.0
Ulster University,ulster university,United Kingdom,united kingdom,,39.4,21.3,22.4,62.0,50.1,82.4,20.1,10.0,56.0
Umm Al-Qura University,umm al-qura university,Saudi Arabia,saudi arabia,,39.4,33.3,14.4,62.2,53.2,73.1,9.6,7.0,53.0
Paris Lodron Universität Salzburg,paris lodron universität salzburg,Austria,austria,,39.4,31.6,23.4,55.0,45.8,93.4,10.0,35.0,67.0
Urmia University of Medical Sciences,urmia university of medical sciences,Iran,iran,,39.4,35.3,11.7,69.3,17.8,25.2,12.4,5.0,52.0
VIT University,vit university,India,india,,39.4,27.9,15.6,68.3,28.9,46.2,18.8,5.0,30.0
University of Warsaw,university of warsaw,Poland,poland,,39.4,33.1,29.9,55.6,37.1,45.6,10.9,9.0,62.0
University of the Western Cape,university of the western cape,South Africa,south africa,,39.4,22.0,23.8,59.3,22.6,65.7,36.7,6.0,61.0
University of the West of Scotland,university of the west of scotland,United Kingdom,united kingdom,,39.4,24.4,16.0,66.5,24.2,86.9,24.6,25.0,62.0
William & Mary,william & mary,United States,united states,,39.4,38.4,21.7,62.2,37.1,39.1,11.3,7.0,57.0
University of Wolverhampton,university of wolverhampton,United Kingdom,united kingdom,,39.4,19.1,14.7,64.7,40.7,81.1,16.7,28.0,62.0
Worcester Polytechnic Institute,worcester polytechnic institute,United States,united states,,39.4,30.0,22.1,61.2,61.8,57.2,13.0,14.0,38.0
