University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,QS_Rank_Numeric,THE_Rank_Numeric,THE_Overall_Score_Numeric,university_id,country_id,kpi1_global_ranking_score,kpi2_research_impact_score,kpi3_students_per_staff_num,kpi3_faculty_to_student_ratio,kpi4_international_student_pct,kpi5_academic_reputation_score,kpi6_research_productivity_index
Odessa I.I. Mechnikov National University,Ukraine,1201-1400,,3.9,2.3,55.4,1.3,1.8,3.3,10.3,6.3,1.0,,,,,,,,,,,,1201.0,,,U1031,UK,,1.3,,,,3.9,13.78
Ogarev Mordovia State University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,20.2,9.2,5.8,17.2,37.2,"11,795",11.6,17%,49 : 51,,1501.0,16.2,U1032,RU,16.2,5.8,11.6,1:11.6,17%,,8.97
The Ohio State University,United States,208,45.6,58.6,50.4,39.5,31.2,13.4,10.6,94.6,45.3,50.8,=99,66.7,55.8,52.7,88.4,85.0,67.3,"55,538",11.4,11%,51 : 49,208.0,99.0,66.7,U1033,UN,45.6,31.2,11.4,1:11.4,11%,58.6,46.74
Ohio University,United States,1001-1200,,8.1,5.5,5.7,10.5,2.4,3.3,41.4,16.9,2.7,601–800,37.0–41.8,30.6,20.1,61.2,54.7,37.2,"20,948",19.9,4%,58 : 42,1001.0,601.0,39.4,U1034,UN,39.4,10.5,19.9,1:19.9,4%,8.1,16.11
Oita University,Japan,,,,,,,,,,,,1501+,9.7–22.7,25.8,11.0,20.0,35.3,22.9,"5,381",8.5,2%,38 : 62,,1501.0,16.2,U1035,JA,16.2,20.0,8.5,1:8.5,2%,,10.76
Okayama University,Japan,851-900,,8.9,3.7,61.3,7.7,6.1,6.3,52.5,2.9,14.5,801–1000,32.7–36.9,34.6,21.5,36.4,84.9,37.2,"13,027",10.0,7%,40 : 60,851.0,801.0,34.8,U1036,JA,34.8,7.7,10.0,1:10.0,7%,8.9,15.99
Oklahoma State University ,United States,851-900,,8.3,8.1,9.2,13.3,49.9,6.1,66.8,17.3,9.4,601–800,37.0–41.8,34.1,20.9,60.8,65.8,56.0,"21,239",14.1,5%,52 : 48,851.0,601.0,39.4,U1037,UN,39.4,13.3,14.1,1:14.1,5%,8.3,21.92
Old Dominion University,United States,,,,,,,,,,,,601–800,37.0–41.8,26.1,20.4,61.2,64.0,38.1,"18,725",18.2,2%,57 : 43,,601.0,39.4,U1038,UN,39.4,61.2,18.2,1:18.2,2%,,31.84
Oles Honchar Dnipro National University,Ukraine,,,,,,,,,,,,1201–1500,22.8–28.2,25.1,9.0,7.4,18.9,21.5,"7,478",10.1,2%,56 : 44,,1201.0,25.5,U1039,UK,25.5,7.4,10.1,1:10.1,2%,,5.55
Omsk State Technical University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,18.4,8.4,7.3,20.0,31.1,"12,150",14.0,13%,33 : 67,,1501.0,16.2,U1040,RU,16.2,7.3,14.0,1:14.0,13%,,7.53
Ondokuz Mayis University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,19.0,11.4,22.2,26.8,36.1,"38,149",18.3,14%,44 : 56,,1501.0,16.2,U1041,TU,16.2,22.2,18.3,1:18.3,14%,,14.82
Ontario Tech University,Canada,,,,,,,,,,,,601–800,37.0–41.8,18.8,25.0,63.5,51.9,63.2,"9,449",30.1,8%,43 : 57,,601.0,39.4,U1042,CA,39.4,63.5,30.1,1:30.1,8%,,41.02
The Open University,United Kingdom,,,,,,,,,,,,601–800,37.0–41.8,17.7,16.1,68.7,52.6,63.6,"81,570",33.5,8%,65 : 35,,601.0,39.4,U1043,UN,39.4,68.7,33.5,1:33.5,8%,,38.03
Open University of Catalonia,Spain,,,,,,,,,,,,601–800,37.0–41.8,18.4,18.2,75.9,29.7,51.0,"33,296",96.5,6%,56 : 44,,601.0,39.4,U1044,SP,39.4,75.9,96.5,1:96.5,6%,,38.26
Opole University of Technology,Poland,,,,,,,,,,,,1201–1500,22.8–28.2,18.5,13.8,37.3,18.5,36.1,"5,096",13.7,6%,32 : 68,,1201.0,25.5,U1045,PO,25.5,37.3,13.7,1:13.7,6%,,20.66
Oran 1 University,Algeria,,,,,,,,,,,,1501+,9.7–22.7,30.7,9.0,13.2,17.8,39.7,"25,443",21.9,1%,70 : 30,,1501.0,16.2,U1046,AL,16.2,13.2,21.9,1:21.9,1%,,11.71
Ordu University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,14.0,10.3,19.6,16.7,17.9,"11,050",18.7,0%,52 : 48,,1501.0,16.2,U1047,TU,16.2,19.6,18.7,1:18.7,0%,,9.06
Oregon Health and Science University,United States,,,,,,,,,,,,301–350,51.1–53.0,39.1,21.3,91.7,86.8,34.6,"2,984",0.9,3%,68 : 32,,301.0,52.05,U1048,UN,52.05,91.7,0.9,1:0.9,3%,,40.71
Oregon State University,United States,641-650,,14.6,4.2,15.6,33.9,11.7,8.1,81.2,19.3,21.1,,,,,,,,,,,,641.0,,,U1049,UN,,33.9,,,,14.6,23.66
Osaka Institute of Technology,Japan,,,,,,,,,,,,1501+,9.7–22.7,14.8,15.3,20.6,37.3,26.2,"7,407",35.4,1%,14 : 86,,1501.0,16.2,U1050,JA,16.2,20.6,35.4,1:35.4,1%,,13.99
Osaka Medical and Pharmaceutical University,Japan,,,,,,,,,,,,1501+,9.7–22.7,27.7,12.6,23.7,44.4,18.7,"3,132",5.5,1%,59 : 41,,1501.0,16.2,U1051,JA,16.2,23.7,5.5,1:5.5,1%,,11.7
Osaka Metropolitan University,Japan,901-950,,12.4,11.6,51.3,6.5,4.6,3.1,29.3,5.9,1.1,1201–1500,22.8–28.2,29.1,18.7,29.8,79.5,26.6,"15,734",11.5,4%,37 : 63,901.0,1201.0,25.5,U1052,JA,25.5,6.5,11.5,1:11.5,4%,12.4,11.6
Osaka University,Japan,86,63.5,82.4,87.0,45.2,54.9,23.9,12.2,68.2,33.0,68.0,=175,60.4,62.5,65.7,50.5,100.0,51.0,"22,274",10.4,10%,32 : 68,86.0,175.0,60.4,U1053,JA,63.5,54.9,10.4,1:10.4,10%,82.4,56.8
OSMANIA UNIVERSITY,India,1201-1400,,5.4,3.7,3.5,21.0,,5.4,17.2,7.2,1.0,1201–1500,22.8–28.2,33.9,16.3,31.1,27.7,21.4,"10,520",25.7,3%,36 : 64,1201.0,1201.0,25.5,U1054,IN,25.5,21.0,25.7,1:25.7,3%,5.4,13.47
Otto von Guericke University of Magdeburg,Germany,,,,,,,,,,,,601–800,37.0–41.8,33.4,18.0,54.4,51.4,74.5,"13,562",11.2,26%,42 : 58,,601.0,39.4,U1055,GE,39.4,54.4,11.2,1:11.2,26%,,37.33
Ovidius University of Constanța,Romania,,,,,,,,,,,,1501+,9.7–22.7,19.4,9.2,9.6,15.9,27.0,"17,355",12.5,7%,61 : 39,,1501.0,16.2,U1056,RO,16.2,9.6,12.5,1:12.5,7%,,7.65
Oxford Brookes University,United Kingdom,416,28.6,30.7,37.6,13.7,7.0,67.5,67.4,68.4,20.5,13.2,601–800,37.0–41.8,25.1,21.1,62.5,29.1,87.9,"13,860",14.0,25%,58 : 42,416.0,601.0,39.4,U1057,UN,28.6,7.0,14.0,1:14.0,25%,30.7,27.83
Ozyegin University,Turkey,,,,,,,,,,,,801–1000,32.7–36.9,16.3,23.9,53.5,58.0,57.7,"6,181",26.7,8%,44 : 56,,801.0,34.8,U1058,TU,34.8,53.5,26.7,1:26.7,8%,,36.08
Pablo de Olavide University,Spain,,,,,,,,,,,,801–1000,32.7–36.9,23.8,17.5,58.5,66.9,47.8,"11,069",12.2,11%,59 : 41,,801.0,34.8,U1059,SP,34.8,58.5,12.2,1:12.2,11%,,31.85
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Pakistan,691-700,,6.5,9.6,66.1,41.0,,1.0,14.7,3.5,1.0,,,,,,,,,,,,691.0,,,U1060,PA,,41.0,,,,6.5,25.81
Palacký University Olomouc,Czech Republic,651-660,,15.2,13.9,29.9,8.5,32.7,17.8,87.3,6.8,33.0,801–1000,32.7–36.9,23.4,23.9,49.8,36.8,61.8,"19,474",15.2,14%,68 : 32,651.0,801.0,34.8,U1061,CZ,34.8,8.5,15.2,1:15.2,14%,15.2,23.44
Pamukkale University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,15.2,9.5,16.7,18.5,20.4,"33,761",22.0,3%,44 : 56,,1501.0,16.2,U1062,TU,16.2,16.7,22.0,1:22.0,3%,,8.37
Panjab University,India,1001-1200,,7.8,7.3,6.2,24.1,,1.7,30.9,31.8,2.4,601–800,37.0–41.8,32.6,16.2,67.9,39.2,23.5,"19,695",18.6,1%,51 : 49,1001.0,601.0,39.4,U1063,IN,39.4,24.1,18.6,1:18.6,1%,7.8,14.87
Panthéon-Sorbonne University – Paris 1,France,,,,,,,,,,,,801–1000,32.7–36.9,33.9,31.8,36.6,27.3,67.7,"36,995",29.8,20%,62 : 38,,801.0,34.8,U1064,FR,34.8,36.6,29.8,1:29.8,20%,,37.52
Paris Lodron Universität Salzburg,Austria,,,,,,,,,,,,601–800,37.0–41.8,31.6,23.4,55.0,45.8,93.4,"6,307",10.0,35%,67 : 33,,601.0,39.4,U1065,AU,39.4,55.0,10.0,1:10.0,35%,,44.91
Paris Lodron University of Salzburg,Austria,601-610,,9.7,2.9,20.8,6.8,96.1,93.7,55.5,15.7,39.5,,,,,,,,,,,,601.0,,,U1066,AU,,6.8,,,,9.7,15.45
Paris Nanterre University,France,,,,,,,,,,,,1201–1500,22.8–28.2,20.9,16.8,27.9,42.9,66.7,"35,218",23.4,16%,64 : 36,,1201.0,25.5,U1067,FR,25.5,27.9,23.4,1:23.4,16%,,26.78
Paris Sciences et Lettres – PSL Research University Paris,France,,,,,,,,,,,,40,78.5,75.7,72.8,83.2,99.7,81.6,"16,120",15.0,22%,51 : 49,,40.0,78.5,U1068,FR,78.5,83.2,15.0,1:15.0,22%,,76.49
Parthenope University of Naples,Italy,,,,,,,,,,,,601–800,37.0–41.8,18.5,22.6,78.2,25.6,32.2,"11,126",32.4,1%,42 : 58,,601.0,39.4,U1069,IT,39.4,78.2,32.4,1:32.4,1%,,36.72
Paul Valéry University Montpellier,France,1001-1200,,11.8,2.8,2.9,5.3,5.0,32.2,48.3,2.1,2.8,,,,,,,,,,,,1001.0,,,U1070,FR,,5.3,,,,11.8,14.99
Pavlov First Saint Petersburg State Medical University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,29.4,10.7,12.5,25.3,34.4,"5,462",7.0,14%,75 : 25,,1501.0,16.2,U1071,RU,16.2,12.5,7.0,1:7.0,14%,,11.11
Pavol Jozef Šafárik University in Košice,Slovakia,851-900,,4.7,5.1,59.7,3.0,5.1,65.3,41.7,4.6,1.0,1201–1500,22.8–28.2,40.7,10.2,17.1,24.9,62.1,"7,060",10.3,24%,67 : 33,851.0,1201.0,25.5,U1072,SL,25.5,3.0,10.3,1:10.3,24%,4.7,14.67
Payame Noor University,Iran,,,,,,,,,,,,1501+,9.7–22.7,12.9,9.1,26.1,19.6,21.3,"428,888",120.3,1%,60 : 40,,1501.0,16.2,U1073,IR,16.2,26.1,120.3,1:120.3,1%,,11.22
Pedagogical and Technological University of Colombia,Colombia,,,,,,,,,,,,1501+,9.7–22.7,19.3,7.7,5.2,16.0,35.5,"33,268",16.0,0%,54 : 46,,1501.0,16.2,U1074,CO,16.2,5.2,16.0,1:16.0,0%,,7.59
Peking University,China,14,88.5,99.5,96.6,92.6,97.7,50.3,23.6,79.8,94.2,46.9,14,91.8,95.6,97.3,87.2,98.8,70.2,"33,064",10.9,14%,,14.0,14.0,91.8,U1075,CH,88.5,97.7,10.9,1:10.9,14%,99.5,90.97
Penn State (Main campus),United States,,,,,,,,,,,,122,65.0,53.1,58.7,83.7,70.4,58.4,"45,875",14.2,15%,48 : 52,,122.0,65.0,U1076,UN,65.0,83.7,14.2,1:14.2,15%,,63.64
Pennsylvania State University,United States,89,61.7,76.6,64.5,25.0,55.4,25.1,28.0,97.9,61.9,96.5,,,,,,,,,,,,89.0,,,U1077,UN,61.7,55.4,,,,76.6,30.18
Penza State University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,14.3,8.7,7.8,16.3,32.8,"17,934",17.2,12%,56 : 44,,1501.0,16.2,U1078,RU,16.2,7.8,17.2,1:17.2,12%,,8.25
Perm National Research Polytechnic University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,23.7,13.4,9.9,50.0,28.4,"8,719",10.2,9%,37 : 63,,1501.0,16.2,U1079,RU,16.2,9.9,10.2,1:10.2,9%,,10.28
Perm State National Research University,Russian Federation,1201-1400,,4.4,1.7,34.5,1.5,1.4,8.3,6.3,2.0,1.2,,,,,,,,,,,,1201.0,,,U1080,RU,,1.5,,,,4.4,13.84
Perm State University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,21.2,12.5,8.2,24.6,23.7,"9,845",12.0,5%,59 : 41,,1501.0,16.2,U1081,RU,16.2,8.2,12.0,1:12.0,5%,,8.16
Persian Gulf University,Iran,,,,,,,,,,,,1201–1500,22.8–28.2,17.8,14.1,45.5,28.8,38.2,"5,499",23.1,5%,55 : 45,,1201.0,25.5,U1082,IR,25.5,45.5,23.1,1:23.1,5%,,23.81
Peter the Great St. Petersburg Polytechnic University,Russian Federation,559,22.3,16.0,10.9,74.3,2.9,14.1,84.0,64.7,4.9,11.2,351–400,49.1–51.0,43.4,31.3,67.4,61.6,65.2,"16,400",10.0,33%,42 : 58,559.0,351.0,50.05,U1083,RU,22.3,2.9,10.0,1:10.0,33%,16.0,26.44
Philipps-Universität Marburg ,Germany,801-850,,12.7,8.8,5.2,25.0,14.9,20.7,61.6,4.8,5.1,,,,,,,,,,,,801.0,,,U1084,GE,,25.0,,,,12.7,20.96
Pirogov Russian National Research Medical University,Russian Federation,,,,,,,,,,,,1201–1500,22.8–28.2,44.2,13.3,14.5,28.1,22.6,"9,613",6.9,4%,,,1201.0,25.5,U1085,RU,25.5,14.5,6.9,1:6.9,4%,,10.22
Plekhanov Russian University of Economics,Russian Federation,711-720,,14.0,19.1,49.8,2.3,3.0,16.2,51.9,38.5,11.6,1001–1200,28.3–32.6,25.9,12.9,44.7,20.6,59.0,"12,595",9.1,15%,57 : 43,711.0,1001.0,30.450000000000003,U1086,RU,30.450000000000003,2.3,9.1,1:9.1,15%,14.0,15.12
PMAS Arid Agriculture University Rawalpindi,Pakistan,,,,,,,,,,,,1001–1200,28.3–32.6,18.8,11.3,53.9,19.1,47.8,"12,702",44.7,0%,37 : 63,,1001.0,30.450000000000003,U1087,PA,30.450000000000003,53.9,44.7,1:44.7,0%,,27.21
Pohang University of Science And Technology (POSTECH),South Korea,98,60.3,45.9,80.0,99.9,96.9,27.6,2.7,26.6,11.0,36.6,149,62.2,58.1,51.5,77.2,100.0,40.0,"3,300",10.5,5%,,98.0,149.0,62.2,U1088,SO,60.3,96.9,10.5,1:10.5,5%,45.9,59.42
Politecnico di Bari,Italy,580,21.3,6.9,4.8,11.3,76.5,4.6,7.2,46.6,3.5,1.3,,,,,,,,,,,,580.0,,,U1089,IT,21.3,76.5,,,,6.9,36.57
Politecnico di Milano,Italy,111,58.2,70.8,77.0,5.8,40.2,67.4,56.8,88.1,52.9,72.6,201–250,55.9–58.6,42.9,49.7,71.9,95.3,65.3,"38,978",25.7,19%,35 : 65,111.0,201.0,57.25,U1090,IT,58.2,40.2,25.7,1:25.7,19%,70.8,47.41
Politecnico di Torino,Italy,241,41.7,40.2,52.1,3.1,51.6,4.9,41.0,81.4,30.6,77.9,,,,,,,,,,,,241.0,,,U1091,IT,41.7,51.6,,,,40.2,29.02
Polytechnic Institute of Porto,Portugal,,,,,,,,,,,,1201–1500,22.8–28.2,15.0,11.9,49.6,22.1,31.8,"19,211",16.9,5%,47 : 53,,1201.0,25.5,U1092,PO,25.5,49.6,16.9,1:16.9,5%,,22.35
Polytechnic University of Bari,Italy,,,,,,,,,,,,501–600,41.9–45.3,23.0,27.6,76.9,59.9,42.5,"10,460",43.0,1%,29 : 71,,501.0,43.599999999999994,U1093,IT,43.599999999999994,76.9,43.0,1:43.0,1%,,41.44
Polytechnic University of Bucharest,Romania,,,,,,,,,,,,1501+,9.7–22.7,19.8,11.4,28.8,29.7,24.2,"29,166",23.2,4%,36 : 64,,1501.0,16.2,U1094,RO,16.2,28.8,23.2,1:23.2,4%,,13.95
Polytechnic University of Timişoara,Romania,,,,,,,,,,,,1501+,9.7–22.7,16.7,10.1,33.9,30.9,22.6,"11,846",18.7,3%,38 : 62,,1501.0,16.2,U1095,RO,16.2,33.9,18.7,1:18.7,3%,,14.42
Polytechnic University of Turin,Italy,,,,,,,,,,,,401–500,45.4–49.0,29.7,30.2,73.5,85.8,53.2,"30,497",31.9,15%,30 : 70,,401.0,47.2,U1096,IT,47.2,73.5,31.9,1:31.9,15%,,44.36
Polytechnic University of Valencia,Spain,,,,,,,,,,,,601–800,37.0–41.8,30.0,25.0,55.4,83.2,57.6,"26,967",14.5,14%,41 : 59,,601.0,39.4,U1097,SP,39.4,55.4,14.5,1:14.5,14%,,37.21
Pompeu Fabra University,Spain,,,,,,,,,,,,201–250,55.9–58.6,35.9,38.3,90.5,78.4,74.7,"12,173",22.7,13%,61 : 39,,201.0,57.25,U1098,SP,57.25,90.5,22.7,1:22.7,13%,,58.96
Pondicherry University,India,1201-1400,,4.1,2.1,5.4,16.5,1.9,1.1,21.1,2.7,5.8,1001–1200,28.3–32.6,33.5,18.4,38.3,42.5,19.4,"8,187",21.5,1%,46 : 54,1201.0,1001.0,30.450000000000003,U1099,IN,30.450000000000003,16.5,21.5,1:21.5,1%,4.1,12.73
Pontifícia Universidade Católica de Minas Gerais – PUC Minas,Brazil,1401+,,4.9,4.6,1.9,1.5,1.9,1.1,8.3,9.4,1.0,,,,,,,,,,,,1401.0,,,U1100,BR,,1.5,,,,4.9,13.84
Pontifícia Universidade Católica de São Paulo,Brazil,1001-1200,,10.1,14.8,37.6,1.2,3.8,1.2,1.8,34.1,1.0,,,,,,,,,,,,1001.0,,,U1101,BR,,1.2,,,,10.1,13.75
Pontifícia Universidade Católica do Paraná,Brazil,1401+,,4.1,2.9,7.6,3.9,1.8,1.3,28.9,3.9,1.4,1201–1500,22.8–28.2,26.3,12.8,34.3,43.0,30.7,"11,476",13.0,1%,56 : 44,1401.0,1201.0,25.5,U1102,BR,25.5,3.9,13.0,1:13.0,1%,4.1,8.71
Pontifícia Universidade Católica do Rio de Janeiro,Brazil,611-620,,32.4,16.2,10.8,7.5,12.6,1.6,44.5,68.0,5.4,,,,,,,,,,,,611.0,,,U1103,BR,,7.5,,,,32.4,15.66
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Brazil,1201-1400,,6.3,3.9,12.3,9.4,2.6,1.7,30.5,9.2,1.1,,,,,,,,,,,,1201.0,,,U1104,BR,,9.4,,,,6.3,16.24
Pontifical Catholic University of Minas Gerais,Brazil,,,,,,,,,,,,1501+,9.7–22.7,24.4,10.7,14.6,20.5,24.7,"37,267",36.0,1%,57 : 43,,1501.0,16.2,U1105,BR,16.2,14.6,36.0,1:36.0,1%,,9.4
Pontifical Catholic University of Peru,Peru,,,,,,,,,,,,1201–1500,22.8–28.2,24.8,9.8,29.7,16.9,45.6,"27,960",7.3,1%,47 : 53,,1201.0,25.5,U1106,PE,25.5,29.7,7.3,1:7.3,1%,,18.56
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,,,,,,,,,,,,801–1000,32.7–36.9,33.4,30.5,37.1,62.9,43.2,"13,154",18.7,2%,50 : 50,,801.0,34.8,U1107,BR,34.8,37.1,18.7,1:18.7,2%,,31.07
Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,,,,,,,,,,,,1001–1200,28.3–32.6,32.9,16.9,42.3,39.2,35.1,"12,686",21.1,1%,51 : 49,,1001.0,30.450000000000003,U1108,BR,30.450000000000003,42.3,21.1,1:21.1,1%,,23.56
Pontifical Catholic University of Valparaíso,Chile,,,,,,,,,,,,1201–1500,22.8–28.2,15.8,17.1,32.8,38.1,51.1,"18,104",26.2,1%,43 : 57,,1201.0,25.5,U1109,CH,25.5,32.8,26.2,1:26.2,1%,,24.65
Pontifical Javeriana University,Colombia,,,,,,,,,,,,1201–1500,22.8–28.2,20.7,11.5,37.4,21.0,45.3,"28,879",12.9,2%,56 : 44,,1201.0,25.5,U1110,CO,25.5,37.4,12.9,1:12.9,2%,,21.71
Pontificia Universidad Católica Argentina,Argentina,481,25.0,19.9,29.4,99.9,1.1,1.9,6.7,12.5,85.7,1.0,,,,,,,,,,,,481.0,,,U1111,AR,25.0,1.1,,,,19.9,13.72
Pontificia Universidad Católica de Chile (UC),Chile,93,61.5,93.7,98.0,23.7,8.8,26.0,3.7,82.5,99.9,79.3,401–500,45.4–49.0,29.7,34.3,67.6,84.7,57.9,"30,448",15.0,3%,,93.0,401.0,47.2,U1112,CH,61.5,8.8,15.0,1:15.0,3%,93.7,28.04
Pontificia Universidad Católica de Valparaíso,Chile,801-850,,27.0,24.4,4.7,6.6,11.3,1.6,39.9,8.7,1.6,,,,,,,,,,,,801.0,,,U1113,CH,,6.6,,,,27.0,15.39
Pontificia Universidad Católica del Ecuador (PUCE),Ecuador,951-1000,,17.3,16.2,11.5,1.3,14.2,1.7,27.1,34.0,1.0,1501+,9.7–22.7,12.2,8.7,15.3,15.9,63.9,"21,237",25.4,1%,56 : 44,951.0,1501.0,16.2,U1114,EC,16.2,1.3,25.4,1:25.4,1%,17.3,13.8
Pontificia Universidad Católica del Perú,Peru,359,31.9,48.4,61.6,33.2,1.6,4.0,1.3,38.1,33.0,29.6,,,,,,,,,,,,359.0,,,U1115,PE,31.9,1.6,,,,48.4,13.87
Pontificia Universidad Catolica Madre y Maestra,Dominican Republic,1201-1400,,4.2,4.1,11.2,1.2,9.4,11.4,4.1,45.7,1.0,,,,,,,,,,,,1201.0,,,U1116,DO,,1.2,,,,4.2,13.75
Pontificia Universidad Javeriana,Colombia,377,31.1,45.3,56.6,26.3,1.6,3.4,2.5,42.2,78.3,11.3,,,,,,,,,,,,377.0,,,U1117,CO,31.1,1.6,,,,45.3,13.87
Pontificia Universidade Católica do Campinas - PUC Campinas,Brazil,1401+,,4.2,3.8,7.0,2.0,1.8,1.2,2.3,1.9,1.0,,,,,,,,,,,,1401.0,,,U1118,BR,,2.0,,,,4.2,13.99
Port Said University,Egypt,,,,,,,,,,,,1201–1500,22.8–28.2,13.7,8.5,53.7,16.8,46.6,"29,241",28.3,0%,62 : 38,,1201.0,25.5,U1119,EG,25.5,53.7,28.3,1:28.3,0%,,25.39
Portland State University,United States,1201-1400,,4.1,1.7,9.3,9.2,1.6,6.1,44.4,9.7,6.8,801–1000,32.7–36.9,22.1,23.2,55.7,54.7,35.0,"18,763",20.5,5%,58 : 42,1201.0,801.0,34.8,U1120,UN,34.8,9.2,20.5,1:20.5,5%,4.1,16.8
Poznań University of Life Sciences,Poland,,,,,,,,,,,,1201–1500,22.8–28.2,25.1,11.3,45.2,27.4,25.9,"6,184",8.5,6%,60 : 40,,1201.0,25.5,U1121,PO,25.5,45.2,8.5,1:8.5,6%,,19.28
Pozna? University of Technology,Poland,1001-1200,,7.8,6.8,31.6,6.3,2.3,5.7,44.9,5.2,1.4,,,,,,,,,,,,1001.0,,,U1122,PO,,6.3,,,,7.8,15.3
Poznan University of Life Sciences,Poland,851-900,,5.6,2.2,94.3,6.4,1.9,7.9,31.0,3.3,1.1,,,,,,,,,,,,851.0,,,U1123,PO,,6.4,,,,5.6,15.33
Poznan University of Medical Sciences,Poland,,,,,,,,,,,,1001–1200,28.3–32.6,27.1,13.4,41.2,44.4,34.1,"7,296",6.0,11%,73 : 27,,1001.0,30.450000000000003,U1124,PO,30.450000000000003,41.2,6.0,1:6.0,11%,,21.15
Poznan University of Technology,Poland,,,,,,,,,,,,1201–1500,22.8–28.2,22.6,13.0,35.9,41.8,26.9,"14,304",11.4,6%,32 : 68,,1201.0,25.5,U1125,PO,25.5,35.9,11.4,1:11.4,6%,,17.59
Prague University of Economics and Business,Czech Republic,,,,,,,,,,,,1501+,9.7–22.7,15.5,14.9,27.6,16.8,47.9,"14,306",29.1,27%,53 : 47,,1501.0,16.2,U1126,CZ,16.2,27.6,29.1,1:29.1,27%,,21.15
Prince Mohammad Bin Fahd university,Saudi Arabia,513,23.7,20.3,23.0,23.1,27.8,100.0,18.8,23.3,2.8,1.2,,,,,,,,,,,,513.0,,,U1127,SA,23.7,27.8,,,,20.3,21.81
Prince of Songkla University,Thailand,951-1000,,21.6,5.6,16.4,3.3,5.3,1.9,40.3,3.9,24.2,1201–1500,22.8–28.2,23.4,14.8,32.6,43.5,37.7,"33,318",12.9,2%,69 : 31,951.0,1201.0,25.5,U1128,TH,25.5,3.3,12.9,1:12.9,2%,21.6,11.27
Prince Sattam Bin Abdulaziz University,Saudi Arabia,,,,,,,,,,,,601–800,37.0–41.8,21.3,12.0,80.8,23.5,75.8,"26,740",11.9,2%,61 : 39,,601.0,39.4,U1129,SA,39.4,80.8,11.9,1:11.9,2%,,42.5
Prince Sultan University,Saudi Arabia,681-690,,6.5,5.3,14.7,31.7,100.0,13.9,54.3,11.0,3.6,401–500,45.4–49.0,18.4,20.5,87.0,37.8,85.8,"5,982",17.4,11%,56 : 44,681.0,401.0,47.2,U1130,SA,47.2,31.7,17.4,1:17.4,11%,6.5,34.49
Princess Nourah bint Abdulrahman University,Saudi Arabia,681-690,,16.6,14.8,18.9,2.5,94.5,38.4,64.0,2.3,3.1,601–800,37.0–41.8,26.7,16.3,66.1,28.3,91.7,"22,552",12.1,17%,100 : 0,681.0,601.0,39.4,U1131,SA,39.4,2.5,12.1,1:12.1,17%,16.6,24.87
Princess Sumaya University for Technology,Jordan,901-950,,9.1,25.3,11.9,5.1,47.3,50.0,6.0,5.1,1.2,,,,,,,,,,,,901.0,,,U1132,JO,,5.1,,,,9.1,14.93
Princeton University,United States,22,85.5,99.8,98.3,57.0,100.0,9.6,56.6,78.3,95.7,51.5,6,96.9,96.3,97.9,98.8,95.1,89.1,"7,753",7.3,23%,47 : 53,22.0,6.0,96.9,U1133,UN,85.5,100.0,7.3,1:7.3,23%,99.8,96.55
Privolzhsky Research Medical University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,23.9,9.9,5.2,20.0,40.3,"5,896",10.3,23%,68 : 32,,1501.0,16.2,U1134,RU,16.2,5.2,10.3,1:10.3,23%,,9.9
PSG College of Technology,India,,,,,,,,,,,,1501+,9.7–22.7,22.9,8.9,29.4,20.7,17.6,"8,140",14.2,0%,37 : 63,,1501.0,16.2,U1135,IN,16.2,29.4,14.2,1:14.2,0%,,11.22
Public University of Navarre,Spain,,,,,,,,,,,,1001–1200,28.3–32.6,22.4,14.3,49.5,38.3,46.5,"8,215",11.8,6%,52 : 48,,1001.0,30.450000000000003,U1136,SP,30.450000000000003,49.5,11.8,1:11.8,6%,,27.13
Pukyong National University ,South Korea,1201-1400,,5.7,3.1,12.7,7.0,6.2,7.1,32.3,1.6,28.4,1201–1500,22.8–28.2,26.7,13.9,28.5,39.0,36.4,"16,563",11.4,10%,52 : 48,1201.0,1201.0,25.5,U1137,SO,25.5,7.0,11.4,1:11.4,10%,5.7,11.6
