University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,QS_Rank_Numeric,THE_Rank_Numeric,THE_Overall_Score_Numeric,university_id,country_id,kpi1_global_ranking_score,kpi2_research_impact_score,kpi3_students_per_staff_num,kpi3_faculty_to_student_ratio,kpi4_international_student_pct,kpi5_academic_reputation_score,kpi6_research_productivity_index
Damietta University,Egypt,,,,,,,,,,,,801–1000,32.7–36.9,16.4,9.4,73.0,17.4,46.1,"32,299",33.9,1%,63 : 37,,801.0,34.8,U0315,EG,34.8,73.0,33.9,1:33.9,1%,,31.59
Dankook University ,South Korea,1001-1200,,5.8,4.0,59.2,3.0,4.2,7.1,13.0,2.9,4.1,,,,,,,,,,,,1001.0,,,U0316,SO,,3.0,,,,5.8,14.3
Dartmouth College,United States,243,41.3,22.8,31.0,65.8,60.6,9.2,40.9,42.5,68.8,71.2,=161,61.4,57.3,40.7,84.7,68.4,60.2,"6,226",7.4,16%,49 : 51,243.0,161.0,61.4,U0317,UN,41.3,60.6,7.4,1:7.4,16%,22.8,47.65
De La Salle University,Philippines,641-650,,22.6,52.4,10.0,4.5,1.9,2.5,22.2,47.4,2.7,1501+,9.7–22.7,19.6,12.8,31.3,17.4,29.3,"14,905",14.5,3%,50 : 50,641.0,1501.0,16.2,U0318,PH,16.2,4.5,14.5,1:14.5,3%,22.6,8.55
De Montfort University,United Kingdom,711-720,,5.3,4.8,5.6,8.0,74.2,97.5,62.8,6.4,41.4,601–800,37.0–41.8,17.8,15.1,71.0,45.0,93.9,"23,125",18.5,37%,56 : 44,711.0,601.0,39.4,U0319,UN,39.4,8.0,18.5,1:18.5,37%,5.3,26.44
Deakin University,Australia,197,46.4,31.3,23.9,4.6,73.6,96.4,63.8,82.7,36.8,93.7,251–300,53.1–55.8,28.3,34.6,91.4,72.2,85.7,"40,988",32.7,18%,60 : 40,197.0,251.0,54.45,U0320,AU,46.4,73.6,32.7,1:32.7,18%,31.3,54.56
Del Rosario University,Colombia,,,,,,,,,,,,1201–1500,22.8–28.2,22.9,13.5,27.2,26.4,51.3,"9,977",10.5,2%,57 : 43,,1201.0,25.5,U0321,CO,25.5,27.2,10.5,1:10.5,2%,,21.12
Delft University of Technology,Netherlands,49,77.0,74.4,83.0,39.4,79.7,100.0,91.4,93.7,54.8,99.1,48,76.3,66.7,78.2,76.5,100.0,92.8,"21,262",15.9,30%,31 : 69,49.0,48.0,76.3,U0322,NE,77.0,79.7,15.9,1:15.9,30%,74.4,80.97
Delhi Technological University,India,,,,,,,,,,,,801–1000,32.7–36.9,16.9,20.1,76.7,28.5,19.7,"12,730",23.4,3%,22 : 78,,801.0,34.8,U0323,IN,34.8,76.7,23.4,1:23.4,3%,,31.93
Democritus University of Thrace,Greece,,,,,,,,,,,,1001–1200,28.3–32.6,16.1,16.5,54.3,32.1,30.4,"22,266",36.4,3%,48 : 52,,1001.0,30.450000000000003,U0324,GR,30.450000000000003,54.3,36.4,1:36.4,3%,,25.85
Dicle University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,30.3,16.9,12.7,53.0,21.9,"32,454",17.5,4%,45 : 55,,1501.0,16.2,U0325,TU,16.2,12.7,17.5,1:17.5,4%,,11.39
Diego Portales University,Chile,,,,,,,,,,,,1001–1200,28.3–32.6,15.3,11.8,53.8,18.0,53.0,"18,126",17.6,2%,50 : 50,,1001.0,30.450000000000003,U0326,CH,30.450000000000003,53.8,17.6,1:17.6,2%,,28.7
Diponegoro University,Indonesia,721-730,,19.2,41.7,19.3,1.5,27.9,3.0,27.4,14.6,9.7,1501+,9.7–22.7,27.1,15.4,19.1,42.9,35.1,"35,688",18.0,2%,56 : 44,721.0,1501.0,16.2,U0327,IN,16.2,1.5,18.0,1:18.0,2%,19.2,10.41
Dokkyo Medical University,Japan,,,,,,,,,,,,1501+,9.7–22.7,26.7,10.3,22.0,37.9,19.1,"1,314",1.2,1%,53 : 47,,1501.0,16.2,U0328,JA,16.2,22.0,1.2,1:1.2,1%,,10.08
