University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio
Technical University of Cluj-Napoca,RO,1201-1400,-,4.6,7.1,7.6,3.9,2.1,2.7,38.1,3.8,2.1,1201–1500,22.8–28.2,17.0,13.2,39.3,29.5,25.0,"19,065",20.5,2%,37 : 63
Technical University of Crete,Greece,,,,,,,,,,,,1201–1500,22.8–28.2,13.1,11.1,50.4,40.6,40.7,"6,935",33.2,4%,37 : 63
Technical University of Darmstadt,DE,241,41.7,20.0,35.9,6.7,70.0,60.3,81.4,65.9,44.4,71.8,251–300,53.1–55.8,42.4,48.1,62.6,99.8,65.4,"15,882",37.0,19%,33 : 67
Technical University of Denmark,DK,109,58.3,33.2,22.1,99.1,84.4,100.0,87.7,88.1,43.6,47.9,126,64.6,50.7,47.4,83.2,99.7,92.2,"10,410",7.7,28%,32 : 68
Technical University of Košice,Slovakia,,,,,,,,,,,,1201–1500,22.8–28.2,26.5,17.1,30.2,30.0,44.8,"9,573",13.1,23%,27 : 73
Technical University of Kosice,SK,1001-1200,-,7.5,4.4,19.8,5.5,1.5,56.2,37.2,4.5,1.0,,,,,,,,,,,
Technical University of Liberec,CZ,1201-1400,-,3.9,2.2,37.6,4.6,11.2,8.7,25.5,1.7,1.0,1501+,9.7–22.7,21.0,18.9,18.2,34.5,44.2,"5,303",13.3,10%,54 : 46
Technical University of Loja,Ecuador,,,,,,,,,,,,1501+,9.7–22.7,10.6,8.4,11.2,15.8,48.2,"57,924",29.3,1%,56 : 44
Technical University of Lublin,PL,1201-1400,-,5.8,2.1,18.4,3.7,,10.2,12.9,3.1,1.0,,,,,,,,,,,
Technical University of Madrid,Spain,,,,,,,,,,,,801–1000,32.7–36.9,26.6,15.8,49.8,57.4,53.8,"39,221",15.8,14%,33 : 67
Technical University of Munich,DE,28,83.2,83.0,98.6,76.8,75.9,80.4,98.6,95.6,34.5,93.1,=30,82.5,69.8,85.1,90.0,100.0,83.1,"35,506",44.4,39%,37 : 63
Technical University of Sofia,Bulgaria,,,,,,,,,,,,1501+,9.7–22.7,23.2,11.1,24.2,25.0,26.8,"10,318",9.7,9%,21 : 79
Technion - Israel Institute of Technology,IL,416,28.6,23.9,24.8,52.0,20.1,74.2,4.3,59.1,35.3,15.0,351–400,49.1–51.0,37.5,34.0,66.9,68.1,71.8,"15,934",22.7,13%,40 : 60
Technische Universität Bergakademie Freiberg,DE,380,30.8,4.9,4.8,3.5,99.1,41.4,100.0,41.6,1.9,1.1,,,,,,,,,,,
Technische Universität Berlin (TU Berlin),DE,147,52.5,55.3,74.3,58.0,22.1,63.2,74.8,86.1,37.7,35.4,,,,,,,,,,,
Technische Universität Braunschweig,DE,751-760,-,10.9,14.3,55.5,5.5,,24.2,66.4,12.6,7.3,,,,,,,,,,,
Technische Universität Dresden,DE,234,42.6,36.3,42.5,80.3,28.5,35.8,27.6,93.8,8.8,75.8,,,,,,,,,,,
Technische Universität Kaiserslautern,DE,1201-1400,-,6.3,2.4,17.0,4.6,,,56.4,2.2,1.1,,,,,,,,,,,
Technische Universität Wien,AT,190,47.2,33.9,50.4,12.5,73.8,85.5,90.4,71.6,19.1,11.3,,,,,,,,,,,
Technological University Dublin,IE,851-900,-,12.6,13.1,12.3,3.1,31.8,38.8,43.9,16.2,28.2,1001–1200,28.3–32.6,19.1,13.1,45.6,66.0,64.9,"20,801",18.7,18%,44 : 56
Technological University of Pereira,Colombia,,,,,,,,,,,,1501+,9.7–22.7,15.0,4.6,14.8,19.2,32.4,"17,877",17.8,0%,44 : 56
Tecnológico de Costa Rica -TEC,CR,1001-1200,-,8.4,21.0,21.4,1.4,7.0,1.9,12.4,8.8,1.0,,,,,,,,,,,
Tecnológico de Monterrey,MX,185,48.1,53.8,91.4,62.5,2.4,20.8,10.6,56.6,96.1,54.4,,,,,,,,,,,
Teesside University,United Kingdom,,,,,,,,,,,,1001–1200,28.3–32.6,19.6,13.1,52.7,19.7,81.0,"14,085",19.4,25%,57 : 43
Ştefan cel Mare University of Suceava,Romania,,,,,,,,,,,,1201–1500,22.8–28.2,15.6,13.0,49.3,16.8,36.9,"8,939",22.9,14%,59 : 41
Tehran University of Medical Sciences,Iran,,,,,,,,,,,,601–800,37.0–41.8,50.0,18.5,54.3,45.1,37.5,"11,742",6.2,12%,56 : 44
Teikyo University,Japan,,,,,,,,,,,,1501+,9.7–22.7,17.4,12.7,33.9,37.2,26.7,"23,162",16.0,5%,36 : 64
Tel Aviv University,IL,209,45.2,32.0,18.6,4.2,99.4,39.7,7.0,77.9,88.4,46.2,201–250,55.9–58.6,40.7,49.7,83.0,76.2,52.9,"24,995",24.2,5%,57 : 43
Telkom University,ID,1001-1200,-,8.7,12.1,21.3,1.5,35.5,6.5,10.0,5.7,1.5,1501+,9.7–22.7,15.0,11.0,28.5,21.3,38.1,"18,956",16.8,3%,42 : 58
Temple University,US,681-690,-,12.3,7.1,29.2,16.9,3.0,5.7,77.2,23.2,61.9,351–400,49.1–51.0,40.7,24.3,85.2,70.4,43.6,"34,069",12.3,6%,56 : 44
Temuco Catholic University,Chile,,,,,,,,,,,,1501+,9.7–22.7,19.8,10.5,12.7,23.9,43.1,"10,775",11.1,0%,61 : 39
Texas A&M University,US,154,51.8,61.2,66.0,4.4,64.3,21.9,12.1,92.6,44.4,39.5,118,65.3,55.2,62.1,77.3,76.4,64.1,"64,427",20.5,6%,47 : 53
Texas State University,United States,,,,,,,,,,,,1001–1200,28.3–32.6,17.8,16.0,47.8,31.6,43.9,"30,895",20.0,1%,60 : 40
Texas Tech University,US,781-790,-,10.9,10.6,6.2,11.3,36.6,9.6,70.5,13.7,55.4,601–800,37.0–41.8,30.7,20.9,56.9,58.0,58.9,"37,331",21.1,6%,50 : 50
Tezpur University,India,,,,,,,,,,,,1201–1500,22.8–28.2,31.3,15.3,27.9,33.8,18.4,"4,447",15.3,1%,43 : 57
Thammasat University,TH,596,20.8,24.6,19.4,26.6,2.1,9.1,1.7,41.0,84.6,33.6,1201–1500,22.8–28.2,26.3,19.1,25.7,30.1,38.1,"30,488",11.4,1%,64 : 36
Thapar Institute of Engineering & Technology,IN,851-900,-,4.7,4.4,8.8,46.1,5.2,1.8,31.1,3.1,11.8,601–800,37.0–41.8,24.3,11.9,84.8,23.0,28.7,"10,647",15.1,1%,34 : 66
Thiagarajar College of Engineering,India,,,,,,,,,,,,1201–1500,22.8–28.2,18.7,8.9,41.9,20.2,18.0,"4,378",18.3,0%,36 : 64
Tianjin University,CN,269,38.6,17.2,13.5,38.8,99.5,24.8,25.4,65.2,32.4,16.9,201–250,55.9–58.6,46.1,47.6,71.4,93.5,55.3,"26,486",8.9,13%,
Tilburg University,NL,347,32.8,14.7,32.5,10.5,55.1,98.4,60.6,56.8,14.3,15.2,201–250,55.9–58.6,32.8,44.9,80.1,82.6,84.5,"13,225",32.2,21%,51 : 49
TOBB University of Economics and Technology,Turkey,,,,,,,,,,,,1001–1200,28.3–32.6,17.9,14.3,48.2,48.8,40.5,"4,771",14.3,1%,47 : 53
Toho University,Japan,,,,,,,,,,,,1201–1500,22.8–28.2,24.7,15.0,33.7,57.3,21.5,"5,424",13.7,0%,53 : 47
Tohoku University,JP,107,58.8,73.8,82.8,97.8,23.9,14.1,11.4,68.3,22.6,78.6,=130,63.8,67.8,66.4,53.8,99.9,58.5,"17,409",11.8,12%,28 : 72
Tokai University,JP,1201-1400,-,10.5,5.8,13.6,2.8,5.6,2.9,24.5,1.8,1.3,1201–1500,22.8–28.2,18.3,12.0,36.5,46.0,30.4,"28,334",16.0,4%,27 : 73
Tokat Gaziosmanpaşa University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,17.1,8.6,33.7,17.5,32.1,"22,547",15.2,9%,45 : 55
Tokushima University,JP,1001-1200,-,4.4,1.8,64.0,5.6,2.5,2.2,18.4,4.1,1.0,1201–1500,22.8–28.2,29.2,24.0,24.4,81.6,26.4,"7,482",9.7,2%,35 : 65
Tokyo City University,Japan,,,,,,,,,,,,1501+,9.7–22.7,17.6,12.0,13.9,43.6,28.6,"7,479",26.8,2%,23 : 77
Tokyo Denki University,Japan,,,,,,,,,,,,1501+,9.7–22.7,14.9,9.0,12.1,56.4,21.9,"9,837",28.7,3%,13 : 87
Tokyo Institute of Technology (Tokyo Tech),JP,84,63.7,75.1,94.1,84.1,43.1,23.4,30.5,61.2,23.7,62.2,=191,59.2,59.5,63.3,49.4,100.0,60.1,"9,928",9.6,17%,16 : 84
Tokyo Medical and Dental University (TMDU),JP,661-670,-,11.8,6.5,100.0,17.7,2.4,13.4,21.9,2.0,1.6,401–500,45.4–49.0,46.7,31.3,53.4,99.0,39.0,"2,990",4.4,12%,57 : 43
Tokyo Medical University,Japan,,,,,,,,,,,,801–1000,32.7–36.9,35.1,17.0,54.0,70.4,21.4,"1,367",3.4,1%,51 : 49
Tokyo Metropolitan University,JP,1001-1200,-,12.8,5.5,32.0,11.4,7.3,4.5,29.5,4.0,1.1,1001–1200,28.3–32.6,29.8,16.2,39.2,48.0,36.5,"8,903",10.9,7%,39 : 61
Tokyo University of Agriculture,Japan,,,,,,,,,,,,1501+,9.7–22.7,18.1,9.1,18.9,29.8,23.1,"13,004",32.2,2%,43 : 57
Tokyo University of Agriculture and Technology ,JP,851-900,-,13.8,7.4,12.9,30.5,5.4,7.1,40.4,1.9,1.3,801–1000,32.7–36.9,35.0,29.1,29.6,84.5,38.1,"5,834",15.6,7%,34 : 66
Tokyo University of Marine Science and Technology,Japan,,,,,,,,,,,,1201–1500,22.8–28.2,31.3,15.2,19.7,43.1,44.4,"2,602",10.4,8%,33 : 67
Tokyo University of Science,JP,751-760,-,10.4,51.5,9.4,10.0,12.5,3.7,20.3,41.0,2.4,1201–1500,22.8–28.2,24.0,26.1,26.4,74.0,29.1,"17,662",24.0,4%,25 : 75
Tomas Bata University in Zlín,Czech Republic,,,,,,,,,,,,1201–1500,22.8–28.2,18.1,21.0,31.8,26.1,51.3,"9,642",20.1,11%,56 : 44
Tomas Bata University in Zlin,CZ,1201-1400,-,4.5,8.4,9.3,5.5,23.6,18.8,25.8,4.0,1.1,,,,,,,,,,,
Tomsk Polytechnic University,Russian Federation,,,,,,,,,,,,801–1000,32.7–36.9,40.5,23.5,31.7,54.9,69.4,"9,741",10.6,29%,31 : 69
Tomsk State University,RU,431,27.6,22.0,13.5,99.0,4.2,21.6,91.6,64.1,4.4,1.4,501–600,41.9–45.3,49.2,40.0,31.8,53.8,79.1,"7,930",11.6,37%,
Tomsk State University of Control Systems and Radioelectronics,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,22.2,11.0,18.9,40.0,38.5,"6,452",12.1,14%,29 : 71
Ton Duc Thang University,VN,711-720,-,5.0,6.4,5.2,51.7,9.9,1.4,90.7,4.7,3.8,601–800,37.0–41.8,12.9,16.0,90.6,20.9,63.1,"28,400",21.9,1%,57 : 43
Tongji University,CN,192,46.9,31.8,16.9,29.1,96.9,54.5,26.5,72.9,24.0,81.4,=185,59.6,50.0,53.6,69.5,85.4,67.7,"31,632",11.3,15%,41 : 59
Toraighyrov University,KZ,1201-1400,-,8.5,4.8,17.8,1.2,6.8,3.1,3.9,3.3,1.0,,,,,,,,,,,
Toronto Metropolitan University,CA,801-850,-,8.0,12.0,1.8,26.4,35.4,8.1,57.0,15.1,3.8,601–800,37.0–41.8,19.5,32.3,57.3,70.3,62.1,"39,142",42.8,9%,55 : 45
Tottori University,Japan,,,,,,,,,,,,1501+,9.7–22.7,28.8,13.4,21.3,46.7,26.6,"5,998",8.0,2%,38 : 62
Toyama Prefectural University,Japan,,,,,,,,,,,,1501+,9.7–22.7,25.0,9.5,9.5,27.0,21.8,"1,864",9.5,2%,31 : 69
Toyo University,Japan,,,,,,,,,,,,1501+,9.7–22.7,14.4,9.2,8.7,19.6,36.0,"30,662",23.5,5%,42 : 58
Toyohashi University of Technology (TUT),Japan,,,,,,,,,,,,1001–1200,28.3–32.6,28.7,24.0,24.7,89.8,43.5,"2,034",10.8,15%,13 : 87
Toyota Technological Institute,Japan,,,,,,,,,,,,1001–1200,28.3–32.6,28.7,16.2,38.4,57.2,33.2,503,9.7,1%,8 : 92
Transilvania University of Brașov,Romania,,,,,,,,,,,,1201–1500,22.8–28.2,15.4,11.5,49.8,18.7,36.9,"20,075",20.4,1%,52 : 48
Transilvania University of Brasov,RO,1201-1400,-,6.4,5.5,5.1,3.7,5.4,2.1,48.1,4.0,1.0,,,,,,,,,,,
Tribhuvan University,Nepal,,,,,,,,,,,,1201–1500,22.8–28.2,11.3,8.2,49.5,15.9,46.7,"482,541",30.9,0%,52 : 48
Trinity College Dublin,Ireland,,,,,,,,,,,,134,63.2,44.0,48.4,87.6,76.6,91.4,"18,778",22.2,34%,61 : 39
"Trinity College Dublin, The University of Dublin",IE,87,62.9,69.5,47.4,20.2,58.4,99.3,88.0,91.3,88.6,57.7,,,,,,,,,,,
Tsinghua University,CN,20,86.5,99.2,97.7,95.0,99.1,18.1,13.4,79.2,92.3,40.4,12,92.4,95.3,98.1,93.2,99.9,51.7,"38,518",11.2,10%,
TU Braunschweig,Germany,,,,,,,,,,,,501–600,41.9–45.3,34.5,24.0,61.5,77.0,60.6,"18,384",19.6,18%,41 : 59
TU Dortmund University,DE,801-850,-,14.1,16.0,28.1,6.2,22.4,17.1,61.1,6.8,3.7,401–500,45.4–49.0,35.7,42.2,62.3,72.0,57.3,"19,477",56.0,15%,49 : 51
TU Dresden,Germany,,,,,,,,,,,,=161,61.4,46.6,51.1,79.3,99.7,67.9,"29,719",29.4,17%,45 : 55
TU Wien,Austria,,,,,,,,,,,,251–300,53.1–55.8,43.8,44.1,57.6,96.2,86.7,"11,373",19.0,31%,32 : 68
Tufts University,US,344,32.9,16.9,7.7,53.5,45.7,23.5,38.1,60.2,56.1,81.0,=191,59.2,51.5,35.0,87.5,71.7,62.8,"11,611",10.5,16%,57 : 43
Tula State University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,11.6,9.0,5.1,17.6,19.0,"18,428",35.0,3%,60 : 40
Tulane University,US,631-640,-,9.8,6.0,84.7,9.7,9.9,10.8,75.4,26.0,8.0,401–500,45.4–49.0,42.9,24.4,73.1,67.8,50.7,"12,217",7.7,9%,60 : 40
Tunghai University,TW,1201-1400,-,6.5,5.4,4.6,5.4,8.4,8.8,24.4,13.8,7.9,1201–1500,22.8–28.2,16.5,14.4,37.8,49.4,46.6,"15,201",20.4,10%,55 : 45
Tzu Chi University,Taiwan,,,,,,,,,,,,1201–1500,22.8–28.2,25.3,26.0,18.3,65.6,27.1,"3,050",8.9,8%,60 : 40
Uşak University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,11.4,10.4,14.3,19.0,32.1,"19,043",27.4,11%,49 : 51
UCL,UK,9,91.6,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,22,88.1,78.4,86.4,98.6,75.2,97.9,"41,110",11.3,61%,59 : 41
UCSI University,MY,265,38.8,27.0,65.1,78.1,3.6,89.1,95.8,37.6,10.2,27.9,,,,,,,,,,,
Udayana University,ID,1401+,-,6.4,4.7,5.7,1.4,7.4,3.4,12.3,3.7,1.0,,,,,,,,,,,
Ufa State Petroleum Technological University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,23.0,8.0,17.1,16.7,29.7,"12,971",8.2,11%,38 : 62
Ufa University of Science and Technology,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,19.3,10.2,8.1,25.6,22.7,"24,187",12.6,5%,37 : 63
UiT The Arctic University of Norway,Norway,,,,,,,,,,,,501–600,41.9–45.3,27.7,22.1,68.8,54.0,65.6,"15,114",10.6,8%,57 : 43
Ulm University,Germany,,,,,,,,,,,,=193,59.0,40.6,41.2,87.9,99.6,63.0,"10,301",26.4,13%,51 : 49
Ulsan National Institute of Science and Technology (UNIST),KR,280,38,13.6,13.5,87.9,98.1,29.3,9.6,24.8,3.3,16.1,=199,58.7,47.7,40.8,85.0,94.6,46.5,"3,799",11.8,9%,28 : 72
Ulster University,UK,559,22.3,8.1,11.3,9.6,11.5,99.8,77.6,73.4,6.8,62.2,601–800,37.0–41.8,21.3,22.4,62.0,50.1,82.4,"19,825",20.1,10%,56 : 44
Umeå University,Sweden,,,,,,,,,,,,401–500,45.4–49.0,26.0,33.5,80.2,60.6,64.9,"18,773",13.8,12%,61 : 39
Umea University,SE,456,26.3,19.9,11.6,71.8,15.2,51.1,21.8,78.0,9.0,26.3,,,,,,,,,,,
Umm Al-Qura University ,SA,559,22.3,20.7,12.8,54.7,2.2,100.0,16.0,59.7,6.7,3.1,601–800,37.0–41.8,33.3,14.4,62.2,53.2,73.1,"35,180",9.6,7%,53 : 47
UNESP,BR,489,24.5,41.1,25.8,13.0,16.2,5.9,2.7,70.9,1.5,14.5,,,,,,,,,,,
UNIR – International University of La Rioja,Spain,,,,,,,,,,,,1201–1500,22.8–28.2,11.9,13.9,38.0,15.6,58.6,"35,499",36.0,37%,62 : 38
Unisinos University,Brazil,,,,,,,,,,,,1201–1500,22.8–28.2,30.1,15.4,22.3,25.2,29.3,"12,990",24.3,0%,47 : 53
United Arab Emirates University,AE,261,39.4,30.1,38.3,49.8,16.6,100.0,34.2,86.2,82.0,36.6,301–350,51.1–53.0,27.0,34.5,83.2,77.4,89.1,"8,147",12.6,18%,74 : 26
United International University,BD,1401+,-,6.3,8.7,3.0,2.5,,1.1,8.8,3.9,1.0,,,,,,,,,,,
Universidad Adolfo Ibáñez,CL,576,21.4,20.6,57.0,4.7,4.6,36.9,3.9,31.5,53.3,2.0,,,,,,,,,,,
Universidad Alberto Hurtado,CL,1401+,-,8.6,4.2,3.1,2.8,12.7,1.7,8.2,2.2,1.0,,,,,,,,,,,
Universidad Anáhuac México,MX,801-850,-,13.1,20.4,50.0,1.1,5.3,3.0,5.8,61.8,1.0,,,,,,,,,,,
Universidad Andrés Bello,CL,1001-1200,-,12.3,7.4,6.9,2.3,7.1,1.9,51.2,2.1,4.0,1501+,9.7–22.7,15.1,10.4,33.5,20.7,50.6,"46,249",18.4,2%,53 : 47
Universidad Austral,AR,524,23.4,20.9,36.2,79.7,1.9,2.7,7.5,10.2,65.9,1.3,,,,,,,,,,,
Universidad Austral de Chile,CL,1001-1200,-,13.9,8.0,3.1,7.3,15.6,1.6,45.4,3.5,5.6,,,,,,,,,,,
Universidad Autónoma Chapingo,MX,1001-1200,-,3.7,2.5,80.2,1.4,2.6,1.3,3.8,4.8,1.0,,,,,,,,,,,
Universidad Autónoma de Aguascalientes,MX,1401+,-,3.1,1.6,32.5,1.2,,,10.8,1.6,1.0,,,,,,,,,,,
Universidad Autónoma de Baja California,MX,1401+,-,6.6,4.4,4.4,1.5,2.6,1.1,12.5,2.1,7.5,,,,,,,,,,,
Universidad Autónoma de Chile,CL,1401+,-,5.3,2.0,4.2,3.1,12.4,1.4,32.6,2.1,2.8,1001–1200,28.3–32.6,12.5,12.2,54.5,16.1,55.4,"30,336",25.5,1%,65 : 35
Universidad Autónoma de Ciudad Juárez,Mexico,,,,,,,,,,,,1501+,9.7–22.7,15.6,8.0,10.2,17.5,37.3,"36,463",15.0,2%,56 : 44
Universidad Autónoma de Coahuila,Mexico,,,,,,,,,,,,1501+,9.7–22.7,21.4,8.0,12.8,18.1,34.4,"27,413",29.6,0%,58 : 42
Universidad Autónoma de Guadalajara (UAG),MX,1201-1400,-,6.5,3.8,19.6,1.1,37.9,23.0,2.1,2.0,,,,,,,,,,,,
Universidad Autónoma de Madrid,ES,198,46.3,61.0,64.3,29.1,21.0,7.7,10.4,92.0,43.1,79.6,,,,,,,,,,,
Universidad Autónoma de Nuevo León,MX,1001-1200,-,14.5,8.5,2.3,1.8,2.9,1.1,35.9,13.4,10.6,1501+,9.7–22.7,13.3,9.1,17.1,19.8,33.4,"132,850",48.0,0%,47 : 53
Universidad Autónoma de Querétaro (UAQ),MX,1401+,-,4.4,2.4,6.0,2.1,3.8,1.5,7.3,2.0,1.0,1501+,9.7–22.7,19.1,10.5,19.1,23.7,30.0,"25,567",45.2,1%,57 : 43
Universidad Autónoma de San Luis de Potosí,MX,1401+,-,5.9,1.8,5.4,2.4,1.6,1.3,21.4,1.6,1.1,,,,,,,,,,,
Universidad Autónoma de Yucatán,Mexico,,,,,,,,,,,,1501+,9.7–22.7,14.9,10.0,14.6,24.1,33.6,"19,128",19.6,0%,50 : 50
Universidad Autónoma del Estado de Hidalgo (UAEH),MX,1201-1400,-,3.2,6.0,45.2,1.4,2.0,1.6,8.3,2.1,5.8,1501+,9.7–22.7,19.2,9.6,11.1,18.1,26.4,"38,732",19.5,0%,58 : 42
Universidad Autónoma del Estado de México (UAEMex),MX,1001-1200,-,19.3,8.2,4.6,1.5,3.0,1.3,16.0,1.8,4.9,,,,,,,,,,,
Universidad Autónoma del Estado de Mexico (UAEMex),Mexico,,,,,,,,,,,,1501+,9.7–22.7,22.2,9.3,7.7,17.4,26.9,"66,758",10.6,1%,59 : 41
Universidad Autónoma del Estado de Morelos (UAEM),MX,1401+,-,3.5,1.8,15.5,1.6,2.6,1.2,17.4,1.9,1.0,1501+,9.7–22.7,17.1,9.1,9.1,28.8,27.4,"30,889",17.4,0%,56 : 44
Universidad Autónoma Metropolitana (UAM),MX,951-1000,-,23.6,11.3,3.7,2.5,7.8,1.2,45.6,4.6,9.4,,,,,,,,,,,
Universidad Autonoma de Yucatan,MX,1401+,-,5.5,1.5,4.9,2.4,2.2,1.1,10.1,1.6,1.0,,,,,,,,,,,
Universidad Bernardo O'Higgins,CL,1401+,-,4.6,4.3,9.9,2.0,13.3,2.1,13.1,2.2,1.0,,,,,,,,,,,
Universidad Carlos III de Madrid (UC3M),ES,285,37.2,33.5,56.3,49.5,4.1,64.8,52.3,66.3,20.7,68.3,,,,,,,,,,,
Universidad Católica Andres Bello,VE,741-750,-,28.4,50.8,4.3,1.0,3.5,2.7,,18.9,,,,,,,,,,,,
"Universidad Católica Boliviana ""San Pablo""",BO,1401+,-,3.9,2.9,4.2,1.1,2.3,2.7,7.7,26.2,1.0,,,,,,,,,,,
Universidad Católica de Colombia ,CO,1401+,-,6.1,3.2,5.1,1.6,3.3,1.1,5.0,2.3,1.0,,,,,,,,,,,
Universidad Católica de la Santísima Concepción,Chile,,,,,,,,,,,,1501+,9.7–22.7,13.2,14.9,22.9,16.9,48.9,"9,879",22.9,0%,56 : 44
Universidad Católica de La Santísima Concepción - UCSC,CL,1401+,-,3.4,2.1,8.2,2.8,5.2,1.1,28.3,2.0,1.2,,,,,,,,,,,
Universidad Católica de Santiago de Guayaquil,EC,1401+,-,4.5,3.4,1.3,1.5,16.7,1.2,10.3,16.6,1.0,,,,,,,,,,,
Universidad Católica de Temuco,CL,1401+,-,4.1,1.4,2.0,4.8,35.1,,14.3,2.0,1.1,,,,,,,,,,,
Universidad Católica del Maule,Chile,,,,,,,,,,,,1501+,9.7–22.7,13.4,13.4,19.3,15.8,57.5,"10,891",21.1,3%,58 : 42
Universidad Católica del Norte,CL,1201-1400,-,4.5,2.3,6.7,5.9,13.5,3.8,46.2,2.0,8.5,,,,,,,,,,,
Universidad Católica del Uruguay (UCU),UY,901-950,-,12.5,12.8,64.4,1.2,9.5,2.8,6.4,15.1,1.0,,,,,,,,,,,
Universidad Católica San Antonio de Murcia (UCAM),Spain,,,,,,,,,,,,1201–1500,22.8–28.2,16.7,14.3,33.9,25.3,54.2,"13,125",19.5,15%,53 : 47
Universidad Central de Chile,CL,1401+,-,4.4,2.4,3.0,1.7,4.6,1.8,9.4,2.0,1.0,,,,,,,,,,,
Universidad Central de Venezuela,VE,691-700,-,21.0,40.6,27.1,1.1,2.6,1.4,21.5,51.4,1.0,,,,,,,,,,,
Universidad Central del Ecuador,EC,1201-1400,-,8.1,3.6,11.3,1.2,,,10.1,20.9,1.0,,,,,,,,,,,
"Universidad Central ""Marta Abreu"" de Las Villas",CU,901-950,-,5.3,1.4,99.7,1.2,1.1,1.2,17.4,21.8,1.0,,,,,,,,,,,
Universidad de Alcalá,ES,621-630,-,9.7,5.8,60.0,5.6,10.6,44.9,77.1,7.7,59.0,,,,,,,,,,,
Universidad de Antioquia,CO,791-800,-,29.1,20.8,4.1,4.3,3.7,1.2,48.1,20.4,2.9,,,,,,,,,,,
Universidad de Belgrano,AR,781-790,-,9.4,12.7,86.6,1.0,5.4,24.1,2.5,37.4,,,,,,,,,,,,
Universidad de Buenos Aires (UBA),AR,71,67.6,94.1,94.1,71.7,1.6,63.9,64.6,73.4,99.8,51.8,,,,,,,,,,,
Universidad de Córdoba - Colombia,CO,1401+,-,11.8,2.4,2.9,1.4,,,5.3,1.9,1.0,,,,,,,,,,,
Universidad de Córdoba - España,ES,951-1000,-,10.6,3.9,26.5,12.0,,,84.2,4.8,5.6,,,,,,,,,,,
Universidad de Caldas,CO,1401+,-,4.9,2.4,3.5,1.5,,,6.5,2.1,1.0,,,,,,,,,,,
Universidad de Carabobo,VE,1401+,-,4.7,6.1,17.4,1.0,,,3.1,5.4,1.0,,,,,,,,,,,
Universidad de Cartagena,CO,1401+,-,4.8,2.7,4.0,3.2,2.2,1.1,11.0,2.1,1.2,1201–1500,22.8–28.2,13.8,9.1,56.8,17.2,41.2,"21,749",21.3,1%,59 : 41
Universidad de Castilla-La Mancha,ES,1001-1200,-,7.9,2.1,16.9,9.7,2.1,5.2,71.6,4.9,8.8,,,,,,,,,,,
Universidad de Chile,CL,139,53.7,82.8,90.0,8.0,11.2,8.5,4.5,77.1,96.1,64.1,,,,,,,,,,,
Universidad de Concepción,CL,631-640,-,26.2,22.4,14.8,6.7,10.6,1.7,61.1,12.5,45.9,,,,,,,,,,,
Universidad de Costa Rica,CR,497,24.2,35.4,24.3,32.3,1.6,2.4,2.0,45.5,81.6,16.9,,,,,,,,,,,
Universidad de Cuenca,EC,1401+,-,7.2,2.2,4.9,2.0,2.2,1.4,24.4,7.8,2.7,,,,,,,,,,,
Universidad de Guadalajara (UDG),MX,1001-1200,-,18.9,7.5,17.1,1.2,2.2,1.1,47.1,5.8,6.0,,,,,,,,,,,
Universidad de Guanajuato,MX,1401+,-,7.1,2.1,5.0,2.8,5.9,1.3,22.9,6.8,1.1,,,,,,,,,,,
Universidad de La Frontera (UFRO),CL,1001-1200,-,10.3,3.0,4.1,9.3,6.0,1.2,53.3,2.3,1.5,,,,,,,,,,,
Universidad de La Habana,CU,691-700,-,17.0,10.6,72.8,1.5,1.8,3.7,17.8,76.5,1.0,,,,,,,,,,,
Universidad de la República (Udelar),UY,661-670,-,27.1,13.7,14.2,1.6,7.9,2.3,62.4,87.7,2.6,,,,,,,,,,,
Universidad de La Sabana,CO,951-1000,-,21.0,25.5,14.2,2.0,3.9,1.8,13.1,10.5,1.1,,,,,,,,,,,
Universidad de La Salle,CO,1401+,-,6.0,3.9,6.4,1.3,2.9,1.3,5.0,2.2,1.0,,,,,,,,,,,
Universidad de La Serena,CL,1401+,-,4.0,2.6,3.3,5.6,4.4,1.3,14.7,2.1,1.1,,,,,,,,,,,
Universidad de Las Américas (UDLA) Ecuador,EC,1201-1400,-,8.3,3.8,13.3,1.7,19.2,2.5,15.7,4.9,1.0,,,,,,,,,,,
Universidad de las Américas Puebla (UDLAP),MX,1001-1200,-,7.9,9.1,44.2,1.9,21.5,7.4,6.9,3.8,1.0,,,,,,,,,,,
