University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio
Aston University,UK,423,28.1,12.5,18.5,9.0,34.4,94.2,53.8,79.2,19.6,46.9,401–500,45.4–49.0,22.2,26.5,82.5,64.1,95.2,"12,950",19.0,25%,48 : 52
Aswan University,Egypt,,,,,,,,,,,,801–1000,32.7–36.9,16.7,12.1,75.6,18.4,50.4,"35,992",45.4,1%,51 : 49
Atılım University,Turkey,,,,,,,,,,,,1201–1500,22.8–28.2,18.4,9.7,38.4,36.7,45.3,"9,302",13.5,7%,44 : 56
Atatürk University,Turkey,,,,,,,,,,,,1201–1500,22.8–28.2,19.1,16.7,45.0,24.5,25.5,"58,922",31.0,4%,50 : 50
Ataturk University,TR,1201-1400,-,5.8,2.3,2.9,4.4,3.2,7.4,39.4,7.8,1.1,,,,,,,,,,,
Ateneo de Manila University,PH,516,23.6,21.4,64.5,24.4,1.8,2.9,2.5,23.0,70.6,15.6,1001–1200,28.3–32.6,30.8,10.8,52.4,27.6,33.5,"14,168",11.1,1%,52 : 48
Athens University of Economics and Business,GR,951-1000,-,7.6,29.3,1.7,20.0,1.6,3.1,14.0,20.9,2.4,801–1000,32.7–36.9,18.1,23.6,53.3,57.8,44.5,"10,477",53.7,5%,45 : 55
Atma Jaya Catholic University Jakarta,ID,1201-1400,-,6.8,7.7,8.7,1.3,3.4,1.2,7.5,18.0,1.1,,,,,,,,,,,
Auburn University,US,951-1000,-,7.1,7.7,7.6,17.2,27.6,6.0,54.7,16.4,10.9,501–600,41.9–45.3,36.0,25.7,59.6,69.3,57.7,"27,670",18.2,8%,50 : 50
Auckland University of Technology (AUT),NZ,412,28.9,19.3,11.2,10.6,21.7,100.0,99.8,52.6,12.4,72.6,401–500,45.4–49.0,23.8,21.2,84.0,40.8,92.4,"18,592",17.7,46%,60 : 40
Auezov South Kazakhstan University (SKU),KZ,621-630,-,18.5,28.7,89.5,1.0,12.9,16.2,4.0,3.2,2.6,,,,,,,,,,,
Austral University of Chile,Chile,,,,,,,,,,,,1201–1500,22.8–28.2,17.3,14.7,30.2,30.9,51.4,"18,594",16.4,1%,54 : 46
Australian Catholic University,AU,901-950,-,8.2,8.9,5.1,12.1,71.0,41.7,33.9,1.7,2.7,401–500,45.4–49.0,16.8,25.7,97.0,21.9,80.7,"23,843",38.4,14%,76 : 24
The Australian National University,AU,30,82.4,93.8,75.4,34.6,84.6,100.0,96.2,91.4,56.6,97.1,67,72.6,55.9,68.0,86.6,82.0,94.8,"17,293",15.1,48%,52 : 48
Autonomous University of Baja California,Mexico,,,,,,,,,,,,1501+,9.7–22.7,13.0,9.0,12.6,17.0,35.7,"67,944",21.7,3%,54 : 46
Autonomous University of Barcelona,Spain,,,,,,,,,,,,201–250,55.9–58.6,45.1,41.4,84.8,67.6,68.8,"32,901",13.2,13%,60 : 40
Autonomous University of Madrid,Spain,,,,,,,,,,,,351–400,49.1–51.0,38.7,29.9,76.3,65.4,60.9,"30,227",13.4,15%,62 : 38
Autonomous University of Sinaloa,Mexico,,,,,,,,,,,,1201–1500,22.8–28.2,13.5,12.1,46.7,15.9,30.2,"74,001",21.8,1%,56 : 44
Azarbaijan Shahid Madani University,Iran,,,,,,,,,,,,1001–1200,28.3–32.6,14.9,15.3,67.9,19.0,27.9,"7,477",27.1,2%,61 : 39
Azerbaijan State Oil and Industry University,AZ,1001-1200,-,7.3,5.3,29.9,1.1,17.4,2.6,6.6,31.4,,,,,,,,,,,,
Azerbaijan State University of Economics,AZ,1001-1200,-,13.0,14.5,26.1,1.2,14.2,3.4,4.6,38.6,1.9,,,,,,,,,,,
B. S. Abdur Rahman Crescent Institute of Science and Technology,India,,,,,,,,,,,,1201–1500,22.8–28.2,18.6,9.9,43.6,17.4,24.6,"7,805",18.3,0%,31 : 69
Başkent University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,20.0,12.2,15.7,29.1,22.0,"13,970",13.3,3%,49 : 51
Babeş-Bolyai University,Romania,,,,,,,,,,,,1001–1200,28.3–32.6,23.3,16.8,46.0,35.2,39.0,"43,018",21.1,4%,64 : 36
Babes-Bolyai University,RO,781-790,-,15.5,19.5,5.3,4.4,7.8,3.8,80.1,26.7,42.7,,,,,,,,,,,
Babol Noshirvani University of Technology,Iran,,,,,,,,,,,,501–600,41.9–45.3,21.5,21.5,94.4,28.4,25.3,"5,815",26.7,0%,34 : 66
Babol University of Medical Sciences,Iran,,,,,,,,,,,,601–800,37.0–41.8,41.7,12.0,70.5,18.0,21.0,"4,135",11.7,0%,57 : 43
Badji Mokhtar University – Annaba,Algeria,,,,,,,,,,,,1501+,9.7–22.7,34.1,16.2,12.5,16.9,35.0,"38,030",11.9,2%,63 : 37
Bahçeşehir University,Turkey,,,,,,,,,,,,801–1000,32.7–36.9,19.5,24.4,59.4,39.6,61.2,"18,795",47.9,22%,50 : 50
Bahauddin Zakariya University ,PK,1201-1400,-,6.0,6.2,1.8,14.6,,1.0,44.6,4.1,1.0,1001–1200,28.3–32.6,19.6,12.6,58.5,19.2,48.1,"26,994",27.2,0%,40 : 60
Bahria University,Pakistan,,,,,,,,,,,,801–1000,32.7–36.9,14.2,9.7,77.3,16.2,48.7,"20,224",20.3,1%,45 : 55
Baku State University,AZ,951-1000,-,12.9,5.5,41.7,1.4,5.3,2.2,16.7,47.7,1.3,1501+,9.7–22.7,20.1,8.6,13.8,19.7,35.5,"23,684",13.2,2%,66 : 34
Banaras Hindu University,IN,1001-1200,-,13.5,8.0,12.4,9.0,1.2,1.7,56.4,8.8,2.7,601–800,37.0–41.8,47.2,16.4,66.4,26.8,25.0,"12,620",8.0,3%,43 : 57
Banasthali University,India,,,,,,,,,,,,1201–1500,22.8–28.2,34.6,11.7,31.4,23.8,25.6,"9,873",16.8,4%,99 : 1
Bandung Institute of Technology (ITB),ID,256,39.9,43.2,72.7,55.8,2.6,94.4,3.8,26.3,49.2,37.6,1201–1500,22.8–28.2,23.7,17.1,29.2,29.4,38.5,"27,774",15.3,3%,43 : 57
Bangladesh Agricultural University (BAU),Bangladesh,,,,,,,,,,,,1001–1200,28.3–32.6,29.5,9.9,45.2,22.6,49.5,"6,810",11.4,1%,45 : 55
Bangladesh University of Engineering and Technology,BD,761-770,-,16.9,36.6,13.6,14.9,,1.0,25.1,22.2,1.2,1001–1200,28.3–32.6,21.7,15.8,50.7,35.2,29.8,"6,237",13.2,0%,22 : 78
Bangor University,UK,474,25.2,8.6,5.8,12.1,43.0,40.7,52.3,75.0,8.1,82.9,401–500,45.4–49.0,27.6,25.3,72.7,64.3,88.2,"8,130",14.8,23%,61 : 39
Bar-Ilan University,IL,671-680,-,7.8,6.1,7.5,48.1,46.4,2.7,50.1,22.9,4.2,501–600,41.9–45.3,30.0,34.1,54.1,85.8,46.8,"19,599",19.0,4%,61 : 39
Bartin University,Turkey,,,,,,,,,,,,1001–1200,28.3–32.6,11.1,13.0,69.6,16.3,37.4,"11,828",31.8,11%,39 : 61
Bauman Moscow State Technical University,RU,298,36.5,36.2,51.9,99.9,1.4,65.6,70.0,15.2,7.7,6.8,401–500,45.4–49.0,71.7,43.9,22.1,51.7,59.3,"16,061",6.6,18%,42 : 58
Bayero University,Nigeria,,,,,,,,,,,,1201–1500,22.8–28.2,17.4,9.7,43.2,16.8,49.0,"43,027",25.4,0%,35 : 65
Baylor University,US,1001-1200,-,6.1,9.1,11.9,7.5,2.4,3.8,41.8,11.6,4.0,601–800,37.0–41.8,39.2,19.7,61.3,54.8,38.6,"20,859",19.0,6%,61 : 39
Beihang University (former BUAA),CN,452,26.4,12.1,7.8,41.5,72.1,7.0,4.5,51.2,12.8,4.3,301–350,51.1–53.0,42.9,43.5,68.6,94.7,34.5,"32,854",12.3,4%,
Beijing Foreign Studies University,CN,1201-1400,-,5.7,2.9,25.9,1.5,19.6,25.8,3.4,7.4,1.0,,,,,,,,,,,
Beijing Institute of Technology,CN,302,35.9,23.2,24.3,43.4,82.0,5.7,6.7,68.6,14.3,10.1,251–300,53.1–55.8,45.1,44.0,74.7,82.1,36.8,"34,050",13.4,8%,
Beijing Jiaotong University,CN,901-950,-,9.7,5.4,15.2,31.8,4.7,9.6,29.1,9.6,1.2,,,,,,,,,,,
Beijing Normal University ,CN,271,38.5,33.9,10.3,24.2,92.6,6.6,21.3,70.8,10.5,19.7,=177,60.2,57.7,45.8,77.5,67.6,52.3,"26,439",14.4,9%,
Beijing University of Chemical Technology,CN,701-710,-,4.5,1.8,19.0,67.1,2.5,1.7,37.2,2.4,1.3,,,,,,,,,,,
Beijing University of Chinese Medicine,CN,1201-1400,-,4.4,1.6,37.2,9.4,,8.8,7.1,3.0,1.0,,,,,,,,,,,
Beijing University of Posts and Telecommunications,CN,901-950,-,3.2,2.6,10.2,49.3,4.7,1.7,18.7,13.5,1.4,,,,,,,,,,,
Beijing University of Technology,CN,801-850,-,7.7,4.9,38.2,33.1,4.7,1.8,31.9,4.2,1.6,,,,,,,,,,,
Beirut Arab University ,LB,641-650,-,17.7,14.8,19.1,3.3,88.5,48.2,28.0,38.2,1.0,501–600,41.9–45.3,48.5,24.6,47.3,18.6,88.2,"4,834",10.4,21%,45 : 55
Belarusian National Technical University (BNTU),BY,801-850,-,14.8,26.7,51.0,1.0,2.1,34.1,5.1,5.6,,,,,,,,,,,,
Belarusian State University,BY,387,30.3,28.4,40.7,93.0,1.3,3.8,59.3,36.4,38.2,1.0,1201–1500,22.8–28.2,25.5,11.5,17.0,55.4,66.8,"23,030",7.6,19%,62 : 38
Belarusian State University of Informatics and Radioelectronics,BY,1201-1400,-,6.6,17.1,15.3,1.2,1.1,9.3,7.4,5.9,,,,,,,,,,,,
Belgorod State National Research University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,23.4,13.7,10.6,34.1,42.3,"14,066",15.6,20%,60 : 40
Ben-Gurion University of The Negev,IL,471,25.5,14.4,14.5,11.1,51.7,64.0,14.3,64.9,16.3,11.8,501–600,41.9–45.3,34.1,30.6,59.0,71.6,34.5,"17,265",21.3,2%,52 : 48
Benemérita Universidad Autónoma de Puebla,MX,1201-1400,-,13.7,5.4,2.8,1.9,2.8,1.3,24.5,2.0,1.2,1501+,9.7–22.7,15.6,9.5,17.1,19.4,37.7,"79,695",45.2,1%,52 : 48
Benha University,Egypt,,,,,,,,,,,,1001–1200,28.3–32.6,15.7,9.2,66.5,18.9,49.1,"110,873",30.9,2%,42 : 58
Beni-Suef University,Egypt,,,,,,,,,,,,1001–1200,28.3–32.6,16.8,9.8,61.1,19.5,51.4,"85,158",31.6,0%,49 : 51
Bernardo O’Higgins University,Chile,,,,,,,,,,,,1501+,9.7–22.7,13.9,10.3,10.7,20.9,54.0,"9,010",18.6,6%,68 : 32
Bezmiâlem Vakif University,Turkey,,,,,,,,,,,,1201–1500,22.8–28.2,30.4,11.9,26.9,21.6,27.2,"3,622",11.8,5%,72 : 28
Bharath Institute of Higher Education and Research,India,,,,,,,,,,,,1501+,9.7–22.7,21.1,7.3,30.2,21.2,35.9,"22,563",14.0,2%,56 : 44
Bharathiar University,India,,,,,,,,,,,,601–800,37.0–41.8,36.7,32.6,48.0,34.6,31.1,"3,887",18.2,0%,62 : 38
Bharati Vidyapeeth University,India,,,,,,,,,,,,1501+,9.7–22.7,24.8,9.4,13.5,30.4,18.8,"9,925",7.3,0%,50 : 50
Bialystok University of Technology,Poland,,,,,,,,,,,,1501+,9.7–22.7,23.0,14.9,23.1,20.6,24.3,"6,471",10.8,3%,36 : 64
Bielefeld University,DE,1001-1200,-,14.2,3.3,8.0,6.7,20.0,7.0,67.0,2.9,4.9,,,,,,,,,,,
Bilecik Şeyh Edebali University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,14.5,9.5,22.8,17.8,32.0,"10,386",16.3,13%,40 : 60
Bilkent University,TR,477,25.1,24.0,52.1,13.3,15.2,61.4,3.7,38.3,19.3,10.6,601–800,37.0–41.8,27.8,26.0,48.8,91.4,70.0,"9,109",14.8,8%,46 : 54
Bina Nusantara University (BINUS),ID,951-1000,-,12.5,21.8,19.9,2.1,34.7,4.3,10.7,12.9,4.1,,,,,,,,,,,
