university_id,university_name,country
UNI_00505,University of Pisa,Italy
UNI_00506,University of Salerno,Italy
UNI_00507,University of Sassari,Italy
UNI_00508,University of L'Aquila,Italy
UNI_00509,University of Udine,Italy
UNI_00510,University of Calabria,Italy
UNI_00511,University of Insubria,Italy
UNI_00512,University of Pavia,Italy
UNI_00513,University of Parma,Italy
UNI_00514,University of Rome II – Tor Vergata,Italy
UNI_00515,Vita-Salute San Raffaele University,Italy
UNI_00516,University of Siena,Italy
UNI_00517,University of Genoa,Italy
UNI_00518,"University of Eastern Piedmont Amedeo Avogadro""""",Italy
UNI_00519,University of Urbino Carlo Bo,Italy
UNI_00520,Roma Tre University,Italy
UNI_00521,University of Camerino,Italy
UNI_00522,International School for Advanced Studies,Italy
UNI_00523,Second University of Naples,Italy
UNI_00524,University of Perugia,Italy
UNI_00525,University of Rome Tor Vergata,Italy
UNI_00526,University of Messina,Italy
UNI_00527,"G. d'Annunzio University, Chieti-Pescara",Italy
UNI_00528,University of Verona,Italy
UNI_00529,University of Basilicata,Italy
UNI_00530,Nagoya University,Japan
UNI_00531,Kagoshima University,Japan
UNI_00532,University of the Ryukyus,Japan
UNI_00533,Chiba University,Japan
UNI_00534,Kanazawa University,Japan
UNI_00535,Ehime University,Japan
UNI_00536,Gifu University,Japan
UNI_00537,Keio University,Japan
UNI_00538,Gunma University,Japan
UNI_00539,Hokkaido University,Japan
UNI_00540,Ibaraki University,Japan
UNI_00541,Kyushu University,Japan
UNI_00542,Kyoto University,Japan
UNI_00543,Ritsumeikan University,Japan
UNI_00544,Osaka City University,Japan
UNI_00545,Yokohama National University,Japan
UNI_00546,Nagoya City University,Japan
UNI_00547,Osaka Prefecture University,Japan
UNI_00548,Yokohama City University,Japan
UNI_00549,Sapporo Medical University,Japan
UNI_00550,Shinshu University,Japan
UNI_00551,Hirosaki University,Japan
UNI_00552,Kindai University,Japan
UNI_00553,University of Toyama,Japan
UNI_00554,Yamagata University,Japan
UNI_00555,University of Fukui,Japan
UNI_00556,Kyoto Institute of Technology,Japan
UNI_00557,Kobe University,Japan
UNI_00558,Waseda University,Japan
UNI_00559,Saitama Medical University,Japan
UNI_00560,Nagasaki University,Japan
UNI_00561,Tokyo Institute of Technology,Japan
UNI_00562,University of Yamanashi,Japan
UNI_00563,Niigata University,Japan
UNI_00564,University of Tokyo,Japan
UNI_00565,Hamamatsu University School of Medicine,Japan
UNI_00566,Shizuoka University,Japan
UNI_00567,Tokyo University of Agriculture and Technology,Japan
UNI_00568,Yamaguchi University,Japan
UNI_00569,Showa University,Japan
UNI_00570,Tokyo Medical and Dental University,Japan
UNI_00571,University of Tokushima,Japan
UNI_00572,Tokai University,Japan
UNI_00573,Osaka University,Japan
UNI_00574,Tottori University,Japan
UNI_00575,Kōchi University,Japan
UNI_00576,Tokyo University of Science,Japan
UNI_00577,University of Hyogo,Japan
UNI_00578,Kumamoto University,Japan
UNI_00579,Saitama University,Japan
UNI_00580,Tohoku University,Japan
UNI_00581,Nihon University,Japan
UNI_00582,Shimane University,Japan
UNI_00583,Toyohashi University of Technology,Japan
UNI_00584,Jikei University School of Medicine,Japan
UNI_00585,Kurume University,Japan
UNI_00586,Graduate University for Advanced Studies,Japan
UNI_00587,Tokyo University of Marine Science and Technology,Japan
UNI_00588,Tokushima University,Japan
UNI_00589,University of Tsukuba,Japan
UNI_00590,Teikyo University,Japan
UNI_00591,Fukuoka University,Japan
