country,institute_type,direct_expenditure_type,year,expenditure_pct_gdp
Chile,Elementary and Secondary Institutions ,Public,2005,2.7
Czech Republic,Elementary and Secondary Institutions ,Public,2005,2.7
Denmark,Elementary and Secondary Institutions ,Public,2005,4.4
Estonia,Elementary and Secondary Institutions ,Public,2005,3.5
Finland,Elementary and Secondary Institutions ,Public,2005,3.8
France,Elementary and Secondary Institutions ,Public,2005,3.8
Germany,Elementary and Secondary Institutions ,Public,2005,2.8
Greece,Elementary and Secondary Institutions ,Public,2005,2.5
Hungary,Elementary and Secondary Institutions ,Public,2005,3.3
Iceland,Elementary and Secondary Institutions ,Public,2005,5.2
Ireland,Elementary and Secondary Institutions ,Public,2005,3.3
Israel,Elementary and Secondary Institutions ,Public,2005,4.2
Italy,Elementary and Secondary Institutions ,Public,2005,3.2
Japan,Elementary and Secondary Institutions ,Public,2005,2.6
"Korea, Republic of",Elementary and Secondary Institutions ,Public,2005,3.4
Luxembourg,Elementary and Secondary Institutions ,Public,2005,3.7
Mexico,Elementary and Secondary Institutions ,Public,2005,3.7
Netherlands,Elementary and Secondary Institutions ,Public,2005,3.3
New Zealand,Elementary and Secondary Institutions ,Public,2005,4.0
Norway,Elementary and Secondary Institutions ,Public,2005,3.8
Poland,Elementary and Secondary Institutions ,Public,2005,3.7
Portugal,Elementary and Secondary Institutions ,Public,2005,3.8
Slovak Republic,Elementary and Secondary Institutions ,Public,2005,2.5
Slovenia,Elementary and Secondary Institutions ,Public,2005,3.9
Spain,Elementary and Secondary Institutions ,Public,2005,2.7
Sweden,Elementary and Secondary Institutions ,Public,2005,4.2
Switzerland,Elementary and Secondary Institutions ,Public,2005,3.9
United Kingdom,Elementary and Secondary Institutions ,Public,2005,3.8
United States,Elementary and Secondary Institutions ,Public,2005,3.6
Brazil,Elementary and Secondary Institutions ,Public,2005,3.3
Russia,Elementary and Secondary Institutions ,Public,2005,1.9
OECD Average,Higher Education Institutions ,Public,2005,1.0
Australia,Higher Education Institutions ,Public,2005,0.8
Austria,Higher Education Institutions ,Public,2005,1.2
Belgium,Higher Education Institutions ,Public,2005,1.2
Canada,Higher Education Institutions ,Public,2005,1.5
Chile,Higher Education Institutions ,Public,2005,0.3
Czech Republic,Higher Education Institutions ,Public,2005,0.8
Denmark,Higher Education Institutions ,Public,2005,1.6
Estonia,Higher Education Institutions ,Public,2005,0.9
Finland,Higher Education Institutions ,Public,2005,1.7
France,Higher Education Institutions ,Public,2005,1.1
Germany,Higher Education Institutions ,Public,2005,0.9
Greece,Higher Education Institutions ,Public,2005,1.4
Hungary,Higher Education Institutions ,Public,2005,0.9
Iceland,Higher Education Institutions ,Public,2005,1.1
