country_name,Country Code,indicator,year,value
Uzbekistan,UZB,"Gross enrolment ratio, tertiary, both sexes (%)",2015,8.787750244
"Venezuela, RB",VEN,"Adult literacy rate, population 15+ years, both sexes (%)",2015,96.60522
Vietnam,VNM,"Gross enrolment ratio, tertiary, both sexes (%)",2015,28.83564949
West Bank and Gaza,PSE,"Adult literacy rate, population 15+ years, both sexes (%)",2015,96.69073
West Bank and Gaza,PSE,"Gross enrolment ratio, tertiary, both sexes (%)",2015,44.28321838
Zimbabwe,ZWE,"Gross enrolment ratio, tertiary, both sexes (%)",2015,8.433270454
Andorra,AND,"Adult literacy rate, population 15+ years, both sexes (%)",2016,100
Azerbaijan,AZE,"Adult literacy rate, population 15+ years, both sexes (%)",2016,99.79006
Bangladesh,BGD,"Adult literacy rate, population 15+ years, both sexes (%)",2016,72.75872
Botswana,BWA,"Gross enrolment ratio, tertiary, both sexes (%)",2016,23.4330101
Burkina Faso,BFA,"Gross enrolment ratio, tertiary, both sexes (%)",2016,5.562180042
Chad,TCD,"Adult literacy rate, population 15+ years, both sexes (%)",2016,22.31155
"Congo, Dem. Rep.",COD,"Adult literacy rate, population 15+ years, both sexes (%)",2016,77.04268
Ecuador,ECU,"Adult literacy rate, population 15+ years, both sexes (%)",2016,94.35023
Honduras,HND,"Adult literacy rate, population 15+ years, both sexes (%)",2016,88.98748
Indonesia,IDN,"Adult literacy rate, population 15+ years, both sexes (%)",2016,95.37697
Kazakhstan,KAZ,"Gross enrolment ratio, tertiary, both sexes (%)",2016,46.26382065
"Macao SAR, China",MAC,"Adult literacy rate, population 15+ years, both sexes (%)",2016,96.53849
Mauritania,MRT,"Gross enrolment ratio, tertiary, both sexes (%)",2016,5.343410015
Myanmar,MMR,"Adult literacy rate, population 15+ years, both sexes (%)",2016,75.5512
Peru,PER,"Adult literacy rate, population 15+ years, both sexes (%)",2016,94.17367
Rwanda,RWA,"Gross enrolment ratio, tertiary, both sexes (%)",2016,7.958720207
Serbia,SRB,"Adult literacy rate, population 15+ years, both sexes (%)",2016,98.84151
Singapore,SGP,"Adult literacy rate, population 15+ years, both sexes (%)",2016,97.04959
Spain,ESP,"Adult literacy rate, population 15+ years, both sexes (%)",2016,98.25051
Tajikistan,TJK,"Gross enrolment ratio, tertiary, both sexes (%)",2016,28.89488029
Uzbekistan,UZB,"Gross enrolment ratio, tertiary, both sexes (%)",2016,9.093000412
"Venezuela, RB",VEN,"Adult literacy rate, population 15+ years, both sexes (%)",2016,97.12709
West Bank and Gaza,PSE,"Adult literacy rate, population 15+ years, both sexes (%)",2016,96.93023
