university_id,year,citations_per_faculty_score,international_research_network_score,research_score,citation_score,research_impact,source,research_productivity_index
U0579,2025,79.3,70.8,,79.3,79.3,QS 2025,75.65656565656566
U3262,2025,13.0,96.0,,13.0,13.0,QS 2025,45.65656565656566
U2536,2025,14.1,83.7,,14.1,14.1,QS 2025,41.35353535353536
U0369,2025,77.4,77.0,,77.4,77.4,QS 2025,77.01010101010101
U2259,2025,11.2,77.1,,11.2,11.2,QS 2025,36.92929292929293
U1194,2025,69.6,89.7,,69.6,69.6,QS 2025,77.41414141414141
U1210,2025,54.5,95.2,,54.5,54.5,QS 2025,70.48484848484848
U1749,2025,87.9,62.2,,87.9,87.9,QS 2025,77.3939393939394
U0003,2025,63.8,96.1,,63.8,63.8,QS 2025,76.48484848484848
U1398,2025,93.0,67.1,,93.0,93.0,QS 2025,82.46464646464646
U2552,2025,19.6,87.8,,19.6,19.6,QS 2025,46.343434343434346
U2075,2025,22.1,86.1,,22.1,22.1,QS 2025,47.17171717171718
U2549,2025,25.7,80.5,,25.7,25.7,QS 2025,47.090909090909086
U1105,2025,34.4,93.1,,34.4,34.4,QS 2025,57.45454545454545
U0869,2025,77.4,63.3,,77.4,77.4,QS 2025,71.47474747474747
U2665,2025,52.0,84.2,,52.0,52.0,QS 2025,64.52525252525253
U1323,2025,50.3,97.5,,50.3,50.3,QS 2025,68.86868686868686
U1383,2025,25.4,64.8,,25.4,25.4,QS 2025,40.56565656565657
U2100,2025,64.3,92.6,,64.3,64.3,QS 2025,75.37373737373737
U2817,2025,62.4,94.2,,62.4,62.4,QS 2025,74.86868686868686
U3028,2025,47.2,91.6,,47.2,47.2,QS 2025,64.6060606060606
U3370,2025,41.3,97.9,,41.3,41.3,QS 2025,63.57575757575758
U0586,2025,63.3,85.4,,63.3,63.3,QS 2025,71.85858585858585
U2511,2025,19.3,84.9,,19.3,19.3,QS 2025,44.98989898989899
U2830,2025,41.2,94.1,,41.2,41.2,QS 2025,61.97979797979798
U2676,2025,99.3,93.8,,99.3,99.3,QS 2025,97.07070707070707
U0767,2025,28.5,63.0,,28.5,28.5,QS 2025,41.71717171717172
U0070,2025,1.4,64.7,,1.4,1.4,QS 2025,25.979797979797986
U0472,2025,7.9,91.8,,7.9,7.9,QS 2025,40.86868686868687
U2474,2025,38.1,96.8,,38.1,38.1,QS 2025,61.1919191919192
U2928,2025,36.6,97.2,,36.6,36.6,QS 2025,60.44444444444445
U1185,2025,27.9,69.9,,27.9,27.9,QS 2025,44.141414141414145
U3285,2025,94.6,89.0,,94.6,94.6,QS 2025,92.28282828282829
U0709,2025,21.5,99.5,,21.5,21.5,QS 2025,52.22222222222222
