university_id,year,global_rank,overall_score,academic_reputation_score,employer_reputation_score,source,teaching_score,research_score,citation_score,industry_income_score,international_outlook_score
U0304,2025,342.0,33.0,11.1,13.3,QS 2025,,,,,
U1884,2025,342.0,33.0,11.5,33.6,QS 2025,,,,,
U0872,2025,344.0,32.9,18.8,32.0,QS 2025,,,,,
U2161,2025,344.0,32.9,16.9,7.7,QS 2025,,,,,
U3046,2025,344.0,32.9,15.1,13.5,QS 2025,,,,,
U2111,2025,347.0,32.8,14.7,32.5,QS 2025,,,,,
U3004,2025,347.0,32.8,36.6,19.7,QS 2025,,,,,
U3261,2025,349.0,32.6,17.0,7.7,QS 2025,,,,,
U0320,2025,350.0,32.5,45.8,41.0,QS 2025,,,,,
U1841,2025,350.0,32.5,16.8,34.8,QS 2025,,,,,
U0422,2025,352.0,32.4,20.8,21.3,QS 2025,,,,,
U1479,2025,353.0,32.3,20.4,71.6,QS 2025,,,,,
U3079,2025,354.0,32.2,23.9,48.8,QS 2025,,,,,
U0859,2025,355.0,32.1,33.4,23.6,QS 2025,,,,,
U2744,2025,355.0,32.1,29.4,10.8,QS 2025,,,,,
U2936,2025,355.0,32.1,9.2,4.5,QS 2025,,,,,
U3182,2025,358.0,32.0,22.9,10.5,QS 2025,,,,,
U0753,2025,359.0,31.9,13.8,9.0,QS 2025,,,,,
U1680,2025,359.0,31.9,48.4,61.6,QS 2025,,,,,
U2654,2025,359.0,31.9,13.9,5.6,QS 2025,,,,,
U1998,2025,362.0,31.7,18.6,17.1,QS 2025,,,,,
U3412,2025,362.0,31.7,23.6,16.2,QS 2025,,,,,
U3442,2025,362.0,31.7,22.7,18.6,QS 2025,,,,,
U1804,2025,365.0,31.6,36.3,30.5,QS 2025,,,,,
U2865,2025,365.0,31.6,38.5,28.3,QS 2025,,,,,
U3391,2025,367.0,31.5,31.6,22.8,QS 2025,,,,,
U1262,2025,368.0,31.4,44.1,21.8,QS 2025,,,,,
U2881,2025,368.0,31.4,32.9,46.7,QS 2025,,,,,
U3190,2025,368.0,31.4,20.6,26.8,QS 2025,,,,,
U0702,2025,371.0,31.3,25.2,28.8,QS 2025,,,,,
U1214,2025,371.0,31.3,8.2,5.0,QS 2025,,,,,
U2480,2025,371.0,31.3,31.8,27.7,QS 2025,,,,,
U3240,2025,371.0,31.3,41.5,7.2,QS 2025,,,,,
U2802,2025,375.0,31.2,34.6,8.4,QS 2025,,,,,
U3241,2025,375.0,31.2,27.8,12.1,QS 2025,,,,,
U1402,2025,377.0,31.1,18.5,9.8,QS 2025,,,,,
U1684,2025,377.0,31.1,45.3,56.6,QS 2025,,,,,
