University_Key,University_Name_QS,Country_QS,Country_Code,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student_Score,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,University_Name_THE,Country_THE,THE_Rank,THE_Overall_Score,THE_Teaching_Score,THE_Research_Score,THE_Citations_Score,THE_Industry_Income_Score,THE_International_Outlook,Total_Students,Student_Staff_Ratio,International_Students,Female_Male_Ratio,Year
hong kong baptist university,Hong Kong Baptist University,Hong Kong SAR,HK,=295,35.4,19.4,12.6,56.0,51.9,97.8,100.0,Hong Kong Baptist University,Hong Kong,301.0,51.1–53.0,34.0,28.9,77.2,69.6,97.8,"7,460",10.2,55%,65:35:00,2024
university of east anglia,University of East Anglia (UEA),United Kingdom,UK,=295,35.4,19.2,8.5,16.8,66.0,68.0,38.2,University of East Anglia,United Kingdom,251.0,53.1–55.8,31.1,32.0,90.9,51.6,88.7,"16,475",14.3,21%,57:43:00,2024
georgetown university,Georgetown University,United States,US,297,35.3,30.3,34.4,59.0,18.6,17.0,39.8,Georgetown University,United States,187.0,59.5,52.6,37.0,85.1,92.2,53.2,"17,508",10.1,18%,55:45:00,2024
dalhousie university,Dalhousie University,Canada,CA,298,34.9,19.2,18.0,16.0,41.8,99.0,74.7,Dalhousie University,Canada,301.0,51.1–53.0,30.8,31.6,78.9,71.7,89.1,"17,314",14.7,27%,54:46:00,2024
rutgers university new brunswick,Rutgers University–New Brunswick,United States,US,299,34.8,36.9,24.7,48.7,18.1,18.9,32.8,Rutgers University – New Brunswick,United States,201.0,55.9–58.6,46.4,37.2,78.4,80.1,63.7,"46,256",11.2,17%,53:47:00,2024
southern university of science and technology,Southern University of Science and Technology,China (Mainland),CN,301,34.6,9.1,2.1,94.6,95.0,37.2,1.5,Southern University of Science and Technology (SUSTech),China,201.0,55.9–58.6,32.9,40.8,92.8,60.3,69.3,"6,575",9.0,1%,,2024
virginia polytechnic institute and state university,Virginia Polytechnic Institute and State University,United States,US,=302,34.5,26.2,40.4,18.7,34.8,71.7,17.9,Virginia Polytechnic Institute and State University,United States,251.0,53.1–55.8,42.5,39.4,78.8,76.7,65.4,"37,225",18.6,13%,44:56:00,2024
jagiellonian university,Jagiellonian University,Poland,PL,=304,34.3,37.3,47.2,65.1,6.2,4.9,13.4,Jagiellonian University,Poland,601.0,37.0–41.8,38.4,29.0,55.7,46.7,43.4,"34,309",8.8,11%,67:33:00,2024
university of notre dame,University of Notre Dame,United States,US,=304,34.3,26.5,32.2,59.7,39.1,23.3,17.7,University of Notre Dame,United States,199.0,58.7,51.9,42.6,76.1,72.9,69.9,"12,576",10.9,12%,47:53:00,2024
university of johannesburg,University of Johannesburg,South Africa,ZA,306,34.0,16.2,21.4,36.8,20.7,96.3,50.6,University of Johannesburg,South Africa,401.0,45.4–49.0,28.6,36.3,66.8,44.8,81.0,"31,721",26.5,13%,55:45:00,2024
daegu gyeongbuk institute of science and technology,Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea,KR,307,34.0,10.4,7.5,89.0,100.0,5.3,3.7,Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea,351.0,49.1–51.0,48.8,38.9,64.8,78.1,34.5,742,6.3,4%,36 : 64,2024
swansea university,Swansea University,United Kingdom,UK,=307,33.9,21.0,45.0,23.6,27.4,73.1,54.1,Swansea University,United Kingdom,251.0,53.1–55.8,27.6,30.2,89.7,62.8,89.5,"18,505",16.8,21%,47:53:00,2024
universiti teknologi petronas,Universiti Teknologi PETRONAS (UTP),Malaysia,MY,=307,33.9,18.2,31.6,34.6,65.7,85.2,18.5,Universiti Teknologi Petronas,Malaysia,301.0,51.1–53.0,33.8,37.8,77.7,67.9,77.8,"4,570",13.1,12%,37 : 63,2024
university of tasmania,University of Tasmania,Australia,AU,=307,33.9,17.2,7.8,17.7,58.1,75.1,95.8,University of Tasmania,Australia,251.0,53.1–55.8,31.6,38.4,82.0,70.5,90.9,"16,894",22.5,31%,60:40:00,2024
university of oulu,University of Oulu,Finland,FI,=313,33.5,15.8,17.3,26.4,56.9,52.5,9.4,University of Oulu,Finland,251.0,53.1–55.8,33.1,38.2,84.1,66.0,59.5,"10,719",20.8,8%,55:45:00,2024
quaid i azam university,Quaid-i-Azam University,Pakistan,PK,=315,33.4,15.8,40.3,2.8,97.0,3.4,1.4,Quaid-i-Azam University,Pakistan,401.0,45.4–49.0,29.7,24.1,84.2,22.9,53.7,"11,386",20.3,1%,45:55:00,2024
university of turku,University of Turku,Finland,FI,=315,33.4,28.3,21.1,52.3,32.4,27.2,4.3,University of Turku,Finland,301.0,51.1–53.0,31.6,34.9,83.3,67.0,52.5,"13,528",15.7,6%,63:37:00,2024
simon fraser university,Simon Fraser University,Canada,CA,318,33.3,25.5,13.5,5.7,42.5,96.8,86.3,Simon Fraser University,Canada,251.0,53.1–55.8,28.7,36.7,84.2,83.1,92.9,"27,269",26.8,31%,54:46:00,2024
bauman moscow state technical university,Bauman Moscow State Technical University,Russia,RU,=319,33.2,31.3,44.4,100.0,1.4,53.6,58.9,Bauman Moscow State Technical University,Russian Federation,401.0,45.4–49.0,71.7,43.9,22.1,51.7,59.3,"16,061",6.6,18%,42:58:00,2024
sciences po,Sciences Po ,France,FR,=319,33.2,17.7,27.6,88.0,3.2,54.9,97.1,Sciences Po,France,501.0,41.9–45.3,32.4,25.6,60.1,17.2,84.6,"12,445",42.6,32%,63:37:00,2024
university of victoria,University of Victoria (UVic),Canada,CA,322,33.0,17.3,7.6,3.5,65.0,95.2,48.6,University of Victoria,Canada,351.0,49.1–51.0,27.4,31.2,80.1,63.8,88.9,"21,486",23.9,21%,56:44:00,2024
sun yat sen university,Sun Yat-sen University,China (Mainland),CN,=323,32.8,36.4,22.3,48.8,44.1,2.4,4.2,Sun Yat-sen University,China,201.0,55.9–58.6,46.6,39.5,83.2,86.2,39.1,"61,453",15.2,5%,48:52:00,2024
university of pretoria,University of Pretoria,South Africa,ZA,=323,32.8,23.6,52.3,3.5,20.7,25.0,6.4,University of Pretoria,South Africa,501.0,41.9–45.3,31.2,34.3,56.7,69.9,61.4,"37,315",22.1,6%,59:41:00,2024
university of south australia,University of South Australia,Australia,AU,=326,32.7,22.5,14.0,22.4,32.8,99.8,45.1,University of South Australia,Australia,301.0,51.1–53.0,25.0,36.8,82.5,98.3,83.5,"22,822",30.2,17%,60:40:00,2024
university of southern denmark,University of Southern Denmark (SDU),Denmark,DK,=326,32.7,20.0,18.0,27.1,40.7,83.2,22.7,University of Southern Denmark,Denmark,251.0,53.1–55.8,29.8,33.5,89.1,91.5,76.9,"18,279",9.9,13%,52:48:00,2024
city university of london,"City, University of London",United Kingdom,UK,=328,32.6,21.4,18.1,6.7,42.2,95.0,99.3,"City, University of London",United Kingdom,351.0,49.1–51.0,27.4,30.9,78.6,61.8,95.5,"16,080",19.5,45%,58:42:00,2024
gwangju institute of science and technology,Gwangju Institute of Science and Technology (GIST),South Korea,KR,=328,32.6,17.4,8.9,38.4,100.0,21.6,10.0,Gwangju Institute of Science and Technology (GIST),South Korea,401.0,45.4–49.0,48.5,39.6,50.3,99.9,43.9,"1,795",9.5,7%,26 : 74,2024
kyung hee university,Kyung Hee University,South Korea,KR,=332,32.5,28.0,41.6,84.8,14.0,14.2,54.0,Kyung Hee University,South Korea,251.0,53.1–55.8,40.3,40.0,71.0,95.9,71.5,"20,427",17.6,30%,56:44:00,2024
university of california santa cruz,"University of California, Santa Cruz",United States,US,=332,32.5,18.4,4.9,7.2,79.6,63.6,8.9,"University of California, Santa Cruz",United States,201.0,55.9–58.6,34.9,39.8,93.3,73.2,77.9,"19,154",24.2,12%,47:53:00,2024
sharif university of technology,Sharif University of Technology,"Iran, Islamic Republic of",IR,334,32.4,10.1,43.8,6.1,99.1,7.3,1.3,Sharif University of Technology,Iran,301.0,51.1–53.0,39.1,37.4,78.3,86.2,37.0,"9,389",21.8,2%,26 : 74,2024
university of naples federico ii,University of Naples - Federico II,Italy,IT,335,32.3,35.2,17.0,4.3,61.8,2.4,1.1,University of Naples Federico II,Italy,351.0,49.1–51.0,36.7,28.3,86.9,72.0,35.4,"56,127",19.5,2%,56:44:00,2024
aalborg university,Aalborg University,Denmark,DK,=336,32.2,20.0,22.2,31.5,42.4,76.4,18.2,Aalborg University,Denmark,201.0,55.9–58.6,33.7,45.0,83.0,80.6,72.4,"17,275",14.9,12%,,2024
middle east technical university,Middle East Technical University,Turkey,TR,=336,32.2,29.0,63.7,9.0,22.2,11.3,17.4,Middle East Technical University,Turkey,351.0,49.1–51.0,44.2,43.1,53.6,81.9,56.0,"16,182",21.2,12%,49:51:00,2024
university of kent,University of Kent,United Kingdom,UK,=336,32.2,17.0,6.7,13.3,43.9,96.6,72.8,University of Kent,United Kingdom,401.0,45.4–49.0,27.6,29.0,77.6,51.9,93.5,"16,515",18.0,27%,53:47:00,2024
beijing institute of technology,Beijing Institute of Technology,China (Mainland),CN,=340,32.1,22.7,18.1,41.1,76.4,3.1,4.2,Beijing Institute of Technology,China,251.0,53.1–55.8,45.1,44.0,74.7,82.1,36.8,"34,050",13.4,8%,,2024
george washington university,George Washington University,United States,US,=340,32.1,26.9,24.5,28.3,29.3,31.6,27.6,George Washington University,United States,201.0,55.9–58.6,48.2,35.7,86.0,67.3,66.1,"22,211",13.0,14%,62:38:00,2024
rudn university,RUDN University,Russia,RU,342,32.0,22.4,45.0,92.2,2.0,8.2,92.7,RUDN University,Russian Federation,601.0,37.0–41.8,39.1,23.0,46.1,21.0,70.4,"22,866",15.6,32%,59:41:00,2024
brunel university london,Brunel University London,United Kingdom,UK,343,31.9,11.3,13.3,7.9,44.2,99.7,99.6,Brunel University London,United Kingdom,351.0,49.1–51.0,25.2,26.5,80.7,60.1,98.4,"14,130",17.9,40%,47:53:00,2024
university of aveiro,University of Aveiro,Portugal,PT,344,31.6,13.4,6.6,13.8,84.3,4.3,13.5,University of Aveiro,Portugal,601.0,37.0–41.8,27.1,30.2,57.3,48.1,48.6,"13,563",16.3,11%,54:46:00,2024
university of saskatchewan,University of Saskatchewan,Canada,CA,=345,31.5,12.0,6.8,17.3,54.3,70.0,51.8,University of Saskatchewan,Canada,351.0,49.1–51.0,39.0,35.1,62.9,95.8,78.9,"17,924",18.1,21%,56:44:00,2024
national technical university of athens,National Technical University of Athens,Greece,GR,=347,31.4,20.5,42.7,4.7,72.3,1.3,4.3,National Technical University of Athens,Greece,601.0,37.0–41.8,26.3,23.0,59.1,59.7,38.1,"13,532",20.3,6%,37 : 63,2024
university of pisa,University of Pisa,Italy,IT,=349,31.3,40.4,12.7,7.5,41.1,5.9,4.1,University of Pisa,Italy,401.0,45.4–49.0,31.1,31.2,80.5,68.7,43.2,"31,567",20.9,5%,52:48:00,2024
lappeenranta lahti university of technology lut,Lappeenranta-Lahti University of Technology LUT,Finland,FI,=351,31.2,6.9,13.3,11.1,97.7,45.2,18.2,Lappeenranta-Lahti University of Technology LUT,Finland,251.0,53.1–55.8,33.4,36.7,91.7,65.1,64.2,"5,028",31.6,14%,34 : 66,2024
university of coimbra,University of Coimbra,Portugal,PT,=351,31.2,28.9,13.1,11.3,41.6,10.7,37.7,University of Coimbra,Portugal,401.0,45.4–49.0,31.4,38.2,59.9,78.0,54.3,"21,767",18.4,15%,57:43:00,2024
york university,York University,Canada,CA,353,31.1,23.0,21.0,4.6,29.2,50.6,81.2,York University,Canada,351.0,49.1–51.0,28.2,32.4,78.3,69.6,79.5,"44,038",29.1,28%,55:45:00,2024
l n gumilyov eurasian national university,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,KZ,=355,30.9,29.5,51.7,96.8,1.4,59.3,5.7,L.N. Gumilyov Eurasian National University,Kazakhstan,1501.0,9.7–22.7,21.9,11.6,21.1,15.7,54.2,"19,632",13.5,4%,60:40:00,2024
sichuan university,Sichuan University,China (Mainland),CN,=355,30.9,20.1,7.6,11.4,94.7,6.6,5.4,Sichuan University,China,150.0,62,59.1,57.3,69.3,93.2,46.1,"49,117",15.9,5%,,2024
university of tsukuba,University of Tsukuba,Japan,JP,=355,30.9,35.8,24.0,59.0,19.0,13.8,21.2,University of Tsukuba,Japan,351.0,49.1–51.0,51.8,42.6,52.3,72.9,51.3,"15,506",12.1,16%,38 : 62,2024
university of florence,University of Florence,Italy,IT,=358,30.8,33.6,5.7,4.1,49.6,8.1,10.7,University of Florence,Italy,351.0,49.1–51.0,35.5,34.4,78.6,72.9,51.9,"40,535",24.0,10%,56:44:00,2024
university of tartu,University of Tartu,Estonia,EE,=358,30.8,24.4,9.0,91.5,11.5,46.5,22.2,University of Tartu,Estonia,301.0,51.1–53.0,32.8,31.8,86.5,64.1,60.7,"9,694",9.0,12%,68:32:00,2024
university of tehran,University of Tehran,"Iran, Islamic Republic of",IR,=360,30.7,18.7,38.8,3.4,67.5,2.1,1.8,University of Tehran,Iran,401.0,45.4–49.0,37.7,28.4,71.9,60.5,33.6,"54,890",26.6,2%,0.274305556,2024
lincoln university,Lincoln University ,New Zealand,NZ,=362,30.6,7.9,5.3,39.9,51.5,100.0,91.0,Lincoln University,New Zealand,401.0,45.4–49.0,33.9,26.7,68.4,49.7,92.0,"2,562",14.5,33%,52:48:00,2024
american university of sharjah,American University of Sharjah,United Arab Emirates,AE,=364,30.3,20.0,39.1,20.7,20.0,100.0,100.0,American University of Sharjah,United Arab Emirates,601.0,37.0–41.8,24.5,26.3,57.9,27.9,88.6,"4,737",12.5,74%,54:46:00,2024
indian institute of technology guwahati,Indian Institute of Technology Guwahati (IITG),India,IN,=364,30.3,17.0,25.2,7.7,98.1,3.0,1.3,Indian Institute of Technology Guwahati,India,601.0,37.0–41.8,35.5,24.1,52.0,49.5,28.6,"8,157",18.0,1%,24 : 76,2024
university of turin,University of Turin,Italy,IT,=364,30.3,39.8,5.7,2.9,36.8,4.6,5.4,University of Turin,Italy,401.0,45.4–49.0,23.0,30.1,84.5,74.4,45.5,"63,232",29.5,6%,61:39:00,2024
university of cyprus,University of Cyprus (UCY),Cyprus,CY,368,30.1,8.9,3.1,4.9,77.8,92.9,25.4,University of Cyprus,Cyprus,501.0,41.9–45.3,22.5,25.8,75.3,64.3,77.7,"6,907",20.0,14%,61:39:00,2024
cairo university,Cairo University,Egypt,EG,=371,29.9,43.7,33.2,8.0,2.8,2.7,6.2,Cairo University,Egypt,801.0,32.7–36.9,25.0,18.5,59.9,39.2,45.4,"2,02,915",30.9,5%,60:40:00,2024
tilburg university,Tilburg University,Netherlands,NL,=371,29.9,15.2,33.4,10.4,44.2,96.6,58.4,Tilburg University,Netherlands,201.0,55.9–58.6,32.8,44.9,80.1,82.6,84.5,"13,225",32.2,21%,51:49:00,2024
western sydney university, Western Sydney University,Australia,AU,=375,29.5,18.4,15.0,4.5,29.5,100.0,39.2,Western Sydney University,Australia,301.0,51.1–53.0,29.5,31.7,87.7,51.5,87.2,"35,590",41.8,21%,59:41:00,2024
amirkabir university of technology,Amirkabir University of Technology,"Iran, Islamic Republic of",IR,=375,29.5,4.1,33.4,5.1,99.8,15.9,2.8,Amirkabir University of Technology,Iran,351.0,49.1–51.0,34.8,33.7,77.0,85.1,38.8,"9,859",20.2,3%,35 : 65,2024
tufts university,Tufts University,United States,US,379,29.4,18.1,5.3,56.2,42.9,25.2,36.2,Tufts University,United States,191.0,59.2,51.5,35.0,87.5,71.7,62.8,"11,611",10.5,16%,57:43:00,2024
flinders university,Flinders University,Australia,AU,380,29.2,13.3,6.7,6.5,42.6,97.0,89.5,Flinders University,Australia,301.0,51.1–53.0,29.2,35.4,78.4,71.0,88.9,"17,422",29.4,33%,66:34:00,2024
university of luxembourg,University of Luxembourg,Luxembourg,LU,381,29.1,9.1,4.9,77.2,28.6,100.0,100.0,University of Luxembourg,Luxembourg,201.0,55.9–58.6,39.6,39.4,78.1,63.0,93.2,"5,599",21.3,49%,53:47:00,2024
mahidol university,Mahidol University,Thailand,TH,=382,29.0,42.4,30.3,77.7,4.7,6.0,5.1,Mahidol University,Thailand,601.0,37.0–41.8,39.3,25.0,46.3,78.6,48.7,"28,790",8.9,5%,64:36:00,2024
nankai university,Nankai University,China (Mainland),CN,=384,28.6,21.1,8.6,29.5,73.9,11.2,3.5,Nankai University,China,251.0,53.1–55.8,48.8,31.4,85.3,66.5,49.3,"31,416",11.7,7%,,2024
university of hawai i at m noa,University of Hawaiʻi at Mānoa,United States,US,386,28.4,16.1,8.5,36.8,48.6,53.0,12.9,University of Hawai’i at Mānoa,United States,201.0,55.9–58.6,42.0,42.5,75.8,68.3,77.3,"14,936",11.3,10%,57:43:00,2024
aix marseille university,Aix-Marseille University,France,FR,=387,28.3,36.1,4.5,8.3,26.5,18.5,19.9,Aix-Marseille University,France,351.0,49.1–51.0,43.0,27.2,71.9,63.2,76.3,"72,946",17.3,14%,60:40:00,2024
belarusian state university,Belarusian State University,Belarus,BY,=387,28.3,26.6,42.5,95.3,1.3,4.1,49.9,Belarusian State University,Belarus,1201.0,22.8–28.2,25.5,11.5,17.0,55.4,66.8,"23,030",7.6,19%,62:38:00,2024
concordia university,Concordia University,Canada,CA,=387,28.3,15.0,15.2,3.0,23.7,80.3,89.3,Concordia University,Canada,501.0,41.9–45.3,25.7,29.3,66.2,66.3,86.6,"36,749",34.6,34%,50:50:00,2024
national taiwan university of science and technology,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,TW,=387,28.3,27.1,37.8,43.6,27.0,17.5,31.1,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,401.0,45.4–49.0,33.2,36.9,63.8,93.2,56.4,"9,221",18.5,19%,30 : 70,2024
universiti brunei darussalam,Universiti Brunei Darussalam (UBD),Brunei,BN,=387,28.3,21.0,5.5,96.3,8.2,100.0,65.1,Universiti Brunei Darussalam,Brunei Darussalam,401.0,45.4–49.0,28.5,28.9,76.0,22.9,75.7,"3,503",11.3,14%,66:34:00,2024
south china university of technology,South China University of Technology,China (Mainland),CN,=392,28.2,12.5,4.2,19.0,95.4,10.4,4.5,South China University of Technology,China,251.0,53.1–55.8,36.6,38.2,83.2,92.8,44.0,"40,449",12.6,6%,38 : 62,2024
technion israel institute of technology,Technion - Israel Institute of Technology,Israel,IL,=392,28.2,25.4,27.8,43.9,25.4,64.8,4.6,Technion Israel Institute of Technology,Israel,351.0,49.1–51.0,37.5,34.0,66.9,68.1,71.8,"15,934",22.7,13%,40 : 60,2024
xiamen university,Xiamen University,China (Mainland),CN,=392,28.2,25.9,11.6,20.0,65.3,5.4,3.4,Xiamen University,China,301.0,51.1–53.0,38.0,33.5,83.7,72.1,38.4,"44,715",15.1,2%,,2024
justus liebig university giessen,Justus-Liebig-University Giessen,Germany,DE,=396,28.1,13.6,6.1,1.7,85.7,12.1,18.9,Justus Liebig University Giessen,Germany,351.0,49.1–51.0,34.4,38.0,72.5,70.5,62.7,"27,184",42.4,11%,64:36:00,2024
kazan federal university,Kazan (Volga region) Federal University,Russia,RU,=396,28.1,22.7,7.6,93.7,2.8,10.5,96.1,Kazan Federal University,Russian Federation,801.0,32.7–36.9,44.7,21.7,32.3,42.6,69.2,"22,464",10.8,33%,67:33:00,2024
hse university,HSE University,Russia,RU,399,28.0,27.3,31.9,90.7,1.9,6.3,16.1,HSE University,Russian Federation,401.0,45.4–49.0,34.4,44.0,57.3,56.5,51.4,"34,656",18.6,12%,,2024
iowa state university,Iowa State University,United States,US,=400,27.9,20.0,13.5,8.4,58.7,4.6,11.1,Iowa State University,United States,351.0,49.1–51.0,39.5,34.5,69.3,84.8,46.0,"28,591",17.1,8%,46:54:00,2024
masaryk university,Masaryk University,Czech Republic,CZ,=400,27.9,23.2,32.2,10.4,15.2,31.0,68.7,Masaryk University,Czech Republic,601.0,37.0–41.8,25.9,31.0,50.1,41.7,66.3,"32,789",18.4,23%,62:38:00,2024
university of granada,University of Granada,Spain,ES,403,27.8,44.0,9.8,5.6,23.3,3.4,16.1,University of Granada,Spain,501.0,41.9–45.3,28.5,26.6,65.7,52.2,52.6,"55,523",14.7,9%,59:41:00,2024
istanbul technical university,Istanbul Technical University,Turkey,TR,=404,27.6,24.2,60.4,12.1,13.3,7.3,18.3,Istanbul Technical University,Turkey,501.0,41.9–45.3,35.8,36.6,51.8,87.3,45.8,"19,055",25.8,14%,42:58:00,2024
university of california riverside,"University of California, Riverside",United States,US,=404,27.6,17.5,7.0,6.7,59.9,63.0,9.1,"University of California, Riverside",United States,251.0,53.1–55.8,35.9,35.4,85.7,70.6,77.0,"25,670",19.6,14%,53:47:00,2024
university of the philippines,University of the Philippines,Philippines,PH,=404,27.6,34.4,58.9,38.0,1.9,1.6,1.1,University of the Philippines,Philippines,1201.0,22.8–28.2,25.4,15.3,38.7,22.8,38.4,"53,676",11.1,0%,59:41:00,2024
auckland university of technology,Auckland University of Technology (AUT),New Zealand,NZ,=407,27.4,19.3,11.7,10.3,18.5,100.0,99.3,Auckland University of Technology,New Zealand,401.0,45.4–49.0,23.8,21.2,84.0,40.8,92.4,"18,592",17.7,46%,60:40:00,2024
university of delhi,University of Delhi,India,IN,=407,27.4,36.1,28.2,3.9,22.5,1.4,1.7,University of Delhi,India,801.0,32.7–36.9,40.4,24.2,39.0,40.5,23.3,"29,532",23.8,1%,48:52:00,2024
university of kansas,University of Kansas,United States,US,=410,27.2,15.1,13.3,83.6,9.0,72.6,7.8,University of Kansas,United States,351.0,49.1–51.0,42.7,25.9,73.1,79.9,58.6,"23,410",9.5,7%,53:47:00,2024
university of southern queensland,University of Southern Queensland ,Australia,AU,=410,27.2,8.5,6.8,4.5,59.6,76.1,26.3,University of Southern Queensland,Australia,351.0,49.1–51.0,28.4,25.9,88.0,46.9,81.8,"11,650",24.8,15%,63:37:00,2024
oxford brookes university,Oxford Brookes University,United Kingdom,UK,=413,27.1,28.9,29.7,13.8,8.4,68.8,70.3,Oxford Brookes University,United Kingdom,601.0,37.0–41.8,25.1,21.1,62.5,29.1,87.9,"13,860",14.0,25%,58:42:00,2024
royal holloway university of london,Royal Holloway University of London,United Kingdom,UK,=413,27.1,16.0,5.7,13.7,36.3,94.4,88.7,"Royal Holloway, University of London",United Kingdom,301.0,51.1–53.0,31.6,29.3,79.0,63.3,94.6,"11,290",16.1,31%,55:45:00,2024
james cook university,James Cook University,Australia,AU,=415,27.0,15.4,8.7,14.1,51.1,42.0,13.5,James Cook University,Australia,351.0,49.1–51.0,28.3,30.9,79.6,58.9,77.7,"9,759",17.3,9%,66:34:00,2024
moscow institute of physics and technology,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia,RU,=415,27.0,19.8,19.9,96.0,16.0,31.4,53.1,Moscow Institute of Physics and Technology (MIPT),Russian Federation,201.0,55.9–58.6,63.5,48.8,55.1,68.6,72.7,"6,111",11.6,21%,,2024
tomsk state university,Tomsk State University,Russia,RU,418,26.9,23.1,10.9,99.4,5.1,23.7,91.5,Tomsk State University,Russian Federation,501.0,41.9–45.3,49.2,40.0,31.8,53.8,79.1,"7,930",11.6,37%,,2024
washington state university,Washington State University,United States,US,=419,26.8,24.4,17.9,16.2,35.4,50.0,5.5,Washington State University,United States,301.0,51.1–53.0,36.9,34.5,74.8,82.9,60.3,"28,896",18.8,6%,55:45:00,2024
graz university of technology,Graz University of Technology,Austria,AT,=421,26.7,14.5,11.0,99.5,13.6,75.0,58.8,Graz University of Technology,Austria,501.0,41.9–45.3,40.4,21.4,51.5,91.5,81.5,"6,660",8.2,24%,26 : 74,2024
novosibirsk state university,Novosibirsk State University,Russia,RU,=421,26.7,27.5,14.4,93.5,12.6,6.7,56.3,Novosibirsk State University,Russian Federation,601.0,37.0–41.8,42.2,36.6,31.6,40.7,51.9,"7,264",6.6,20%,,2024
university of canberra,University of Canberra ,Australia,AU,=421,26.7,13.7,7.3,2.3,51.7,87.0,58.9,University of Canberra,Australia,351.0,49.1–51.0,24.1,31.6,82.4,40.8,88.3,"11,299",34.4,23%,56:44:00,2024
university of limerick,University of Limerick,Ireland,IE,426,26.6,17.5,29.1,14.0,21.9,88.4,28.6,University of Limerick,Ireland,401.0,45.4–49.0,27.1,32.6,64.1,75.9,76.1,"14,640",27.1,15%,50:50:00,2024
anna university,Anna University,India,IN,427,26.5,8.5,8.5,5.3,99.8,,1.5,Anna University,India,501.0,41.9–45.3,32.0,26.3,72.4,51.0,20.4,"12,824",13.1,1%,41:59:00,2024
university of trento,University of Trento,Italy,IT,=429,26.3,24.6,8.9,19.3,44.0,26.9,6.2,University of Trento,Italy,351.0,49.1–51.0,29.3,34.8,80.5,65.2,61.1,"14,100",18.4,7%,51:49:00,2024
ko university,Koç University,Turkey,TR,=431,26.2,22.4,47.3,24.0,28.6,27.3,11.2,Koç University,Turkey,351.0,49.1–51.0,31.8,40.5,68.9,91.9,57.4,"6,427",19.5,9%,49:51:00,2024
murdoch university,Murdoch University,Australia,AU,=431,26.2,7.3,5.3,5.4,53.1,86.3,76.6,Murdoch University,Australia,351.0,49.1–51.0,23.2,29.6,81.4,67.2,94.2,"14,816",34.0,38%,62:38:00,2024
national taipei university of technology,National Taipei University of Technology,Taiwan,TW,=431,26.2,15.0,57.7,27.0,34.3,21.1,18.2,National Taipei University of Technology,Taiwan,801.0,32.7–36.9,27.3,25.0,35.8,94.1,41.6,"9,868",15.6,10%,28 : 72,2024
national taiwan normal university,National Taiwan Normal University,Taiwan,TW,=431,26.2,34.5,20.8,65.4,5.9,14.5,26.7,National Taiwan Normal University,Taiwan,501.0,41.9–45.3,35.0,32.0,51.4,92.7,50.4,"10,878",12.3,12%,,2024
university of stirling,University of Stirling,United Kingdom,UK,=431,26.2,11.5,10.2,10.5,34.7,71.9,83.5,University of Stirling,United Kingdom,401.0,45.4–49.0,23.0,26.2,82.4,41.0,91.4,"10,650",18.7,28%,64:36:00,2024
dublin city university,Dublin City University,Ireland,IE,=436,26.0,19.7,27.0,25.6,12.4,76.0,19.3,Dublin City University,Ireland,401.0,45.4–49.0,24.5,35.2,77.1,62.8,73.9,"14,325",26.1,12%,58:42:00,2024
sejong university,Sejong University ,South Korea,KR,=436,26.0,13.8,17.3,14.7,65.5,24.6,26.7,Sejong University,South Korea,251.0,53.1–55.8,31.4,34.5,94.0,73.8,68.6,"11,678",18.9,15%,51:49:00,2024
tampere university,Tampere University,Finland,FI,=436,26.0,22.5,19.5,23.9,31.8,32.0,6.4,Tampere University,Finland,301.0,51.1–53.0,30.6,38.4,80.9,93.1,49.8,"16,236",20.7,7%,55:45:00,2024
university of st gallen,University of St.Gallen (HSG),Switzerland,CH,=436,26.0,9.0,27.6,6.2,22.8,100.0,83.1,University of St Gallen,Switzerland,351.0,49.1–51.0,33.8,21.0,81.4,66.6,93.6,"8,799",12.9,33%,36 : 64,2024
university of dundee, University of Dundee,United Kingdom,UK,=441,25.9,18.3,13.6,37.5,14.2,96.0,79.9,University of Dundee,United Kingdom,301.0,51.1–53.0,26.7,32.1,84.9,83.0,91.1,"14,145",18.1,25%,65:35:00,2024
universit laval,Université Laval,Canada,CA,=441,25.9,19.9,11.0,25.6,25.1,67.4,36.3,Université Laval,Canada,251.0,53.1–55.8,40.7,38.7,73.7,94.2,76.2,"30,362",17.9,16%,58:42:00,2024
university of utah,University of Utah,United States,US,=441,25.9,15.9,6.0,53.0,36.5,25.3,10.1,University of Utah,United States,201.0,55.9–58.6,43.5,38.5,87.0,83.5,40.9,"31,502",13.3,8%,50:50:00,2024
national and kapodistrian university of athens,National and Kapodistrian University of Athens,Greece,GR,=444,25.8,26.3,31.6,2.0,29.1,9.9,16.2,National and Kapodistrian University of Athens,Greece,501.0,41.9–45.3,22.6,23.9,77.3,89.8,56.6,"67,934",34.0,11%,59:41:00,2024
