University_Key,University_Name_QS,Country_QS,Country_Code,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student_Score,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,University_Name_THE,Country_THE,THE_Rank,THE_Overall_Score,THE_Teaching_Score,THE_Research_Score,THE_Citations_Score,THE_Industry_Income_Score,THE_International_Outlook,Total_Students,Student_Staff_Ratio,International_Students,Female_Male_Ratio,Year
university of dhaka,University of Dhaka,Bangladesh,BD,691-700,-,21.3,44.9,11.7,2.6,1.7,1.0,University of Dhaka,Bangladesh,801.0,32.7–36.9,17.5,10.0,68.8,18.1,48.5,"2,16,258",15.3,3%,50:50:00,2024
university of mons,University of Mons ,Belgium,BE,691-700,-,6.7,13.0,3.1,40.3,35.9,43.6,University of Mons,Belgium,501.0,41.9–45.3,24.8,32.5,63.9,64.0,71.5,"8,132",28.1,18%,56:44:00,2024
university of trieste,University of Trieste,Italy,IT,691-700,-,11.9,3.6,4.0,45.5,6.4,7.6,University of Trieste,Italy,501.0,41.9–45.3,31.9,25.1,74.2,52.3,52.0,"17,196",26.0,7%,57:43:00,2024
v n karazin kharkiv national university,V. N. Karazin Kharkiv National University,Ukraine,UA,691-700,-,12.6,17.9,66.0,1.4,3.1,58.8,V.N. Karazin Kharkiv National University,Ukraine,1201.0,22.8–28.2,26.4,10.9,8.8,46.6,47.2,"17,491",8.3,28%,53:47:00,2024
altai state university,Altai State University,Russia,RU,701-710,-,10.0,3.7,84.4,1.4,6.7,69.9,Altai State University,Russian Federation,1501.0,9.7–22.7,20.5,16.5,15.2,25.2,64.4,"9,271",19.0,27%,56:44:00,2024
chiba university,Chiba University,Japan,JP,701-710,-,16.8,8.4,62.3,10.9,7.5,5.2,Chiba University,Japan,801.0,32.7–36.9,33.2,20.9,42.0,68.9,33.9,"13,832",8.9,6%,38 : 62,2024
e tv s lor nd university,Eötvös Loránd University,Hungary,HU,701-710,-,23.9,16.8,13.2,7.8,5.0,11.3,Eötvös Loránd University,Hungary,801.0,32.7–36.9,28.6,19.2,57.3,33.4,51.3,"30,414",17.8,11%,61:39:00,2024
wake forest university,Wake Forest University,United States,US,701-710,-,5.4,6.1,100.0,11.0,5.4,13.5,Wake Forest University,United States,401.0,45.4–49.0,39.6,22.0,80.6,78.5,38.7,"8,293",4.1,9%,54:46:00,2024
zayed university,Zayed University,United Arab Emirates,AE,701-710,-,14.5,17.3,22.0,6.3,100.0,2.0,Zayed University,United Arab Emirates,401.0,45.4–49.0,28.3,25.4,85.7,35.0,74.5,"9,036",14.4,2%,87:13:00,2024
beirut arab university,Beirut Arab University ,Lebanon,LB,711-720,-,13.4,18.8,16.5,2.7,80.1,51.3,Beirut Arab University,Lebanon,501.0,41.9–45.3,48.5,24.6,47.3,18.6,88.2,"4,834",10.4,21%,45:55:00,2024
china university of petroleum,China University of Petroleum,China (Mainland),CN,711-720,-,3.8,1.5,9.8,64.8,1.5,3.2,China University of Petroleum (East China),China,801.0,32.7–36.9,22.2,23.0,54.3,68.2,23.8,"29,292",17.0,2%,33 : 67,2024
